station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CBS;01.01.1964 00:00;0;;
CBS;02.01.1964 00:00;0;;
CBS;03.01.1964 00:00;0;;
CBS;04.01.1964 00:00;0;;
CBS;05.01.1964 00:00;0;;
CBS;06.01.1964 00:00;0;;
CBS;07.01.1964 00:00;0;;
CBS;08.01.1964 00:00;0;;
CBS;09.01.1964 00:00;0;;
CBS;10.01.1964 00:00;0.1;;
CBS;11.01.1964 00:00;4.6;;
CBS;12.01.1964 00:00;0;;
CBS;13.01.1964 00:00;0;;
CBS;14.01.1964 00:00;0;;
CBS;15.01.1964 00:00;0;;
CBS;16.01.1964 00:00;0;;
CBS;17.01.1964 00:00;0;;
CBS;18.01.1964 00:00;0;;
CBS;19.01.1964 00:00;0;;
CBS;20.01.1964 00:00;0;;
CBS;21.01.1964 00:00;0;;
CBS;22.01.1964 00:00;0;;
CBS;23.01.1964 00:00;0;;
CBS;24.01.1964 00:00;0;;
CBS;25.01.1964 00:00;0;;
CBS;26.01.1964 00:00;0;;
CBS;27.01.1964 00:00;0;;
CBS;28.01.1964 00:00;0;;
CBS;29.01.1964 00:00;0.2;;
CBS;30.01.1964 00:00;1.2;;
CBS;31.01.1964 00:00;0;;
CBS;01.02.1964 00:00;0;;
CBS;02.02.1964 00:00;0;;
CBS;03.02.1964 00:00;0;;
CBS;04.02.1964 00:00;0;;
CBS;05.02.1964 00:00;0;;
CBS;06.02.1964 00:00;0;;
CBS;07.02.1964 00:00;0;;
CBS;08.02.1964 00:00;0;;
CBS;09.02.1964 00:00;0;;
CBS;10.02.1964 00:00;0.1;;
CBS;11.02.1964 00:00;0;;
CBS;12.02.1964 00:00;0;;
CBS;13.02.1964 00:00;0;;
CBS;14.02.1964 00:00;0;;
CBS;15.02.1964 00:00;0;;
CBS;16.02.1964 00:00;0.7;;
CBS;17.02.1964 00:00;2.8;;
CBS;18.02.1964 00:00;0.6;;
CBS;19.02.1964 00:00;0;;
CBS;20.02.1964 00:00;0;;
CBS;21.02.1964 00:00;0;;
CBS;22.02.1964 00:00;0;;
CBS;23.02.1964 00:00;0;;
CBS;24.02.1964 00:00;0;;
CBS;25.02.1964 00:00;0;;
CBS;26.02.1964 00:00;0.6;;
CBS;27.02.1964 00:00;6.4;;
