station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CDF;01.01.1900 00:00;1.2;;
CDF;02.01.1900 00:00;0;;
CDF;03.01.1900 00:00;27.4;;
CDF;04.01.1900 00:00;13.7;;
CDF;05.01.1900 00:00;2.5;;
CDF;06.01.1900 00:00;0;;
CDF;07.01.1900 00:00;1.1;;
CDF;08.01.1900 00:00;3.1;;
CDF;09.01.1900 00:00;8.6;;
CDF;10.01.1900 00:00;10.4;;
CDF;11.01.1900 00:00;7.6;;
CDF;12.01.1900 00:00;1;;
CDF;13.01.1900 00:00;0;;
CDF;14.01.1900 00:00;0;;
CDF;15.01.1900 00:00;10;;
CDF;16.01.1900 00:00;22.8;;
CDF;17.01.1900 00:00;41;;
CDF;18.01.1900 00:00;10.6;;
CDF;19.01.1900 00:00;1;;
CDF;20.01.1900 00:00;0;;
CDF;21.01.1900 00:00;5.5;;
CDF;22.01.1900 00:00;2.1;;
CDF;23.01.1900 00:00;0;;
CDF;24.01.1900 00:00;21.3;;
CDF;25.01.1900 00:00;10.5;;
CDF;26.01.1900 00:00;0;;
CDF;27.01.1900 00:00;14;;
CDF;28.01.1900 00:00;0;;
CDF;29.01.1900 00:00;1.5;;
CDF;30.01.1900 00:00;2;;
CDF;31.01.1900 00:00;0;;
CDF;01.02.1900 00:00;1.8;;
CDF;02.02.1900 00:00;2.4;;
CDF;03.02.1900 00:00;0;;
CDF;04.02.1900 00:00;0;;
CDF;05.02.1900 00:00;0;;
CDF;06.02.1900 00:00;6.8;;
CDF;07.02.1900 00:00;0;;
CDF;08.02.1900 00:00;0;;
CDF;09.02.1900 00:00;2.6;;
CDF;10.02.1900 00:00;0;;
CDF;11.02.1900 00:00;1.6;;
CDF;12.02.1900 00:00;24.1;;
CDF;13.02.1900 00:00;12.9;;
CDF;14.02.1900 00:00;18;;
CDF;15.02.1900 00:00;0.5;;
CDF;16.02.1900 00:00;7;;
CDF;17.02.1900 00:00;0;;
CDF;18.02.1900 00:00;4.9;;
CDF;19.02.1900 00:00;14.8;;
CDF;20.02.1900 00:00;7.3;;
CDF;21.02.1900 00:00;8.6;;
