station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CHD;01.01.1879 00:00;0;;
CHD;02.01.1879 00:00;1.8;;
CHD;03.01.1879 00:00;1;;
CHD;04.01.1879 00:00;19;;
CHD;05.01.1879 00:00;12;;
CHD;06.01.1879 00:00;0;;
CHD;07.01.1879 00:00;0;;
CHD;08.01.1879 00:00;10;;
CHD;09.01.1879 00:00;9;;
CHD;10.01.1879 00:00;0;;
CHD;11.01.1879 00:00;6.2;;
CHD;12.01.1879 00:00;0;;
CHD;13.01.1879 00:00;0;;
CHD;14.01.1879 00:00;0;;
CHD;15.01.1879 00:00;3.9;;
CHD;16.01.1879 00:00;0;;
CHD;17.01.1879 00:00;3.9;;
CHD;18.01.1879 00:00;4.9;;
CHD;19.01.1879 00:00;1.3;;
CHD;20.01.1879 00:00;0;;
CHD;21.01.1879 00:00;0;;
CHD;22.01.1879 00:00;0;;
CHD;23.01.1879 00:00;0;;
CHD;24.01.1879 00:00;0;;
CHD;25.01.1879 00:00;0;;
CHD;26.01.1879 00:00;0;;
CHD;27.01.1879 00:00;0;;
CHD;28.01.1879 00:00;0;;
CHD;29.01.1879 00:00;0;;
CHD;30.01.1879 00:00;0;;
CHD;31.01.1879 00:00;0;;
CHD;01.02.1879 00:00;0;;
CHD;02.02.1879 00:00;0.5;;
CHD;03.02.1879 00:00;11;;
CHD;04.02.1879 00:00;2.1;;
CHD;05.02.1879 00:00;3.6;;
CHD;06.02.1879 00:00;0;;
CHD;07.02.1879 00:00;0;;
CHD;08.02.1879 00:00;0.1;;
CHD;09.02.1879 00:00;0;;
CHD;10.02.1879 00:00;16.9;;
CHD;11.02.1879 00:00;14.7;;
CHD;12.02.1879 00:00;4;;
CHD;13.02.1879 00:00;1;;
CHD;14.02.1879 00:00;5.3;;
CHD;15.02.1879 00:00;0.3;;
CHD;16.02.1879 00:00;5.2;;
CHD;17.02.1879 00:00;8.5;;
CHD;18.02.1879 00:00;15.3;;
CHD;19.02.1879 00:00;2.9;;
CHD;20.02.1879 00:00;6.5;;
CHD;21.02.1879 00:00;7.8;;
CHD;22.02.1879 00:00;3.4;;
CHD;23.02.1879 00:00;3.7;;
CHD;24.02.1879 00:00;0;;
CHD;25.02.1879 00:00;1.4;;
CHD;26.02.1879 00:00;0.4;;
CHD;27.02.1879 00:00;0.4;;
CHD;28.02.1879 00:00;0;;
CHD;01.03.1879 00:00;0;;
CHD;02.03.1879 00:00;0;;
CHD;03.03.1879 00:00;0;;
CHD;04.03.1879 00:00;0;;
CHD;05.03.1879 00:00;0;;
CHD;06.03.1879 00:00;1.3;;
CHD;07.03.1879 00:00;0;;
CHD;08.03.1879 00:00;0;;
CHD;09.03.1879 00:00;0;;
CHD;10.03.1879 00:00;0;;
CHD;11.03.1879 00:00;0.1;;
CHD;12.03.1879 00:00;0;;
CHD;13.03.1879 00:00;1.1;;
CHD;14.03.1879 00:00;0;;
CHD;15.03.1879 00:00;0;;
CHD;16.03.1879 00:00;0.1;;
CHD;17.03.1879 00:00;0;;
CHD;18.03.1879 00:00;0;;
CHD;19.03.1879 00:00;0;;
CHD;20.03.1879 00:00;0;;
CHD;21.03.1879 00:00;0.2;;
CHD;22.03.1879 00:00;0;;
CHD;23.03.1879 00:00;0;;
CHD;24.03.1879 00:00;0;;
CHD;25.03.1879 00:00;2.1;;
CHD;26.03.1879 00:00;4.4;;
CHD;27.03.1879 00:00;0;;
CHD;28.03.1879 00:00;7.4;;
CHD;29.03.1879 00:00;4.4;;
CHD;30.03.1879 00:00;4.5;;
CHD;31.03.1879 00:00;0;;
CHD;01.04.1879 00:00;0;;
CHD;02.04.1879 00:00;1.2;;
CHD;03.04.1879 00:00;0.4;;
CHD;04.04.1879 00:00;0;;
CHD;05.04.1879 00:00;0;;
CHD;06.04.1879 00:00;0;;
CHD;07.04.1879 00:00;0;;
CHD;08.04.1879 00:00;8.8;;
CHD;09.04.1879 00:00;5.5;;
CHD;10.04.1879 00:00;0;;
CHD;11.04.1879 00:00;10.2;;
CHD;12.04.1879 00:00;4.5;;
CHD;13.04.1879 00:00;0.1;;
CHD;14.04.1879 00:00;7.6;;
CHD;15.04.1879 00:00;4.5;;
CHD;16.04.1879 00:00;8.5;;
CHD;17.04.1879 00:00;4.8;;
CHD;18.04.1879 00:00;0.2;;
CHD;19.04.1879 00:00;0;;
CHD;20.04.1879 00:00;0;;
CHD;21.04.1879 00:00;0.8;;
CHD;22.04.1879 00:00;0;;
CHD;23.04.1879 00:00;1.6;;
CHD;24.04.1879 00:00;17.7;;
CHD;25.04.1879 00:00;6.5;;
CHD;26.04.1879 00:00;2.5;;
CHD;27.04.1879 00:00;14.2;;
CHD;28.04.1879 00:00;2.7;;
CHD;29.04.1879 00:00;0;;
CHD;30.04.1879 00:00;0.9;;
CHD;01.05.1879 00:00;0;;
CHD;02.05.1879 00:00;0;;
CHD;03.05.1879 00:00;0;;
CHD;04.05.1879 00:00;0;;
CHD;05.05.1879 00:00;0;;
CHD;06.05.1879 00:00;3.1;;
CHD;07.05.1879 00:00;6;;
CHD;08.05.1879 00:00;3.1;;
CHD;09.05.1879 00:00;6.4;;
CHD;10.05.1879 00:00;2.3;;
CHD;11.05.1879 00:00;0.9;;
CHD;12.05.1879 00:00;0;;
CHD;13.05.1879 00:00;0;;
CHD;14.05.1879 00:00;7;;
CHD;15.05.1879 00:00;1.2;;
CHD;16.05.1879 00:00;0.8;;
CHD;17.05.1879 00:00;1.1;;
CHD;18.05.1879 00:00;0.4;;
CHD;19.05.1879 00:00;0.1;;
CHD;20.05.1879 00:00;0.3;;
CHD;21.05.1879 00:00;0;;
CHD;22.05.1879 00:00;1.8;;
CHD;23.05.1879 00:00;19.8;;
CHD;24.05.1879 00:00;10.5;;
CHD;25.05.1879 00:00;0.5;;
CHD;26.05.1879 00:00;9.3;;
CHD;27.05.1879 00:00;1.6;;
CHD;28.05.1879 00:00;15.6;;
CHD;29.05.1879 00:00;0;;
CHD;30.05.1879 00:00;4.4;;
CHD;31.05.1879 00:00;0;;
CHD;01.06.1879 00:00;1.1;;
CHD;02.06.1879 00:00;0;;
CHD;03.06.1879 00:00;7.4;;
