station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CHM;01.01.1864 00:00;7.3;;
CHM;02.01.1864 00:00;6.1;;
CHM;03.01.1864 00:00;0;;
CHM;04.01.1864 00:00;0;;
CHM;05.01.1864 00:00;0;;
CHM;06.01.1864 00:00;0;;
CHM;07.01.1864 00:00;0;;
CHM;08.01.1864 00:00;0;;
CHM;09.01.1864 00:00;0;;
CHM;10.01.1864 00:00;0;;
CHM;11.01.1864 00:00;0;;
CHM;12.01.1864 00:00;0;;
CHM;13.01.1864 00:00;0;;
CHM;14.01.1864 00:00;0;;
CHM;15.01.1864 00:00;0;;
CHM;16.01.1864 00:00;0;;
CHM;17.01.1864 00:00;0;;
CHM;18.01.1864 00:00;0;;
CHM;19.01.1864 00:00;0;;
CHM;20.01.1864 00:00;0;;
CHM;21.01.1864 00:00;0;;
CHM;22.01.1864 00:00;0;;
CHM;23.01.1864 00:00;0;;
CHM;24.01.1864 00:00;0.2;;
CHM;25.01.1864 00:00;1.5;;
CHM;26.01.1864 00:00;0;;
CHM;27.01.1864 00:00;0;;
CHM;28.01.1864 00:00;0.8;;
CHM;29.01.1864 00:00;5.4;;
CHM;30.01.1864 00:00;0.2;;
CHM;31.01.1864 00:00;0;;
CHM;01.02.1864 00:00;0;;
CHM;02.02.1864 00:00;0;;
CHM;03.02.1864 00:00;0;;
CHM;04.02.1864 00:00;0.9;;
CHM;05.02.1864 00:00;0;;
CHM;06.02.1864 00:00;0.1;;
CHM;07.02.1864 00:00;4.2;;
CHM;08.02.1864 00:00;0.5;;
CHM;09.02.1864 00:00;0;;
CHM;10.02.1864 00:00;0.2;;
CHM;11.02.1864 00:00;0.4;;
CHM;12.02.1864 00:00;0;;
CHM;13.02.1864 00:00;21.2;;
CHM;14.02.1864 00:00;0;;
CHM;15.02.1864 00:00;0;;
CHM;16.02.1864 00:00;0;;
CHM;17.02.1864 00:00;3.6;;
CHM;18.02.1864 00:00;6;;
CHM;19.02.1864 00:00;1.1;;
CHM;20.02.1864 00:00;0;;
CHM;21.02.1864 00:00;0;;
CHM;22.02.1864 00:00;0.2;;
CHM;23.02.1864 00:00;0;;
CHM;24.02.1864 00:00;0;;
CHM;25.02.1864 00:00;0;;
CHM;26.02.1864 00:00;0;;
CHM;27.02.1864 00:00;0;;
CHM;28.02.1864 00:00;0;;
CHM;29.02.1864 00:00;0;;
CHM;01.03.1864 00:00;0.4;;
CHM;02.03.1864 00:00;0.4;;
CHM;03.03.1864 00:00;4.4;;
CHM;04.03.1864 00:00;0.2;;
CHM;05.03.1864 00:00;0;;
