station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CHU;01.01.1887 00:00;0;;
CHU;02.01.1887 00:00;0;;
CHU;03.01.1887 00:00;0;;
CHU;04.01.1887 00:00;0;;
CHU;05.01.1887 00:00;0;;
CHU;06.01.1887 00:00;0;;
CHU;07.01.1887 00:00;0;;
CHU;08.01.1887 00:00;1.3;;
CHU;09.01.1887 00:00;6.7;;
CHU;10.01.1887 00:00;0;;
CHU;11.01.1887 00:00;0;;
CHU;12.01.1887 00:00;0;;
CHU;13.01.1887 00:00;0;;
CHU;14.01.1887 00:00;0;;
CHU;15.01.1887 00:00;0;;
CHU;16.01.1887 00:00;0;;
CHU;17.01.1887 00:00;0;;
CHU;18.01.1887 00:00;0;;
CHU;19.01.1887 00:00;0;;
CHU;20.01.1887 00:00;0;;
CHU;21.01.1887 00:00;0;;
CHU;22.01.1887 00:00;0;;
CHU;23.01.1887 00:00;0;;
CHU;24.01.1887 00:00;0;;
CHU;25.01.1887 00:00;0;;
CHU;26.01.1887 00:00;0;;
CHU;27.01.1887 00:00;0;;
CHU;28.01.1887 00:00;0;;
CHU;29.01.1887 00:00;0;;
CHU;30.01.1887 00:00;0;;
CHU;31.01.1887 00:00;0;;
CHU;01.02.1887 00:00;0;;
CHU;02.02.1887 00:00;0;;
CHU;03.02.1887 00:00;0;;
CHU;04.02.1887 00:00;0;;
CHU;05.02.1887 00:00;0;;
CHU;06.02.1887 00:00;0;;
CHU;07.02.1887 00:00;0;;
CHU;08.02.1887 00:00;0;;
CHU;09.02.1887 00:00;0;;
CHU;10.02.1887 00:00;0.5;;
CHU;11.02.1887 00:00;0;;
CHU;12.02.1887 00:00;0;;
CHU;13.02.1887 00:00;0;;
CHU;14.02.1887 00:00;0;;
CHU;15.02.1887 00:00;0;;
CHU;16.02.1887 00:00;0;;
CHU;17.02.1887 00:00;0;;
CHU;18.02.1887 00:00;0;;
CHU;19.02.1887 00:00;0.9;;
CHU;20.02.1887 00:00;0;;
CHU;21.02.1887 00:00;0;;
CHU;22.02.1887 00:00;0;;
CHU;23.02.1887 00:00;0;;
CHU;24.02.1887 00:00;0;;
CHU;25.02.1887 00:00;0;;
CHU;26.02.1887 00:00;0;;
CHU;27.02.1887 00:00;0;;
CHU;28.02.1887 00:00;0;;
CHU;01.03.1887 00:00;0;;
CHU;02.03.1887 00:00;0;;
CHU;03.03.1887 00:00;0;;
CHU;04.03.1887 00:00;0;;
CHU;05.03.1887 00:00;0;;
CHU;06.03.1887 00:00;0;;
CHU;07.03.1887 00:00;0;;
CHU;08.03.1887 00:00;0;;
CHU;09.03.1887 00:00;0;;
CHU;10.03.1887 00:00;0;;
CHU;11.03.1887 00:00;0;;
CHU;12.03.1887 00:00;1.3;;
CHU;13.03.1887 00:00;6.3;;
CHU;14.03.1887 00:00;2.6;;
CHU;15.03.1887 00:00;0;;
CHU;16.03.1887 00:00;0;;
CHU;17.03.1887 00:00;0.9;;
CHU;18.03.1887 00:00;0;;
CHU;19.03.1887 00:00;0;;
CHU;20.03.1887 00:00;0;;
