station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CHY;01.01.1974 00:00;0;0;
CHY;02.01.1974 00:00;0;0;
CHY;03.01.1974 00:00;0;0;
CHY;04.01.1974 00:00;0;0;
CHY;05.01.1974 00:00;6;;
CHY;06.01.1974 00:00;2;;
CHY;07.01.1974 00:00;2.5;;
CHY;08.01.1974 00:00;5;;
CHY;09.01.1974 00:00;11;;
CHY;10.01.1974 00:00;1;;
CHY;11.01.1974 00:00;1.5;;
CHY;12.01.1974 00:00;0;0;
CHY;13.01.1974 00:00;1;;
CHY;14.01.1974 00:00;0;0;
CHY;15.01.1974 00:00;0;0;
CHY;16.01.1974 00:00;2;;
CHY;17.01.1974 00:00;3;;
CHY;18.01.1974 00:00;1.1;;
CHY;19.01.1974 00:00;0;0;
CHY;20.01.1974 00:00;0;0;
CHY;21.01.1974 00:00;0;0;
CHY;22.01.1974 00:00;0;0;
CHY;23.01.1974 00:00;0;0;
CHY;24.01.1974 00:00;0.6;;
CHY;25.01.1974 00:00;0;0;
CHY;26.01.1974 00:00;1.2;;
CHY;27.01.1974 00:00;2.4;;
CHY;28.01.1974 00:00;0;;
CHY;29.01.1974 00:00;6.8;;
CHY;30.01.1974 00:00;0.1;;
CHY;31.01.1974 00:00;1.8;;
CHY;01.02.1974 00:00;6.2;;
CHY;02.02.1974 00:00;0;0;
CHY;03.02.1974 00:00;0;0;
CHY;04.02.1974 00:00;1.1;;
CHY;05.02.1974 00:00;10.5;;
CHY;06.02.1974 00:00;9.5;2;
CHY;07.02.1974 00:00;6.1;1;2
CHY;08.02.1974 00:00;0.5;;1
CHY;09.02.1974 00:00;0;0;
CHY;10.02.1974 00:00;0;0;
CHY;11.02.1974 00:00;3.5;;
CHY;12.02.1974 00:00;0.2;;
CHY;13.02.1974 00:00;0.2;;
CHY;14.02.1974 00:00;0;0;
CHY;15.02.1974 00:00;0.1;;
CHY;16.02.1974 00:00;0;0;
CHY;17.02.1974 00:00;0;0;
CHY;18.02.1974 00:00;1;;
CHY;19.02.1974 00:00;2.7;;
CHY;20.02.1974 00:00;0;0;
CHY;21.02.1974 00:00;0;0;
CHY;22.02.1974 00:00;5.2;;
CHY;23.02.1974 00:00;0;0;
CHY;24.02.1974 00:00;0;0;
CHY;25.02.1974 00:00;0;0;
CHY;26.02.1974 00:00;0;0;
CHY;27.02.1974 00:00;0;0;
