station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CMD;01.01.1901 00:00;0;;
CMD;02.01.1901 00:00;0;;
CMD;03.01.1901 00:00;0;;
CMD;04.01.1901 00:00;0;;
CMD;05.01.1901 00:00;0;;
CMD;06.01.1901 00:00;0;;
CMD;07.01.1901 00:00;0;;
CMD;08.01.1901 00:00;0;;
CMD;09.01.1901 00:00;0;;
CMD;10.01.1901 00:00;0;;
CMD;11.01.1901 00:00;0;;
CMD;12.01.1901 00:00;0;;
CMD;13.01.1901 00:00;0;;
CMD;14.01.1901 00:00;0;;
CMD;15.01.1901 00:00;0;;
CMD;16.01.1901 00:00;0;;
CMD;17.01.1901 00:00;0;;
CMD;18.01.1901 00:00;0;;
CMD;19.01.1901 00:00;0;;
CMD;20.01.1901 00:00;0;;
CMD;21.01.1901 00:00;0;;
CMD;22.01.1901 00:00;0;;
CMD;23.01.1901 00:00;0;;
CMD;24.01.1901 00:00;0;;
CMD;25.01.1901 00:00;0;;
CMD;26.01.1901 00:00;0;;
CMD;27.01.1901 00:00;0;;
CMD;28.01.1901 00:00;0;;
CMD;29.01.1901 00:00;0;;
CMD;30.01.1901 00:00;0;;
CMD;31.01.1901 00:00;2;;
CMD;01.02.1901 00:00;12.6;;
CMD;02.02.1901 00:00;0.4;;
CMD;03.02.1901 00:00;3;;
CMD;04.02.1901 00:00;13.8;;
CMD;05.02.1901 00:00;5;;
CMD;06.02.1901 00:00;0;;
CMD;07.02.1901 00:00;0;;
CMD;08.02.1901 00:00;0;;
CMD;09.02.1901 00:00;0;;
CMD;10.02.1901 00:00;0;;
CMD;11.02.1901 00:00;0;;
CMD;12.02.1901 00:00;0;;
CMD;13.02.1901 00:00;0;;
CMD;14.02.1901 00:00;0;;
CMD;15.02.1901 00:00;0;;
CMD;16.02.1901 00:00;0;;
CMD;17.02.1901 00:00;0;;
CMD;18.02.1901 00:00;0;;
CMD;19.02.1901 00:00;0;;
CMD;20.02.1901 00:00;0;;
CMD;21.02.1901 00:00;0;;
CMD;22.02.1901 00:00;0;;
CMD;23.02.1901 00:00;0;;
CMD;24.02.1901 00:00;0;;
CMD;25.02.1901 00:00;0;;
CMD;26.02.1901 00:00;0;;
CMD;27.02.1901 00:00;0;;
CMD;28.02.1901 00:00;0;;
CMD;01.03.1901 00:00;0;;
CMD;02.03.1901 00:00;0;;
CMD;03.03.1901 00:00;3;;
CMD;04.03.1901 00:00;0;;
CMD;05.03.1901 00:00;0;;
CMD;06.03.1901 00:00;8.8;;
CMD;07.03.1901 00:00;0;;
CMD;08.03.1901 00:00;0;;
CMD;09.03.1901 00:00;2;;
CMD;10.03.1901 00:00;67.2;;
CMD;11.03.1901 00:00;21.8;;
CMD;12.03.1901 00:00;8.1;;
CMD;13.03.1901 00:00;2.3;;
CMD;14.03.1901 00:00;15.7;;
CMD;15.03.1901 00:00;54.2;;
CMD;16.03.1901 00:00;2.3;;
CMD;17.03.1901 00:00;24.4;;
CMD;18.03.1901 00:00;39;;
CMD;19.03.1901 00:00;68.3;;
CMD;20.03.1901 00:00;18;;
CMD;21.03.1901 00:00;0;;
CMD;22.03.1901 00:00;0;;
CMD;23.03.1901 00:00;0;;
CMD;24.03.1901 00:00;0;;
CMD;25.03.1901 00:00;0;;
CMD;26.03.1901 00:00;0;;
CMD;27.03.1901 00:00;0;;
CMD;28.03.1901 00:00;0;;
CMD;29.03.1901 00:00;0;;
CMD;30.03.1901 00:00;0;;
CMD;31.03.1901 00:00;18.4;;
CMD;01.04.1901 00:00;10.2;;
CMD;02.04.1901 00:00;0;;
CMD;03.04.1901 00:00;0;;
CMD;04.04.1901 00:00;2.4;;
CMD;05.04.1901 00:00;0;;
CMD;06.04.1901 00:00;5.7;;
CMD;07.04.1901 00:00;0;;
CMD;08.04.1901 00:00;0;;
CMD;09.04.1901 00:00;12.7;;
CMD;10.04.1901 00:00;25.8;;
CMD;11.04.1901 00:00;13;;
CMD;12.04.1901 00:00;45;;
CMD;13.04.1901 00:00;0;;
CMD;14.04.1901 00:00;0;;
CMD;15.04.1901 00:00;0;;
CMD;16.04.1901 00:00;0;;
CMD;17.04.1901 00:00;0;;
CMD;18.04.1901 00:00;0;;
CMD;19.04.1901 00:00;0;;
CMD;20.04.1901 00:00;0;;
CMD;21.04.1901 00:00;0;;
CMD;22.04.1901 00:00;0;;
CMD;23.04.1901 00:00;0;;
CMD;24.04.1901 00:00;0;;
CMD;25.04.1901 00:00;0;;
CMD;26.04.1901 00:00;21.6;;
CMD;27.04.1901 00:00;62;;
CMD;28.04.1901 00:00;18.2;;
CMD;29.04.1901 00:00;28;;
CMD;30.04.1901 00:00;8.7;;
CMD;01.05.1901 00:00;0;;
CMD;02.05.1901 00:00;0;;
CMD;03.05.1901 00:00;0;;
CMD;04.05.1901 00:00;0;;
CMD;05.05.1901 00:00;0;;
CMD;06.05.1901 00:00;18;;
CMD;07.05.1901 00:00;2;;
CMD;08.05.1901 00:00;42;;
CMD;09.05.1901 00:00;0;;
CMD;10.05.1901 00:00;0;;
CMD;11.05.1901 00:00;0;;
CMD;12.05.1901 00:00;4.1;;
CMD;13.05.1901 00:00;0;;
CMD;14.05.1901 00:00;0;;
CMD;15.05.1901 00:00;0;;
CMD;16.05.1901 00:00;5.6;;
CMD;17.05.1901 00:00;6.4;;
CMD;18.05.1901 00:00;0;;
CMD;19.05.1901 00:00;0;;
CMD;20.05.1901 00:00;16.8;;
CMD;21.05.1901 00:00;0;;
CMD;22.05.1901 00:00;25.6;;
CMD;23.05.1901 00:00;0;;
CMD;24.05.1901 00:00;0;;
CMD;25.05.1901 00:00;3.6;;
CMD;26.05.1901 00:00;0;;
CMD;27.05.1901 00:00;0;;
CMD;28.05.1901 00:00;0;;
CMD;29.05.1901 00:00;3.8;;
CMD;30.05.1901 00:00;0;;
CMD;31.05.1901 00:00;0;;
CMD;01.06.1901 00:00;0;;
CMD;02.06.1901 00:00;55;;
CMD;03.06.1901 00:00;4.2;;
CMD;04.06.1901 00:00;0;;
CMD;05.06.1901 00:00;0;;
CMD;06.06.1901 00:00;0;;
CMD;07.06.1901 00:00;4.2;;
CMD;08.06.1901 00:00;10.3;;
CMD;09.06.1901 00:00;2.3;;
CMD;10.06.1901 00:00;0;;
CMD;11.06.1901 00:00;0;;
CMD;12.06.1901 00:00;0;;
CMD;13.06.1901 00:00;0;;
CMD;14.06.1901 00:00;125.5;;
CMD;15.06.1901 00:00;62.1;;
CMD;16.06.1901 00:00;0;;
CMD;17.06.1901 00:00;0;;
CMD;18.06.1901 00:00;2.8;;
CMD;19.06.1901 00:00;0;;
CMD;20.06.1901 00:00;0;;
CMD;21.06.1901 00:00;0;;
CMD;22.06.1901 00:00;0;;
CMD;23.06.1901 00:00;0;;
CMD;24.06.1901 00:00;8.9;;
CMD;25.06.1901 00:00;0;;
CMD;26.06.1901 00:00;1.3;;
CMD;27.06.1901 00:00;0;;
CMD;28.06.1901 00:00;0;;
CMD;29.06.1901 00:00;7.7;;
CMD;30.06.1901 00:00;22.8;;
CMD;01.07.1901 00:00;9.5;;
CMD;02.07.1901 00:00;20.3;;
CMD;03.07.1901 00:00;0;;
CMD;04.07.1901 00:00;0;;
CMD;05.07.1901 00:00;0;;
CMD;06.07.1901 00:00;0;;
CMD;07.07.1901 00:00;0;;
CMD;08.07.1901 00:00;2.1;;
CMD;09.07.1901 00:00;0;;
CMD;10.07.1901 00:00;0;;
CMD;11.07.1901 00:00;0;;
CMD;12.07.1901 00:00;0;;
CMD;13.07.1901 00:00;4.6;;
CMD;14.07.1901 00:00;7.4;;
CMD;15.07.1901 00:00;2.8;;
CMD;16.07.1901 00:00;0;;
CMD;17.07.1901 00:00;0;;
CMD;18.07.1901 00:00;0;;
CMD;19.07.1901 00:00;3;;
CMD;20.07.1901 00:00;0;;
CMD;21.07.1901 00:00;0;;
CMD;22.07.1901 00:00;7;;
CMD;23.07.1901 00:00;6.9;;
CMD;24.07.1901 00:00;0;;
CMD;25.07.1901 00:00;51.3;;
CMD;26.07.1901 00:00;12.3;;
CMD;27.07.1901 00:00;4.8;;
CMD;28.07.1901 00:00;34.7;;
CMD;29.07.1901 00:00;21.7;;
CMD;30.07.1901 00:00;15;;
CMD;31.07.1901 00:00;48.8;;
CMD;01.08.1901 00:00;0;;
CMD;02.08.1901 00:00;0;;
CMD;03.08.1901 00:00;0;;
CMD;04.08.1901 00:00;0;;
CMD;05.08.1901 00:00;0;;
CMD;06.08.1901 00:00;0;;
CMD;07.08.1901 00:00;0;;
CMD;08.08.1901 00:00;0;;
CMD;09.08.1901 00:00;0;;
CMD;10.08.1901 00:00;0;;
CMD;11.08.1901 00:00;0;;
CMD;12.08.1901 00:00;3.3;;
CMD;13.08.1901 00:00;0;;
CMD;14.08.1901 00:00;0;;
CMD;15.08.1901 00:00;0;;
CMD;16.08.1901 00:00;0;;
CMD;17.08.1901 00:00;0;;
CMD;18.08.1901 00:00;0;;
CMD;19.08.1901 00:00;0;;
CMD;20.08.1901 00:00;0;;
CMD;21.08.1901 00:00;0;;
CMD;22.08.1901 00:00;0;;
CMD;23.08.1901 00:00;0;;
CMD;24.08.1901 00:00;0;;
CMD;25.08.1901 00:00;37.9;;
CMD;26.08.1901 00:00;114;;
CMD;27.08.1901 00:00;0;;
CMD;28.08.1901 00:00;0;;
CMD;29.08.1901 00:00;0;;
CMD;30.08.1901 00:00;0;;
CMD;31.08.1901 00:00;0;;
CMD;01.09.1901 00:00;1.2;;
CMD;02.09.1901 00:00;0;;
CMD;03.09.1901 00:00;0;;
CMD;04.09.1901 00:00;13;;
CMD;05.09.1901 00:00;0;;
CMD;06.09.1901 00:00;0;;
CMD;07.09.1901 00:00;0;;
CMD;08.09.1901 00:00;0;;
CMD;09.09.1901 00:00;0;;
CMD;10.09.1901 00:00;7.2;;
CMD;11.09.1901 00:00;15.7;;
CMD;12.09.1901 00:00;31.5;;
CMD;13.09.1901 00:00;0;;
CMD;14.09.1901 00:00;0;;
CMD;15.09.1901 00:00;2.8;;
CMD;16.09.1901 00:00;0;;
CMD;17.09.1901 00:00;3.3;;
CMD;18.09.1901 00:00;0;;
CMD;19.09.1901 00:00;0;;
CMD;20.09.1901 00:00;0;;
