station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
COG;01.01.1946 00:00;0;;
COG;02.01.1946 00:00;0;;
COG;03.01.1946 00:00;0;;
COG;04.01.1946 00:00;0;;
COG;05.01.1946 00:00;0;;
COG;06.01.1946 00:00;0;;
COG;07.01.1946 00:00;0;;
COG;08.01.1946 00:00;0;;
COG;09.01.1946 00:00;6.7;;
COG;10.01.1946 00:00;27.7;;
COG;11.01.1946 00:00;0.3;;
COG;12.01.1946 00:00;19.6;;
COG;13.01.1946 00:00;6.9;;
COG;14.01.1946 00:00;0;;
COG;15.01.1946 00:00;0;;
COG;16.01.1946 00:00;0;;
COG;17.01.1946 00:00;0;;
COG;18.01.1946 00:00;0.8;;
COG;19.01.1946 00:00;0;;
COG;20.01.1946 00:00;0;;
COG;21.01.1946 00:00;0;;
COG;22.01.1946 00:00;0;;
COG;23.01.1946 00:00;0;;
COG;24.01.1946 00:00;0;;
COG;25.01.1946 00:00;0;;
COG;26.01.1946 00:00;0;;
COG;27.01.1946 00:00;0;;
COG;28.01.1946 00:00;0;;
COG;29.01.1946 00:00;14.2;;
COG;30.01.1946 00:00;13.8;;
COG;31.01.1946 00:00;0;;
COG;01.02.1946 00:00;0;;
COG;02.02.1946 00:00;18.2;;
COG;03.02.1946 00:00;0;;
COG;04.02.1946 00:00;8.8;;
COG;05.02.1946 00:00;12.1;;
COG;06.02.1946 00:00;19.2;;
COG;07.02.1946 00:00;10.6;;
COG;08.02.1946 00:00;13.7;;
COG;09.02.1946 00:00;17.7;;
COG;10.02.1946 00:00;1.3;;
COG;11.02.1946 00:00;1.9;;
COG;12.02.1946 00:00;2.6;;
COG;13.02.1946 00:00;0;;
COG;14.02.1946 00:00;0;;
COG;15.02.1946 00:00;0;;
COG;16.02.1946 00:00;0;;
COG;17.02.1946 00:00;0;;
COG;18.02.1946 00:00;0;;
COG;19.02.1946 00:00;5.1;;
COG;20.02.1946 00:00;6.6;;
COG;21.02.1946 00:00;6.9;;
COG;22.02.1946 00:00;2.4;;
COG;23.02.1946 00:00;6.4;;
COG;24.02.1946 00:00;4.2;;
COG;25.02.1946 00:00;4.9;;
COG;26.02.1946 00:00;0;;
COG;27.02.1946 00:00;0;;
COG;28.02.1946 00:00;0;;
COG;01.03.1946 00:00;3.5;;
COG;02.03.1946 00:00;0.8;;
COG;03.03.1946 00:00;0;;
COG;04.03.1946 00:00;0;;
COG;05.03.1946 00:00;0;;
