station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
COS;01.01.1900 00:00;0;;
COS;02.01.1900 00:00;0;;
COS;03.01.1900 00:00;8;;
COS;04.01.1900 00:00;3;;
COS;05.01.1900 00:00;1;;
COS;06.01.1900 00:00;0;;
COS;07.01.1900 00:00;0;;
COS;08.01.1900 00:00;0;;
COS;09.01.1900 00:00;5.5;;
COS;10.01.1900 00:00;0;;
COS;11.01.1900 00:00;0;;
COS;12.01.1900 00:00;0;;
COS;13.01.1900 00:00;0;;
COS;14.01.1900 00:00;6.5;;
COS;15.01.1900 00:00;0;;
COS;16.01.1900 00:00;11.2;;
COS;17.01.1900 00:00;14.5;;
COS;18.01.1900 00:00;1.5;;
COS;19.01.1900 00:00;0;;
COS;20.01.1900 00:00;0;;
COS;21.01.1900 00:00;0;;
COS;22.01.1900 00:00;0;;
COS;23.01.1900 00:00;0;;
COS;24.01.1900 00:00;11;;
COS;25.01.1900 00:00;3.5;;
COS;26.01.1900 00:00;0;;
COS;27.01.1900 00:00;0;;
COS;28.01.1900 00:00;0;;
COS;29.01.1900 00:00;0;;
COS;30.01.1900 00:00;0;;
COS;31.01.1900 00:00;0;;
COS;01.02.1900 00:00;0;;
COS;02.02.1900 00:00;0;;
COS;03.02.1900 00:00;0;;
COS;04.02.1900 00:00;0;;
COS;05.02.1900 00:00;0;;
COS;06.02.1900 00:00;0;;
COS;07.02.1900 00:00;0;;
COS;08.02.1900 00:00;0;;
COS;09.02.1900 00:00;0;;
COS;10.02.1900 00:00;0;;
COS;11.02.1900 00:00;20;;
COS;12.02.1900 00:00;28;;
COS;13.02.1900 00:00;5;;
COS;14.02.1900 00:00;2;;
COS;15.02.1900 00:00;0;;
COS;16.02.1900 00:00;0;;
COS;17.02.1900 00:00;0;;
COS;18.02.1900 00:00;15;;
COS;19.02.1900 00:00;15.7;;
COS;20.02.1900 00:00;10;;
COS;21.02.1900 00:00;1.5;;
COS;22.02.1900 00:00;0;;
COS;23.02.1900 00:00;0;;
COS;24.02.1900 00:00;0;;
COS;25.02.1900 00:00;0;;
COS;26.02.1900 00:00;12;;
COS;27.02.1900 00:00;1;;
COS;28.02.1900 00:00;0;;
COS;01.05.1900 00:00;0;;
COS;02.05.1900 00:00;0;;
COS;03.05.1900 00:00;0;;
COS;04.05.1900 00:00;0;;
COS;05.05.1900 00:00;0;;
COS;06.05.1900 00:00;0;;
COS;07.05.1900 00:00;18;;
COS;08.05.1900 00:00;1.5;;
COS;09.05.1900 00:00;1.5;;
COS;10.05.1900 00:00;0;;
COS;11.05.1900 00:00;0;;
COS;12.05.1900 00:00;0;;
COS;13.05.1900 00:00;8;;
COS;14.05.1900 00:00;5;;
COS;15.05.1900 00:00;6.5;;
COS;16.05.1900 00:00;0;;
COS;17.05.1900 00:00;0;;
COS;18.05.1900 00:00;0;;
COS;19.05.1900 00:00;0;;
COS;20.05.1900 00:00;0;;
COS;21.05.1900 00:00;0;;
COS;22.05.1900 00:00;0;;
COS;23.05.1900 00:00;12;;
COS;24.05.1900 00:00;13;;
COS;25.05.1900 00:00;7;;
COS;26.05.1900 00:00;4;;
COS;27.05.1900 00:00;0;;
COS;28.05.1900 00:00;0;;
COS;29.05.1900 00:00;0;;
COS;30.05.1900 00:00;0;;
COS;31.05.1900 00:00;0;;
COS;01.06.1900 00:00;0;;
COS;02.06.1900 00:00;0;;
COS;03.06.1900 00:00;0;;
COS;04.06.1900 00:00;0;;
COS;05.06.1900 00:00;0;;
COS;06.06.1900 00:00;20;;
COS;07.06.1900 00:00;0.1;;
COS;08.06.1900 00:00;0;;
COS;09.06.1900 00:00;0;;
COS;10.06.1900 00:00;0;;
COS;11.06.1900 00:00;0;;
COS;12.06.1900 00:00;5;;
COS;13.06.1900 00:00;5;;
COS;14.06.1900 00:00;0;;
COS;15.06.1900 00:00;0;;
COS;16.06.1900 00:00;0;;
COS;17.06.1900 00:00;0;;
COS;18.06.1900 00:00;4;;
COS;19.06.1900 00:00;0;;
COS;20.06.1900 00:00;0;;
COS;21.06.1900 00:00;0;;
COS;22.06.1900 00:00;0;;
COS;23.06.1900 00:00;0;;
COS;24.06.1900 00:00;0;;
COS;25.06.1900 00:00;0;;
COS;26.06.1900 00:00;20.5;;
COS;27.06.1900 00:00;0;;
COS;28.06.1900 00:00;0;;
COS;29.06.1900 00:00;0;;
COS;30.06.1900 00:00;0;;
COS;01.07.1900 00:00;0;;
COS;02.07.1900 00:00;1.5;;
COS;03.07.1900 00:00;14.2;;
COS;04.07.1900 00:00;5;;
COS;05.07.1900 00:00;2.5;;
COS;06.07.1900 00:00;8;;
COS;07.07.1900 00:00;2.2;;
COS;08.07.1900 00:00;0;;
COS;09.07.1900 00:00;0;;
COS;10.07.1900 00:00;0;;
COS;11.07.1900 00:00;0;;
COS;12.07.1900 00:00;0;;
COS;13.07.1900 00:00;0;;
COS;14.07.1900 00:00;0;;
COS;15.07.1900 00:00;0;;
COS;16.07.1900 00:00;0;;
COS;17.07.1900 00:00;0;;
COS;18.07.1900 00:00;0;;
COS;19.07.1900 00:00;0.1;;
COS;20.07.1900 00:00;0;;
COS;21.07.1900 00:00;20;;
COS;22.07.1900 00:00;2;;
COS;23.07.1900 00:00;0;;
COS;24.07.1900 00:00;0;;
COS;25.07.1900 00:00;0;;
COS;26.07.1900 00:00;0;;
COS;27.07.1900 00:00;0.5;;
COS;28.07.1900 00:00;0;;
COS;29.07.1900 00:00;20.5;;
COS;30.07.1900 00:00;0;;
COS;31.07.1900 00:00;0;;
COS;01.08.1900 00:00;0;;
COS;02.08.1900 00:00;0;;
COS;03.08.1900 00:00;0;;
COS;04.08.1900 00:00;0;;
COS;05.08.1900 00:00;0;;
COS;06.08.1900 00:00;45.5;;
COS;07.08.1900 00:00;0;;
COS;08.08.1900 00:00;0;;
COS;09.08.1900 00:00;0;;
COS;10.08.1900 00:00;0;;
COS;11.08.1900 00:00;0;;
COS;12.08.1900 00:00;0;;
COS;13.08.1900 00:00;0;;
COS;14.08.1900 00:00;0;;
COS;15.08.1900 00:00;0;;
COS;16.08.1900 00:00;0;;
COS;17.08.1900 00:00;1.7;;
COS;18.08.1900 00:00;0;;
COS;19.08.1900 00:00;0;;
COS;20.08.1900 00:00;2;;
COS;21.08.1900 00:00;12.2;;
COS;22.08.1900 00:00;23;;
