station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
COU;01.01.1897 00:00;0;;
COU;02.01.1897 00:00;0;;
COU;03.01.1897 00:00;0;;
COU;04.01.1897 00:00;0;;
COU;05.01.1897 00:00;0;;
COU;06.01.1897 00:00;0;;
COU;07.01.1897 00:00;0;;
COU;08.01.1897 00:00;0;;
COU;09.01.1897 00:00;5.6;;
COU;10.01.1897 00:00;0.6;;
COU;11.01.1897 00:00;0.1;;
COU;12.01.1897 00:00;0;;
COU;13.01.1897 00:00;0;;
COU;14.01.1897 00:00;0;;
COU;15.01.1897 00:00;0;;
COU;16.01.1897 00:00;0;;
COU;17.01.1897 00:00;4.1;;
COU;18.01.1897 00:00;0.3;;
COU;19.01.1897 00:00;0;;
COU;20.01.1897 00:00;0;;
COU;21.01.1897 00:00;4.9;;
COU;22.01.1897 00:00;0.2;;
COU;23.01.1897 00:00;0.7;;
COU;24.01.1897 00:00;1;;
COU;25.01.1897 00:00;5.2;;
COU;26.01.1897 00:00;5.9;;
COU;27.01.1897 00:00;2;;
COU;28.01.1897 00:00;2.7;;
COU;29.01.1897 00:00;0.6;;
COU;30.01.1897 00:00;0.7;;
COU;31.01.1897 00:00;0;;
COU;01.02.1897 00:00;43.5;;
COU;02.02.1897 00:00;30.5;;
COU;03.02.1897 00:00;11.7;;
COU;04.02.1897 00:00;0.1;;
COU;05.02.1897 00:00;12.7;;
COU;06.02.1897 00:00;18.7;;
COU;07.02.1897 00:00;3;;
COU;08.02.1897 00:00;0.1;;
COU;09.02.1897 00:00;0.3;;
COU;10.02.1897 00:00;0.6;;
COU;11.02.1897 00:00;5.4;;
COU;12.02.1897 00:00;2.7;;
COU;13.02.1897 00:00;3.8;;
COU;14.02.1897 00:00;10.9;;
COU;15.02.1897 00:00;0.1;;
COU;16.02.1897 00:00;0;;
COU;17.02.1897 00:00;0;;
COU;18.02.1897 00:00;0;;
COU;19.02.1897 00:00;0;;
COU;20.02.1897 00:00;0;;
COU;21.02.1897 00:00;3.1;;
COU;22.02.1897 00:00;2.7;;
COU;23.02.1897 00:00;0;;
COU;24.02.1897 00:00;0;;
COU;25.02.1897 00:00;0;;
COU;26.02.1897 00:00;0;;
COU;27.02.1897 00:00;0;;
COU;28.02.1897 00:00;0;;
COU;01.03.1897 00:00;3.5;;
COU;02.03.1897 00:00;6.7;;
COU;03.03.1897 00:00;13.3;;
COU;04.03.1897 00:00;4.4;;
COU;05.03.1897 00:00;0.6;;
COU;06.03.1897 00:00;0;;
COU;07.03.1897 00:00;1.8;;
COU;08.03.1897 00:00;0.6;;
COU;09.03.1897 00:00;0.6;;
COU;10.03.1897 00:00;7.4;;
COU;11.03.1897 00:00;4;;
COU;12.03.1897 00:00;14.9;;
COU;13.03.1897 00:00;3.8;;
COU;14.03.1897 00:00;0.1;;
COU;15.03.1897 00:00;0;;
COU;16.03.1897 00:00;0.2;;
COU;17.03.1897 00:00;0.7;;
COU;18.03.1897 00:00;3.6;;
COU;19.03.1897 00:00;30;;
COU;20.03.1897 00:00;0;;
COU;21.03.1897 00:00;0.7;;
COU;22.03.1897 00:00;0;;
COU;23.03.1897 00:00;0;;
COU;24.03.1897 00:00;0;;
COU;25.03.1897 00:00;0;;
COU;26.03.1897 00:00;0;;
COU;27.03.1897 00:00;0;;
COU;28.03.1897 00:00;19.7;;
COU;29.03.1897 00:00;10.1;;
COU;30.03.1897 00:00;0.1;;
COU;31.03.1897 00:00;4.6;;
COU;01.04.1897 00:00;20.1;;
COU;02.04.1897 00:00;5.5;;
COU;03.04.1897 00:00;9.1;;
COU;04.04.1897 00:00;23.5;;
COU;05.04.1897 00:00;0.1;;
COU;06.04.1897 00:00;20.9;;
COU;07.04.1897 00:00;11.1;;
COU;08.04.1897 00:00;0.8;;
COU;09.04.1897 00:00;0.1;;
COU;10.04.1897 00:00;2.9;;
COU;11.04.1897 00:00;0.6;;
COU;12.04.1897 00:00;0;;
COU;13.04.1897 00:00;0.7;;
COU;14.04.1897 00:00;0.3;;
COU;15.04.1897 00:00;0.3;;
COU;16.04.1897 00:00;0;;
COU;17.04.1897 00:00;0;;
COU;18.04.1897 00:00;7;;
COU;19.04.1897 00:00;1.1;;
COU;20.04.1897 00:00;11;;
COU;21.04.1897 00:00;0;;
COU;22.04.1897 00:00;5.6;;
COU;23.04.1897 00:00;1.2;;
COU;24.04.1897 00:00;0;;
COU;25.04.1897 00:00;0;;
COU;26.04.1897 00:00;8.2;;
COU;27.04.1897 00:00;0;;
COU;28.04.1897 00:00;5.8;;
COU;29.04.1897 00:00;1.2;;
COU;30.04.1897 00:00;0.3;;
COU;01.05.1897 00:00;1.3;;
COU;02.05.1897 00:00;0;;
COU;03.05.1897 00:00;0;;
COU;04.05.1897 00:00;0;;
COU;05.05.1897 00:00;0.2;;
COU;06.05.1897 00:00;0.1;;
COU;07.05.1897 00:00;0.2;;
COU;08.05.1897 00:00;0;;
COU;09.05.1897 00:00;6.2;;
COU;10.05.1897 00:00;0;;
COU;11.05.1897 00:00;1.8;;
COU;12.05.1897 00:00;0;;
COU;13.05.1897 00:00;2.4;;
COU;14.05.1897 00:00;0.8;;
COU;15.05.1897 00:00;0.5;;
COU;16.05.1897 00:00;0;;
COU;17.05.1897 00:00;0;;
COU;18.05.1897 00:00;0;;
COU;19.05.1897 00:00;0;;
COU;20.05.1897 00:00;5.1;;
COU;21.05.1897 00:00;10.9;;
COU;22.05.1897 00:00;5.8;;
COU;23.05.1897 00:00;0.6;;
COU;24.05.1897 00:00;1.3;;
COU;25.05.1897 00:00;0.1;;
COU;26.05.1897 00:00;0.4;;
COU;27.05.1897 00:00;10.2;;
COU;28.05.1897 00:00;0.4;;
COU;29.05.1897 00:00;0;;
COU;30.05.1897 00:00;0;;
COU;31.05.1897 00:00;0;;
COU;01.06.1897 00:00;0;;
COU;02.06.1897 00:00;2.2;;
COU;03.06.1897 00:00;0.8;;
COU;04.06.1897 00:00;0;;
COU;05.06.1897 00:00;1;;
COU;06.06.1897 00:00;1.8;;
COU;07.06.1897 00:00;0;;
COU;08.06.1897 00:00;15.2;;
COU;09.06.1897 00:00;13;;
COU;10.06.1897 00:00;15.5;;
COU;11.06.1897 00:00;0;;
COU;12.06.1897 00:00;0;;
COU;13.06.1897 00:00;0;;
COU;14.06.1897 00:00;0;;
COU;15.06.1897 00:00;0.5;;
COU;16.06.1897 00:00;5.8;;
COU;17.06.1897 00:00;1.5;;
COU;18.06.1897 00:00;10.6;;
COU;19.06.1897 00:00;0.2;;
COU;20.06.1897 00:00;21;;
COU;21.06.1897 00:00;0;;
COU;22.06.1897 00:00;0;;
COU;23.06.1897 00:00;0;;
COU;24.06.1897 00:00;0;;
COU;25.06.1897 00:00;0;;
COU;26.06.1897 00:00;6.6;;
COU;27.06.1897 00:00;4.4;;
