station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CTA;02.11.1965 00:00;;;0
CTA;03.11.1965 00:00;;;0
CTA;04.11.1965 00:00;;;0
CTA;05.11.1965 00:00;;;0
CTA;06.11.1965 00:00;;;0
CTA;07.11.1965 00:00;;;0
CTA;08.11.1965 00:00;;;0
CTA;09.11.1965 00:00;;;0
CTA;10.11.1965 00:00;;;0
CTA;11.11.1965 00:00;;;0
CTA;12.11.1965 00:00;;;0
CTA;13.11.1965 00:00;;;0
CTA;14.11.1965 00:00;;;0
CTA;15.11.1965 00:00;;;0
CTA;16.11.1965 00:00;;;0
CTA;17.11.1965 00:00;;;0
CTA;18.11.1965 00:00;;;0
CTA;19.11.1965 00:00;;;0
CTA;20.11.1965 00:00;;;0
CTA;21.11.1965 00:00;;;0
CTA;22.11.1965 00:00;;;0
CTA;23.11.1965 00:00;;;0
CTA;24.11.1965 00:00;;;0
CTA;25.11.1965 00:00;;;0
CTA;26.11.1965 00:00;;;0
CTA;27.11.1965 00:00;;;0
CTA;28.11.1965 00:00;;;0
CTA;29.11.1965 00:00;;;0
CTA;30.11.1965 00:00;;;0
CTA;01.12.1965 00:00;;;0
CTA;02.12.1965 00:00;;;0
CTA;03.12.1965 00:00;;;0
CTA;04.12.1965 00:00;;;0
CTA;05.12.1965 00:00;;;2
CTA;06.12.1965 00:00;;;6
CTA;07.12.1965 00:00;;;0
CTA;08.12.1965 00:00;;;0
CTA;09.12.1965 00:00;;;1
CTA;10.12.1965 00:00;;;0
CTA;11.12.1965 00:00;;;0
CTA;12.12.1965 00:00;;;13
CTA;13.12.1965 00:00;;;25
CTA;14.12.1965 00:00;;;22
CTA;15.12.1965 00:00;;;12
CTA;16.12.1965 00:00;;;7
CTA;17.12.1965 00:00;;;4
CTA;18.12.1965 00:00;;;3
CTA;19.12.1965 00:00;;;3
CTA;20.12.1965 00:00;;;0
CTA;21.12.1965 00:00;;;0
CTA;22.12.1965 00:00;;;0
CTA;23.12.1965 00:00;;;0
CTA;24.12.1965 00:00;;;0
CTA;25.12.1965 00:00;;;16
CTA;26.12.1965 00:00;;;37
CTA;27.12.1965 00:00;;;60
CTA;28.12.1965 00:00;;;57
CTA;29.12.1965 00:00;;;56
CTA;30.12.1965 00:00;;;54
CTA;31.12.1965 00:00;;;51
CTA;01.01.1966 00:00;;1;70
CTA;02.01.1966 00:00;;11;73
CTA;03.01.1966 00:00;;17;80
CTA;04.01.1966 00:00;;;85
CTA;05.01.1966 00:00;;0;85
CTA;06.01.1966 00:00;;0;85
CTA;07.01.1966 00:00;;0;83
CTA;08.01.1966 00:00;;0;83
CTA;09.01.1966 00:00;;0;81
CTA;10.01.1966 00:00;;9;81
CTA;11.01.1966 00:00;;5;90
