station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CUE;01.01.1900 00:00;2.7;;
CUE;02.01.1900 00:00;11.7;;
CUE;03.01.1900 00:00;26.8;;
CUE;04.01.1900 00:00;10.4;;
CUE;05.01.1900 00:00;1.6;;
CUE;06.01.1900 00:00;0;;
CUE;07.01.1900 00:00;0;;
CUE;08.01.1900 00:00;0;;
CUE;09.01.1900 00:00;9.3;;
CUE;10.01.1900 00:00;14;;
CUE;11.01.1900 00:00;4.4;;
CUE;12.01.1900 00:00;0;;
CUE;13.01.1900 00:00;0;;
CUE;14.01.1900 00:00;0;;
CUE;15.01.1900 00:00;16;;
CUE;16.01.1900 00:00;23.2;;
CUE;17.01.1900 00:00;28.9;;
CUE;18.01.1900 00:00;9.3;;
CUE;19.01.1900 00:00;2.3;;
CUE;20.01.1900 00:00;0;;
CUE;21.01.1900 00:00;4.8;;
CUE;22.01.1900 00:00;0.9;;
CUE;23.01.1900 00:00;0;;
CUE;24.01.1900 00:00;17.9;;
CUE;25.01.1900 00:00;5.6;;
CUE;26.01.1900 00:00;0;;
CUE;27.01.1900 00:00;10.8;;
CUE;28.01.1900 00:00;0.7;;
CUE;29.01.1900 00:00;0.6;;
CUE;30.01.1900 00:00;2.7;;
CUE;31.01.1900 00:00;0.2;;
CUE;01.02.1900 00:00;0.7;;
CUE;02.02.1900 00:00;3;;
CUE;03.02.1900 00:00;0;;
CUE;04.02.1900 00:00;0;;
CUE;05.02.1900 00:00;0.8;;
CUE;06.02.1900 00:00;0.9;;
CUE;07.02.1900 00:00;0;;
CUE;08.02.1900 00:00;0;;
CUE;09.02.1900 00:00;4.1;;
CUE;10.02.1900 00:00;0;;
CUE;11.02.1900 00:00;3.5;;
CUE;12.02.1900 00:00;55;;
CUE;13.02.1900 00:00;9.8;;
CUE;14.02.1900 00:00;0.4;;
CUE;15.02.1900 00:00;0;;
CUE;16.02.1900 00:00;0;;
CUE;17.02.1900 00:00;0;;
CUE;18.02.1900 00:00;19.7;;
CUE;19.02.1900 00:00;25.2;;
CUE;20.02.1900 00:00;8.3;;
CUE;21.02.1900 00:00;2.3;;
CUE;22.02.1900 00:00;3.9;;
CUE;23.02.1900 00:00;0.2;;
CUE;24.02.1900 00:00;0;;
CUE;25.02.1900 00:00;0;;
CUE;26.02.1900 00:00;14.8;;
CUE;27.02.1900 00:00;9.3;;
CUE;28.02.1900 00:00;4;;
CUE;01.03.1900 00:00;2.9;;
CUE;02.03.1900 00:00;0.6;;
CUE;03.03.1900 00:00;1.5;;
CUE;04.03.1900 00:00;0.5;;
CUE;05.03.1900 00:00;0;;
CUE;06.03.1900 00:00;0;;
CUE;07.03.1900 00:00;0;;
CUE;08.03.1900 00:00;0;;
