station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DAV;01.01.1867 00:00;4.7;;
DAV;02.01.1867 00:00;0.1;;
DAV;03.01.1867 00:00;0.3;;
DAV;04.01.1867 00:00;0;;
DAV;05.01.1867 00:00;0;;
DAV;06.01.1867 00:00;0;;
DAV;07.01.1867 00:00;2.8;;
DAV;08.01.1867 00:00;0;;
DAV;09.01.1867 00:00;5.5;;
DAV;10.01.1867 00:00;0;;
DAV;11.01.1867 00:00;0.6;;
DAV;12.01.1867 00:00;3;;
DAV;13.01.1867 00:00;0.4;;
DAV;14.01.1867 00:00;7.2;;
DAV;15.01.1867 00:00;18.6;;
DAV;16.01.1867 00:00;13.5;;
DAV;17.01.1867 00:00;0;;
DAV;18.01.1867 00:00;0;;
DAV;19.01.1867 00:00;4.1;;
DAV;20.01.1867 00:00;0;;
DAV;21.01.1867 00:00;1.5;;
DAV;22.01.1867 00:00;6.7;;
DAV;23.01.1867 00:00;1.8;;
DAV;24.01.1867 00:00;11.1;;
DAV;25.01.1867 00:00;0;;
DAV;26.01.1867 00:00;0.5;;
DAV;27.01.1867 00:00;6.6;;
DAV;28.01.1867 00:00;26.5;;
DAV;29.01.1867 00:00;2.2;;
DAV;30.01.1867 00:00;0;;
DAV;31.01.1867 00:00;5.5;;
DAV;01.02.1867 00:00;6.6;;
DAV;02.02.1867 00:00;0;;
DAV;03.02.1867 00:00;4.6;;
DAV;04.02.1867 00:00;0;;
DAV;05.02.1867 00:00;0;;
DAV;06.02.1867 00:00;3.5;;
DAV;07.02.1867 00:00;3.3;;
DAV;08.02.1867 00:00;6;;
DAV;09.02.1867 00:00;6;;
DAV;10.02.1867 00:00;1;;
DAV;11.02.1867 00:00;0;;
DAV;12.02.1867 00:00;2.5;;
DAV;13.02.1867 00:00;0;;
DAV;14.02.1867 00:00;0;;
DAV;15.02.1867 00:00;0;;
DAV;16.02.1867 00:00;0;;
DAV;17.02.1867 00:00;0;;
DAV;18.02.1867 00:00;0;;
DAV;19.02.1867 00:00;0;;
DAV;20.02.1867 00:00;0;;
DAV;21.02.1867 00:00;0.1;;
DAV;22.02.1867 00:00;0;;
DAV;23.02.1867 00:00;0;;
DAV;24.02.1867 00:00;0;;
DAV;25.02.1867 00:00;0;;
DAV;26.02.1867 00:00;0;;
DAV;27.02.1867 00:00;8.7;;
DAV;28.02.1867 00:00;12.1;;
DAV;01.03.1867 00:00;0.1;;
DAV;02.03.1867 00:00;0;;
DAV;03.03.1867 00:00;0;;
DAV;04.03.1867 00:00;0;;
DAV;05.03.1867 00:00;0;;
DAV;06.03.1867 00:00;1.4;;
DAV;07.03.1867 00:00;0;;
DAV;08.03.1867 00:00;0;;
DAV;09.03.1867 00:00;0.2;;
DAV;10.03.1867 00:00;6.1;;
DAV;11.03.1867 00:00;2;;
DAV;12.03.1867 00:00;0;;
DAV;13.03.1867 00:00;0.8;;
DAV;14.03.1867 00:00;1.3;;
DAV;15.03.1867 00:00;5.7;;
DAV;16.03.1867 00:00;0;;
DAV;17.03.1867 00:00;3.3;;
DAV;18.03.1867 00:00;0;;
DAV;19.03.1867 00:00;0.2;;
DAV;20.03.1867 00:00;4.1;;
DAV;21.03.1867 00:00;0;;
DAV;22.03.1867 00:00;0;;
DAV;23.03.1867 00:00;0;;
DAV;24.03.1867 00:00;0;;
DAV;25.03.1867 00:00;0;;
DAV;26.03.1867 00:00;0;;
DAV;27.03.1867 00:00;0;;
DAV;28.03.1867 00:00;8.9;;
DAV;29.03.1867 00:00;0;;
DAV;30.03.1867 00:00;0;;
DAV;31.03.1867 00:00;0.1;;
DAV;01.04.1867 00:00;0.5;;
DAV;02.04.1867 00:00;0;;
DAV;03.04.1867 00:00;2.8;;
DAV;04.04.1867 00:00;0.5;;
DAV;05.04.1867 00:00;9.4;;
DAV;06.04.1867 00:00;7.9;;
DAV;07.04.1867 00:00;23.2;;
DAV;08.04.1867 00:00;0.6;;
DAV;09.04.1867 00:00;11.8;;
DAV;10.04.1867 00:00;6.3;;
DAV;11.04.1867 00:00;0;;
DAV;12.04.1867 00:00;0.4;;
DAV;13.04.1867 00:00;0;;
DAV;14.04.1867 00:00;0;;
DAV;15.04.1867 00:00;0;;
DAV;16.04.1867 00:00;12.7;;
DAV;17.04.1867 00:00;18.8;;
DAV;18.04.1867 00:00;2.4;;
DAV;19.04.1867 00:00;0;;
DAV;20.04.1867 00:00;0;;
DAV;21.04.1867 00:00;17.2;;
DAV;22.04.1867 00:00;0;;
DAV;23.04.1867 00:00;0;;
