station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DEH;01.01.1901 00:00;0;;
DEH;02.01.1901 00:00;0;;
DEH;03.01.1901 00:00;0;;
DEH;04.01.1901 00:00;0;;
DEH;05.01.1901 00:00;0;;
DEH;06.01.1901 00:00;0;;
DEH;07.01.1901 00:00;0;;
DEH;08.01.1901 00:00;0;;
DEH;09.01.1901 00:00;0;;
DEH;10.01.1901 00:00;3.4;;
DEH;11.01.1901 00:00;1.7;;
DEH;12.01.1901 00:00;0;;
DEH;13.01.1901 00:00;0;;
DEH;14.01.1901 00:00;0;;
DEH;15.01.1901 00:00;0;;
DEH;16.01.1901 00:00;0;;
DEH;17.01.1901 00:00;0;;
DEH;18.01.1901 00:00;0;;
DEH;19.01.1901 00:00;0;;
DEH;20.01.1901 00:00;7.3;;
DEH;21.01.1901 00:00;4.4;;
DEH;22.01.1901 00:00;0;;
DEH;23.01.1901 00:00;0;;
DEH;24.01.1901 00:00;0;;
DEH;25.01.1901 00:00;3.4;;
DEH;26.01.1901 00:00;9.6;;
DEH;27.01.1901 00:00;11.7;;
DEH;28.01.1901 00:00;10.6;;
DEH;29.01.1901 00:00;9.7;;
DEH;30.01.1901 00:00;3.6;;
DEH;31.01.1901 00:00;0;;
DEH;01.02.1901 00:00;0;;
DEH;02.02.1901 00:00;5.5;;
DEH;03.02.1901 00:00;0;;
DEH;04.02.1901 00:00;0;;
DEH;05.02.1901 00:00;0.8;;
DEH;06.02.1901 00:00;0;;
DEH;07.02.1901 00:00;4.7;;
DEH;08.02.1901 00:00;0.7;;
DEH;09.02.1901 00:00;0;;
DEH;10.02.1901 00:00;0;;
DEH;11.02.1901 00:00;6.9;;
DEH;12.02.1901 00:00;0.5;;
DEH;13.02.1901 00:00;7.5;;
DEH;14.02.1901 00:00;0;;
DEH;15.02.1901 00:00;0;;
DEH;16.02.1901 00:00;8.5;;
DEH;17.02.1901 00:00;14.7;;
DEH;18.02.1901 00:00;4.7;;
DEH;19.02.1901 00:00;1.9;;
DEH;20.02.1901 00:00;0;;
DEH;21.02.1901 00:00;0;;
DEH;22.02.1901 00:00;0;;
DEH;23.02.1901 00:00;0;;
DEH;24.02.1901 00:00;0;;
DEH;25.02.1901 00:00;0.1;;
DEH;26.02.1901 00:00;0;;
DEH;27.02.1901 00:00;0;;
DEH;28.02.1901 00:00;0;;
DEH;01.03.1901 00:00;0;;
DEH;02.03.1901 00:00;0;;
DEH;03.03.1901 00:00;6.9;;
DEH;04.03.1901 00:00;7.3;;
DEH;05.03.1901 00:00;9.8;;
DEH;06.03.1901 00:00;0;;
DEH;07.03.1901 00:00;1.2;;
