station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DEM;14.07.1892 00:00;2.1;;
DEM;15.07.1892 00:00;0.4;;
DEM;16.07.1892 00:00;10.2;;
DEM;17.07.1892 00:00;19.2;;
DEM;18.07.1892 00:00;7.8;;
DEM;19.07.1892 00:00;9.1;;
DEM;20.07.1892 00:00;6;;
DEM;21.07.1892 00:00;12.1;;
DEM;22.07.1892 00:00;0.1;;
DEM;23.07.1892 00:00;0;;
DEM;24.07.1892 00:00;0;;
DEM;25.07.1892 00:00;0;;
DEM;26.07.1892 00:00;0;;
DEM;27.07.1892 00:00;2.1;;
DEM;28.07.1892 00:00;1.1;;
DEM;29.07.1892 00:00;1.1;;
DEM;30.07.1892 00:00;1.5;;
DEM;31.07.1892 00:00;4.4;;
DEM;01.08.1892 00:00;18.4;;
DEM;02.08.1892 00:00;14.5;;
DEM;03.08.1892 00:00;0;;
DEM;04.08.1892 00:00;0;;
DEM;05.08.1892 00:00;0;;
DEM;06.08.1892 00:00;0;;
DEM;07.08.1892 00:00;0;;
DEM;08.08.1892 00:00;0.4;;
DEM;09.08.1892 00:00;0.4;;
DEM;10.08.1892 00:00;21.7;;
DEM;11.08.1892 00:00;0;;
DEM;12.08.1892 00:00;0;;
DEM;13.08.1892 00:00;0;;
DEM;14.08.1892 00:00;0;;
DEM;15.08.1892 00:00;0;;
DEM;16.08.1892 00:00;0;;
DEM;17.08.1892 00:00;0;;
DEM;18.08.1892 00:00;0;;
DEM;19.08.1892 00:00;0;;
DEM;20.08.1892 00:00;8.8;;
DEM;21.08.1892 00:00;0;;
DEM;22.08.1892 00:00;0;;
DEM;23.08.1892 00:00;0;;
DEM;24.08.1892 00:00;0;;
DEM;25.08.1892 00:00;19.4;;
DEM;26.08.1892 00:00;0.5;;
DEM;27.08.1892 00:00;0;;
DEM;28.08.1892 00:00;0;;
DEM;29.08.1892 00:00;0;;
DEM;30.08.1892 00:00;0;;
DEM;31.08.1892 00:00;5.8;;
DEM;01.09.1892 00:00;0;;
DEM;02.09.1892 00:00;0;;
DEM;03.09.1892 00:00;7;;
DEM;04.09.1892 00:00;8.8;;
DEM;05.09.1892 00:00;0.9;;
DEM;06.09.1892 00:00;4.2;;
DEM;07.09.1892 00:00;6.9;;
DEM;08.09.1892 00:00;9.5;;
DEM;09.09.1892 00:00;0;;
DEM;10.09.1892 00:00;0;;
DEM;11.09.1892 00:00;0;;
DEM;12.09.1892 00:00;0;;
DEM;13.09.1892 00:00;0;;
DEM;14.09.1892 00:00;0;;
DEM;15.09.1892 00:00;0;;
DEM;16.09.1892 00:00;0;;
DEM;17.09.1892 00:00;5.4;;
DEM;18.09.1892 00:00;0;;
DEM;19.09.1892 00:00;0;;
DEM;20.09.1892 00:00;1.5;;
DEM;21.09.1892 00:00;19.5;;
DEM;22.09.1892 00:00;7;;
DEM;23.09.1892 00:00;15.6;;
DEM;24.09.1892 00:00;28.8;;
DEM;25.09.1892 00:00;0.1;;
DEM;26.09.1892 00:00;0;;
DEM;27.09.1892 00:00;0.3;;
DEM;28.09.1892 00:00;2;;
DEM;29.09.1892 00:00;1.1;;
DEM;30.09.1892 00:00;0.3;;
DEM;01.10.1892 00:00;6.3;;
DEM;02.10.1892 00:00;1.5;;
DEM;03.10.1892 00:00;0.3;;
DEM;04.10.1892 00:00;0;;
DEM;05.10.1892 00:00;1.8;;
DEM;06.10.1892 00:00;5.2;;
DEM;07.10.1892 00:00;0.1;;
DEM;08.10.1892 00:00;5.8;;
DEM;09.10.1892 00:00;0;;
DEM;10.10.1892 00:00;19.4;;
DEM;11.10.1892 00:00;11.6;;
DEM;12.10.1892 00:00;6.6;;
DEM;13.10.1892 00:00;7.4;;
DEM;14.10.1892 00:00;0;;
DEM;15.10.1892 00:00;0;;
DEM;16.10.1892 00:00;5;;
DEM;17.10.1892 00:00;11.5;;
DEM;18.10.1892 00:00;0;;
DEM;19.10.1892 00:00;0;;
DEM;20.10.1892 00:00;0;;
DEM;21.10.1892 00:00;0;;
DEM;22.10.1892 00:00;4.3;;
DEM;23.10.1892 00:00;0;;
DEM;24.10.1892 00:00;4.2;;
DEM;25.10.1892 00:00;7.1;;
DEM;26.10.1892 00:00;10.3;;
DEM;27.10.1892 00:00;0;;
DEM;28.10.1892 00:00;0;;
DEM;29.10.1892 00:00;0;;
DEM;30.10.1892 00:00;0;;
DEM;31.10.1892 00:00;1.1;;
DEM;01.11.1892 00:00;0;;
DEM;02.11.1892 00:00;0.2;;
DEM;03.11.1892 00:00;2.2;;
DEM;04.11.1892 00:00;0;;
DEM;05.11.1892 00:00;0.2;;
DEM;06.11.1892 00:00;11.4;;
DEM;07.11.1892 00:00;0.2;;
DEM;08.11.1892 00:00;0.1;;
DEM;09.11.1892 00:00;0;;
DEM;10.11.1892 00:00;0;;
DEM;11.11.1892 00:00;0;;
DEM;12.11.1892 00:00;12.2;;
DEM;13.11.1892 00:00;0;;
DEM;14.11.1892 00:00;1.4;;
DEM;15.11.1892 00:00;0.5;;
DEM;16.11.1892 00:00;0.1;;
DEM;17.11.1892 00:00;0;;
DEM;18.11.1892 00:00;1.3;;
DEM;19.11.1892 00:00;7.9;;
DEM;20.11.1892 00:00;1.8;;
DEM;21.11.1892 00:00;0;;
DEM;22.11.1892 00:00;0;;
DEM;23.11.1892 00:00;0;;
DEM;24.11.1892 00:00;0;;
DEM;25.11.1892 00:00;3;;
DEM;26.11.1892 00:00;0;;
DEM;27.11.1892 00:00;0;;
DEM;28.11.1892 00:00;0;;
DEM;29.11.1892 00:00;0;;
DEM;30.11.1892 00:00;0;;
DEM;01.12.1892 00:00;0;;
DEM;02.12.1892 00:00;5.3;;
DEM;03.12.1892 00:00;0.1;;
DEM;04.12.1892 00:00;4.7;;
DEM;05.12.1892 00:00;4;;
DEM;06.12.1892 00:00;3.8;;
DEM;07.12.1892 00:00;0;;
DEM;08.12.1892 00:00;0;;
DEM;09.12.1892 00:00;4.8;;
DEM;10.12.1892 00:00;2;;
DEM;11.12.1892 00:00;1;;
DEM;12.12.1892 00:00;3.4;;
DEM;13.12.1892 00:00;4.5;;
DEM;14.12.1892 00:00;1.4;;
DEM;15.12.1892 00:00;1.1;;
DEM;16.12.1892 00:00;0;;
DEM;17.12.1892 00:00;0;;
DEM;18.12.1892 00:00;0;;
DEM;19.12.1892 00:00;0;;
DEM;20.12.1892 00:00;0;;
DEM;21.12.1892 00:00;0;;
DEM;22.12.1892 00:00;0;;
DEM;23.12.1892 00:00;0;;
DEM;24.12.1892 00:00;0;;
DEM;25.12.1892 00:00;0;;
DEM;26.12.1892 00:00;0;;
DEM;27.12.1892 00:00;0;;
DEM;28.12.1892 00:00;0;;
DEM;29.12.1892 00:00;0;;
DEM;30.12.1892 00:00;0;;
DEM;31.12.1892 00:00;0;;
DEM;01.01.1893 00:00;0;;
DEM;02.01.1893 00:00;0;;
DEM;03.01.1893 00:00;0.5;;
DEM;04.01.1893 00:00;0;;
DEM;05.01.1893 00:00;0;;
DEM;06.01.1893 00:00;0;;
DEM;07.01.1893 00:00;0;;
DEM;08.01.1893 00:00;0;;
DEM;09.01.1893 00:00;0;;
DEM;10.01.1893 00:00;5;;
DEM;11.01.1893 00:00;0;;
