station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DIB;02.11.1960 00:00;;;0
DIB;03.11.1960 00:00;;;0
DIB;04.11.1960 00:00;;;0
DIB;05.11.1960 00:00;;;0
DIB;06.11.1960 00:00;;;0
DIB;07.11.1960 00:00;;;3
DIB;08.11.1960 00:00;;;4
DIB;09.11.1960 00:00;;;4
DIB;10.11.1960 00:00;;;3
DIB;11.11.1960 00:00;;;4
DIB;12.11.1960 00:00;;;1
DIB;13.11.1960 00:00;;;2
DIB;14.11.1960 00:00;;;9
DIB;15.11.1960 00:00;;;7
DIB;16.11.1960 00:00;;;5
DIB;17.11.1960 00:00;;;5
DIB;18.11.1960 00:00;;;5
DIB;19.11.1960 00:00;;;3
DIB;20.11.1960 00:00;;;6
DIB;21.11.1960 00:00;;;26
DIB;22.11.1960 00:00;;;20
DIB;23.11.1960 00:00;;;11
DIB;24.11.1960 00:00;;;9
DIB;25.11.1960 00:00;;;9
DIB;26.11.1960 00:00;;;7
DIB;27.11.1960 00:00;;;5
DIB;28.11.1960 00:00;;;5
DIB;29.11.1960 00:00;;;5
DIB;30.11.1960 00:00;;;21
DIB;01.12.1960 00:00;;;20
DIB;02.12.1960 00:00;;;16
DIB;03.12.1960 00:00;;;15
DIB;04.12.1960 00:00;;;13
DIB;05.12.1960 00:00;;;12
DIB;06.12.1960 00:00;;;10
DIB;07.12.1960 00:00;;;12
DIB;08.12.1960 00:00;;;15
DIB;09.12.1960 00:00;;;12
DIB;10.12.1960 00:00;;;11
DIB;11.12.1960 00:00;;;16
DIB;12.12.1960 00:00;;;16
DIB;13.12.1960 00:00;;;16
DIB;14.12.1960 00:00;;;15
DIB;15.12.1960 00:00;;;15
DIB;16.12.1960 00:00;;;14
DIB;17.12.1960 00:00;;;14
DIB;18.12.1960 00:00;;;14
DIB;19.12.1960 00:00;;;10
DIB;20.12.1960 00:00;;;11
DIB;21.12.1960 00:00;;;11
DIB;22.12.1960 00:00;;;18
DIB;23.12.1960 00:00;;;17
DIB;24.12.1960 00:00;;;17
DIB;25.12.1960 00:00;;;15
DIB;26.12.1960 00:00;;;15
DIB;27.12.1960 00:00;;;14
DIB;28.12.1960 00:00;;;14
DIB;29.12.1960 00:00;;;31
DIB;30.12.1960 00:00;;;32
DIB;31.12.1960 00:00;;;30
DIB;01.01.1961 00:00;3.6;10;28
DIB;02.01.1961 00:00;2.3;5;28
DIB;03.01.1961 00:00;39.2;15;33
DIB;04.01.1961 00:00;4.8;;30
DIB;05.01.1961 00:00;0;0;40
DIB;06.01.1961 00:00;12.5;16;41
DIB;07.01.1961 00:00;2;4;30
DIB;08.01.1961 00:00;6;;39
DIB;09.01.1961 00:00;8;25;38
DIB;10.01.1961 00:00;0;0;36
DIB;11.01.1961 00:00;0;0;49
DIB;12.01.1961 00:00;0;0;47
DIB;13.01.1961 00:00;0;0;46
DIB;14.01.1961 00:00;0;0;48
DIB;15.01.1961 00:00;0;0;47
DIB;16.01.1961 00:00;0;0;47
DIB;17.01.1961 00:00;0;0;48
DIB;18.01.1961 00:00;0;0;50
DIB;19.01.1961 00:00;0;0;51
DIB;20.01.1961 00:00;0;0;52
DIB;21.01.1961 00:00;0;0;54
DIB;22.01.1961 00:00;0;0;55
DIB;23.01.1961 00:00;16;20;55
DIB;24.01.1961 00:00;13.8;18;60
DIB;25.01.1961 00:00;5;;71
DIB;26.01.1961 00:00;0;0;87
DIB;27.01.1961 00:00;0;0;83
DIB;28.01.1961 00:00;8.6;10;80
DIB;29.01.1961 00:00;0;;77
DIB;30.01.1961 00:00;17.4;;83
DIB;31.01.1961 00:00;29.4;;80
DIB;01.02.1961 00:00;10;20;75
DIB;02.02.1961 00:00;58;50;74
DIB;03.02.1961 00:00;29.8;45;85
DIB;04.02.1961 00:00;24;12;110
DIB;05.02.1961 00:00;15;;128
DIB;06.02.1961 00:00;11;0;126
DIB;07.02.1961 00:00;12.4;18;113
DIB;08.02.1961 00:00;0;0;109
DIB;09.02.1961 00:00;6;;110
DIB;10.02.1961 00:00;0;0;101
DIB;11.02.1961 00:00;16.4;0;95
DIB;12.02.1961 00:00;19.8;10;87
DIB;13.02.1961 00:00;0;0;85
DIB;14.02.1961 00:00;0;0;92
DIB;15.02.1961 00:00;0;0;86
DIB;16.02.1961 00:00;0;0;83
DIB;17.02.1961 00:00;0;0;81
DIB;18.02.1961 00:00;0;0;80
DIB;19.02.1961 00:00;0;0;78
DIB;20.02.1961 00:00;0;0;77
DIB;21.02.1961 00:00;0;0;76
DIB;22.02.1961 00:00;0;0;76
DIB;23.02.1961 00:00;0;0;75
DIB;24.02.1961 00:00;0;0;77
DIB;25.02.1961 00:00;0;0;76
DIB;26.02.1961 00:00;0;0;75
DIB;27.02.1961 00:00;0;0;73
DIB;28.02.1961 00:00;22.6;22;72
DIB;01.03.1961 00:00;4.8;;70
DIB;02.03.1961 00:00;0;0;85
DIB;03.03.1961 00:00;0;0;84
DIB;04.03.1961 00:00;0;0;78
DIB;05.03.1961 00:00;0;0;76
DIB;06.03.1961 00:00;0;0;74
DIB;07.03.1961 00:00;0;0;72
DIB;08.03.1961 00:00;0;0;69
DIB;09.03.1961 00:00;0;0;68
DIB;10.03.1961 00:00;0;0;65
DIB;11.03.1961 00:00;0;0;63
DIB;12.03.1961 00:00;0;0;60
DIB;13.03.1961 00:00;0;0;58
DIB;14.03.1961 00:00;0;0;54
DIB;15.03.1961 00:00;0;0;53
DIB;16.03.1961 00:00;0;0;50
DIB;17.03.1961 00:00;0;0;46
DIB;18.03.1961 00:00;31.2;10;42
DIB;19.03.1961 00:00;16.8;20;39
DIB;20.03.1961 00:00;0;0;49
DIB;21.03.1961 00:00;7;18;48
DIB;22.03.1961 00:00;0;0;40
DIB;23.03.1961 00:00;0;0;50
DIB;24.03.1961 00:00;0;0;41
DIB;25.03.1961 00:00;0;0;38
DIB;26.03.1961 00:00;0;0;35
DIB;27.03.1961 00:00;0;0;30
DIB;28.03.1961 00:00;0;0;27
DIB;29.03.1961 00:00;0;0;24
DIB;30.03.1961 00:00;5.4;0;21
DIB;31.03.1961 00:00;3.2;;18
DIB;01.04.1961 00:00;4.2;;15
DIB;02.04.1961 00:00;2;;13
DIB;03.04.1961 00:00;0;0;10
DIB;04.04.1961 00:00;0;0;8
DIB;05.04.1961 00:00;0;0;6
DIB;06.04.1961 00:00;0;0;5
DIB;07.04.1961 00:00;0;0;3
DIB;08.04.1961 00:00;1;;0
DIB;09.04.1961 00:00;0;0;0
DIB;10.04.1961 00:00;4.4;;0
DIB;11.04.1961 00:00;3.2;;0
DIB;12.04.1961 00:00;0;0;0
DIB;13.04.1961 00:00;0;0;0
DIB;14.04.1961 00:00;12.4;;0
DIB;15.04.1961 00:00;7.5;5;0
DIB;16.04.1961 00:00;0;0;0
DIB;17.04.1961 00:00;7.2;;5
DIB;18.04.1961 00:00;5.6;;0
DIB;19.04.1961 00:00;0;0;0
DIB;20.04.1961 00:00;0;0;0
DIB;21.04.1961 00:00;5.4;;0
DIB;22.04.1961 00:00;7.3;;0
DIB;23.04.1961 00:00;31.6;7;0
DIB;24.04.1961 00:00;0;0;0
DIB;25.04.1961 00:00;10.4;;9
DIB;26.04.1961 00:00;17;;8
DIB;27.04.1961 00:00;0;0;5
DIB;28.04.1961 00:00;2.6;;3
DIB;29.04.1961 00:00;15.8;;0
DIB;30.04.1961 00:00;2.8;;0
DIB;01.05.1961 00:00;0.4;;0
DIB;02.05.1961 00:00;0;0;
DIB;03.05.1961 00:00;4.7;;
DIB;04.05.1961 00:00;0;0;
DIB;05.05.1961 00:00;3.8;;
DIB;06.05.1961 00:00;4.1;;
DIB;07.05.1961 00:00;0;0;
DIB;08.05.1961 00:00;0;0;
DIB;09.05.1961 00:00;6.6;;
DIB;10.05.1961 00:00;2.7;;
DIB;11.05.1961 00:00;2;;
DIB;12.05.1961 00:00;0;0;
DIB;13.05.1961 00:00;0;0;
DIB;14.05.1961 00:00;0;0;
DIB;15.05.1961 00:00;0;0;
DIB;16.05.1961 00:00;0;0;
DIB;17.05.1961 00:00;0;;
DIB;18.05.1961 00:00;6.4;;
DIB;19.05.1961 00:00;1.2;;
DIB;20.05.1961 00:00;12.8;;
DIB;21.05.1961 00:00;3.7;0;
DIB;22.05.1961 00:00;0;;
DIB;23.05.1961 00:00;15.4;0;
DIB;24.05.1961 00:00;0;0;
DIB;25.05.1961 00:00;3.6;;
DIB;26.05.1961 00:00;3.5;;
DIB;27.05.1961 00:00;12.8;;
DIB;28.05.1961 00:00;16.8;11;
DIB;29.05.1961 00:00;0;0;
DIB;30.05.1961 00:00;0;0;
DIB;31.05.1961 00:00;0;0;
DIB;01.06.1961 00:00;5.4;;
DIB;02.06.1961 00:00;3.8;;
DIB;03.06.1961 00:00;4.9;;
DIB;04.06.1961 00:00;0;;
DIB;05.06.1961 00:00;2;;
DIB;06.06.1961 00:00;4.7;;
DIB;07.06.1961 00:00;0;;
DIB;08.06.1961 00:00;0;;
DIB;09.06.1961 00:00;30.4;;
DIB;10.06.1961 00:00;0;;
DIB;11.06.1961 00:00;0;;
DIB;12.06.1961 00:00;2.7;;
DIB;13.06.1961 00:00;7;;
DIB;14.06.1961 00:00;0;;
DIB;15.06.1961 00:00;0;;
DIB;16.06.1961 00:00;0;;
DIB;17.06.1961 00:00;0;;
DIB;18.06.1961 00:00;0;;
DIB;19.06.1961 00:00;0;;
DIB;20.06.1961 00:00;0;;
DIB;21.06.1961 00:00;6.6;;
DIB;22.06.1961 00:00;7.2;;
DIB;23.06.1961 00:00;0;;
DIB;24.06.1961 00:00;0;;
DIB;25.06.1961 00:00;0;;
DIB;26.06.1961 00:00;6.5;;
DIB;27.06.1961 00:00;14.6;;
DIB;28.06.1961 00:00;0;;
DIB;29.06.1961 00:00;0;;
DIB;30.06.1961 00:00;4.5;;
DIB;01.07.1961 00:00;0;;
DIB;02.07.1961 00:00;4;;
