station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DIE;01.06.1879 00:00;2.2;;
DIE;02.06.1879 00:00;0.1;;
DIE;03.06.1879 00:00;1.2;;
DIE;04.06.1879 00:00;0.7;;
DIE;05.06.1879 00:00;0;;
DIE;06.06.1879 00:00;0.1;;
DIE;07.06.1879 00:00;0;;
DIE;08.06.1879 00:00;4.5;;
DIE;09.06.1879 00:00;0.1;;
DIE;10.06.1879 00:00;0.1;;
DIE;11.06.1879 00:00;0.1;;
DIE;12.06.1879 00:00;10.7;;
DIE;13.06.1879 00:00;0.5;;
DIE;14.06.1879 00:00;0.1;;
DIE;15.06.1879 00:00;0;;
DIE;16.06.1879 00:00;10;;
DIE;17.06.1879 00:00;2.5;;
DIE;18.06.1879 00:00;0.7;;
DIE;19.06.1879 00:00;3.4;;
DIE;20.06.1879 00:00;0;;
DIE;21.06.1879 00:00;0;;
DIE;22.06.1879 00:00;0.1;;
DIE;23.06.1879 00:00;1.7;;
DIE;24.06.1879 00:00;27.4;;
DIE;25.06.1879 00:00;15.3;;
DIE;26.06.1879 00:00;0;;
DIE;27.06.1879 00:00;0;;
DIE;28.06.1879 00:00;0;;
DIE;29.06.1879 00:00;3.8;;
DIE;30.06.1879 00:00;0;;
DIE;01.07.1879 00:00;2.6;;
DIE;02.07.1879 00:00;6.6;;
DIE;03.07.1879 00:00;0.4;;
DIE;04.07.1879 00:00;0.9;;
DIE;05.07.1879 00:00;2.5;;
DIE;06.07.1879 00:00;5;;
DIE;07.07.1879 00:00;1;;
DIE;08.07.1879 00:00;8.2;;
DIE;09.07.1879 00:00;1.7;;
DIE;10.07.1879 00:00;6.8;;
DIE;11.07.1879 00:00;0.6;;
DIE;12.07.1879 00:00;0.2;;
DIE;13.07.1879 00:00;2.5;;
DIE;14.07.1879 00:00;10.2;;
DIE;15.07.1879 00:00;6.2;;
DIE;16.07.1879 00:00;0.3;;
DIE;17.07.1879 00:00;3;;
DIE;18.07.1879 00:00;0;;
DIE;19.07.1879 00:00;0;;
DIE;20.07.1879 00:00;6.2;;
DIE;21.07.1879 00:00;0;;
DIE;22.07.1879 00:00;2.6;;
DIE;23.07.1879 00:00;0.5;;
DIE;24.07.1879 00:00;0;;
DIE;25.07.1879 00:00;0;;
DIE;26.07.1879 00:00;8.7;;
DIE;27.07.1879 00:00;2.1;;
DIE;28.07.1879 00:00;0;;
DIE;29.07.1879 00:00;0;;
DIE;30.07.1879 00:00;0;;
DIE;31.07.1879 00:00;0;;
DIE;01.08.1879 00:00;0;;
DIE;02.08.1879 00:00;0;;
DIE;03.08.1879 00:00;0.1;;
DIE;04.08.1879 00:00;4.1;;
DIE;05.08.1879 00:00;15.2;;
DIE;06.08.1879 00:00;2;;
DIE;07.08.1879 00:00;0;;
DIE;08.08.1879 00:00;2.6;;
DIE;09.08.1879 00:00;22;;
DIE;10.08.1879 00:00;0;;
DIE;11.08.1879 00:00;0;;
DIE;12.08.1879 00:00;0;;
DIE;13.08.1879 00:00;0;;
DIE;14.08.1879 00:00;0;;
DIE;15.08.1879 00:00;0;;
DIE;16.08.1879 00:00;7.1;;
DIE;17.08.1879 00:00;0;;
DIE;18.08.1879 00:00;6.9;;
DIE;19.08.1879 00:00;0.3;;
DIE;20.08.1879 00:00;0;;
DIE;21.08.1879 00:00;0.2;;
DIE;22.08.1879 00:00;7.5;;
DIE;23.08.1879 00:00;1.6;;
DIE;24.08.1879 00:00;0;;
DIE;25.08.1879 00:00;0;;
DIE;26.08.1879 00:00;3.1;;
DIE;27.08.1879 00:00;0;;
DIE;28.08.1879 00:00;0;;
DIE;29.08.1879 00:00;0;;
DIE;30.08.1879 00:00;5.2;;
DIE;31.08.1879 00:00;8.8;;
DIE;01.09.1879 00:00;0.1;;
DIE;02.09.1879 00:00;0;;
DIE;03.09.1879 00:00;0;;
DIE;04.09.1879 00:00;0;;
DIE;05.09.1879 00:00;0.2;;
DIE;06.09.1879 00:00;39.7;;
DIE;07.09.1879 00:00;0;;
DIE;08.09.1879 00:00;14.7;;
DIE;09.09.1879 00:00;20.3;;
DIE;10.09.1879 00:00;0;;
DIE;11.09.1879 00:00;0;;
DIE;12.09.1879 00:00;0.1;;
DIE;13.09.1879 00:00;0.2;;
DIE;14.09.1879 00:00;0.1;;
DIE;15.09.1879 00:00;0;;
DIE;16.09.1879 00:00;0;;
DIE;17.09.1879 00:00;1.5;;
DIE;18.09.1879 00:00;0;;
DIE;19.09.1879 00:00;0.1;;
DIE;20.09.1879 00:00;2.2;;
DIE;21.09.1879 00:00;0;;
