station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DIS;01.01.1959 00:00;0;;
DIS;02.01.1959 00:00;0;;
DIS;03.01.1959 00:00;3.4;;
DIS;04.01.1959 00:00;10;;
DIS;05.01.1959 00:00;0;;
DIS;06.01.1959 00:00;15.1;;
DIS;07.01.1959 00:00;3;;
DIS;08.01.1959 00:00;13.9;;
DIS;09.01.1959 00:00;8.9;;
DIS;10.01.1959 00:00;7.4;;
DIS;11.01.1959 00:00;1;;
DIS;12.01.1959 00:00;0.8;;
DIS;13.01.1959 00:00;0.8;;
DIS;14.01.1959 00:00;3.9;;
DIS;15.01.1959 00:00;0.4;;
DIS;16.01.1959 00:00;3.5;;
DIS;17.01.1959 00:00;0;;
DIS;18.01.1959 00:00;0;;
DIS;19.01.1959 00:00;0;;
DIS;20.01.1959 00:00;0;;
DIS;21.01.1959 00:00;0;;
DIS;22.01.1959 00:00;0;;
DIS;23.01.1959 00:00;1.5;;
DIS;24.01.1959 00:00;0;;
DIS;25.01.1959 00:00;0;;
DIS;26.01.1959 00:00;0;;
DIS;27.01.1959 00:00;0;;
DIS;28.01.1959 00:00;0;;
DIS;29.01.1959 00:00;0;;
DIS;30.01.1959 00:00;0;;
DIS;31.01.1959 00:00;4.3;;
DIS;01.02.1959 00:00;1.7;;
DIS;02.02.1959 00:00;0;;
DIS;03.02.1959 00:00;0;;
DIS;04.02.1959 00:00;0;;
DIS;05.02.1959 00:00;0;;
DIS;06.02.1959 00:00;0;;
DIS;07.02.1959 00:00;0;;
DIS;08.02.1959 00:00;0;;
DIS;09.02.1959 00:00;0;;
DIS;10.02.1959 00:00;0;;
DIS;11.02.1959 00:00;0;;
DIS;12.02.1959 00:00;0;;
DIS;13.02.1959 00:00;0;;
DIS;14.02.1959 00:00;0;;
DIS;15.02.1959 00:00;0;;
DIS;16.02.1959 00:00;0;;
DIS;17.02.1959 00:00;0;;
DIS;18.02.1959 00:00;0;;
DIS;19.02.1959 00:00;0;;
DIS;20.02.1959 00:00;0;;
DIS;21.02.1959 00:00;11.5;;
DIS;22.02.1959 00:00;3.5;;
DIS;23.02.1959 00:00;0;;
DIS;24.02.1959 00:00;0;;
DIS;25.02.1959 00:00;0;;
DIS;26.02.1959 00:00;0;;
DIS;27.02.1959 00:00;0;;
DIS;28.02.1959 00:00;0;;
DIS;01.03.1959 00:00;0;;
DIS;02.03.1959 00:00;0;;
DIS;03.03.1959 00:00;0;;
DIS;04.03.1959 00:00;0.2;;
DIS;05.03.1959 00:00;0;;
DIS;06.03.1959 00:00;0.3;;
DIS;07.03.1959 00:00;12.5;;
DIS;08.03.1959 00:00;0.3;;
DIS;09.03.1959 00:00;0;;
DIS;10.03.1959 00:00;0;;
DIS;11.03.1959 00:00;0;;
DIS;12.03.1959 00:00;1.5;;
DIS;13.03.1959 00:00;2.4;;
DIS;14.03.1959 00:00;0.1;;
DIS;15.03.1959 00:00;0;;
DIS;16.03.1959 00:00;2;;
DIS;17.03.1959 00:00;0;;
DIS;18.03.1959 00:00;0;;
DIS;19.03.1959 00:00;0;;
DIS;20.03.1959 00:00;0;;
DIS;21.03.1959 00:00;0;;
DIS;22.03.1959 00:00;0;;
DIS;23.03.1959 00:00;0;;
DIS;24.03.1959 00:00;0;;
DIS;25.03.1959 00:00;12.8;;
DIS;26.03.1959 00:00;0.4;;
DIS;27.03.1959 00:00;0;;
DIS;28.03.1959 00:00;1.7;;
DIS;29.03.1959 00:00;2.5;;
DIS;30.03.1959 00:00;11.8;;
DIS;31.03.1959 00:00;0.1;;
DIS;01.04.1959 00:00;0;;
DIS;02.04.1959 00:00;0;;
DIS;03.04.1959 00:00;0;;
DIS;04.04.1959 00:00;0;;
DIS;05.04.1959 00:00;0;;
DIS;06.04.1959 00:00;0.5;;
DIS;07.04.1959 00:00;4.2;;
DIS;08.04.1959 00:00;2.4;;
DIS;09.04.1959 00:00;17.2;;
DIS;10.04.1959 00:00;2.5;;
DIS;11.04.1959 00:00;0;;
DIS;12.04.1959 00:00;0;;
DIS;13.04.1959 00:00;0;;
DIS;14.04.1959 00:00;0;;
DIS;15.04.1959 00:00;0;;
DIS;16.04.1959 00:00;15.7;;
DIS;17.04.1959 00:00;6.6;;
DIS;18.04.1959 00:00;6.9;;
DIS;19.04.1959 00:00;7.3;;
DIS;20.04.1959 00:00;0.2;;
DIS;21.04.1959 00:00;0;;
DIS;22.04.1959 00:00;0;;
DIS;23.04.1959 00:00;0;;
DIS;24.04.1959 00:00;0;;
DIS;25.04.1959 00:00;0;;
DIS;26.04.1959 00:00;0;;
DIS;27.04.1959 00:00;3.1;;
DIS;28.04.1959 00:00;0;;
DIS;29.04.1959 00:00;24.4;;
DIS;30.04.1959 00:00;5.4;;
DIS;01.05.1959 00:00;17.1;;
DIS;02.05.1959 00:00;1.2;;
DIS;03.05.1959 00:00;0.6;;
DIS;04.05.1959 00:00;0;;
DIS;05.05.1959 00:00;0;;
DIS;06.05.1959 00:00;0;;
DIS;07.05.1959 00:00;0;;
DIS;08.05.1959 00:00;0;;
DIS;09.05.1959 00:00;0;;
DIS;10.05.1959 00:00;0;;
DIS;11.05.1959 00:00;0;;
DIS;12.05.1959 00:00;0.1;;
DIS;13.05.1959 00:00;0;;
DIS;14.05.1959 00:00;16.9;;
DIS;15.05.1959 00:00;0.7;;
DIS;16.05.1959 00:00;0;;
DIS;17.05.1959 00:00;0;;
DIS;18.05.1959 00:00;0;;
DIS;19.05.1959 00:00;0;;
DIS;20.05.1959 00:00;0;;
DIS;21.05.1959 00:00;0;;
DIS;22.05.1959 00:00;1.2;;
DIS;23.05.1959 00:00;0;;
DIS;24.05.1959 00:00;2.8;;
DIS;25.05.1959 00:00;0.6;;
DIS;26.05.1959 00:00;0;;
DIS;27.05.1959 00:00;0;;
DIS;28.05.1959 00:00;0;;
DIS;29.05.1959 00:00;0.2;;
DIS;30.05.1959 00:00;0;;
DIS;31.05.1959 00:00;0;;
DIS;01.06.1959 00:00;0;;
DIS;02.06.1959 00:00;0;;
DIS;03.06.1959 00:00;0;;
DIS;04.06.1959 00:00;0;;
DIS;05.06.1959 00:00;4.7;;
DIS;06.06.1959 00:00;0;;
DIS;07.06.1959 00:00;0;;
DIS;08.06.1959 00:00;2.1;;
DIS;09.06.1959 00:00;1.1;;
DIS;10.06.1959 00:00;3.8;;
DIS;11.06.1959 00:00;2.2;;
DIS;12.06.1959 00:00;0.5;;
DIS;13.06.1959 00:00;4.5;;
DIS;14.06.1959 00:00;0.2;;
DIS;15.06.1959 00:00;0;;
DIS;16.06.1959 00:00;0;;
DIS;17.06.1959 00:00;0.4;;
DIS;18.06.1959 00:00;0;;
DIS;19.06.1959 00:00;3.1;;
DIS;20.06.1959 00:00;7.5;;
DIS;21.06.1959 00:00;1.3;;
DIS;22.06.1959 00:00;0.2;;
DIS;23.06.1959 00:00;0;;
DIS;24.06.1959 00:00;0.7;;
DIS;25.06.1959 00:00;0.7;;
DIS;26.06.1959 00:00;13.3;;
DIS;27.06.1959 00:00;0.6;;
DIS;28.06.1959 00:00;7;;
DIS;29.06.1959 00:00;19.6;;
DIS;30.06.1959 00:00;10;;
DIS;01.07.1959 00:00;5.5;;
DIS;02.07.1959 00:00;0;;
DIS;03.07.1959 00:00;0;;
DIS;04.07.1959 00:00;0;;
DIS;05.07.1959 00:00;0;;
DIS;06.07.1959 00:00;10.4;;
DIS;07.07.1959 00:00;0;;
DIS;08.07.1959 00:00;0;;
DIS;09.07.1959 00:00;0;;
DIS;10.07.1959 00:00;17.4;;
DIS;11.07.1959 00:00;0.6;;
DIS;12.07.1959 00:00;4.6;;
DIS;13.07.1959 00:00;0;;
DIS;14.07.1959 00:00;19.7;;
DIS;15.07.1959 00:00;0.7;;
DIS;16.07.1959 00:00;0;;
DIS;17.07.1959 00:00;0;;
DIS;18.07.1959 00:00;0;;
DIS;19.07.1959 00:00;0;;
DIS;20.07.1959 00:00;0.1;;
DIS;21.07.1959 00:00;0;;
DIS;22.07.1959 00:00;0;;
DIS;23.07.1959 00:00;8.3;;
DIS;24.07.1959 00:00;1.1;;
DIS;25.07.1959 00:00;0;;
DIS;26.07.1959 00:00;0;;
DIS;27.07.1959 00:00;0;;
DIS;28.07.1959 00:00;9.5;;
DIS;29.07.1959 00:00;3.2;;
DIS;30.07.1959 00:00;4.1;;
DIS;31.07.1959 00:00;2.6;;
DIS;01.08.1959 00:00;0;;
DIS;02.08.1959 00:00;5.3;;
DIS;03.08.1959 00:00;0;;
DIS;04.08.1959 00:00;1.9;;
DIS;05.08.1959 00:00;0;;
DIS;06.08.1959 00:00;0;;
DIS;07.08.1959 00:00;0;;
DIS;08.08.1959 00:00;2.6;;
DIS;09.08.1959 00:00;0.3;;
DIS;10.08.1959 00:00;11.3;;
DIS;11.08.1959 00:00;1.1;;
DIS;12.08.1959 00:00;0;;
DIS;13.08.1959 00:00;0;;
DIS;14.08.1959 00:00;14;;
DIS;15.08.1959 00:00;9.6;;
DIS;16.08.1959 00:00;0;;
DIS;17.08.1959 00:00;0;;
DIS;18.08.1959 00:00;0;;
DIS;19.08.1959 00:00;0;;
DIS;20.08.1959 00:00;0;;
DIS;21.08.1959 00:00;1.5;;
DIS;22.08.1959 00:00;7.9;;
DIS;23.08.1959 00:00;3.9;;
DIS;24.08.1959 00:00;0.4;;
DIS;25.08.1959 00:00;0;;
DIS;26.08.1959 00:00;0;;
DIS;27.08.1959 00:00;0;;
DIS;28.08.1959 00:00;0;;
DIS;29.08.1959 00:00;0;;
DIS;30.08.1959 00:00;0;;
DIS;31.08.1959 00:00;0;;
DIS;01.09.1959 00:00;0;;
DIS;02.09.1959 00:00;0;;
DIS;03.09.1959 00:00;0;;
DIS;04.09.1959 00:00;0;;
DIS;05.09.1959 00:00;0;;
DIS;06.09.1959 00:00;0;;
DIS;07.09.1959 00:00;0;;
DIS;08.09.1959 00:00;0;;
DIS;09.09.1959 00:00;0;;
DIS;10.09.1959 00:00;0;;
DIS;11.09.1959 00:00;0;;
DIS;12.09.1959 00:00;0;;
DIS;13.09.1959 00:00;0;;
DIS;14.09.1959 00:00;0;;
DIS;15.09.1959 00:00;0;;
DIS;16.09.1959 00:00;12.2;;
DIS;17.09.1959 00:00;1.2;;
DIS;18.09.1959 00:00;0;;
DIS;19.09.1959 00:00;0;;
DIS;20.09.1959 00:00;0;;
DIS;21.09.1959 00:00;0;;
DIS;22.09.1959 00:00;0;;
DIS;23.09.1959 00:00;0;;
DIS;24.09.1959 00:00;0.5;;
DIS;25.09.1959 00:00;0.6;;
DIS;26.09.1959 00:00;4.4;;
DIS;27.09.1959 00:00;0.5;;
DIS;28.09.1959 00:00;0;;
DIS;29.09.1959 00:00;0;;
DIS;30.09.1959 00:00;0;;
DIS;01.10.1959 00:00;0;;
DIS;02.10.1959 00:00;0;;
DIS;03.10.1959 00:00;0;;
DIS;04.10.1959 00:00;0;;
DIS;05.10.1959 00:00;0;;
DIS;06.10.1959 00:00;0;;
DIS;07.10.1959 00:00;0;;
DIS;08.10.1959 00:00;0;;
DIS;09.10.1959 00:00;0;;
DIS;10.10.1959 00:00;1.6;;
DIS;11.10.1959 00:00;4.8;;
DIS;12.10.1959 00:00;0;;
DIS;13.10.1959 00:00;0;;
DIS;14.10.1959 00:00;0;;
DIS;15.10.1959 00:00;0;;
DIS;16.10.1959 00:00;0;;
DIS;17.10.1959 00:00;0;;
DIS;18.10.1959 00:00;0;;
DIS;19.10.1959 00:00;6.2;;
DIS;20.10.1959 00:00;24.5;;
DIS;21.10.1959 00:00;0;;
DIS;22.10.1959 00:00;0.3;;
DIS;23.10.1959 00:00;0;;
DIS;24.10.1959 00:00;0;;
DIS;25.10.1959 00:00;0;;
