station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
DMA;01.10.1972 00:00;;0;
DMA;02.10.1972 00:00;;0;
DMA;03.10.1972 00:00;;0;
DMA;04.10.1972 00:00;;0;
DMA;05.10.1972 00:00;;0;
DMA;06.10.1972 00:00;;0;
DMA;07.10.1972 00:00;;0;
DMA;08.10.1972 00:00;;0;
DMA;10.10.1972 00:00;;0;
DMA;11.10.1972 00:00;;0;
DMA;12.10.1972 00:00;;0;
DMA;13.10.1972 00:00;;0;
DMA;14.10.1972 00:00;;0;
DMA;15.10.1972 00:00;;0;
DMA;16.10.1972 00:00;;0;
DMA;17.10.1972 00:00;;0;
DMA;18.10.1972 00:00;;0;
DMA;19.10.1972 00:00;;0;
DMA;20.10.1972 00:00;;0;
DMA;21.10.1972 00:00;;30;
DMA;22.10.1972 00:00;;63;
DMA;23.10.1972 00:00;;12;86
DMA;24.10.1972 00:00;;0;75
DMA;25.10.1972 00:00;;0;61
DMA;26.10.1972 00:00;;0;56
DMA;27.10.1972 00:00;;0;45
DMA;28.10.1972 00:00;;13;20
DMA;29.10.1972 00:00;;0;33
DMA;30.10.1972 00:00;;0;26
DMA;31.10.1972 00:00;;0;20
DMA;01.11.1972 00:00;;0;18
DMA;02.11.1972 00:00;;0;17
DMA;03.11.1972 00:00;;0;16
DMA;04.11.1972 00:00;;0;15
DMA;05.11.1972 00:00;;0;14
DMA;06.11.1972 00:00;;0;12
DMA;07.11.1972 00:00;;0;11
DMA;08.11.1972 00:00;;0;11
DMA;09.11.1972 00:00;;0;10
DMA;10.11.1972 00:00;;0;10
DMA;11.11.1972 00:00;;9;10
DMA;12.11.1972 00:00;;10;21
DMA;13.11.1972 00:00;;0;30
DMA;14.11.1972 00:00;;6;15
DMA;15.11.1972 00:00;;35;16
DMA;16.11.1972 00:00;;10;18
DMA;17.11.1972 00:00;;0;25
DMA;18.11.1972 00:00;;15;20
DMA;19.11.1972 00:00;;2;28
DMA;20.11.1972 00:00;;6;29
DMA;21.11.1972 00:00;;6;32
DMA;22.11.1972 00:00;;5;36
DMA;23.11.1972 00:00;;4;35
DMA;24.11.1972 00:00;;14;39
DMA;25.11.1972 00:00;;2;47
DMA;26.11.1972 00:00;;0;46
DMA;27.11.1972 00:00;;0;42
DMA;28.11.1972 00:00;;0;40
DMA;29.11.1972 00:00;;0;38
DMA;30.11.1972 00:00;;0;38
DMA;01.12.1972 00:00;;0;37
DMA;02.12.1972 00:00;;0;37
DMA;03.12.1972 00:00;;0;37
DMA;04.12.1972 00:00;;0;36
DMA;05.12.1972 00:00;;3;35
DMA;06.12.1972 00:00;;0;37
DMA;07.12.1972 00:00;;0;36
DMA;08.12.1972 00:00;;0;36
DMA;09.12.1972 00:00;;15;33
DMA;10.12.1972 00:00;;0;48
DMA;11.12.1972 00:00;;0;45
DMA;12.12.1972 00:00;;0;42
DMA;13.12.1972 00:00;;0;41
DMA;14.12.1972 00:00;;0;41
DMA;15.12.1972 00:00;;0;41
DMA;16.12.1972 00:00;;0;40
DMA;17.12.1972 00:00;;0;40
DMA;18.12.1972 00:00;;0;40
DMA;19.12.1972 00:00;;0;40
DMA;20.12.1972 00:00;;0;40
DMA;21.12.1972 00:00;;0;40
DMA;22.12.1972 00:00;;0;40
DMA;23.12.1972 00:00;;0;40
DMA;24.12.1972 00:00;;0;40
DMA;25.12.1972 00:00;;0;40
DMA;26.12.1972 00:00;;0;40
DMA;27.12.1972 00:00;;0;40
DMA;28.12.1972 00:00;;0;40
DMA;29.12.1972 00:00;;0;40
DMA;30.12.1972 00:00;;0;40
DMA;31.12.1972 00:00;;0;40
DMA;01.01.1973 00:00;0;0;40
DMA;02.01.1973 00:00;0;0;40
DMA;03.01.1973 00:00;1;2;39
DMA;04.01.1973 00:00;0;0;41
DMA;05.01.1973 00:00;0;0;41
DMA;06.01.1973 00:00;0;0;41
DMA;07.01.1973 00:00;0;0;40
DMA;08.01.1973 00:00;0;0;40
DMA;09.01.1973 00:00;0;0;40
DMA;10.01.1973 00:00;0;0;40
DMA;11.01.1973 00:00;0;0;40
DMA;12.01.1973 00:00;0;0;40
DMA;13.01.1973 00:00;0;0;40
DMA;14.01.1973 00:00;0;0;40
DMA;15.01.1973 00:00;5;7;40
DMA;16.01.1973 00:00;2.5;3;47
DMA;17.01.1973 00:00;0;0;49
DMA;18.01.1973 00:00;0;0;48
DMA;19.01.1973 00:00;0;0;48
DMA;20.01.1973 00:00;0;0;48
DMA;21.01.1973 00:00;3.9;4;48
DMA;22.01.1973 00:00;3.4;3;51
DMA;23.01.1973 00:00;0;0;53
DMA;24.01.1973 00:00;0;0;52
DMA;25.01.1973 00:00;0;0;52
DMA;26.01.1973 00:00;0;0;51
DMA;27.01.1973 00:00;15.4;27;51
DMA;28.01.1973 00:00;2.9;9;77
DMA;29.01.1973 00:00;1.7;2;80
DMA;30.01.1973 00:00;0;0;77
DMA;31.01.1973 00:00;3.2;7;70
DMA;01.02.1973 00:00;0.5;1;74
DMA;02.02.1973 00:00;0;0;73
DMA;03.02.1973 00:00;0;0;72
DMA;04.02.1973 00:00;0;0;71
DMA;05.02.1973 00:00;0;0;69
DMA;06.02.1973 00:00;0;0;67
DMA;07.02.1973 00:00;0;0;65
