station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ECH;01.01.1934 00:00;0;;
ECH;02.01.1934 00:00;0;;
ECH;03.01.1934 00:00;0;;
ECH;04.01.1934 00:00;0;;
ECH;05.01.1934 00:00;3;;
ECH;06.01.1934 00:00;0;;
ECH;07.01.1934 00:00;0;;
ECH;08.01.1934 00:00;0;;
ECH;09.01.1934 00:00;0;;
ECH;10.01.1934 00:00;0;;
ECH;11.01.1934 00:00;0;;
ECH;12.01.1934 00:00;9.7;;
ECH;13.01.1934 00:00;0;;
ECH;14.01.1934 00:00;9;;
ECH;15.01.1934 00:00;8.4;;
ECH;16.01.1934 00:00;4.1;;
ECH;17.01.1934 00:00;11.7;;
ECH;18.01.1934 00:00;3.1;;
ECH;19.01.1934 00:00;11.4;;
ECH;20.01.1934 00:00;3;;
ECH;21.01.1934 00:00;0;;
ECH;22.01.1934 00:00;0;;
ECH;23.01.1934 00:00;0;;
ECH;24.01.1934 00:00;0;;
ECH;25.01.1934 00:00;0;;
ECH;26.01.1934 00:00;4.7;;
ECH;27.01.1934 00:00;6;;
ECH;28.01.1934 00:00;3.1;;
ECH;29.01.1934 00:00;0;;
ECH;30.01.1934 00:00;0;;
ECH;31.01.1934 00:00;0;;
ECH;01.02.1934 00:00;5.4;;
ECH;02.02.1934 00:00;0;;
ECH;03.02.1934 00:00;0;;
ECH;04.02.1934 00:00;0;;
ECH;05.02.1934 00:00;0;;
ECH;06.02.1934 00:00;0;;
ECH;07.02.1934 00:00;0;;
ECH;08.02.1934 00:00;0;;
ECH;09.02.1934 00:00;0;;
ECH;10.02.1934 00:00;0;;
ECH;11.02.1934 00:00;0;;
ECH;12.02.1934 00:00;0;;
ECH;13.02.1934 00:00;0;;
ECH;14.02.1934 00:00;0;;
ECH;15.02.1934 00:00;0;;
ECH;16.02.1934 00:00;0;;
ECH;17.02.1934 00:00;0;;
ECH;18.02.1934 00:00;0;;
ECH;19.02.1934 00:00;0;;
ECH;20.02.1934 00:00;0;;
ECH;21.02.1934 00:00;0;;
ECH;22.02.1934 00:00;0;;
ECH;23.02.1934 00:00;0;;
ECH;24.02.1934 00:00;0;;
ECH;25.02.1934 00:00;0;;
ECH;26.02.1934 00:00;0;;
ECH;27.02.1934 00:00;4.3;;
ECH;28.02.1934 00:00;0;;
ECH;01.03.1934 00:00;0;;
ECH;02.03.1934 00:00;0;;
ECH;03.03.1934 00:00;1.5;;
ECH;04.03.1934 00:00;0;;
ECH;05.03.1934 00:00;0;;
ECH;06.03.1934 00:00;6.3;;
ECH;07.03.1934 00:00;16.1;;
ECH;08.03.1934 00:00;0;;
ECH;09.03.1934 00:00;10.9;;
ECH;10.03.1934 00:00;11.8;;
ECH;11.03.1934 00:00;14.7;;
ECH;12.03.1934 00:00;13.2;;
ECH;13.03.1934 00:00;0;;
ECH;14.03.1934 00:00;4;;
