station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EGL;01.01.1969 00:00;4.5;;
EGL;02.01.1969 00:00;25;;
EGL;03.01.1969 00:00;7.1;;
EGL;04.01.1969 00:00;0;;
EGL;05.01.1969 00:00;0;;
EGL;06.01.1969 00:00;0;;
EGL;07.01.1969 00:00;0;;
EGL;08.01.1969 00:00;2.5;;
EGL;09.01.1969 00:00;0;;
EGL;10.01.1969 00:00;0;;
EGL;11.01.1969 00:00;0;;
EGL;12.01.1969 00:00;0;;
EGL;13.01.1969 00:00;0;;
EGL;14.01.1969 00:00;0;;
EGL;15.01.1969 00:00;2.1;;
EGL;16.01.1969 00:00;0.4;;
EGL;17.01.1969 00:00;0;;
EGL;18.01.1969 00:00;4;;
EGL;19.01.1969 00:00;0.8;;
EGL;20.01.1969 00:00;0;;
EGL;21.01.1969 00:00;0;;
EGL;22.01.1969 00:00;0;;
EGL;23.01.1969 00:00;7.5;;
EGL;24.01.1969 00:00;0;;
EGL;25.01.1969 00:00;0;;
EGL;26.01.1969 00:00;0;;
EGL;27.01.1969 00:00;0;;
EGL;28.01.1969 00:00;1.8;;
EGL;29.01.1969 00:00;7.1;;
EGL;30.01.1969 00:00;1.2;;
EGL;31.01.1969 00:00;0;;
EGL;01.02.1969 00:00;0;;
EGL;02.02.1969 00:00;8.5;;
EGL;03.02.1969 00:00;0;;
EGL;04.02.1969 00:00;1.6;;
EGL;05.02.1969 00:00;0;;
EGL;06.02.1969 00:00;0;;
EGL;07.02.1969 00:00;20.1;;
EGL;08.02.1969 00:00;4.1;;
EGL;09.02.1969 00:00;0;;
EGL;10.02.1969 00:00;5.5;;
EGL;11.02.1969 00:00;7.2;;
EGL;12.02.1969 00:00;9.1;;
EGL;13.02.1969 00:00;1.3;;
EGL;14.02.1969 00:00;4.3;;
EGL;15.02.1969 00:00;1.4;;
EGL;16.02.1969 00:00;0.4;;
EGL;17.02.1969 00:00;0;;
EGL;18.02.1969 00:00;0;;
EGL;19.02.1969 00:00;0.2;;
EGL;20.02.1969 00:00;1.9;;
EGL;21.02.1969 00:00;0;;
EGL;22.02.1969 00:00;0;;
EGL;23.02.1969 00:00;0.4;;
EGL;24.02.1969 00:00;22;;
EGL;25.02.1969 00:00;7.5;;
EGL;26.02.1969 00:00;0;;
EGL;27.02.1969 00:00;0;;
EGL;28.02.1969 00:00;0;;
EGL;01.03.1969 00:00;0;;
EGL;02.03.1969 00:00;0;;
EGL;03.03.1969 00:00;0;;
EGL;04.03.1969 00:00;0;;
EGL;05.03.1969 00:00;0;;
EGL;06.03.1969 00:00;0.1;;
EGL;07.03.1969 00:00;0;;
EGL;08.03.1969 00:00;0;;
EGL;09.03.1969 00:00;0;;
EGL;10.03.1969 00:00;0;;
EGL;11.03.1969 00:00;0.6;;
EGL;12.03.1969 00:00;0.6;;
EGL;13.03.1969 00:00;2.8;;
EGL;14.03.1969 00:00;0.3;;
EGL;15.03.1969 00:00;0.1;;
EGL;16.03.1969 00:00;0;;
EGL;17.03.1969 00:00;2.4;;
EGL;18.03.1969 00:00;0;;
EGL;19.03.1969 00:00;0;;
EGL;20.03.1969 00:00;0;;
EGL;21.03.1969 00:00;0;;
EGL;22.03.1969 00:00;0;;
EGL;23.03.1969 00:00;6.2;;
EGL;24.03.1969 00:00;20.1;;
EGL;25.03.1969 00:00;1.7;;
EGL;26.03.1969 00:00;4;;
EGL;27.03.1969 00:00;1.1;;
EGL;28.03.1969 00:00;1.7;;
EGL;29.03.1969 00:00;0.1;;
EGL;30.03.1969 00:00;1.5;;
EGL;31.03.1969 00:00;1.9;;
EGL;01.04.1969 00:00;15;;
EGL;02.04.1969 00:00;0.3;;
