station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EHM;01.01.1901 00:00;2.1;;
EHM;02.01.1901 00:00;1;;
EHM;03.01.1901 00:00;0;;
EHM;04.01.1901 00:00;0.1;;
EHM;05.01.1901 00:00;0.6;;
EHM;06.01.1901 00:00;0;;
EHM;07.01.1901 00:00;0;;
EHM;08.01.1901 00:00;0;;
EHM;09.01.1901 00:00;0;;
EHM;10.01.1901 00:00;0;;
EHM;11.01.1901 00:00;0;;
EHM;12.01.1901 00:00;0;;
EHM;13.01.1901 00:00;0;;
EHM;14.01.1901 00:00;0;;
EHM;15.01.1901 00:00;0;;
EHM;16.01.1901 00:00;0;;
EHM;17.01.1901 00:00;0;;
EHM;18.01.1901 00:00;0;;
EHM;19.01.1901 00:00;0;;
EHM;20.01.1901 00:00;8.3;;
EHM;21.01.1901 00:00;12;;
EHM;22.01.1901 00:00;0;;
EHM;23.01.1901 00:00;0;;
EHM;24.01.1901 00:00;0;;
EHM;25.01.1901 00:00;0;;
EHM;26.01.1901 00:00;14.5;;
EHM;27.01.1901 00:00;24;;
EHM;28.01.1901 00:00;12.3;;
EHM;29.01.1901 00:00;13;;
EHM;30.01.1901 00:00;0;;
EHM;31.01.1901 00:00;0;;
EHM;01.02.1901 00:00;4.5;;
EHM;02.02.1901 00:00;5.6;;
EHM;03.02.1901 00:00;0;;
EHM;04.02.1901 00:00;0;;
EHM;05.02.1901 00:00;3.8;;
EHM;06.02.1901 00:00;0;;
EHM;07.02.1901 00:00;8.5;;
EHM;08.02.1901 00:00;1.8;;
EHM;09.02.1901 00:00;0;;
EHM;10.02.1901 00:00;0;;
EHM;11.02.1901 00:00;2.5;;
EHM;12.02.1901 00:00;1.6;;
EHM;13.02.1901 00:00;5.2;;
EHM;14.02.1901 00:00;0.2;;
EHM;15.02.1901 00:00;0;;
EHM;16.02.1901 00:00;7.7;;
EHM;17.02.1901 00:00;15.3;;
EHM;18.02.1901 00:00;1;;
EHM;19.02.1901 00:00;0;;
EHM;20.02.1901 00:00;0;;
EHM;21.02.1901 00:00;0;;
EHM;22.02.1901 00:00;0;;
EHM;23.02.1901 00:00;0;;
EHM;24.02.1901 00:00;0;;
EHM;25.02.1901 00:00;0;;
EHM;26.02.1901 00:00;0;;
EHM;27.02.1901 00:00;0;;
EHM;28.02.1901 00:00;3.1;;
EHM;01.03.1901 00:00;0;;
EHM;02.03.1901 00:00;11.3;;
EHM;03.03.1901 00:00;13.9;;
EHM;04.03.1901 00:00;8;;
EHM;05.03.1901 00:00;4.5;;
EHM;06.03.1901 00:00;4.7;;
EHM;07.03.1901 00:00;0.5;;
EHM;08.03.1901 00:00;0;;
EHM;09.03.1901 00:00;0;;
EHM;10.03.1901 00:00;1;;
EHM;11.03.1901 00:00;0.9;;
EHM;12.03.1901 00:00;3.5;;
EHM;13.03.1901 00:00;0;;
EHM;14.03.1901 00:00;0;;
EHM;15.03.1901 00:00;0;;
EHM;16.03.1901 00:00;0;;
EHM;17.03.1901 00:00;0;;
EHM;18.03.1901 00:00;0;;
EHM;19.03.1901 00:00;0;;
EHM;20.03.1901 00:00;36.7;;
EHM;21.03.1901 00:00;8.5;;
EHM;22.03.1901 00:00;1;;
EHM;23.03.1901 00:00;2;;
EHM;24.03.1901 00:00;0.3;;
EHM;25.03.1901 00:00;2.5;;
EHM;26.03.1901 00:00;15.4;;
EHM;27.03.1901 00:00;1.2;;
EHM;28.03.1901 00:00;5.9;;
EHM;29.03.1901 00:00;0;;
EHM;30.03.1901 00:00;0;;
EHM;31.03.1901 00:00;0;;
EHM;01.04.1901 00:00;11.9;;
EHM;02.04.1901 00:00;0;;
EHM;03.04.1901 00:00;0;;
EHM;04.04.1901 00:00;5.4;;
EHM;05.04.1901 00:00;58.7;;
EHM;06.04.1901 00:00;5.3;;
EHM;07.04.1901 00:00;38.6;;
EHM;08.04.1901 00:00;0;;
EHM;09.04.1901 00:00;12.9;;
EHM;10.04.1901 00:00;13.9;;
EHM;11.04.1901 00:00;0.6;;
EHM;12.04.1901 00:00;30.8;;
EHM;13.04.1901 00:00;8.1;;
EHM;14.04.1901 00:00;7.8;;
EHM;15.04.1901 00:00;4.3;;
EHM;16.04.1901 00:00;13.5;;
EHM;17.04.1901 00:00;16.1;;
EHM;18.04.1901 00:00;0;;
EHM;19.04.1901 00:00;0;;
EHM;20.04.1901 00:00;0;;
EHM;21.04.1901 00:00;0;;
EHM;22.04.1901 00:00;0;;
EHM;23.04.1901 00:00;0;;
EHM;24.04.1901 00:00;0;;
EHM;25.04.1901 00:00;0;;
EHM;26.04.1901 00:00;0.8;;
EHM;27.04.1901 00:00;0;;
EHM;28.04.1901 00:00;23.1;;
EHM;29.04.1901 00:00;21.7;;
EHM;30.04.1901 00:00;5.1;;
EHM;01.05.1901 00:00;0;;
EHM;02.05.1901 00:00;0;;
EHM;03.05.1901 00:00;3.3;;
EHM;04.05.1901 00:00;0;;
EHM;05.05.1901 00:00;0.7;;
EHM;06.05.1901 00:00;13;;
EHM;07.05.1901 00:00;8.6;;
EHM;08.05.1901 00:00;7.3;;
EHM;09.05.1901 00:00;1.1;;
EHM;10.05.1901 00:00;19.4;;
EHM;11.05.1901 00:00;1.5;;
EHM;12.05.1901 00:00;0;;
EHM;13.05.1901 00:00;0;;
EHM;14.05.1901 00:00;0;;
EHM;15.05.1901 00:00;0;;
EHM;16.05.1901 00:00;3;;
EHM;17.05.1901 00:00;0;;
EHM;18.05.1901 00:00;12.6;;
EHM;19.05.1901 00:00;0;;
EHM;20.05.1901 00:00;0;;
EHM;21.05.1901 00:00;0;;
EHM;22.05.1901 00:00;4.9;;
EHM;23.05.1901 00:00;0.5;;
EHM;24.05.1901 00:00;0;;
EHM;25.05.1901 00:00;0;;
EHM;26.05.1901 00:00;0.3;;
EHM;27.05.1901 00:00;15.5;;
EHM;28.05.1901 00:00;3;;
EHM;29.05.1901 00:00;2.5;;
EHM;30.05.1901 00:00;5.1;;
EHM;31.05.1901 00:00;1.3;;
EHM;01.06.1901 00:00;0;;
EHM;02.06.1901 00:00;1.4;;
EHM;03.06.1901 00:00;9;;
EHM;04.06.1901 00:00;5;;
EHM;05.06.1901 00:00;0;;
EHM;06.06.1901 00:00;0;;
EHM;07.06.1901 00:00;0;;
EHM;08.06.1901 00:00;3.7;;
EHM;09.06.1901 00:00;28;;
EHM;10.06.1901 00:00;8;;
EHM;11.06.1901 00:00;1.4;;
EHM;12.06.1901 00:00;0;;
EHM;13.06.1901 00:00;1.4;;
EHM;14.06.1901 00:00;20;;
EHM;15.06.1901 00:00;33.1;;
EHM;16.06.1901 00:00;4.1;;
EHM;17.06.1901 00:00;10.3;;
EHM;18.06.1901 00:00;10;;
EHM;19.06.1901 00:00;4.5;;
EHM;20.06.1901 00:00;0;;
EHM;21.06.1901 00:00;0;;
EHM;22.06.1901 00:00;0;;
EHM;23.06.1901 00:00;15.1;;
EHM;24.06.1901 00:00;8.9;;
EHM;25.06.1901 00:00;0;;
EHM;26.06.1901 00:00;0;;
EHM;27.06.1901 00:00;0;;
EHM;28.06.1901 00:00;2.2;;
EHM;29.06.1901 00:00;5;;
EHM;30.06.1901 00:00;14.9;;
EHM;01.07.1901 00:00;15.9;;
