station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EIN;01.01.1900 00:00;0.8;;
EIN;02.01.1900 00:00;0;;
EIN;03.01.1900 00:00;1;;
EIN;04.01.1900 00:00;10;;
EIN;05.01.1900 00:00;5;;
EIN;06.01.1900 00:00;0;;
EIN;07.01.1900 00:00;0;;
EIN;08.01.1900 00:00;7.5;;
EIN;09.01.1900 00:00;14.7;;
EIN;10.01.1900 00:00;8.2;;
EIN;11.01.1900 00:00;8;;
EIN;12.01.1900 00:00;3;;
EIN;13.01.1900 00:00;0;;
EIN;14.01.1900 00:00;0;;
EIN;15.01.1900 00:00;0;;
EIN;16.01.1900 00:00;23.4;;
EIN;17.01.1900 00:00;7.7;;
EIN;18.01.1900 00:00;24.8;;
EIN;19.01.1900 00:00;0;;
EIN;20.01.1900 00:00;0;;
EIN;21.01.1900 00:00;0;;
EIN;22.01.1900 00:00;26.5;;
EIN;23.01.1900 00:00;0;;
EIN;24.01.1900 00:00;0;;
EIN;25.01.1900 00:00;21.3;;
EIN;26.01.1900 00:00;2.4;;
EIN;27.01.1900 00:00;4.7;;
EIN;28.01.1900 00:00;12.1;;
EIN;29.01.1900 00:00;3.2;;
EIN;30.01.1900 00:00;0;;
EIN;31.01.1900 00:00;0;;
EIN;01.02.1900 00:00;0;;
EIN;02.02.1900 00:00;0;;
EIN;03.02.1900 00:00;1;;
EIN;04.02.1900 00:00;0;;
EIN;05.02.1900 00:00;0;;
EIN;06.02.1900 00:00;9;;
EIN;07.02.1900 00:00;0;;
EIN;08.02.1900 00:00;0;;
EIN;09.02.1900 00:00;0;;
EIN;10.02.1900 00:00;6.5;;
EIN;11.02.1900 00:00;5.7;;
EIN;12.02.1900 00:00;10.3;;
EIN;13.02.1900 00:00;0;;
EIN;14.02.1900 00:00;13.8;;
EIN;15.02.1900 00:00;0;;
EIN;16.02.1900 00:00;12.6;;
EIN;17.02.1900 00:00;0;;
EIN;18.02.1900 00:00;0.6;;
EIN;19.02.1900 00:00;9;;
EIN;20.02.1900 00:00;4;;
EIN;21.02.1900 00:00;7.5;;
EIN;22.02.1900 00:00;0;;
EIN;23.02.1900 00:00;0.9;;
EIN;24.02.1900 00:00;0;;
EIN;25.02.1900 00:00;0;;
EIN;26.02.1900 00:00;8.6;;
EIN;27.02.1900 00:00;0;;
EIN;28.02.1900 00:00;11;;
EIN;01.03.1900 00:00;10.9;;
EIN;02.03.1900 00:00;1.8;;
EIN;03.03.1900 00:00;5.2;;
EIN;04.03.1900 00:00;9.2;;
EIN;05.03.1900 00:00;0;;
EIN;06.03.1900 00:00;0;;
EIN;07.03.1900 00:00;0;;
EIN;08.03.1900 00:00;0;;
EIN;09.03.1900 00:00;0;;
EIN;10.03.1900 00:00;0;;
EIN;11.03.1900 00:00;0;;
EIN;12.03.1900 00:00;0;;
EIN;13.03.1900 00:00;8;;
EIN;14.03.1900 00:00;1.2;;
EIN;15.03.1900 00:00;0;;
EIN;16.03.1900 00:00;0;;
EIN;17.03.1900 00:00;10.5;;
EIN;18.03.1900 00:00;4.6;;
EIN;19.03.1900 00:00;0;;
EIN;20.03.1900 00:00;0;;
