station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EIT;01.01.1901 00:00;6.7;;
EIT;02.01.1901 00:00;0.4;;
EIT;03.01.1901 00:00;0;;
EIT;04.01.1901 00:00;0;;
EIT;05.01.1901 00:00;1.2;;
EIT;06.01.1901 00:00;0;;
EIT;07.01.1901 00:00;0;;
EIT;08.01.1901 00:00;0;;
EIT;09.01.1901 00:00;0;;
EIT;10.01.1901 00:00;0;;
EIT;11.01.1901 00:00;0.8;;
EIT;12.01.1901 00:00;0;;
EIT;13.01.1901 00:00;0;;
EIT;14.01.1901 00:00;0;;
EIT;15.01.1901 00:00;0;;
EIT;16.01.1901 00:00;0;;
EIT;17.01.1901 00:00;0;;
EIT;18.01.1901 00:00;0;;
EIT;19.01.1901 00:00;0;;
EIT;20.01.1901 00:00;5.4;;
EIT;21.01.1901 00:00;12.1;;
EIT;22.01.1901 00:00;0;;
EIT;23.01.1901 00:00;0;;
EIT;24.01.1901 00:00;0;;
EIT;25.01.1901 00:00;0.9;;
EIT;26.01.1901 00:00;11.1;;
EIT;27.01.1901 00:00;23.7;;
EIT;28.01.1901 00:00;16;;
EIT;29.01.1901 00:00;9.8;;
EIT;30.01.1901 00:00;0;;
EIT;31.01.1901 00:00;0;;
EIT;01.02.1901 00:00;2.1;;
EIT;02.02.1901 00:00;3.4;;
EIT;03.02.1901 00:00;0;;
EIT;04.02.1901 00:00;0;;
EIT;05.02.1901 00:00;2.4;;
EIT;06.02.1901 00:00;3.1;;
EIT;07.02.1901 00:00;7.5;;
EIT;08.02.1901 00:00;5.5;;
EIT;09.02.1901 00:00;0;;
EIT;10.02.1901 00:00;0;;
EIT;11.02.1901 00:00;7.5;;
EIT;12.02.1901 00:00;0.9;;
EIT;13.02.1901 00:00;0.7;;
EIT;14.02.1901 00:00;0;;
EIT;15.02.1901 00:00;0;;
EIT;16.02.1901 00:00;6;;
EIT;17.02.1901 00:00;12;;
EIT;18.02.1901 00:00;2;;
EIT;19.02.1901 00:00;0.3;;
EIT;20.02.1901 00:00;0;;
EIT;21.02.1901 00:00;0;;
EIT;22.02.1901 00:00;0;;
EIT;23.02.1901 00:00;0;;
EIT;24.02.1901 00:00;0;;
EIT;25.02.1901 00:00;0;;
EIT;26.02.1901 00:00;0;;
EIT;27.02.1901 00:00;0;;
EIT;28.02.1901 00:00;8.9;;
EIT;01.03.1901 00:00;0;;
EIT;02.03.1901 00:00;3.9;;
EIT;03.03.1901 00:00;8;;
EIT;04.03.1901 00:00;13.8;;
EIT;05.03.1901 00:00;4;;
EIT;06.03.1901 00:00;4.5;;
EIT;07.03.1901 00:00;0.3;;
EIT;08.03.1901 00:00;0;;
EIT;09.03.1901 00:00;0;;
EIT;10.03.1901 00:00;0;;
EIT;11.03.1901 00:00;0;;
EIT;12.03.1901 00:00;2.6;;
EIT;13.03.1901 00:00;0;;
EIT;14.03.1901 00:00;0;;
EIT;15.03.1901 00:00;0;;
EIT;16.03.1901 00:00;0;;
EIT;17.03.1901 00:00;0;;
EIT;18.03.1901 00:00;0;;
EIT;19.03.1901 00:00;0;;
EIT;20.03.1901 00:00;29.2;;
EIT;21.03.1901 00:00;17.5;;
EIT;22.03.1901 00:00;3.1;;
EIT;23.03.1901 00:00;3.8;;
EIT;24.03.1901 00:00;0.8;;
EIT;25.03.1901 00:00;5.8;;
EIT;26.03.1901 00:00;17.3;;
EIT;27.03.1901 00:00;0.5;;
