station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EKO;01.01.1900 00:00;0;;
EKO;02.01.1900 00:00;0;;
EKO;03.01.1900 00:00;0;;
EKO;04.01.1900 00:00;11.6;;
EKO;05.01.1900 00:00;7.3;;
EKO;06.01.1900 00:00;0;;
EKO;07.01.1900 00:00;0;;
EKO;08.01.1900 00:00;2.2;;
EKO;09.01.1900 00:00;2.7;;
EKO;10.01.1900 00:00;0;;
EKO;11.01.1900 00:00;3.3;;
EKO;12.01.1900 00:00;3;;
EKO;13.01.1900 00:00;6.2;;
EKO;14.01.1900 00:00;0;;
EKO;15.01.1900 00:00;0;;
EKO;16.01.1900 00:00;2.7;;
EKO;17.01.1900 00:00;16.7;;
EKO;18.01.1900 00:00;17.6;;
EKO;19.01.1900 00:00;0;;
EKO;20.01.1900 00:00;3.7;;
EKO;21.01.1900 00:00;4.3;;
EKO;22.01.1900 00:00;8.6;;
EKO;23.01.1900 00:00;14;;
EKO;24.01.1900 00:00;12;;
EKO;25.01.1900 00:00;3.7;;
EKO;26.01.1900 00:00;0;;
EKO;27.01.1900 00:00;2.5;;
EKO;28.01.1900 00:00;10;;
EKO;29.01.1900 00:00;4.6;;
EKO;30.01.1900 00:00;1.6;;
EKO;31.01.1900 00:00;0;;
EKO;01.02.1900 00:00;0;;
EKO;02.02.1900 00:00;0;;
EKO;03.02.1900 00:00;2.6;;
EKO;04.02.1900 00:00;2.8;;
EKO;05.02.1900 00:00;0;;
EKO;06.02.1900 00:00;6;;
EKO;07.02.1900 00:00;0;;
EKO;08.02.1900 00:00;0;;
EKO;09.02.1900 00:00;1.2;;
EKO;10.02.1900 00:00;3.4;;
EKO;11.02.1900 00:00;0;;
EKO;12.02.1900 00:00;19.2;;
EKO;13.02.1900 00:00;0;;
EKO;14.02.1900 00:00;11.2;;
EKO;15.02.1900 00:00;0;;
EKO;16.02.1900 00:00;1.2;;
EKO;17.02.1900 00:00;3.4;;
EKO;18.02.1900 00:00;0;;
EKO;19.02.1900 00:00;7.2;;
EKO;20.02.1900 00:00;3.9;;
EKO;21.02.1900 00:00;0;;
EKO;22.02.1900 00:00;0;;
EKO;23.02.1900 00:00;2.1;;
EKO;24.02.1900 00:00;0;;
EKO;25.02.1900 00:00;0;;
EKO;26.02.1900 00:00;0;;
EKO;27.02.1900 00:00;5.4;;
EKO;28.02.1900 00:00;10.5;;
EKO;01.03.1900 00:00;0;;
EKO;02.03.1900 00:00;0;;
EKO;03.03.1900 00:00;2.3;;
EKO;04.03.1900 00:00;6.2;;
EKO;05.03.1900 00:00;0;;
EKO;06.03.1900 00:00;0;;
EKO;07.03.1900 00:00;0;;
EKO;08.03.1900 00:00;0;;
EKO;09.03.1900 00:00;0;;
EKO;10.03.1900 00:00;0;;
EKO;11.03.1900 00:00;0;;
EKO;12.03.1900 00:00;0;;
EKO;13.03.1900 00:00;0;;
EKO;14.03.1900 00:00;2.6;;
EKO;15.03.1900 00:00;2.3;;
EKO;16.03.1900 00:00;0;;
EKO;17.03.1900 00:00;11.4;;
EKO;18.03.1900 00:00;0;;
EKO;19.03.1900 00:00;0;;
EKO;20.03.1900 00:00;0;;
EKO;21.03.1900 00:00;0;;
EKO;22.03.1900 00:00;0;;
EKO;23.03.1900 00:00;2.8;;
EKO;24.03.1900 00:00;0.4;;
EKO;25.03.1900 00:00;1.9;;
EKO;26.03.1900 00:00;1.8;;
EKO;27.03.1900 00:00;4.2;;
EKO;28.03.1900 00:00;1.7;;
EKO;29.03.1900 00:00;1.2;;
EKO;30.03.1900 00:00;4.4;;
EKO;31.03.1900 00:00;4.2;;
EKO;01.04.1900 00:00;5.2;;
EKO;02.04.1900 00:00;2.2;;
EKO;03.04.1900 00:00;0;;
EKO;04.04.1900 00:00;2.7;;
EKO;05.04.1900 00:00;0;;
EKO;06.04.1900 00:00;1.2;;
EKO;07.04.1900 00:00;3.4;;
EKO;08.04.1900 00:00;15;;
EKO;09.04.1900 00:00;0;;
EKO;10.04.1900 00:00;0;;
EKO;11.04.1900 00:00;0;;
EKO;12.04.1900 00:00;5.6;;
EKO;13.04.1900 00:00;4.4;;
EKO;14.04.1900 00:00;0;;
EKO;15.04.1900 00:00;0;;
EKO;16.04.1900 00:00;8;;
EKO;17.04.1900 00:00;0;;
EKO;18.04.1900 00:00;0;;
EKO;19.04.1900 00:00;0;;
EKO;20.04.1900 00:00;0;;
EKO;21.04.1900 00:00;0;;
EKO;22.04.1900 00:00;0;;
EKO;23.04.1900 00:00;2.7;;
EKO;24.04.1900 00:00;1.4;;
EKO;25.04.1900 00:00;16.2;;
EKO;26.04.1900 00:00;0;;
EKO;27.04.1900 00:00;0;;
EKO;28.04.1900 00:00;0;;
EKO;29.04.1900 00:00;0;;
EKO;30.04.1900 00:00;9.4;;
EKO;01.05.1900 00:00;0;;
EKO;02.05.1900 00:00;0;;
EKO;03.05.1900 00:00;0;;
EKO;04.05.1900 00:00;0;;
EKO;05.05.1900 00:00;0;;
EKO;06.05.1900 00:00;0;;
EKO;07.05.1900 00:00;0;;
EKO;08.05.1900 00:00;10.1;;
EKO;09.05.1900 00:00;1.3;;
EKO;10.05.1900 00:00;0;;
EKO;11.05.1900 00:00;5.1;;
EKO;12.05.1900 00:00;0;;
EKO;13.05.1900 00:00;0;;
EKO;14.05.1900 00:00;12.2;;
EKO;15.05.1900 00:00;0;;
EKO;16.05.1900 00:00;0;;
EKO;17.05.1900 00:00;8.9;;
EKO;18.05.1900 00:00;0;;
EKO;19.05.1900 00:00;0;;
EKO;20.05.1900 00:00;0;;
EKO;21.05.1900 00:00;0;;
EKO;22.05.1900 00:00;0;;
EKO;23.05.1900 00:00;9.2;;
EKO;24.05.1900 00:00;6.3;;
EKO;25.05.1900 00:00;3.2;;
EKO;26.05.1900 00:00;10.3;;
EKO;27.05.1900 00:00;1.3;;
EKO;28.05.1900 00:00;0;;
EKO;29.05.1900 00:00;5.2;;
EKO;30.05.1900 00:00;4.8;;
EKO;31.05.1900 00:00;11.2;;
EKO;01.06.1900 00:00;0;;
EKO;02.06.1900 00:00;0;;
EKO;03.06.1900 00:00;0;;
EKO;04.06.1900 00:00;0;;
EKO;05.06.1900 00:00;0;;
EKO;06.06.1900 00:00;6.1;;
EKO;07.06.1900 00:00;1.2;;
EKO;08.06.1900 00:00;0;;
EKO;09.06.1900 00:00;0;;
EKO;10.06.1900 00:00;0;;
EKO;11.06.1900 00:00;0;;
EKO;12.06.1900 00:00;0;;
