station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ELM;01.02.1878 00:00;0;2;
ELM;02.02.1878 00:00;0;0;
ELM;03.02.1878 00:00;0;0;
ELM;04.02.1878 00:00;0;0;
ELM;05.02.1878 00:00;0;0;
ELM;06.02.1878 00:00;0;0;
ELM;07.02.1878 00:00;0;0;
ELM;08.02.1878 00:00;0;0;
ELM;09.02.1878 00:00;0;0;
ELM;10.02.1878 00:00;0;0;
ELM;11.02.1878 00:00;0;9;
ELM;12.02.1878 00:00;10.6;10;
ELM;13.02.1878 00:00;0;0;
ELM;14.02.1878 00:00;0;0;
ELM;15.02.1878 00:00;0;0;
ELM;16.02.1878 00:00;0;0;
ELM;17.02.1878 00:00;0;0;
ELM;18.02.1878 00:00;0;0;
ELM;19.02.1878 00:00;1.9;4;
ELM;20.02.1878 00:00;0;0;
ELM;21.02.1878 00:00;0;0;
ELM;22.02.1878 00:00;0;0;
ELM;23.02.1878 00:00;0;0;
ELM;24.02.1878 00:00;0;0;
ELM;25.02.1878 00:00;3.8;0;
ELM;26.02.1878 00:00;2.5;2;
ELM;27.02.1878 00:00;0;0;
ELM;28.02.1878 00:00;2;0;
ELM;01.03.1878 00:00;1;0;
ELM;02.03.1878 00:00;0;0;
ELM;03.03.1878 00:00;0;0;
ELM;04.03.1878 00:00;0;0;
ELM;05.03.1878 00:00;0;0;
ELM;06.03.1878 00:00;7;0;
ELM;07.03.1878 00:00;11;0;
ELM;08.03.1878 00:00;14;6;
ELM;09.03.1878 00:00;1.4;27;
ELM;10.03.1878 00:00;0;3;
ELM;11.03.1878 00:00;4.1;1;
ELM;12.03.1878 00:00;19;18;
ELM;13.03.1878 00:00;14.4;20;
ELM;14.03.1878 00:00;8.2;8;
ELM;15.03.1878 00:00;0;0;
ELM;16.03.1878 00:00;0;0;
ELM;17.03.1878 00:00;3.5;0;
ELM;18.03.1878 00:00;10.5;17;
ELM;19.03.1878 00:00;15.7;16;
ELM;20.03.1878 00:00;1.2;4;
ELM;21.03.1878 00:00;0;0;
ELM;22.03.1878 00:00;0;0;
ELM;23.03.1878 00:00;0;1;
ELM;24.03.1878 00:00;0;0;
ELM;25.03.1878 00:00;0;0;
ELM;26.03.1878 00:00;0;0;
ELM;27.03.1878 00:00;0;0;
ELM;28.03.1878 00:00;0;0;
ELM;29.03.1878 00:00;0;0;
ELM;30.03.1878 00:00;15.3;0;
ELM;31.03.1878 00:00;0;0;
ELM;01.04.1878 00:00;6;10;
ELM;02.04.1878 00:00;11.4;9;
ELM;03.04.1878 00:00;0;0;
ELM;04.04.1878 00:00;0;0;
ELM;05.04.1878 00:00;5.6;0;
ELM;06.04.1878 00:00;0;0;
ELM;07.04.1878 00:00;0;0;
ELM;08.04.1878 00:00;0;0;
ELM;09.04.1878 00:00;0;0;
ELM;10.04.1878 00:00;0;0;
ELM;11.04.1878 00:00;6.2;0;
ELM;12.04.1878 00:00;5.7;1;
ELM;13.04.1878 00:00;0;0;
ELM;14.04.1878 00:00;0;0;
ELM;15.04.1878 00:00;0;0;
ELM;16.04.1878 00:00;4.2;0;
ELM;17.04.1878 00:00;1.7;0;
ELM;18.04.1878 00:00;4;0;
ELM;19.04.1878 00:00;3.2;0;
ELM;20.04.1878 00:00;19;0;
ELM;21.04.1878 00:00;4.4;0;
ELM;22.04.1878 00:00;0;0;
ELM;23.04.1878 00:00;0;0;
ELM;24.04.1878 00:00;4.1;0;
ELM;25.04.1878 00:00;11.2;0;
ELM;26.04.1878 00:00;11.5;0;
ELM;27.04.1878 00:00;0;0;
ELM;28.04.1878 00:00;0;0;
ELM;29.04.1878 00:00;3.1;0;
ELM;30.04.1878 00:00;0;0;
ELM;01.05.1878 00:00;8.2;0;
ELM;02.05.1878 00:00;1.8;0;
ELM;03.05.1878 00:00;1.2;0;
ELM;04.05.1878 00:00;0;0;
ELM;05.05.1878 00:00;0;0;
ELM;06.05.1878 00:00;0;0;
ELM;07.05.1878 00:00;0;0;
ELM;08.05.1878 00:00;4.3;0;
ELM;09.05.1878 00:00;0;0;
ELM;10.05.1878 00:00;0;0;
ELM;11.05.1878 00:00;0;0;
ELM;12.05.1878 00:00;0;0;
ELM;13.05.1878 00:00;6.8;0;
ELM;14.05.1878 00:00;0;0;
ELM;15.05.1878 00:00;3.6;0;
ELM;16.05.1878 00:00;0;0;
ELM;17.05.1878 00:00;0;0;
ELM;18.05.1878 00:00;0;0;
ELM;19.05.1878 00:00;0;0;
ELM;20.05.1878 00:00;1.9;0;
ELM;21.05.1878 00:00;0;0;
ELM;22.05.1878 00:00;0;0;
ELM;23.05.1878 00:00;0;0;
ELM;24.05.1878 00:00;11.7;5;
ELM;25.05.1878 00:00;35.2;0;
ELM;26.05.1878 00:00;0;0;
ELM;27.05.1878 00:00;0;0;
ELM;28.05.1878 00:00;20.6;0;
ELM;29.05.1878 00:00;4.6;0;
ELM;30.05.1878 00:00;0;0;
ELM;31.05.1878 00:00;0;0;
ELM;01.06.1878 00:00;0;0;
ELM;02.06.1878 00:00;15.3;0;
ELM;03.06.1878 00:00;7.5;0;
ELM;04.06.1878 00:00;10.9;0;
ELM;05.06.1878 00:00;7.6;0;
ELM;06.06.1878 00:00;7.7;0;
ELM;07.06.1878 00:00;0;0;
ELM;08.06.1878 00:00;0;0;
ELM;09.06.1878 00:00;16.5;0;
ELM;10.06.1878 00:00;0;0;
ELM;11.06.1878 00:00;0;0;
ELM;12.06.1878 00:00;16.4;0;
ELM;13.06.1878 00:00;0;0;
ELM;14.06.1878 00:00;5.6;0;
ELM;15.06.1878 00:00;8.4;0;
ELM;16.06.1878 00:00;4.7;0;
ELM;17.06.1878 00:00;0;0;
ELM;18.06.1878 00:00;0;0;
ELM;19.06.1878 00:00;21;0;
ELM;20.06.1878 00:00;2.5;0;
ELM;21.06.1878 00:00;0;0;
ELM;22.06.1878 00:00;0;0;
ELM;23.06.1878 00:00;15.1;0;
ELM;24.06.1878 00:00;4.8;0;
ELM;25.06.1878 00:00;0;0;
ELM;26.06.1878 00:00;0;0;
ELM;27.06.1878 00:00;0;0;
ELM;28.06.1878 00:00;0;0;
ELM;29.06.1878 00:00;7.9;0;
ELM;30.06.1878 00:00;0;0;
ELM;01.07.1878 00:00;0.4;0;
ELM;02.07.1878 00:00;16.9;0;
ELM;03.07.1878 00:00;27.7;0;
ELM;04.07.1878 00:00;18.1;0;
ELM;05.07.1878 00:00;0;0;
ELM;06.07.1878 00:00;0;0;
ELM;07.07.1878 00:00;19;0;
ELM;08.07.1878 00:00;1.6;0;
ELM;09.07.1878 00:00;0;0;
ELM;10.07.1878 00:00;2.5;0;
ELM;11.07.1878 00:00;7.8;0;
ELM;12.07.1878 00:00;0;0;
ELM;13.07.1878 00:00;0;0;
ELM;14.07.1878 00:00;0;0;
ELM;15.07.1878 00:00;0;0;
ELM;16.07.1878 00:00;0;0;
ELM;17.07.1878 00:00;0;0;
ELM;18.07.1878 00:00;0;0;
ELM;19.07.1878 00:00;15.9;0;
ELM;20.07.1878 00:00;2.4;0;
ELM;21.07.1878 00:00;0;0;
ELM;22.07.1878 00:00;0.6;0;
ELM;23.07.1878 00:00;15.1;0;
ELM;24.07.1878 00:00;4.5;0;
ELM;25.07.1878 00:00;24.4;0;
ELM;26.07.1878 00:00;2.9;0;
ELM;27.07.1878 00:00;4.8;0;
ELM;28.07.1878 00:00;0;0;
ELM;29.07.1878 00:00;10;0;
ELM;30.07.1878 00:00;13.4;0;
ELM;31.07.1878 00:00;13.2;0;
ELM;01.08.1878 00:00;0;0;
ELM;02.08.1878 00:00;1.6;0;
ELM;03.08.1878 00:00;12.1;0;
ELM;04.08.1878 00:00;0;0;
ELM;05.08.1878 00:00;2.1;0;
ELM;06.08.1878 00:00;8;0;
ELM;07.08.1878 00:00;6.9;0;
ELM;08.08.1878 00:00;3.4;0;
ELM;09.08.1878 00:00;0;0;
ELM;10.08.1878 00:00;16.7;0;
ELM;11.08.1878 00:00;3.9;0;
ELM;12.08.1878 00:00;2;0;
ELM;13.08.1878 00:00;0.1;0;
ELM;14.08.1878 00:00;4.9;0;
ELM;15.08.1878 00:00;22.4;0;
ELM;16.08.1878 00:00;7.7;0;
ELM;17.08.1878 00:00;0;0;
ELM;18.08.1878 00:00;0;0;
ELM;19.08.1878 00:00;12.5;0;
ELM;20.08.1878 00:00;10.2;0;
ELM;21.08.1878 00:00;0.3;0;
ELM;22.08.1878 00:00;0;0;
ELM;23.08.1878 00:00;14.3;0;
ELM;24.08.1878 00:00;8.4;0;
ELM;25.08.1878 00:00;2.8;0;
ELM;26.08.1878 00:00;9.5;0;
ELM;27.08.1878 00:00;2.7;0;
ELM;28.08.1878 00:00;1.3;0;
ELM;29.08.1878 00:00;4.2;0;
ELM;30.08.1878 00:00;28.4;0;
ELM;31.08.1878 00:00;0;0;
ELM;01.09.1878 00:00;2.9;0;
ELM;02.09.1878 00:00;3.1;0;
ELM;03.09.1878 00:00;0;0;
ELM;04.09.1878 00:00;0;0;
