station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ENG;01.01.1864 00:00;0;;
ENG;02.01.1864 00:00;12.8;;
ENG;03.01.1864 00:00;1.7;;
ENG;04.01.1864 00:00;0;;
ENG;05.01.1864 00:00;0;;
ENG;06.01.1864 00:00;0;;
ENG;07.01.1864 00:00;0;;
ENG;08.01.1864 00:00;0;;
ENG;09.01.1864 00:00;0;;
ENG;10.01.1864 00:00;0;;
ENG;11.01.1864 00:00;0;;
ENG;12.01.1864 00:00;0;;
ENG;13.01.1864 00:00;0;;
ENG;14.01.1864 00:00;0;;
ENG;15.01.1864 00:00;0;;
ENG;16.01.1864 00:00;0;;
ENG;17.01.1864 00:00;0;;
ENG;18.01.1864 00:00;0;;
ENG;19.01.1864 00:00;0;;
ENG;20.01.1864 00:00;0;;
ENG;21.01.1864 00:00;0;;
ENG;22.01.1864 00:00;0;;
ENG;23.01.1864 00:00;0;;
ENG;24.01.1864 00:00;0;;
ENG;25.01.1864 00:00;10.2;;
ENG;26.01.1864 00:00;0;;
ENG;27.01.1864 00:00;0;;
ENG;28.01.1864 00:00;0;;
ENG;29.01.1864 00:00;18.2;;
ENG;30.01.1864 00:00;6.3;;
ENG;31.01.1864 00:00;0;;
ENG;01.02.1864 00:00;0;;
ENG;02.02.1864 00:00;0;;
ENG;03.02.1864 00:00;0;;
ENG;04.02.1864 00:00;0;;
ENG;05.02.1864 00:00;8.9;;
ENG;06.02.1864 00:00;2.8;;
ENG;07.02.1864 00:00;2.5;;
ENG;08.02.1864 00:00;6.2;;
ENG;09.02.1864 00:00;0;;
ENG;10.02.1864 00:00;0;;
ENG;11.02.1864 00:00;2.8;;
ENG;12.02.1864 00:00;1;;
ENG;13.02.1864 00:00;5.5;;
ENG;14.02.1864 00:00;0;;
ENG;15.02.1864 00:00;0;;
ENG;16.02.1864 00:00;0;;
ENG;17.02.1864 00:00;22;;
ENG;18.02.1864 00:00;12.3;;
ENG;19.02.1864 00:00;4.9;;
ENG;20.02.1864 00:00;0;;
ENG;21.02.1864 00:00;2.2;;
ENG;22.02.1864 00:00;0;;
ENG;23.02.1864 00:00;0;;
ENG;24.02.1864 00:00;0;;
ENG;25.02.1864 00:00;0;;
ENG;26.02.1864 00:00;0;;
ENG;27.02.1864 00:00;0;;
ENG;28.02.1864 00:00;0;;
ENG;29.02.1864 00:00;0;;
ENG;01.03.1864 00:00;11.2;;
ENG;02.03.1864 00:00;0;;
ENG;03.03.1864 00:00;0;;
ENG;04.03.1864 00:00;0.3;;
ENG;05.03.1864 00:00;0;;
ENG;06.03.1864 00:00;0;;
