station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EPT;01.01.1900 00:00;0.4;;
EPT;02.01.1900 00:00;0.8;;
EPT;03.01.1900 00:00;6.2;;
EPT;04.01.1900 00:00;10;;
EPT;05.01.1900 00:00;9.2;;
EPT;06.01.1900 00:00;0;;
EPT;07.01.1900 00:00;0;;
EPT;08.01.1900 00:00;2;;
EPT;09.01.1900 00:00;11;;
EPT;10.01.1900 00:00;4.8;;
EPT;11.01.1900 00:00;4.2;;
EPT;12.01.1900 00:00;4;;
EPT;13.01.1900 00:00;0;;
EPT;14.01.1900 00:00;0;;
EPT;15.01.1900 00:00;0.8;;
EPT;16.01.1900 00:00;16.2;;
EPT;17.01.1900 00:00;21.2;;
EPT;18.01.1900 00:00;6;;
EPT;19.01.1900 00:00;0;;
EPT;20.01.1900 00:00;2;;
EPT;21.01.1900 00:00;4.2;;
EPT;22.01.1900 00:00;7.6;;
EPT;23.01.1900 00:00;0;;
EPT;24.01.1900 00:00;8.1;;
EPT;25.01.1900 00:00;3;;
EPT;26.01.1900 00:00;0;;
EPT;27.01.1900 00:00;8.6;;
EPT;28.01.1900 00:00;3.6;;
EPT;29.01.1900 00:00;5.4;;
EPT;30.01.1900 00:00;1.6;;
EPT;31.01.1900 00:00;0;;
EPT;01.02.1900 00:00;0;;
EPT;02.02.1900 00:00;0;;
EPT;03.02.1900 00:00;0;;
EPT;04.02.1900 00:00;0;;
EPT;05.02.1900 00:00;0;;
EPT;06.02.1900 00:00;13;;
EPT;07.02.1900 00:00;0;;
EPT;08.02.1900 00:00;0;;
EPT;09.02.1900 00:00;2.2;;
EPT;10.02.1900 00:00;1;;
EPT;11.02.1900 00:00;1.8;;
EPT;12.02.1900 00:00;15.4;;
EPT;13.02.1900 00:00;10;;
EPT;14.02.1900 00:00;5.3;;
EPT;15.02.1900 00:00;0;;
EPT;16.02.1900 00:00;2.5;;
EPT;17.02.1900 00:00;0;;
EPT;18.02.1900 00:00;0.8;;
EPT;19.02.1900 00:00;7.6;;
EPT;20.02.1900 00:00;3.2;;
EPT;21.02.1900 00:00;2.2;;
EPT;22.02.1900 00:00;0.5;;
EPT;23.02.1900 00:00;0.5;;
EPT;24.02.1900 00:00;0;;
EPT;25.02.1900 00:00;0;;
EPT;26.02.1900 00:00;10;;
EPT;27.02.1900 00:00;0;;
EPT;28.02.1900 00:00;1.8;;
EPT;01.03.1900 00:00;7.2;;
EPT;02.03.1900 00:00;2.2;;
EPT;03.03.1900 00:00;2.6;;
EPT;04.03.1900 00:00;0.2;;
EPT;05.03.1900 00:00;0;;
EPT;06.03.1900 00:00;0;;
EPT;07.03.1900 00:00;0;;
EPT;08.03.1900 00:00;0;;
EPT;09.03.1900 00:00;0;;
EPT;10.03.1900 00:00;0;;
EPT;11.03.1900 00:00;0;;
EPT;12.03.1900 00:00;0;;
EPT;13.03.1900 00:00;2.8;;
EPT;14.03.1900 00:00;4.4;;
EPT;15.03.1900 00:00;0;;
EPT;16.03.1900 00:00;0;;
EPT;17.03.1900 00:00;8.6;;
EPT;18.03.1900 00:00;0.8;;
EPT;19.03.1900 00:00;0;;
EPT;20.03.1900 00:00;0;;
EPT;21.03.1900 00:00;0;;
EPT;22.03.1900 00:00;0;;
EPT;23.03.1900 00:00;5.8;;
EPT;24.03.1900 00:00;5;;
EPT;25.03.1900 00:00;1.2;;
EPT;26.03.1900 00:00;0;;
EPT;27.03.1900 00:00;11;;
EPT;28.03.1900 00:00;0.6;;
EPT;29.03.1900 00:00;5.8;;
EPT;30.03.1900 00:00;2.6;;
EPT;31.03.1900 00:00;2.2;;
EPT;01.04.1900 00:00;0.4;;
EPT;02.04.1900 00:00;1.6;;
EPT;03.04.1900 00:00;0;;
EPT;04.04.1900 00:00;2.2;;
EPT;05.04.1900 00:00;0;;
EPT;06.04.1900 00:00;3;;
EPT;07.04.1900 00:00;5.4;;
EPT;08.04.1900 00:00;7;;
EPT;09.04.1900 00:00;0;;
EPT;10.04.1900 00:00;0;;
EPT;11.04.1900 00:00;0;;
EPT;12.04.1900 00:00;1.4;;
EPT;13.04.1900 00:00;5.6;;
EPT;14.04.1900 00:00;0;;
EPT;15.04.1900 00:00;0;;
EPT;16.04.1900 00:00;7;;
EPT;17.04.1900 00:00;0.2;;
EPT;18.04.1900 00:00;0;;
EPT;19.04.1900 00:00;0;;
EPT;20.04.1900 00:00;0;;
EPT;21.04.1900 00:00;0;;
EPT;22.04.1900 00:00;0;;
EPT;23.04.1900 00:00;0.2;;
EPT;24.04.1900 00:00;0;;
EPT;25.04.1900 00:00;0;;
EPT;26.04.1900 00:00;0;;
EPT;27.04.1900 00:00;0;;
EPT;28.04.1900 00:00;0;;
EPT;29.04.1900 00:00;1.4;;
EPT;30.04.1900 00:00;1.8;;
EPT;01.05.1900 00:00;0;;
EPT;02.05.1900 00:00;0;;
EPT;03.05.1900 00:00;2.4;;
EPT;04.05.1900 00:00;0;;
EPT;05.05.1900 00:00;0;;
EPT;06.05.1900 00:00;0;;
EPT;07.05.1900 00:00;11.4;;
EPT;08.05.1900 00:00;3;;
EPT;09.05.1900 00:00;3.8;;
EPT;10.05.1900 00:00;0;;
EPT;11.05.1900 00:00;0;;
EPT;12.05.1900 00:00;0;;
EPT;13.05.1900 00:00;5;;
EPT;14.05.1900 00:00;11.2;;
EPT;15.05.1900 00:00;1.8;;
EPT;16.05.1900 00:00;0;;
EPT;17.05.1900 00:00;0;;
EPT;18.05.1900 00:00;1.9;;
EPT;19.05.1900 00:00;0;;
EPT;20.05.1900 00:00;0;;
EPT;21.05.1900 00:00;0;;
EPT;22.05.1900 00:00;0;;
EPT;23.05.1900 00:00;19.8;;
EPT;24.05.1900 00:00;13.4;;
EPT;25.05.1900 00:00;8.2;;
EPT;26.05.1900 00:00;4.8;;
EPT;27.05.1900 00:00;0;;
EPT;28.05.1900 00:00;0;;
EPT;29.05.1900 00:00;0;;
EPT;30.05.1900 00:00;0;;
EPT;31.05.1900 00:00;0;;
EPT;01.06.1900 00:00;0;;
EPT;02.06.1900 00:00;0;;
EPT;03.06.1900 00:00;0;;
EPT;04.06.1900 00:00;0;;
EPT;05.06.1900 00:00;0;;
EPT;06.06.1900 00:00;1.6;;
EPT;07.06.1900 00:00;3.3;;
EPT;08.06.1900 00:00;0;;
EPT;09.06.1900 00:00;0;;
EPT;10.06.1900 00:00;0;;
EPT;11.06.1900 00:00;0;;
EPT;12.06.1900 00:00;10.2;;
EPT;13.06.1900 00:00;6;;
EPT;14.06.1900 00:00;0;;
EPT;15.06.1900 00:00;1.2;;
EPT;16.06.1900 00:00;1.4;;
EPT;17.06.1900 00:00;0;;
EPT;18.06.1900 00:00;10.2;;
EPT;19.06.1900 00:00;0;;
EPT;20.06.1900 00:00;22.2;;
EPT;21.06.1900 00:00;5;;
EPT;22.06.1900 00:00;10.2;;
EPT;23.06.1900 00:00;0;;
EPT;24.06.1900 00:00;0;;
EPT;25.06.1900 00:00;0.3;;
EPT;26.06.1900 00:00;7.4;;
EPT;27.06.1900 00:00;0;;
EPT;28.06.1900 00:00;0;;
EPT;29.06.1900 00:00;0;;
EPT;30.06.1900 00:00;0;;
EPT;01.07.1900 00:00;0;;
EPT;02.07.1900 00:00;4.2;;
EPT;03.07.1900 00:00;49.4;;
EPT;04.07.1900 00:00;11.2;;
EPT;05.07.1900 00:00;1.9;;
EPT;06.07.1900 00:00;6.4;;
EPT;07.07.1900 00:00;24.6;;
EPT;08.07.1900 00:00;2.4;;
EPT;09.07.1900 00:00;2.6;;
EPT;10.07.1900 00:00;0.8;;
EPT;11.07.1900 00:00;0;;
EPT;12.07.1900 00:00;0;;
EPT;13.07.1900 00:00;0;;
EPT;14.07.1900 00:00;0;;
EPT;15.07.1900 00:00;0;;
EPT;16.07.1900 00:00;0;;
