station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ERB;02.12.1968 00:00;;;0
ERB;03.12.1968 00:00;;;0
ERB;04.12.1968 00:00;;;0
ERB;05.12.1968 00:00;;;0
ERB;06.12.1968 00:00;;;0
ERB;07.12.1968 00:00;;;0
ERB;08.12.1968 00:00;;;0
ERB;09.12.1968 00:00;;;0
ERB;10.12.1968 00:00;;;0
ERB;11.12.1968 00:00;;;0
ERB;12.12.1968 00:00;;;0
ERB;13.12.1968 00:00;;;0
ERB;14.12.1968 00:00;;;0
ERB;15.12.1968 00:00;;;0
ERB;16.12.1968 00:00;;;0
ERB;17.12.1968 00:00;;;0
ERB;18.12.1968 00:00;;;0
ERB;19.12.1968 00:00;;;0
ERB;20.12.1968 00:00;;;0
ERB;21.12.1968 00:00;;;0
ERB;22.12.1968 00:00;;;0
ERB;23.12.1968 00:00;;;0
ERB;24.12.1968 00:00;;;0
ERB;25.12.1968 00:00;;;12
ERB;26.12.1968 00:00;;;19
ERB;27.12.1968 00:00;;;16
ERB;28.12.1968 00:00;;;16
ERB;29.12.1968 00:00;;;20
ERB;30.12.1968 00:00;;;21
ERB;31.12.1968 00:00;;;18
ERB;01.01.1969 00:00;0;1;17
ERB;02.01.1969 00:00;3;3;15
ERB;03.01.1969 00:00;0;0;17
ERB;04.01.1969 00:00;0;0;17
ERB;05.01.1969 00:00;0;0;16
ERB;06.01.1969 00:00;0;0;16
ERB;07.01.1969 00:00;0;0;15
ERB;08.01.1969 00:00;2.7;3;15
ERB;09.01.1969 00:00;0;0;17
ERB;10.01.1969 00:00;0;0;17
ERB;11.01.1969 00:00;0;0;17
ERB;12.01.1969 00:00;0;0;17
ERB;13.01.1969 00:00;0;0;17
ERB;14.01.1969 00:00;2.6;0;17
ERB;15.01.1969 00:00;0;1;17
ERB;16.01.1969 00:00;2.6;4;15
ERB;17.01.1969 00:00;0;0;19
ERB;18.01.1969 00:00;4.8;0;19
ERB;19.01.1969 00:00;0.6;0;16
ERB;20.01.1969 00:00;0;0;16
ERB;21.01.1969 00:00;0;0;16
ERB;22.01.1969 00:00;0.1;0;16
ERB;23.01.1969 00:00;4.6;0;16
ERB;24.01.1969 00:00;0;0;15
ERB;25.01.1969 00:00;0;0;15
ERB;26.01.1969 00:00;0;0;15
ERB;27.01.1969 00:00;0;0;15
ERB;28.01.1969 00:00;7.7;0;15
ERB;29.01.1969 00:00;4.5;0;14
ERB;30.01.1969 00:00;0;0;13
ERB;31.01.1969 00:00;0;0;13
ERB;01.02.1969 00:00;0;0;13
ERB;02.02.1969 00:00;6.9;8;13
ERB;03.02.1969 00:00;0;0;19
ERB;04.02.1969 00:00;0;0;28
ERB;05.02.1969 00:00;0;0;25
ERB;06.02.1969 00:00;0.1;0;24
ERB;07.02.1969 00:00;2.8;8;24
ERB;08.02.1969 00:00;0.8;1;23
ERB;09.02.1969 00:00;0;0;21
ERB;10.02.1969 00:00;5.7;;24
ERB;11.02.1969 00:00;6.5;10;23
ERB;12.02.1969 00:00;8.8;12;30
ERB;13.02.1969 00:00;0;8;40
ERB;14.02.1969 00:00;1.8;15;42
ERB;15.02.1969 00:00;6.8;6;40
ERB;16.02.1969 00:00;0;1;45
ERB;17.02.1969 00:00;0.5;0;45
ERB;18.02.1969 00:00;2;3;42
ERB;19.02.1969 00:00;3.3;;44
ERB;20.02.1969 00:00;0;0;38
ERB;21.02.1969 00:00;0;0;34
ERB;22.02.1969 00:00;0;0;29
ERB;23.02.1969 00:00;0.4;;26
ERB;24.02.1969 00:00;8.9;;24
ERB;25.02.1969 00:00;7.6;;20
ERB;26.02.1969 00:00;0;0;25
ERB;27.02.1969 00:00;0;0;27
ERB;28.02.1969 00:00;0;0;26
ERB;01.03.1969 00:00;0;0;26
ERB;02.03.1969 00:00;0;0;25
ERB;03.03.1969 00:00;0;0;25
ERB;04.03.1969 00:00;0;0;24
ERB;05.03.1969 00:00;0;0;23
ERB;06.03.1969 00:00;0.9;;22
ERB;07.03.1969 00:00;0;0;22
ERB;08.03.1969 00:00;0;0;22
ERB;09.03.1969 00:00;0;0;22
ERB;10.03.1969 00:00;0;0;22
ERB;11.03.1969 00:00;2.9;;21
ERB;12.03.1969 00:00;1;;20
ERB;13.03.1969 00:00;3;;19
ERB;14.03.1969 00:00;3.8;;18
ERB;15.03.1969 00:00;0.2;;16
ERB;16.03.1969 00:00;0;0;14
ERB;17.03.1969 00:00;5.5;;12
ERB;18.03.1969 00:00;0;0;9
ERB;19.03.1969 00:00;0;0;7
ERB;20.03.1969 00:00;2;;4
ERB;21.03.1969 00:00;0;0;1
ERB;22.03.1969 00:00;1.5;;2
ERB;23.03.1969 00:00;16.7;;0
ERB;24.03.1969 00:00;0;0;0
ERB;25.03.1969 00:00;0;0;6
ERB;26.03.1969 00:00;0;0;8
ERB;27.03.1969 00:00;1;;4
ERB;28.03.1969 00:00;0;0;3
