station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
EUT;01.10.1972 00:00;;0;
EUT;02.10.1972 00:00;;0;
EUT;03.10.1972 00:00;;0;
EUT;04.10.1972 00:00;;0;
EUT;05.10.1972 00:00;;0;
EUT;06.10.1972 00:00;;0;
EUT;07.10.1972 00:00;;0;
EUT;08.10.1972 00:00;;0;
EUT;09.10.1972 00:00;;0;
EUT;10.10.1972 00:00;;0;
EUT;11.10.1972 00:00;;0;
EUT;12.10.1972 00:00;;0;
EUT;13.10.1972 00:00;;0;
EUT;14.10.1972 00:00;;0;
EUT;15.10.1972 00:00;;0;
EUT;16.10.1972 00:00;;0;
EUT;17.10.1972 00:00;;0;
EUT;18.10.1972 00:00;;0;
EUT;19.10.1972 00:00;;0;
EUT;20.10.1972 00:00;;2;
EUT;21.10.1972 00:00;;7;2
EUT;22.10.1972 00:00;;5;10
EUT;23.10.1972 00:00;;0;15
EUT;24.10.1972 00:00;;0;10
EUT;25.10.1972 00:00;;0;6
EUT;26.10.1972 00:00;;0;3
EUT;27.10.1972 00:00;;0;0
EUT;28.10.1972 00:00;;0;0
EUT;29.10.1972 00:00;;0;0
EUT;30.10.1972 00:00;;0;0
EUT;31.10.1972 00:00;;0;0
EUT;01.11.1972 00:00;;0;0
EUT;02.11.1972 00:00;;0;0
EUT;03.11.1972 00:00;;0;0
EUT;04.11.1972 00:00;;0;0
EUT;05.11.1972 00:00;;0;0
EUT;06.11.1972 00:00;;0;0
EUT;07.11.1972 00:00;;0;0
EUT;08.11.1972 00:00;;0;0
EUT;09.11.1972 00:00;;0;0
EUT;10.11.1972 00:00;;0;0
EUT;11.11.1972 00:00;;8;0
EUT;12.11.1972 00:00;;0;8
EUT;13.11.1972 00:00;;0;0
EUT;14.11.1972 00:00;;2;0
EUT;15.11.1972 00:00;;10;2
EUT;16.11.1972 00:00;;0;10
EUT;17.11.1972 00:00;;10;0
EUT;18.11.1972 00:00;;4;10
EUT;19.11.1972 00:00;;0;7
EUT;20.11.1972 00:00;;0;7
EUT;21.11.1972 00:00;;0;0
EUT;22.11.1972 00:00;;2;0
EUT;23.11.1972 00:00;;7;2
EUT;24.11.1972 00:00;;11;9
EUT;25.11.1972 00:00;;3;17
EUT;26.11.1972 00:00;;0;17
EUT;27.11.1972 00:00;;0;17
EUT;28.11.1972 00:00;;0;17
EUT;29.11.1972 00:00;;0;15
EUT;30.11.1972 00:00;;;11
EUT;01.12.1972 00:00;;0;11
EUT;02.12.1972 00:00;;0;8
EUT;03.12.1972 00:00;;0;8
EUT;04.12.1972 00:00;;0;7
EUT;05.12.1972 00:00;;0;5
EUT;06.12.1972 00:00;;0;3
EUT;07.12.1972 00:00;;0;3
EUT;08.12.1972 00:00;;0;3
EUT;09.12.1972 00:00;;3;3
EUT;10.12.1972 00:00;;0;5
EUT;11.12.1972 00:00;;0;5
EUT;12.12.1972 00:00;;0;4
EUT;13.12.1972 00:00;;0;4
EUT;14.12.1972 00:00;;0;4
EUT;15.12.1972 00:00;;0;4
EUT;16.12.1972 00:00;;0;4
EUT;17.12.1972 00:00;;0;4
EUT;18.12.1972 00:00;;0;4
EUT;19.12.1972 00:00;;0;4
EUT;20.12.1972 00:00;;0;4
EUT;21.12.1972 00:00;;0;4
EUT;22.12.1972 00:00;;0;4
EUT;23.12.1972 00:00;;0;4
EUT;24.12.1972 00:00;;0;4
EUT;25.12.1972 00:00;;0;4
EUT;26.12.1972 00:00;;0;4
EUT;27.12.1972 00:00;;0;4
EUT;28.12.1972 00:00;;0;3
EUT;29.12.1972 00:00;;0;3
EUT;30.12.1972 00:00;;0;3
EUT;31.12.1972 00:00;;0;3
EUT;01.01.1973 00:00;0;0;2
EUT;02.01.1973 00:00;0;0;2
EUT;03.01.1973 00:00;0.7;0;2
EUT;04.01.1973 00:00;0;0;2
EUT;05.01.1973 00:00;0;0;2
EUT;06.01.1973 00:00;0;0;2
EUT;07.01.1973 00:00;0;0;2
EUT;08.01.1973 00:00;0;0;2
EUT;09.01.1973 00:00;0;0;2
EUT;10.01.1973 00:00;0;0;2
EUT;11.01.1973 00:00;0;0;2
EUT;12.01.1973 00:00;0;0;2
EUT;13.01.1973 00:00;0;0;2
EUT;14.01.1973 00:00;0;0;2
EUT;15.01.1973 00:00;11;7;2
EUT;16.01.1973 00:00;3.8;4;8
EUT;17.01.1973 00:00;0;0;10
EUT;18.01.1973 00:00;1.4;2;10
EUT;19.01.1973 00:00;0.9;0;11
EUT;20.01.1973 00:00;0;0;9
EUT;21.01.1973 00:00;1.5;1;9
EUT;22.01.1973 00:00;0.6;0;12
EUT;23.01.1973 00:00;0;0;10
EUT;24.01.1973 00:00;0;0;10
EUT;25.01.1973 00:00;0;0;10
EUT;26.01.1973 00:00;1.2;4;10
EUT;27.01.1973 00:00;19;16;15
EUT;28.01.1973 00:00;8.5;8;26
EUT;29.01.1973 00:00;1.4;0;38
EUT;30.01.1973 00:00;0;0;30
EUT;31.01.1973 00:00;6.4;6;22
EUT;01.02.1973 00:00;0.2;0;27
EUT;02.02.1973 00:00;0.4;0;27
EUT;03.02.1973 00:00;0;0;25
EUT;04.02.1973 00:00;0;0;22
EUT;05.02.1973 00:00;0;0;22
EUT;06.02.1973 00:00;0;0;22
EUT;07.02.1973 00:00;0;0;20
EUT;08.02.1973 00:00;0;0;20
EUT;09.02.1973 00:00;6;10;20
EUT;10.02.1973 00:00;14.8;22;28
EUT;11.02.1973 00:00;4;7;50
EUT;12.02.1973 00:00;9;2;50
EUT;13.02.1973 00:00;13.6;14;42
EUT;14.02.1973 00:00;0;0;55
EUT;15.02.1973 00:00;0;0;50
EUT;16.02.1973 00:00;0;0;49
EUT;17.02.1973 00:00;0;0;46
EUT;18.02.1973 00:00;4.6;8;45
EUT;19.02.1973 00:00;1.5;1;53
EUT;20.02.1973 00:00;0;0;53
EUT;21.02.1973 00:00;7.6;3;50
EUT;22.02.1973 00:00;11.7;12;50
EUT;23.02.1973 00:00;5.8;10;60
EUT;24.02.1973 00:00;6.8;9;60
EUT;25.02.1973 00:00;4.2;7;65
EUT;26.02.1973 00:00;8.4;18;70
EUT;27.02.1973 00:00;1.7;3;82
EUT;28.02.1973 00:00;0;0;77
EUT;01.03.1973 00:00;0;0;70
EUT;02.03.1973 00:00;5.3;9;68
EUT;03.03.1973 00:00;0;0;75
EUT;04.03.1973 00:00;0;0;65
EUT;05.03.1973 00:00;0;0;60
EUT;06.03.1973 00:00;11.8;3;60
EUT;07.03.1973 00:00;1.6;3;65
EUT;08.03.1973 00:00;0.8;2;62
EUT;09.03.1973 00:00;3.7;6;62
EUT;10.03.1973 00:00;0;0;68
EUT;11.03.1973 00:00;0;0;67
EUT;12.03.1973 00:00;1.3;1;65
EUT;13.03.1973 00:00;0.3;0;65
EUT;14.03.1973 00:00;0;0;65
EUT;15.03.1973 00:00;0;0;63
EUT;16.03.1973 00:00;0;0;63
EUT;17.03.1973 00:00;0;0;63
EUT;18.03.1973 00:00;11.6;7;59
EUT;19.03.1973 00:00;5.2;0;68
EUT;20.03.1973 00:00;0;0;70
EUT;21.03.1973 00:00;0;0;65
EUT;22.03.1973 00:00;0;0;62
EUT;23.03.1973 00:00;0;0;60
EUT;24.03.1973 00:00;0;0;57
EUT;25.03.1973 00:00;0;0;50
EUT;26.03.1973 00:00;0;0;48
EUT;27.03.1973 00:00;0;0;45
EUT;28.03.1973 00:00;0;0;38
EUT;29.03.1973 00:00;1.4;0;32
EUT;30.03.1973 00:00;1.3;0;30
EUT;31.03.1973 00:00;1.5;0;28
EUT;01.04.1973 00:00;0;0;23
EUT;02.04.1973 00:00;10.5;4;20
EUT;03.04.1973 00:00;3.5;5;18
EUT;04.04.1973 00:00;0.2;0;30
EUT;05.04.1973 00:00;0;0;22
EUT;06.04.1973 00:00;3.7;0;18
EUT;07.04.1973 00:00;6;0;10
EUT;08.04.1973 00:00;2;2;10
EUT;09.04.1973 00:00;10.4;11;10
EUT;10.04.1973 00:00;13.8;12;25
EUT;11.04.1973 00:00;6.4;14;40
EUT;12.04.1973 00:00;15;8;45
EUT;13.04.1973 00:00;0.4;0;49
EUT;14.04.1973 00:00;0;0;35
EUT;15.04.1973 00:00;3.7;3;30
EUT;16.04.1973 00:00;0.1;0;30
EUT;17.04.1973 00:00;14.1;2;22
EUT;18.04.1973 00:00;6.6;0;23
EUT;19.04.1973 00:00;24.1;13;18
EUT;20.04.1973 00:00;10;7;44
EUT;21.04.1973 00:00;0.6;0;50
EUT;22.04.1973 00:00;0;0;37
EUT;23.04.1973 00:00;0;0;29
EUT;24.04.1973 00:00;0.1;0;20
EUT;25.04.1973 00:00;1.5;0;16
EUT;26.04.1973 00:00;0;0;12
EUT;27.04.1973 00:00;0;0;10
EUT;28.04.1973 00:00;0;0;10
EUT;29.04.1973 00:00;1.5;0;5
EUT;30.04.1973 00:00;0;0;0
EUT;01.05.1973 00:00;0.3;;0
EUT;02.05.1973 00:00;0.4;;
EUT;03.05.1973 00:00;0;0;
EUT;04.05.1973 00:00;0;0;
EUT;05.05.1973 00:00;3.3;;
EUT;06.05.1973 00:00;6.6;;
EUT;07.05.1973 00:00;18.8;;
EUT;08.05.1973 00:00;13.2;;
EUT;09.05.1973 00:00;0.6;;
EUT;10.05.1973 00:00;11.5;;
EUT;11.05.1973 00:00;2.3;;
EUT;12.05.1973 00:00;0;0;
EUT;13.05.1973 00:00;0;0;
EUT;14.05.1973 00:00;0.2;;
EUT;15.05.1973 00:00;0;0;
EUT;16.05.1973 00:00;0;0;
EUT;17.05.1973 00:00;0.5;;
EUT;18.05.1973 00:00;0;0;
EUT;19.05.1973 00:00;0;0;
EUT;20.05.1973 00:00;0;0;
EUT;21.05.1973 00:00;0;0;
EUT;22.05.1973 00:00;5.2;;
EUT;23.05.1973 00:00;21.3;;
EUT;24.05.1973 00:00;0;0;
EUT;25.05.1973 00:00;0;0;
EUT;26.05.1973 00:00;0;0;
EUT;27.05.1973 00:00;0;0;
EUT;28.05.1973 00:00;8.7;;
