station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
FIO;01.04.1996 00:00;6.5;;
FIO;02.04.1996 00:00;7.9;;
FIO;03.04.1996 00:00;2.4;;
FIO;04.04.1996 00:00;0;;
FIO;05.04.1996 00:00;0;;
FIO;06.04.1996 00:00;0;;
FIO;07.04.1996 00:00;0;;
FIO;08.04.1996 00:00;3.3;;
FIO;09.04.1996 00:00;0;;
FIO;10.04.1996 00:00;0;;
FIO;11.04.1996 00:00;2.1;;
FIO;12.04.1996 00:00;0;;
FIO;13.04.1996 00:00;2.7;;
FIO;14.04.1996 00:00;0.7;;
FIO;15.04.1996 00:00;0;;
FIO;16.04.1996 00:00;0;;
FIO;17.04.1996 00:00;1.5;;
FIO;18.04.1996 00:00;0.3;;
FIO;19.04.1996 00:00;0;;
FIO;20.04.1996 00:00;0;;
FIO;21.04.1996 00:00;0;;
FIO;22.04.1996 00:00;0;;
FIO;23.04.1996 00:00;1.8;;
FIO;24.04.1996 00:00;0;;
FIO;25.04.1996 00:00;0;;
FIO;26.04.1996 00:00;0;;
FIO;27.04.1996 00:00;0;;
FIO;28.04.1996 00:00;0;;
FIO;29.04.1996 00:00;6.1;;
FIO;30.04.1996 00:00;10.7;;
FIO;01.05.1996 00:00;3.3;;
FIO;02.05.1996 00:00;5.7;;
FIO;03.05.1996 00:00;3.8;;
FIO;04.05.1996 00:00;0;;
FIO;05.05.1996 00:00;0;;
FIO;06.05.1996 00:00;0;;
FIO;07.05.1996 00:00;0;;
FIO;08.05.1996 00:00;1.4;;
FIO;09.05.1996 00:00;17.3;;
FIO;10.05.1996 00:00;5.1;;
FIO;11.05.1996 00:00;1.8;;
FIO;12.05.1996 00:00;26.2;;
FIO;13.05.1996 00:00;1.3;;
FIO;14.05.1996 00:00;0;;
FIO;15.05.1996 00:00;0;;
FIO;16.05.1996 00:00;10.8;;
FIO;17.05.1996 00:00;1.9;;
FIO;18.05.1996 00:00;0.4;;
FIO;19.05.1996 00:00;17.1;;
FIO;20.05.1996 00:00;0.6;;
FIO;21.05.1996 00:00;3.1;;
FIO;22.05.1996 00:00;0.3;;
FIO;23.05.1996 00:00;0.4;;
FIO;24.05.1996 00:00;7.3;;
FIO;25.05.1996 00:00;14.7;;
FIO;26.05.1996 00:00;1;;
FIO;27.05.1996 00:00;28;;
FIO;28.05.1996 00:00;4;;
FIO;29.05.1996 00:00;0;;
FIO;30.05.1996 00:00;0;;
FIO;31.05.1996 00:00;0;;
FIO;01.06.1996 00:00;6.8;;
FIO;02.06.1996 00:00;1.2;;
FIO;03.06.1996 00:00;0;;
FIO;04.06.1996 00:00;0;;
FIO;05.06.1996 00:00;0;;
FIO;06.06.1996 00:00;0;;
FIO;07.06.1996 00:00;0;;
FIO;08.06.1996 00:00;1;;
FIO;09.06.1996 00:00;0;;
FIO;10.06.1996 00:00;7.9;;
FIO;11.06.1996 00:00;0;;
FIO;12.06.1996 00:00;0;;
FIO;13.06.1996 00:00;0;;
FIO;14.06.1996 00:00;0;;
FIO;15.06.1996 00:00;0;;
FIO;16.06.1996 00:00;0;;
FIO;17.06.1996 00:00;0;;
FIO;18.06.1996 00:00;0;;
FIO;19.06.1996 00:00;0;;
FIO;20.06.1996 00:00;5.2;;
FIO;21.06.1996 00:00;20.5;;
FIO;22.06.1996 00:00;23;;
FIO;23.06.1996 00:00;0.9;;
FIO;24.06.1996 00:00;4.1;;
FIO;25.06.1996 00:00;13.8;;
FIO;26.06.1996 00:00;1.8;;
FIO;27.06.1996 00:00;0;;
FIO;28.06.1996 00:00;0;;
FIO;29.06.1996 00:00;0;;
FIO;30.06.1996 00:00;0.1;;
FIO;01.07.1996 00:00;3.6;;
FIO;02.07.1996 00:00;0.4;;
FIO;03.07.1996 00:00;0;;
FIO;04.07.1996 00:00;8.8;;
FIO;05.07.1996 00:00;17.5;;
FIO;06.07.1996 00:00;1.9;;
FIO;07.07.1996 00:00;39.6;;
FIO;08.07.1996 00:00;37;;
FIO;09.07.1996 00:00;0.1;;
FIO;10.07.1996 00:00;0.1;;
FIO;11.07.1996 00:00;0;;
FIO;12.07.1996 00:00;0;;
FIO;13.07.1996 00:00;0;;
FIO;14.07.1996 00:00;0;;
FIO;15.07.1996 00:00;0;;
FIO;16.07.1996 00:00;0;;
FIO;17.07.1996 00:00;0;;
FIO;18.07.1996 00:00;0;;
FIO;19.07.1996 00:00;0;;
FIO;20.07.1996 00:00;0;;
FIO;21.07.1996 00:00;0;;
FIO;22.07.1996 00:00;0;;
FIO;23.07.1996 00:00;11.4;;
FIO;24.07.1996 00:00;10;;
FIO;25.07.1996 00:00;0;;
FIO;26.07.1996 00:00;0;;
FIO;27.07.1996 00:00;2.8;;
FIO;28.07.1996 00:00;2.8;;
FIO;29.07.1996 00:00;1.5;;
FIO;30.07.1996 00:00;1;;
FIO;31.07.1996 00:00;0;;
FIO;01.08.1996 00:00;4;;
FIO;02.08.1996 00:00;11.3;;
FIO;03.08.1996 00:00;0.7;;
FIO;04.08.1996 00:00;0;;
FIO;05.08.1996 00:00;6.7;;
FIO;06.08.1996 00:00;2.6;;
FIO;07.08.1996 00:00;8.3;;
FIO;08.08.1996 00:00;0.8;;
FIO;09.08.1996 00:00;0.6;;
FIO;10.08.1996 00:00;16.6;;
FIO;11.08.1996 00:00;5.8;;
FIO;12.08.1996 00:00;0.8;;
FIO;13.08.1996 00:00;1.1;;
FIO;14.08.1996 00:00;0.6;;
FIO;15.08.1996 00:00;0;;
FIO;16.08.1996 00:00;0;;
FIO;17.08.1996 00:00;0;;
FIO;18.08.1996 00:00;0;;
FIO;19.08.1996 00:00;5;;
FIO;20.08.1996 00:00;8.9;;
FIO;21.08.1996 00:00;15.5;;
FIO;22.08.1996 00:00;4.6;;
FIO;23.08.1996 00:00;0.5;;
FIO;24.08.1996 00:00;0.7;;
FIO;25.08.1996 00:00;0;;
FIO;26.08.1996 00:00;1.5;;
FIO;27.08.1996 00:00;14;;
FIO;28.08.1996 00:00;0;;
FIO;29.08.1996 00:00;0;;
FIO;30.08.1996 00:00;0;;
FIO;31.08.1996 00:00;0;;
FIO;01.09.1996 00:00;0.3;;
FIO;02.09.1996 00:00;1.7;;
FIO;03.09.1996 00:00;0;;
FIO;04.09.1996 00:00;0;;
FIO;05.09.1996 00:00;0;;
FIO;06.09.1996 00:00;0;;
FIO;07.09.1996 00:00;0;;
FIO;08.09.1996 00:00;0;;
FIO;09.09.1996 00:00;0;;
FIO;10.09.1996 00:00;0;;
FIO;11.09.1996 00:00;0;;
FIO;12.09.1996 00:00;7.6;;
FIO;13.09.1996 00:00;5;;
FIO;14.09.1996 00:00;0;;
FIO;15.09.1996 00:00;0;;
FIO;16.09.1996 00:00;0;;
FIO;17.09.1996 00:00;0;;
FIO;18.09.1996 00:00;0.4;;
FIO;19.09.1996 00:00;0;;
FIO;20.09.1996 00:00;0;;
FIO;21.09.1996 00:00;2.6;;
FIO;22.09.1996 00:00;9.9;;
FIO;23.09.1996 00:00;13;;
FIO;24.09.1996 00:00;0;;
FIO;25.09.1996 00:00;0;;
FIO;26.09.1996 00:00;0;;
FIO;27.09.1996 00:00;9.7;;
FIO;28.09.1996 00:00;0;;
FIO;29.09.1996 00:00;0;;
FIO;30.09.1996 00:00;0;;
FIO;01.10.1996 00:00;15.8;;
FIO;02.10.1996 00:00;2;;
FIO;03.10.1996 00:00;0;;
FIO;04.10.1996 00:00;0;;
FIO;05.10.1996 00:00;5.1;;
FIO;06.10.1996 00:00;0;;
FIO;07.10.1996 00:00;0;;
FIO;08.10.1996 00:00;1.5;;
FIO;09.10.1996 00:00;0.5;;
FIO;10.10.1996 00:00;8;;
FIO;11.10.1996 00:00;0;;
FIO;12.10.1996 00:00;0;;
FIO;13.10.1996 00:00;0;;
FIO;14.10.1996 00:00;0.2;;
FIO;15.10.1996 00:00;31;;
FIO;16.10.1996 00:00;16.4;;
FIO;17.10.1996 00:00;1.3;;
FIO;18.10.1996 00:00;0;;
FIO;19.10.1996 00:00;6.4;;
FIO;20.10.1996 00:00;5.1;;
FIO;21.10.1996 00:00;12.6;;
FIO;22.10.1996 00:00;0;;
FIO;23.10.1996 00:00;0;;
FIO;24.10.1996 00:00;0;;
FIO;25.10.1996 00:00;0;;
FIO;26.10.1996 00:00;2.1;;
FIO;27.10.1996 00:00;0;;
FIO;28.10.1996 00:00;2.4;;
FIO;29.10.1996 00:00;17.8;;
FIO;30.10.1996 00:00;0;;
FIO;31.10.1996 00:00;0.4;;
FIO;01.11.1996 00:00;0.1;;
FIO;02.11.1996 00:00;0;;
FIO;03.11.1996 00:00;0;;
FIO;04.11.1996 00:00;0;;
FIO;05.11.1996 00:00;5.4;;
FIO;06.11.1996 00:00;0;;
FIO;07.11.1996 00:00;9.1;;
FIO;08.11.1996 00:00;0;;
FIO;09.11.1996 00:00;0;;
FIO;10.11.1996 00:00;0;;
FIO;11.11.1996 00:00;0;;
FIO;12.11.1996 00:00;10.8;;
FIO;13.11.1996 00:00;18.8;;
FIO;14.11.1996 00:00;2.1;;
FIO;15.11.1996 00:00;0;;
FIO;16.11.1996 00:00;3.4;;
FIO;17.11.1996 00:00;1.6;;
FIO;18.11.1996 00:00;16.4;;
FIO;19.11.1996 00:00;5.6;;
FIO;20.11.1996 00:00;13.3;;
FIO;21.11.1996 00:00;14.9;;
FIO;22.11.1996 00:00;2.4;;
FIO;23.11.1996 00:00;14.3;;
FIO;24.11.1996 00:00;10.1;;
FIO;25.11.1996 00:00;22.8;;
FIO;26.11.1996 00:00;11;;
FIO;27.11.1996 00:00;21.7;;
