station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
FIT;01.08.1999 00:00;0.3;;
FIT;02.08.1999 00:00;0;;
FIT;03.08.1999 00:00;0;;
FIT;04.08.1999 00:00;0;;
FIT;05.08.1999 00:00;3.5;;
FIT;06.08.1999 00:00;3.1;;
FIT;07.08.1999 00:00;0;;
FIT;08.08.1999 00:00;1;;
FIT;09.08.1999 00:00;0.2;;
FIT;10.08.1999 00:00;9.2;;
FIT;11.08.1999 00:00;0;;
FIT;12.08.1999 00:00;14.1;;
FIT;13.08.1999 00:00;0;;
FIT;14.08.1999 00:00;0.2;;
FIT;15.08.1999 00:00;0;;
FIT;16.08.1999 00:00;14.9;;
FIT;17.08.1999 00:00;0;;
FIT;18.08.1999 00:00;0;;
FIT;19.08.1999 00:00;18.7;;
FIT;20.08.1999 00:00;2.1;;
FIT;21.08.1999 00:00;0;;
FIT;22.08.1999 00:00;0;;
FIT;23.08.1999 00:00;4.4;;
FIT;24.08.1999 00:00;0;;
FIT;25.08.1999 00:00;0.3;;
FIT;26.08.1999 00:00;2.8;;
FIT;27.08.1999 00:00;0;;
FIT;28.08.1999 00:00;0;;
FIT;29.08.1999 00:00;0;;
FIT;30.08.1999 00:00;0;;
FIT;31.08.1999 00:00;0;;
FIT;01.09.1999 00:00;0;;
FIT;02.09.1999 00:00;1.4;;
FIT;03.09.1999 00:00;0;;
FIT;04.09.1999 00:00;5.1;;
FIT;05.09.1999 00:00;0;;
FIT;06.09.1999 00:00;1.3;;
FIT;07.09.1999 00:00;0;;
FIT;08.09.1999 00:00;0;;
FIT;09.09.1999 00:00;0;;
FIT;10.09.1999 00:00;0;;
FIT;11.09.1999 00:00;0;;
FIT;12.09.1999 00:00;0;;
FIT;13.09.1999 00:00;0;;
FIT;14.09.1999 00:00;0;;
FIT;15.09.1999 00:00;0;;
FIT;16.09.1999 00:00;0;;
FIT;17.09.1999 00:00;4.7;;
FIT;18.09.1999 00:00;0;;
FIT;19.09.1999 00:00;27.1;;
FIT;20.09.1999 00:00;60.4;;
FIT;21.09.1999 00:00;0.3;;
FIT;22.09.1999 00:00;0;;
FIT;23.09.1999 00:00;0;;
FIT;24.09.1999 00:00;0;;
FIT;25.09.1999 00:00;4.7;;
FIT;26.09.1999 00:00;1.2;;
FIT;27.09.1999 00:00;6.7;;
FIT;28.09.1999 00:00;0;;
FIT;29.09.1999 00:00;1.8;;
FIT;30.09.1999 00:00;7.7;;
FIT;01.10.1999 00:00;0;;
FIT;02.10.1999 00:00;6.5;;
FIT;03.10.1999 00:00;11.2;;
FIT;04.10.1999 00:00;0;;
FIT;05.10.1999 00:00;0;;
FIT;06.10.1999 00:00;0;;
FIT;07.10.1999 00:00;0;;
FIT;08.10.1999 00:00;0;;
FIT;09.10.1999 00:00;0;;
FIT;10.10.1999 00:00;0;;
FIT;11.10.1999 00:00;0;;
FIT;12.10.1999 00:00;0;;
FIT;13.10.1999 00:00;0;;
FIT;14.10.1999 00:00;0;;
FIT;15.10.1999 00:00;0.1;;
FIT;16.10.1999 00:00;0;;
FIT;17.10.1999 00:00;0;;
FIT;18.10.1999 00:00;0;;
FIT;19.10.1999 00:00;1.8;;
FIT;20.10.1999 00:00;0;;
FIT;21.10.1999 00:00;12.2;;
FIT;22.10.1999 00:00;1.2;;
FIT;23.10.1999 00:00;5.5;;
FIT;24.10.1999 00:00;1.2;;
FIT;25.10.1999 00:00;0.6;;
FIT;26.10.1999 00:00;0;;
FIT;27.10.1999 00:00;0;;
FIT;28.10.1999 00:00;0;;
FIT;29.10.1999 00:00;0;;
FIT;30.10.1999 00:00;0.4;;
FIT;31.10.1999 00:00;0;;
FIT;01.11.1999 00:00;0;;
FIT;02.11.1999 00:00;2.9;;
FIT;03.11.1999 00:00;2.8;;
FIT;04.11.1999 00:00;4;;
FIT;05.11.1999 00:00;2.1;;
FIT;06.11.1999 00:00;8.5;;
FIT;07.11.1999 00:00;0.1;;
