station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
FLI;01.01.1961 00:00;4;;
FLI;02.01.1961 00:00;0;;
FLI;03.01.1961 00:00;28.5;;
FLI;04.01.1961 00:00;0;;
FLI;05.01.1961 00:00;2;;
FLI;06.01.1961 00:00;0;;
FLI;07.01.1961 00:00;0.6;;
FLI;08.01.1961 00:00;0;;
FLI;09.01.1961 00:00;0;;
FLI;10.01.1961 00:00;2;;
FLI;11.01.1961 00:00;2.5;;
FLI;12.01.1961 00:00;0;;
FLI;13.01.1961 00:00;0;;
FLI;14.01.1961 00:00;0;;
FLI;15.01.1961 00:00;0;;
FLI;16.01.1961 00:00;0;;
FLI;17.01.1961 00:00;0;;
FLI;18.01.1961 00:00;0;;
FLI;19.01.1961 00:00;0;;
FLI;20.01.1961 00:00;0;;
FLI;21.01.1961 00:00;0;;
FLI;22.01.1961 00:00;0;;
FLI;23.01.1961 00:00;0;;
FLI;24.01.1961 00:00;0;;
FLI;25.01.1961 00:00;0.6;;
FLI;26.01.1961 00:00;1.2;;
FLI;27.01.1961 00:00;0;;
FLI;28.01.1961 00:00;1.6;;
FLI;29.01.1961 00:00;0;;
FLI;30.01.1961 00:00;0;;
FLI;31.01.1961 00:00;6.1;;
FLI;01.02.1961 00:00;20.2;;
FLI;02.02.1961 00:00;42;;
FLI;03.02.1961 00:00;24.9;;
FLI;04.02.1961 00:00;23.1;;
FLI;05.02.1961 00:00;14.8;;
FLI;06.02.1961 00:00;2.8;;
FLI;07.02.1961 00:00;17.5;;
FLI;08.02.1961 00:00;1.5;;
FLI;09.02.1961 00:00;19;;
FLI;10.02.1961 00:00;0;;
FLI;11.02.1961 00:00;7.2;;
FLI;12.02.1961 00:00;11.6;;
FLI;13.02.1961 00:00;0;;
FLI;14.02.1961 00:00;0;;
FLI;15.02.1961 00:00;0;;
FLI;16.02.1961 00:00;0;;
FLI;17.02.1961 00:00;0;;
FLI;18.02.1961 00:00;0;;
FLI;19.02.1961 00:00;0;;
FLI;20.02.1961 00:00;0;;
FLI;21.02.1961 00:00;0;;
FLI;22.02.1961 00:00;0;;
FLI;23.02.1961 00:00;0;;
FLI;24.02.1961 00:00;0;;
FLI;25.02.1961 00:00;0;;
FLI;26.02.1961 00:00;0;;
FLI;27.02.1961 00:00;0;;
FLI;28.02.1961 00:00;10.8;;
FLI;01.03.1961 00:00;10.3;;
FLI;02.03.1961 00:00;7.2;;
FLI;03.03.1961 00:00;6.8;;
FLI;04.03.1961 00:00;0;;
FLI;05.03.1961 00:00;0;;
FLI;06.03.1961 00:00;0;;
FLI;07.03.1961 00:00;0;;
FLI;08.03.1961 00:00;0;;
FLI;09.03.1961 00:00;0;;
FLI;10.03.1961 00:00;0;;
FLI;11.03.1961 00:00;0;;
FLI;12.03.1961 00:00;0;;
FLI;13.03.1961 00:00;0;;
FLI;14.03.1961 00:00;0;;
FLI;15.03.1961 00:00;0;;
FLI;16.03.1961 00:00;0;;
FLI;17.03.1961 00:00;0;;
FLI;18.03.1961 00:00;5.4;;
FLI;19.03.1961 00:00;2.3;;
FLI;20.03.1961 00:00;0;;
FLI;21.03.1961 00:00;8.2;;
FLI;22.03.1961 00:00;0;;
FLI;23.03.1961 00:00;0;;
FLI;24.03.1961 00:00;0;;
FLI;25.03.1961 00:00;0;;
FLI;26.03.1961 00:00;0;;
FLI;27.03.1961 00:00;1.7;;
FLI;28.03.1961 00:00;0;;
FLI;29.03.1961 00:00;0;;
FLI;30.03.1961 00:00;5.9;;
FLI;31.03.1961 00:00;4.1;;
FLI;01.04.1961 00:00;2.5;;
FLI;02.04.1961 00:00;1.1;;
FLI;03.04.1961 00:00;0;;
FLI;04.04.1961 00:00;0;;
FLI;05.04.1961 00:00;0;;
FLI;06.04.1961 00:00;0;;
FLI;07.04.1961 00:00;0;;
FLI;08.04.1961 00:00;2.2;;
FLI;09.04.1961 00:00;0;;
FLI;10.04.1961 00:00;5.2;;
FLI;11.04.1961 00:00;0;;
FLI;12.04.1961 00:00;0;;
FLI;13.04.1961 00:00;0;;
FLI;14.04.1961 00:00;3.5;;
FLI;15.04.1961 00:00;14.7;;
FLI;16.04.1961 00:00;0.4;;
FLI;17.04.1961 00:00;1.8;;
FLI;18.04.1961 00:00;2.2;;
FLI;19.04.1961 00:00;0;;
FLI;20.04.1961 00:00;0;;
FLI;21.04.1961 00:00;0.2;;
FLI;22.04.1961 00:00;0.6;;
FLI;23.04.1961 00:00;5.2;;
FLI;24.04.1961 00:00;1.7;;
FLI;25.04.1961 00:00;0;;
FLI;26.04.1961 00:00;7.6;;
FLI;27.04.1961 00:00;0;;
FLI;28.04.1961 00:00;0.2;;
FLI;29.04.1961 00:00;4;;
FLI;30.04.1961 00:00;3.2;;
FLI;01.05.1961 00:00;0;;
FLI;02.05.1961 00:00;0.1;;
FLI;03.05.1961 00:00;0.8;;
FLI;04.05.1961 00:00;0;;
FLI;05.05.1961 00:00;0;;
FLI;06.05.1961 00:00;9;;
FLI;07.05.1961 00:00;0;;
FLI;08.05.1961 00:00;0;;
FLI;09.05.1961 00:00;20.4;;
FLI;10.05.1961 00:00;5.5;;
FLI;11.05.1961 00:00;9.9;;
FLI;12.05.1961 00:00;24.6;;
FLI;13.05.1961 00:00;0;;
FLI;14.05.1961 00:00;10.7;;
FLI;15.05.1961 00:00;10.2;;
FLI;16.05.1961 00:00;1;;
FLI;17.05.1961 00:00;0;;
FLI;18.05.1961 00:00;7.9;;
FLI;19.05.1961 00:00;0;;
FLI;20.05.1961 00:00;2.3;;
FLI;21.05.1961 00:00;2.1;;
FLI;22.05.1961 00:00;0;;
FLI;23.05.1961 00:00;7.7;;
FLI;24.05.1961 00:00;0;;
FLI;25.05.1961 00:00;0;;
FLI;26.05.1961 00:00;2.8;;
FLI;27.05.1961 00:00;19.5;;
FLI;28.05.1961 00:00;32;;
FLI;29.05.1961 00:00;4.5;;
FLI;30.05.1961 00:00;0;;
FLI;31.05.1961 00:00;0;;
FLI;01.06.1961 00:00;1.1;;
FLI;02.06.1961 00:00;2.3;;
FLI;03.06.1961 00:00;1.6;;
FLI;04.06.1961 00:00;0;;
FLI;05.06.1961 00:00;2.5;;
FLI;06.06.1961 00:00;0;;
FLI;07.06.1961 00:00;0.4;;
FLI;08.06.1961 00:00;0;;
FLI;09.06.1961 00:00;32.2;;
FLI;10.06.1961 00:00;0;;
FLI;11.06.1961 00:00;0;;
FLI;12.06.1961 00:00;0.6;;
FLI;13.06.1961 00:00;8.6;;
FLI;14.06.1961 00:00;0;;
FLI;15.06.1961 00:00;0;;
FLI;16.06.1961 00:00;0;;
FLI;17.06.1961 00:00;0;;
FLI;18.06.1961 00:00;0;;
FLI;19.06.1961 00:00;0;;
FLI;20.06.1961 00:00;0;;
FLI;21.06.1961 00:00;0;;
FLI;22.06.1961 00:00;16.2;;
FLI;23.06.1961 00:00;0;;
FLI;24.06.1961 00:00;0;;
FLI;25.06.1961 00:00;1.1;;
FLI;26.06.1961 00:00;7;;
FLI;27.06.1961 00:00;10;;
FLI;28.06.1961 00:00;0;;
FLI;29.06.1961 00:00;0;;
FLI;30.06.1961 00:00;0;;
FLI;01.07.1961 00:00;0;;
FLI;02.07.1961 00:00;0.9;;
FLI;03.07.1961 00:00;0;;
FLI;04.07.1961 00:00;8;;
FLI;05.07.1961 00:00;0;;
FLI;06.07.1961 00:00;0;;
FLI;07.07.1961 00:00;0;;
FLI;08.07.1961 00:00;3;;
FLI;09.07.1961 00:00;3.4;;
FLI;10.07.1961 00:00;0;;
FLI;11.07.1961 00:00;7;;
FLI;12.07.1961 00:00;29.6;;
FLI;13.07.1961 00:00;0;;
FLI;14.07.1961 00:00;0.1;;
FLI;15.07.1961 00:00;17.5;;
FLI;16.07.1961 00:00;3.5;;
FLI;17.07.1961 00:00;3.2;;
FLI;18.07.1961 00:00;0.1;;
FLI;19.07.1961 00:00;11.4;;
FLI;20.07.1961 00:00;0;;
FLI;21.07.1961 00:00;0;;
FLI;22.07.1961 00:00;0.1;;
FLI;23.07.1961 00:00;0;;
FLI;24.07.1961 00:00;1;;
FLI;25.07.1961 00:00;0;;
FLI;26.07.1961 00:00;0;;
FLI;27.07.1961 00:00;2.1;;
FLI;28.07.1961 00:00;3;;
FLI;29.07.1961 00:00;1.6;;
FLI;30.07.1961 00:00;0;;
FLI;31.07.1961 00:00;0;;
FLI;01.08.1961 00:00;0;;
FLI;02.08.1961 00:00;2.1;;
FLI;03.08.1961 00:00;0;;
FLI;04.08.1961 00:00;0;;
FLI;05.08.1961 00:00;0;;
FLI;06.08.1961 00:00;0;;
FLI;07.08.1961 00:00;0.4;;
FLI;08.08.1961 00:00;0;;
FLI;09.08.1961 00:00;13.2;;
FLI;10.08.1961 00:00;26.7;;
FLI;11.08.1961 00:00;24.9;;
FLI;12.08.1961 00:00;36.2;;
FLI;13.08.1961 00:00;0;;
FLI;14.08.1961 00:00;0;;
FLI;15.08.1961 00:00;4.5;;
FLI;16.08.1961 00:00;9.7;;
FLI;17.08.1961 00:00;17;;
FLI;18.08.1961 00:00;0;;
FLI;19.08.1961 00:00;9.5;;
FLI;20.08.1961 00:00;0;;
FLI;21.08.1961 00:00;0;;
FLI;22.08.1961 00:00;0.2;;
FLI;23.08.1961 00:00;0;;
FLI;24.08.1961 00:00;0;;
FLI;25.08.1961 00:00;0;;
FLI;26.08.1961 00:00;0;;
FLI;27.08.1961 00:00;0;;
FLI;28.08.1961 00:00;0;;
FLI;29.08.1961 00:00;0;;
FLI;30.08.1961 00:00;0;;
FLI;31.08.1961 00:00;0;;
FLI;01.09.1961 00:00;0;;
FLI;02.09.1961 00:00;0;;
FLI;03.09.1961 00:00;0;;
FLI;04.09.1961 00:00;0;;
FLI;05.09.1961 00:00;1.1;;
FLI;06.09.1961 00:00;0.3;;
FLI;07.09.1961 00:00;4.3;;
FLI;08.09.1961 00:00;0;;
FLI;09.09.1961 00:00;0;;
FLI;10.09.1961 00:00;0;;
FLI;11.09.1961 00:00;0;;
FLI;12.09.1961 00:00;0;;
FLI;13.09.1961 00:00;0;;
FLI;14.09.1961 00:00;1.9;;
FLI;15.09.1961 00:00;0;;
FLI;16.09.1961 00:00;0;;
FLI;17.09.1961 00:00;0;;
FLI;18.09.1961 00:00;0;;
FLI;19.09.1961 00:00;0;;
FLI;20.09.1961 00:00;0;;
FLI;21.09.1961 00:00;0;;
FLI;22.09.1961 00:00;0;;
FLI;23.09.1961 00:00;0;;
FLI;24.09.1961 00:00;0;;
FLI;25.09.1961 00:00;0;;
FLI;26.09.1961 00:00;0.3;;
FLI;27.09.1961 00:00;0;;
FLI;28.09.1961 00:00;0;;
FLI;29.09.1961 00:00;0;;
FLI;30.09.1961 00:00;1;;
FLI;01.10.1961 00:00;2.1;;
FLI;02.10.1961 00:00;0;;
FLI;03.10.1961 00:00;0;;
FLI;04.10.1961 00:00;0;;
FLI;05.10.1961 00:00;0;;
FLI;06.10.1961 00:00;7.6;;
FLI;07.10.1961 00:00;19.3;;
FLI;08.10.1961 00:00;0;;
FLI;09.10.1961 00:00;0;;
FLI;10.10.1961 00:00;0;;
FLI;11.10.1961 00:00;0;;
FLI;12.10.1961 00:00;0;;
FLI;13.10.1961 00:00;0;;
FLI;14.10.1961 00:00;0;;
FLI;15.10.1961 00:00;0;;
FLI;16.10.1961 00:00;0.1;;
FLI;17.10.1961 00:00;11.6;;
FLI;18.10.1961 00:00;7;;
FLI;19.10.1961 00:00;0;;
FLI;20.10.1961 00:00;0;;
FLI;21.10.1961 00:00;0;;
FLI;22.10.1961 00:00;0;;
FLI;23.10.1961 00:00;0;;
FLI;24.10.1961 00:00;0;;
FLI;25.10.1961 00:00;0;;
FLI;26.10.1961 00:00;0;;
FLI;27.10.1961 00:00;4.7;;
FLI;28.10.1961 00:00;18.2;;
FLI;29.10.1961 00:00;0;;
FLI;30.10.1961 00:00;0;;
FLI;31.10.1961 00:00;0;;
FLI;01.11.1961 00:00;0;;
FLI;02.11.1961 00:00;0;;
FLI;03.11.1961 00:00;2.6;;
FLI;04.11.1961 00:00;3.5;;
FLI;05.11.1961 00:00;3.3;;
FLI;06.11.1961 00:00;0.7;;
FLI;07.11.1961 00:00;0;;
FLI;08.11.1961 00:00;0;;
FLI;09.11.1961 00:00;14.5;;
FLI;10.11.1961 00:00;0;;
FLI;11.11.1961 00:00;0;;
FLI;12.11.1961 00:00;0.4;;
FLI;13.11.1961 00:00;0;;
FLI;14.11.1961 00:00;0;;
FLI;15.11.1961 00:00;0;;
FLI;16.11.1961 00:00;0;;
FLI;17.11.1961 00:00;0;;
FLI;18.11.1961 00:00;0;;
FLI;19.11.1961 00:00;0;;
FLI;20.11.1961 00:00;0;;
FLI;21.11.1961 00:00;0;;
FLI;22.11.1961 00:00;0;;
FLI;23.11.1961 00:00;0;;
FLI;24.11.1961 00:00;0.7;;
FLI;25.11.1961 00:00;0;;
FLI;26.11.1961 00:00;0;;
FLI;27.11.1961 00:00;0;;
FLI;28.11.1961 00:00;0;;
FLI;29.11.1961 00:00;1.3;;
FLI;30.11.1961 00:00;0.5;;
FLI;01.12.1961 00:00;0.5;;
FLI;02.12.1961 00:00;0.2;;
FLI;03.12.1961 00:00;6.3;;
FLI;04.12.1961 00:00;1.3;;
FLI;05.12.1961 00:00;18;;
FLI;06.12.1961 00:00;6.3;;
FLI;07.12.1961 00:00;0;;
FLI;08.12.1961 00:00;0;;
FLI;09.12.1961 00:00;0;;
FLI;10.12.1961 00:00;15.2;;
FLI;11.12.1961 00:00;62.4;;
FLI;12.12.1961 00:00;6.5;;
FLI;13.12.1961 00:00;12.3;;
FLI;14.12.1961 00:00;15.4;;
FLI;15.12.1961 00:00;0;;
FLI;16.12.1961 00:00;0;;
FLI;17.12.1961 00:00;0;;
FLI;18.12.1961 00:00;0;;
FLI;19.12.1961 00:00;0;;
FLI;20.12.1961 00:00;0;;
FLI;21.12.1961 00:00;0;;
FLI;22.12.1961 00:00;0;;
FLI;23.12.1961 00:00;0;;
FLI;24.12.1961 00:00;0;;
FLI;25.12.1961 00:00;0;;
FLI;26.12.1961 00:00;0;;
FLI;27.12.1961 00:00;0;;
FLI;28.12.1961 00:00;0;;
FLI;29.12.1961 00:00;0;;
FLI;30.12.1961 00:00;0;;
FLI;31.12.1961 00:00;2;;
FLI;01.01.1962 00:00;4.4;;
FLI;02.01.1962 00:00;12.8;;
FLI;03.01.1962 00:00;0;;
FLI;04.01.1962 00:00;0;;
FLI;05.01.1962 00:00;0;;
FLI;06.01.1962 00:00;1.5;;
FLI;07.01.1962 00:00;0;;
FLI;08.01.1962 00:00;0;;
FLI;09.01.1962 00:00;0;;
FLI;10.01.1962 00:00;0;;
FLI;11.01.1962 00:00;9.3;;
FLI;12.01.1962 00:00;19;;
FLI;13.01.1962 00:00;17.7;;
FLI;14.01.1962 00:00;0;;
FLI;15.01.1962 00:00;0;;
FLI;16.01.1962 00:00;0;;
FLI;17.01.1962 00:00;0;;
FLI;18.01.1962 00:00;0;;
FLI;19.01.1962 00:00;0;;
FLI;20.01.1962 00:00;0;;
FLI;21.01.1962 00:00;0;;
FLI;22.01.1962 00:00;4.6;;
FLI;23.01.1962 00:00;0.6;;
FLI;24.01.1962 00:00;0;;
FLI;25.01.1962 00:00;22;;
FLI;26.01.1962 00:00;10.5;;
FLI;27.01.1962 00:00;20.8;;
FLI;28.01.1962 00:00;13.4;;
FLI;29.01.1962 00:00;0;;
FLI;30.01.1962 00:00;0;;
FLI;31.01.1962 00:00;0;;
FLI;01.02.1962 00:00;0;;
