station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
FRF;01.01.1864 00:00;0;;
FRF;02.01.1864 00:00;7.2;;
FRF;03.01.1864 00:00;0;;
FRF;04.01.1864 00:00;0;;
FRF;05.01.1864 00:00;0.9;;
FRF;06.01.1864 00:00;0;;
FRF;07.01.1864 00:00;0;;
FRF;08.01.1864 00:00;0;;
FRF;09.01.1864 00:00;0;;
FRF;10.01.1864 00:00;0;;
FRF;11.01.1864 00:00;0;;
FRF;12.01.1864 00:00;0;;
FRF;13.01.1864 00:00;0;;
FRF;14.01.1864 00:00;0;;
FRF;15.01.1864 00:00;0;;
FRF;16.01.1864 00:00;0;;
FRF;17.01.1864 00:00;0;;
FRF;18.01.1864 00:00;0;;
FRF;19.01.1864 00:00;0;;
FRF;20.01.1864 00:00;0;;
FRF;21.01.1864 00:00;0;;
FRF;22.01.1864 00:00;0.1;;
FRF;23.01.1864 00:00;0;;
FRF;24.01.1864 00:00;2;;
FRF;25.01.1864 00:00;0;;
FRF;26.01.1864 00:00;0.4;;
FRF;27.01.1864 00:00;1;;
FRF;28.01.1864 00:00;2;;
FRF;29.01.1864 00:00;7;;
FRF;30.01.1864 00:00;0;;
FRF;31.01.1864 00:00;0;;
FRF;01.02.1864 00:00;0;;
FRF;02.02.1864 00:00;0;;
FRF;03.02.1864 00:00;0;;
FRF;04.02.1864 00:00;2.5;;
FRF;05.02.1864 00:00;3.4;;
FRF;06.02.1864 00:00;6;;
FRF;07.02.1864 00:00;2;;
FRF;08.02.1864 00:00;3.2;;
FRF;09.02.1864 00:00;0;;
FRF;10.02.1864 00:00;0;;
FRF;11.02.1864 00:00;0;;
FRF;12.02.1864 00:00;0;;
FRF;13.02.1864 00:00;0;;
FRF;14.02.1864 00:00;0;;
FRF;15.02.1864 00:00;0;;
FRF;16.02.1864 00:00;0;;
FRF;17.02.1864 00:00;17.8;;
FRF;18.02.1864 00:00;3.5;;
FRF;19.02.1864 00:00;0;;
FRF;20.02.1864 00:00;0;;
FRF;21.02.1864 00:00;0;;
FRF;22.02.1864 00:00;0;;
FRF;23.02.1864 00:00;0;;
FRF;24.02.1864 00:00;0;;
FRF;25.02.1864 00:00;0;;
FRF;26.02.1864 00:00;0;;
FRF;27.02.1864 00:00;0;;
FRF;28.02.1864 00:00;0;;
FRF;29.02.1864 00:00;0;;
FRF;01.03.1864 00:00;5.2;;
FRF;02.03.1864 00:00;0;;
FRF;03.03.1864 00:00;0.8;;
FRF;04.03.1864 00:00;0;;
FRF;05.03.1864 00:00;0;;
FRF;06.03.1864 00:00;0;;
FRF;07.03.1864 00:00;5.9;;
FRF;08.03.1864 00:00;0;;
FRF;09.03.1864 00:00;4.5;;
FRF;10.03.1864 00:00;0;;
FRF;11.03.1864 00:00;1.3;;
FRF;12.03.1864 00:00;4.2;;
FRF;13.03.1864 00:00;0;;
FRF;14.03.1864 00:00;0;;
FRF;15.03.1864 00:00;1.2;;
FRF;16.03.1864 00:00;0;;
FRF;17.03.1864 00:00;0;;
FRF;18.03.1864 00:00;0;;
FRF;19.03.1864 00:00;0;;
FRF;20.03.1864 00:00;0;;
FRF;21.03.1864 00:00;0;;
FRF;22.03.1864 00:00;0;;
