station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
FRI;01.07.1925 00:00;0;;
FRI;02.07.1925 00:00;0;;
FRI;03.07.1925 00:00;2.5;;
FRI;04.07.1925 00:00;21.9;;
FRI;05.07.1925 00:00;5;;
FRI;06.07.1925 00:00;4.8;;
FRI;07.07.1925 00:00;1.7;;
FRI;08.07.1925 00:00;3.4;;
FRI;09.07.1925 00:00;19.3;;
FRI;10.07.1925 00:00;0;;
FRI;11.07.1925 00:00;0;;
FRI;12.07.1925 00:00;0;;
FRI;13.07.1925 00:00;0;;
FRI;14.07.1925 00:00;2.9;;
FRI;15.07.1925 00:00;8.1;;
FRI;16.07.1925 00:00;0;;
FRI;17.07.1925 00:00;0;;
FRI;18.07.1925 00:00;0;;
FRI;19.07.1925 00:00;2.9;;
FRI;20.07.1925 00:00;0;;
FRI;21.07.1925 00:00;0;;
FRI;22.07.1925 00:00;0;;
FRI;23.07.1925 00:00;13.2;;
FRI;24.07.1925 00:00;4.5;;
FRI;25.07.1925 00:00;16.4;;
FRI;26.07.1925 00:00;9.5;;
FRI;27.07.1925 00:00;0.5;;
FRI;28.07.1925 00:00;0;;
FRI;29.07.1925 00:00;1.4;;
FRI;30.07.1925 00:00;42.2;;
FRI;31.07.1925 00:00;6.7;;
FRI;01.08.1925 00:00;1.2;;
FRI;02.08.1925 00:00;15.6;;
FRI;03.08.1925 00:00;0;;
FRI;04.08.1925 00:00;28.4;;
FRI;05.08.1925 00:00;1;;
FRI;06.08.1925 00:00;0;;
FRI;07.08.1925 00:00;0;;
FRI;08.08.1925 00:00;0;;
FRI;09.08.1925 00:00;0;;
FRI;10.08.1925 00:00;5.9;;
FRI;11.08.1925 00:00;26.8;;
FRI;12.08.1925 00:00;0.5;;
FRI;13.08.1925 00:00;0;;
FRI;14.08.1925 00:00;0;;
FRI;15.08.1925 00:00;0;;
FRI;16.08.1925 00:00;0;;
FRI;17.08.1925 00:00;0;;
FRI;18.08.1925 00:00;3.4;;
FRI;19.08.1925 00:00;11.3;;
FRI;20.08.1925 00:00;17.4;;
FRI;21.08.1925 00:00;0;;
FRI;22.08.1925 00:00;8;;
FRI;23.08.1925 00:00;0;;
FRI;24.08.1925 00:00;5.8;;
FRI;25.08.1925 00:00;5.3;;
FRI;26.08.1925 00:00;1.4;;
FRI;27.08.1925 00:00;0;;
FRI;28.08.1925 00:00;0;;
FRI;29.08.1925 00:00;0;;
FRI;30.08.1925 00:00;0;;
FRI;31.08.1925 00:00;0;;
FRI;01.09.1925 00:00;0;;
FRI;02.09.1925 00:00;0;;
FRI;03.09.1925 00:00;1;;
FRI;04.09.1925 00:00;1.3;;
FRI;05.09.1925 00:00;0;;
FRI;06.09.1925 00:00;3.9;;
FRI;07.09.1925 00:00;0;;
FRI;08.09.1925 00:00;0;;
FRI;09.09.1925 00:00;0;;
FRI;10.09.1925 00:00;1.7;;
FRI;11.09.1925 00:00;0;;
FRI;12.09.1925 00:00;0.7;;
FRI;13.09.1925 00:00;1.7;;
FRI;14.09.1925 00:00;1.2;;
FRI;15.09.1925 00:00;0;;
FRI;16.09.1925 00:00;0.5;;
FRI;17.09.1925 00:00;21.4;;
FRI;18.09.1925 00:00;1;;
FRI;19.09.1925 00:00;1.1;;
FRI;20.09.1925 00:00;4.4;;
FRI;21.09.1925 00:00;18.8;;
FRI;22.09.1925 00:00;0;;
FRI;23.09.1925 00:00;15;;
FRI;24.09.1925 00:00;6.2;;
FRI;25.09.1925 00:00;0;;
FRI;26.09.1925 00:00;5.3;;
FRI;27.09.1925 00:00;1.6;;
FRI;28.09.1925 00:00;7.9;;
FRI;29.09.1925 00:00;0;;
FRI;30.09.1925 00:00;0;;
FRI;01.10.1925 00:00;0;;
FRI;02.10.1925 00:00;0.1;;
FRI;03.10.1925 00:00;0.3;;
FRI;04.10.1925 00:00;0;;
FRI;05.10.1925 00:00;0;;
FRI;06.10.1925 00:00;0;;
FRI;07.10.1925 00:00;0;;
FRI;08.10.1925 00:00;0;;
FRI;09.10.1925 00:00;0;;
FRI;10.10.1925 00:00;0;;
FRI;11.10.1925 00:00;0;;
FRI;12.10.1925 00:00;0;;
FRI;13.10.1925 00:00;0.7;;
FRI;14.10.1925 00:00;5.3;;
FRI;15.10.1925 00:00;0;;
FRI;16.10.1925 00:00;2.3;;
FRI;17.10.1925 00:00;0.8;;
FRI;18.10.1925 00:00;1.7;;
FRI;19.10.1925 00:00;4.4;;
FRI;20.10.1925 00:00;5.9;;
FRI;21.10.1925 00:00;0;;
FRI;22.10.1925 00:00;4.2;;
FRI;23.10.1925 00:00;4.3;;
FRI;24.10.1925 00:00;0.4;;
FRI;25.10.1925 00:00;0;;
FRI;26.10.1925 00:00;0;;
FRI;27.10.1925 00:00;0;;
FRI;28.10.1925 00:00;0;;
FRI;29.10.1925 00:00;0;;
FRI;30.10.1925 00:00;0;;
FRI;31.10.1925 00:00;0;;
FRI;01.11.1925 00:00;0;;
FRI;02.11.1925 00:00;5.4;;
FRI;03.11.1925 00:00;0.4;;
FRI;04.11.1925 00:00;5.1;;
FRI;05.11.1925 00:00;14;;
FRI;06.11.1925 00:00;1.8;;
FRI;07.11.1925 00:00;16;;
FRI;08.11.1925 00:00;0.7;;
FRI;09.11.1925 00:00;0.4;;
FRI;10.11.1925 00:00;0;;
FRI;11.11.1925 00:00;0;;
FRI;12.11.1925 00:00;0;;
FRI;13.11.1925 00:00;0;;
FRI;14.11.1925 00:00;0;;
FRI;15.11.1925 00:00;0;;
FRI;16.11.1925 00:00;0;;
FRI;17.11.1925 00:00;0;;
FRI;18.11.1925 00:00;0;;
FRI;19.11.1925 00:00;0;;
FRI;20.11.1925 00:00;0;;
FRI;21.11.1925 00:00;0;;
FRI;22.11.1925 00:00;0;;
FRI;23.11.1925 00:00;0;;
FRI;24.11.1925 00:00;0;;
FRI;25.11.1925 00:00;3.3;;
FRI;26.11.1925 00:00;0;;
FRI;27.11.1925 00:00;1;;
FRI;28.11.1925 00:00;2.3;;
FRI;29.11.1925 00:00;3.2;;
FRI;30.11.1925 00:00;5.4;;
FRI;01.12.1925 00:00;2.7;;
FRI;02.12.1925 00:00;0.7;;
FRI;03.12.1925 00:00;1.2;;
FRI;04.12.1925 00:00;0;;
FRI;05.12.1925 00:00;0;;
FRI;06.12.1925 00:00;0;;
FRI;07.12.1925 00:00;0;;
FRI;08.12.1925 00:00;1.4;;
FRI;09.12.1925 00:00;1.9;;
FRI;10.12.1925 00:00;1;;
FRI;11.12.1925 00:00;2.9;;
FRI;12.12.1925 00:00;0;;
FRI;13.12.1925 00:00;2.4;;
FRI;14.12.1925 00:00;2.6;;
FRI;15.12.1925 00:00;0;;
FRI;16.12.1925 00:00;0;;
FRI;17.12.1925 00:00;0;;
FRI;18.12.1925 00:00;0;;
FRI;19.12.1925 00:00;0;;
FRI;20.12.1925 00:00;28.8;;
FRI;21.12.1925 00:00;0;;
FRI;22.12.1925 00:00;17;;
FRI;23.12.1925 00:00;8.4;;
FRI;24.12.1925 00:00;1.4;;
FRI;25.12.1925 00:00;37.6;;
FRI;26.12.1925 00:00;11.3;;
FRI;27.12.1925 00:00;27.4;;
FRI;28.12.1925 00:00;10;;
FRI;29.12.1925 00:00;1;;
FRI;30.12.1925 00:00;4.7;;
FRI;31.12.1925 00:00;4;;
FRI;01.01.1926 00:00;0;;
FRI;02.01.1926 00:00;5.1;;
FRI;03.01.1926 00:00;6.5;;
FRI;04.01.1926 00:00;7.1;;
FRI;05.01.1926 00:00;2.2;;
FRI;06.01.1926 00:00;4.5;;
FRI;07.01.1926 00:00;0.7;;
FRI;08.01.1926 00:00;0;;
FRI;09.01.1926 00:00;0;;
FRI;10.01.1926 00:00;0;;
FRI;11.01.1926 00:00;0;;
FRI;12.01.1926 00:00;0;;
FRI;13.01.1926 00:00;0;;
FRI;14.01.1926 00:00;0.3;;
FRI;15.01.1926 00:00;3;;
FRI;16.01.1926 00:00;2.3;;
FRI;17.01.1926 00:00;7.5;;
FRI;18.01.1926 00:00;1;;
FRI;19.01.1926 00:00;8.7;;
FRI;20.01.1926 00:00;0.5;;
FRI;21.01.1926 00:00;0.8;;
FRI;22.01.1926 00:00;0;;
FRI;23.01.1926 00:00;0;;
FRI;24.01.1926 00:00;0.3;;
FRI;25.01.1926 00:00;0.7;;
FRI;26.01.1926 00:00;0;;
FRI;27.01.1926 00:00;0;;
FRI;28.01.1926 00:00;0;;
FRI;29.01.1926 00:00;3.6;;
FRI;30.01.1926 00:00;0.4;;
FRI;31.01.1926 00:00;0.7;;
FRI;01.02.1926 00:00;5.7;;
FRI;02.02.1926 00:00;0.1;;
FRI;03.02.1926 00:00;4.6;;
FRI;04.02.1926 00:00;3.2;;
FRI;05.02.1926 00:00;0;;
FRI;06.02.1926 00:00;0;;
FRI;07.02.1926 00:00;1;;
FRI;08.02.1926 00:00;0;;
FRI;09.02.1926 00:00;1.7;;
FRI;10.02.1926 00:00;0.5;;
FRI;11.02.1926 00:00;0.6;;
FRI;12.02.1926 00:00;1.7;;
FRI;13.02.1926 00:00;0;;
FRI;14.02.1926 00:00;0;;
FRI;15.02.1926 00:00;0;;
FRI;16.02.1926 00:00;2.7;;
FRI;17.02.1926 00:00;0.6;;
FRI;18.02.1926 00:00;5.1;;
FRI;19.02.1926 00:00;2.5;;
FRI;20.02.1926 00:00;0;;
FRI;21.02.1926 00:00;0;;
FRI;22.02.1926 00:00;0.4;;
FRI;23.02.1926 00:00;0;;
FRI;24.02.1926 00:00;0;;
FRI;25.02.1926 00:00;0;;
FRI;26.02.1926 00:00;0;;
FRI;27.02.1926 00:00;0;;
FRI;28.02.1926 00:00;5.7;;
FRI;01.03.1926 00:00;0;;
FRI;02.03.1926 00:00;0;;
FRI;03.03.1926 00:00;0;;
FRI;04.03.1926 00:00;14.5;;
FRI;05.03.1926 00:00;1.7;;
FRI;06.03.1926 00:00;13.1;;
FRI;07.03.1926 00:00;10;;
FRI;08.03.1926 00:00;0.3;;
FRI;09.03.1926 00:00;4;;
FRI;10.03.1926 00:00;2.5;;
FRI;11.03.1926 00:00;2.3;;
FRI;12.03.1926 00:00;0.7;;
FRI;13.03.1926 00:00;0;;
FRI;14.03.1926 00:00;0;;
FRI;15.03.1926 00:00;0;;
FRI;16.03.1926 00:00;0;;
FRI;17.03.1926 00:00;0;;
FRI;18.03.1926 00:00;0;;
FRI;19.03.1926 00:00;0;;
FRI;20.03.1926 00:00;0;;
FRI;21.03.1926 00:00;0;;
FRI;22.03.1926 00:00;0.2;;
FRI;23.03.1926 00:00;0;;
FRI;24.03.1926 00:00;0;;
FRI;25.03.1926 00:00;0;;
FRI;26.03.1926 00:00;3.4;;
FRI;27.03.1926 00:00;7.4;;
FRI;28.03.1926 00:00;20.6;;
FRI;29.03.1926 00:00;0;;
FRI;30.03.1926 00:00;1.4;;
FRI;31.03.1926 00:00;0;;
FRI;01.04.1926 00:00;0;;
FRI;02.04.1926 00:00;0;;
FRI;03.04.1926 00:00;0;;
FRI;04.04.1926 00:00;0;;
FRI;05.04.1926 00:00;3.5;;
FRI;06.04.1926 00:00;0;;
FRI;07.04.1926 00:00;2.5;;
FRI;08.04.1926 00:00;7.5;;
FRI;09.04.1926 00:00;10.7;;
FRI;10.04.1926 00:00;0;;
FRI;11.04.1926 00:00;0;;
FRI;12.04.1926 00:00;0;;
FRI;13.04.1926 00:00;0;;
FRI;14.04.1926 00:00;0;;
FRI;15.04.1926 00:00;0;;
FRI;16.04.1926 00:00;3.2;;
FRI;17.04.1926 00:00;1;;
FRI;18.04.1926 00:00;5.4;;
FRI;19.04.1926 00:00;3.4;;
FRI;20.04.1926 00:00;3.9;;
FRI;21.04.1926 00:00;2.4;;
FRI;22.04.1926 00:00;0.5;;
FRI;23.04.1926 00:00;0;;
FRI;24.04.1926 00:00;0;;
FRI;25.04.1926 00:00;0;;
FRI;26.04.1926 00:00;0;;
FRI;27.04.1926 00:00;0.9;;
FRI;28.04.1926 00:00;0;;
FRI;29.04.1926 00:00;0;;
FRI;30.04.1926 00:00;0;;
FRI;01.05.1926 00:00;0;;
FRI;02.05.1926 00:00;8.1;;
FRI;03.05.1926 00:00;13.3;;
FRI;04.05.1926 00:00;5.6;;
FRI;05.05.1926 00:00;10.9;;
FRI;06.05.1926 00:00;8.1;;
FRI;07.05.1926 00:00;0;;
FRI;08.05.1926 00:00;6.9;;
FRI;09.05.1926 00:00;0;;
FRI;10.05.1926 00:00;0;;
FRI;11.05.1926 00:00;0;;
FRI;12.05.1926 00:00;6.3;;
FRI;13.05.1926 00:00;3.6;;
FRI;14.05.1926 00:00;0.2;;
FRI;15.05.1926 00:00;0.8;;
FRI;16.05.1926 00:00;0;;
FRI;17.05.1926 00:00;0;;
FRI;18.05.1926 00:00;0;;
FRI;19.05.1926 00:00;0;;
FRI;20.05.1926 00:00;0;;
FRI;21.05.1926 00:00;0;;
FRI;22.05.1926 00:00;3.2;;
FRI;23.05.1926 00:00;17.4;;
FRI;24.05.1926 00:00;0;;
FRI;25.05.1926 00:00;0;;
FRI;26.05.1926 00:00;0;;
FRI;27.05.1926 00:00;5.3;;
FRI;28.05.1926 00:00;4.2;;
FRI;29.05.1926 00:00;16.8;;
FRI;30.05.1926 00:00;10.8;;
FRI;31.05.1926 00:00;6.3;;
FRI;01.06.1926 00:00;0.6;;
FRI;02.06.1926 00:00;5.6;;
FRI;03.06.1926 00:00;16.1;;
FRI;04.06.1926 00:00;5.9;;
FRI;05.06.1926 00:00;0.6;;
FRI;06.06.1926 00:00;5.4;;
FRI;07.06.1926 00:00;6;;
FRI;08.06.1926 00:00;7;;
FRI;09.06.1926 00:00;0;;
FRI;10.06.1926 00:00;11.6;;
FRI;11.06.1926 00:00;6.9;;
FRI;12.06.1926 00:00;12;;
FRI;13.06.1926 00:00;9.9;;
FRI;14.06.1926 00:00;8.9;;
FRI;15.06.1926 00:00;1.5;;
FRI;16.06.1926 00:00;1.9;;
FRI;17.06.1926 00:00;5.4;;
FRI;18.06.1926 00:00;15.6;;
FRI;19.06.1926 00:00;0;;
FRI;20.06.1926 00:00;0;;
FRI;21.06.1926 00:00;0;;
FRI;22.06.1926 00:00;14.5;;
FRI;23.06.1926 00:00;0;;
FRI;24.06.1926 00:00;1;;
FRI;25.06.1926 00:00;6.5;;
FRI;26.06.1926 00:00;0;;
FRI;27.06.1926 00:00;0;;
FRI;28.06.1926 00:00;0;;
FRI;29.06.1926 00:00;0;;
FRI;30.06.1926 00:00;0;;
FRI;01.07.1926 00:00;0;;
FRI;02.07.1926 00:00;4.2;;
FRI;03.07.1926 00:00;1.5;;
FRI;04.07.1926 00:00;6.5;;
FRI;05.07.1926 00:00;44.9;;
FRI;06.07.1926 00:00;4.5;;
FRI;07.07.1926 00:00;17.7;;
FRI;08.07.1926 00:00;0.3;;
FRI;09.07.1926 00:00;0.8;;
FRI;10.07.1926 00:00;0;;
FRI;11.07.1926 00:00;0.7;;
FRI;12.07.1926 00:00;0;;
FRI;13.07.1926 00:00;0;;
FRI;14.07.1926 00:00;0;;
FRI;15.07.1926 00:00;0.5;;
FRI;16.07.1926 00:00;0.2;;
FRI;17.07.1926 00:00;0;;
FRI;18.07.1926 00:00;0;;
FRI;19.07.1926 00:00;13.3;;
FRI;20.07.1926 00:00;0.7;;
FRI;21.07.1926 00:00;0.4;;
FRI;22.07.1926 00:00;0;;
FRI;23.07.1926 00:00;0;;
FRI;24.07.1926 00:00;0;;
FRI;25.07.1926 00:00;5.6;;
FRI;26.07.1926 00:00;1.8;;
FRI;27.07.1926 00:00;2;;
FRI;28.07.1926 00:00;1.9;;
FRI;29.07.1926 00:00;8.4;;
FRI;30.07.1926 00:00;2.2;;
FRI;31.07.1926 00:00;0;;
FRI;01.08.1926 00:00;0;;
FRI;02.08.1926 00:00;0;;
FRI;03.08.1926 00:00;0;;
FRI;04.08.1926 00:00;0;;
FRI;05.08.1926 00:00;2.5;;
FRI;06.08.1926 00:00;0.2;;
FRI;07.08.1926 00:00;4.5;;
FRI;08.08.1926 00:00;7.4;;
FRI;09.08.1926 00:00;0;;
FRI;10.08.1926 00:00;0;;
FRI;11.08.1926 00:00;13.6;;
FRI;12.08.1926 00:00;0;;
FRI;13.08.1926 00:00;0;;
FRI;14.08.1926 00:00;0;;
FRI;15.08.1926 00:00;0;;
FRI;16.08.1926 00:00;0;;
FRI;17.08.1926 00:00;3.2;;
FRI;18.08.1926 00:00;0;;
FRI;19.08.1926 00:00;0;;
FRI;20.08.1926 00:00;0;;
FRI;21.08.1926 00:00;0;;
FRI;22.08.1926 00:00;3;;
FRI;23.08.1926 00:00;0;;
FRI;24.08.1926 00:00;0;;
FRI;25.08.1926 00:00;0;;
FRI;26.08.1926 00:00;0;;
FRI;27.08.1926 00:00;0;;
FRI;28.08.1926 00:00;0;;
FRI;29.08.1926 00:00;0;;
FRI;30.08.1926 00:00;0;;
FRI;31.08.1926 00:00;0;;
FRI;01.09.1926 00:00;0;;
FRI;02.09.1926 00:00;1;;
FRI;03.09.1926 00:00;10;;
FRI;04.09.1926 00:00;3.1;;
FRI;05.09.1926 00:00;0.3;;
FRI;06.09.1926 00:00;0;;
FRI;07.09.1926 00:00;0;;
FRI;08.09.1926 00:00;0;;
FRI;09.09.1926 00:00;0;;
FRI;10.09.1926 00:00;0;;
FRI;11.09.1926 00:00;0;;
FRI;12.09.1926 00:00;16.3;;
FRI;13.09.1926 00:00;0;;
FRI;14.09.1926 00:00;0;;
FRI;15.09.1926 00:00;0;;
FRI;16.09.1926 00:00;0;;
FRI;17.09.1926 00:00;0;;
FRI;18.09.1926 00:00;0;;
FRI;19.09.1926 00:00;0;;
FRI;20.09.1926 00:00;0;;
FRI;21.09.1926 00:00;0;;
FRI;22.09.1926 00:00;0;;
FRI;23.09.1926 00:00;0;;
FRI;24.09.1926 00:00;0.5;;
FRI;25.09.1926 00:00;4.2;;
FRI;26.09.1926 00:00;22.5;;
FRI;27.09.1926 00:00;0;;
FRI;28.09.1926 00:00;0;;
FRI;29.09.1926 00:00;0;;
FRI;30.09.1926 00:00;0;;
FRI;01.10.1926 00:00;0;;
FRI;02.10.1926 00:00;0;;
FRI;03.10.1926 00:00;1;;
FRI;04.10.1926 00:00;0;;
FRI;05.10.1926 00:00;0;;
FRI;06.10.1926 00:00;0;;
FRI;07.10.1926 00:00;1.3;;
FRI;08.10.1926 00:00;0.4;;
FRI;09.10.1926 00:00;3.7;;
FRI;10.10.1926 00:00;5.3;;
FRI;11.10.1926 00:00;0;;
FRI;12.10.1926 00:00;0.9;;
FRI;13.10.1926 00:00;4;;
FRI;14.10.1926 00:00;0;;
FRI;15.10.1926 00:00;0;;
FRI;16.10.1926 00:00;0;;
FRI;17.10.1926 00:00;13.3;;
FRI;18.10.1926 00:00;0;;
FRI;19.10.1926 00:00;0;;
FRI;20.10.1926 00:00;7.5;;
FRI;21.10.1926 00:00;19.3;;
FRI;22.10.1926 00:00;21.4;;
FRI;23.10.1926 00:00;11.4;;
FRI;24.10.1926 00:00;3.8;;
FRI;25.10.1926 00:00;4.8;;
FRI;26.10.1926 00:00;3.7;;
FRI;27.10.1926 00:00;0;;
FRI;28.10.1926 00:00;10.4;;
FRI;29.10.1926 00:00;19.3;;
FRI;30.10.1926 00:00;0.4;;
FRI;31.10.1926 00:00;4;;
FRI;01.11.1926 00:00;0;;
FRI;02.11.1926 00:00;0;;
FRI;03.11.1926 00:00;0;;
FRI;04.11.1926 00:00;0.4;;
FRI;05.11.1926 00:00;0;;
FRI;06.11.1926 00:00;0;;
FRI;07.11.1926 00:00;4.9;;
FRI;08.11.1926 00:00;13.8;;
FRI;09.11.1926 00:00;0;;
FRI;10.11.1926 00:00;0;;
FRI;11.11.1926 00:00;0;;
FRI;12.11.1926 00:00;0;;
FRI;13.11.1926 00:00;0;;
FRI;14.11.1926 00:00;0.5;;
FRI;15.11.1926 00:00;0;;
FRI;16.11.1926 00:00;0.5;;
FRI;17.11.1926 00:00;0;;
FRI;18.11.1926 00:00;0;;
FRI;19.11.1926 00:00;9.9;;
FRI;20.11.1926 00:00;1.3;;
FRI;21.11.1926 00:00;18.6;;
FRI;22.11.1926 00:00;0.5;;
FRI;23.11.1926 00:00;0;;
FRI;24.11.1926 00:00;0.4;;
FRI;25.11.1926 00:00;7.7;;
FRI;26.11.1926 00:00;0;;
FRI;27.11.1926 00:00;1.5;;
FRI;28.11.1926 00:00;0.5;;
FRI;29.11.1926 00:00;0;;
FRI;30.11.1926 00:00;0;;
FRI;01.12.1926 00:00;0.4;;
FRI;02.12.1926 00:00;0.3;;
FRI;03.12.1926 00:00;6.5;;
FRI;04.12.1926 00:00;4.9;;
FRI;05.12.1926 00:00;1.1;;
FRI;06.12.1926 00:00;0;;
FRI;07.12.1926 00:00;0;;
FRI;08.12.1926 00:00;0.2;;
FRI;09.12.1926 00:00;0;;
FRI;10.12.1926 00:00;0;;
FRI;11.12.1926 00:00;0;;
FRI;12.12.1926 00:00;0;;
FRI;13.12.1926 00:00;0;;
FRI;14.12.1926 00:00;0;;
FRI;15.12.1926 00:00;0.5;;
FRI;16.12.1926 00:00;0;;
FRI;17.12.1926 00:00;0;;
FRI;18.12.1926 00:00;11.3;;
FRI;19.12.1926 00:00;1.3;;
FRI;20.12.1926 00:00;3.7;;
FRI;21.12.1926 00:00;2.2;;
FRI;22.12.1926 00:00;0;;
FRI;23.12.1926 00:00;0;;
FRI;24.12.1926 00:00;0;;
FRI;25.12.1926 00:00;0;;
FRI;26.12.1926 00:00;0;;
FRI;27.12.1926 00:00;0;;
FRI;28.12.1926 00:00;0.5;;
FRI;29.12.1926 00:00;6;;
FRI;30.12.1926 00:00;0;;
FRI;31.12.1926 00:00;0;;
FRI;01.01.1927 00:00;0;;
FRI;02.01.1927 00:00;0;;
FRI;03.01.1927 00:00;4.5;;
FRI;04.01.1927 00:00;6.5;;
FRI;05.01.1927 00:00;2.1;;
FRI;06.01.1927 00:00;4.7;;
FRI;07.01.1927 00:00;9.6;;
FRI;08.01.1927 00:00;0;;
FRI;09.01.1927 00:00;4.6;;
FRI;10.01.1927 00:00;2.8;;
FRI;11.01.1927 00:00;0.4;;
FRI;12.01.1927 00:00;1.3;;
FRI;13.01.1927 00:00;1.3;;
FRI;14.01.1927 00:00;0;;
FRI;15.01.1927 00:00;0;;
FRI;16.01.1927 00:00;7.7;;
FRI;17.01.1927 00:00;1.6;;
FRI;18.01.1927 00:00;1;;
FRI;19.01.1927 00:00;0;;
FRI;20.01.1927 00:00;0.7;;
FRI;21.01.1927 00:00;2.6;;
FRI;22.01.1927 00:00;7.7;;
FRI;23.01.1927 00:00;4.6;;
FRI;24.01.1927 00:00;1.1;;
FRI;25.01.1927 00:00;0;;
FRI;26.01.1927 00:00;0.3;;
FRI;27.01.1927 00:00;1.6;;
FRI;28.01.1927 00:00;0;;
FRI;29.01.1927 00:00;3.5;;
FRI;30.01.1927 00:00;0;;
FRI;31.01.1927 00:00;1;;
FRI;01.02.1927 00:00;1;;
FRI;02.02.1927 00:00;4.4;;
FRI;03.02.1927 00:00;0;;
FRI;04.02.1927 00:00;0;;
FRI;05.02.1927 00:00;1.4;;
FRI;06.02.1927 00:00;5;;
FRI;07.02.1927 00:00;0;;
FRI;08.02.1927 00:00;0;;
FRI;09.02.1927 00:00;0;;
FRI;10.02.1927 00:00;0;;
FRI;11.02.1927 00:00;0;;
FRI;12.02.1927 00:00;0;;
FRI;13.02.1927 00:00;0;;
FRI;14.02.1927 00:00;0;;
FRI;15.02.1927 00:00;0;;
FRI;16.02.1927 00:00;0.4;;
FRI;17.02.1927 00:00;4.2;;
FRI;18.02.1927 00:00;15.9;;
FRI;19.02.1927 00:00;1.7;;
FRI;20.02.1927 00:00;8.9;;
FRI;21.02.1927 00:00;4.5;;
FRI;22.02.1927 00:00;1.4;;
FRI;23.02.1927 00:00;0.3;;
FRI;24.02.1927 00:00;0.4;;
FRI;25.02.1927 00:00;18;;
FRI;26.02.1927 00:00;4.2;;
FRI;27.02.1927 00:00;1.2;;
FRI;28.02.1927 00:00;0;;
FRI;01.03.1927 00:00;0.5;;
FRI;02.03.1927 00:00;6;;
FRI;03.03.1927 00:00;5.5;;
FRI;04.03.1927 00:00;0;;
FRI;05.03.1927 00:00;0;;
FRI;06.03.1927 00:00;0;;
FRI;07.03.1927 00:00;6.8;;
FRI;08.03.1927 00:00;5.1;;
FRI;09.03.1927 00:00;7.6;;
FRI;10.03.1927 00:00;4.6;;
FRI;11.03.1927 00:00;6.9;;
FRI;12.03.1927 00:00;0;;
FRI;13.03.1927 00:00;1;;
FRI;14.03.1927 00:00;8.8;;
FRI;15.03.1927 00:00;0.6;;
FRI;16.03.1927 00:00;0;;
FRI;17.03.1927 00:00;0;;
FRI;18.03.1927 00:00;0;;
FRI;19.03.1927 00:00;0;;
FRI;20.03.1927 00:00;0;;
FRI;21.03.1927 00:00;0;;
FRI;22.03.1927 00:00;0;;
FRI;23.03.1927 00:00;0;;
FRI;24.03.1927 00:00;0.8;;
FRI;25.03.1927 00:00;2.3;;
FRI;26.03.1927 00:00;0.9;;
FRI;27.03.1927 00:00;18;;
FRI;28.03.1927 00:00;3.1;;
FRI;29.03.1927 00:00;6.8;;
FRI;30.03.1927 00:00;10.6;;
FRI;31.03.1927 00:00;2.3;;
FRI;01.04.1927 00:00;2.6;;
FRI;02.04.1927 00:00;1.6;;
FRI;03.04.1927 00:00;2.5;;
FRI;04.04.1927 00:00;2;;
