station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GAD;28.07.1911 00:00;2.8;;
GAD;29.07.1911 00:00;0.2;;
GAD;30.07.1911 00:00;0;;
GAD;31.07.1911 00:00;8.2;;
GAD;01.08.1911 00:00;0;;
GAD;02.08.1911 00:00;2.4;;
GAD;03.08.1911 00:00;4;;
GAD;04.08.1911 00:00;8.9;;
GAD;05.08.1911 00:00;0;;
GAD;06.08.1911 00:00;5.9;;
GAD;07.08.1911 00:00;0.9;;
GAD;08.08.1911 00:00;0;;
GAD;09.08.1911 00:00;0;;
GAD;10.08.1911 00:00;0;;
GAD;11.08.1911 00:00;0;;
GAD;12.08.1911 00:00;0;;
GAD;13.08.1911 00:00;0;;
GAD;14.08.1911 00:00;0.3;;
GAD;15.08.1911 00:00;0;;
GAD;16.08.1911 00:00;0;;
GAD;17.08.1911 00:00;0;;
GAD;18.08.1911 00:00;0;;
GAD;19.08.1911 00:00;0.2;;
GAD;20.08.1911 00:00;8.9;;
GAD;21.08.1911 00:00;4.5;;
GAD;22.08.1911 00:00;0.2;;
GAD;23.08.1911 00:00;11.5;;
GAD;24.08.1911 00:00;3.7;;
GAD;25.08.1911 00:00;18.1;;
GAD;26.08.1911 00:00;3.3;;
GAD;27.08.1911 00:00;0;;
GAD;28.08.1911 00:00;0;;
GAD;29.08.1911 00:00;0;;
GAD;30.08.1911 00:00;13.2;;
GAD;31.08.1911 00:00;0.1;;
GAD;01.09.1911 00:00;0;;
GAD;02.09.1911 00:00;0;;
GAD;03.09.1911 00:00;0;;
GAD;04.09.1911 00:00;0;;
GAD;05.09.1911 00:00;0;;
GAD;06.09.1911 00:00;0;;
GAD;07.09.1911 00:00;0;;
GAD;08.09.1911 00:00;0;;
GAD;09.09.1911 00:00;0.1;;
GAD;10.09.1911 00:00;0;;
GAD;11.09.1911 00:00;0;;
GAD;12.09.1911 00:00;0;;
GAD;13.09.1911 00:00;0;;
GAD;14.09.1911 00:00;0.1;;
GAD;15.09.1911 00:00;16.2;;
GAD;16.09.1911 00:00;28.1;;
GAD;17.09.1911 00:00;0.5;;
GAD;18.09.1911 00:00;0;;
GAD;19.09.1911 00:00;0;;
GAD;20.09.1911 00:00;0;;
GAD;21.09.1911 00:00;22.2;;
GAD;22.09.1911 00:00;28.5;;
GAD;23.09.1911 00:00;8.5;;
GAD;24.09.1911 00:00;0.4;;
