station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GEP;01.01.1969 00:00;3;;
GEP;02.01.1969 00:00;8.2;;
GEP;03.01.1969 00:00;0.1;;
GEP;04.01.1969 00:00;0;;
GEP;05.01.1969 00:00;0;;
GEP;06.01.1969 00:00;0;;
GEP;07.01.1969 00:00;0;;
GEP;08.01.1969 00:00;2.5;;
GEP;09.01.1969 00:00;0;;
GEP;10.01.1969 00:00;0;;
GEP;11.01.1969 00:00;0;;
GEP;12.01.1969 00:00;4.8;;
GEP;13.01.1969 00:00;0;;
GEP;14.01.1969 00:00;0.5;;
GEP;15.01.1969 00:00;0;;
GEP;16.01.1969 00:00;1.9;;
GEP;17.01.1969 00:00;0.4;;
GEP;18.01.1969 00:00;7.2;;
GEP;19.01.1969 00:00;1.5;;
GEP;20.01.1969 00:00;0;;
GEP;21.01.1969 00:00;0;;
GEP;22.01.1969 00:00;0;;
GEP;23.01.1969 00:00;3.2;;
GEP;24.01.1969 00:00;0;;
GEP;25.01.1969 00:00;0;;
GEP;26.01.1969 00:00;0;;
GEP;27.01.1969 00:00;0;;
GEP;28.01.1969 00:00;0.8;;
GEP;29.01.1969 00:00;9.8;;
GEP;30.01.1969 00:00;4.2;;
GEP;31.01.1969 00:00;0;;
GEP;01.02.1969 00:00;0;;
GEP;02.02.1969 00:00;3.7;;
GEP;03.02.1969 00:00;0;;
GEP;04.02.1969 00:00;0;;
GEP;05.02.1969 00:00;0;;
GEP;06.02.1969 00:00;0;;
GEP;07.02.1969 00:00;6.7;;
GEP;08.02.1969 00:00;0.5;;
GEP;09.02.1969 00:00;0.2;;
GEP;10.02.1969 00:00;3;;
GEP;11.02.1969 00:00;3.6;;
GEP;12.02.1969 00:00;11.9;;
GEP;13.02.1969 00:00;2.7;;
GEP;14.02.1969 00:00;0.8;;
GEP;15.02.1969 00:00;6.5;;
GEP;16.02.1969 00:00;2.4;;
GEP;17.02.1969 00:00;0;;
GEP;18.02.1969 00:00;7.3;;
GEP;19.02.1969 00:00;10.6;;
GEP;20.02.1969 00:00;0;;
GEP;21.02.1969 00:00;0;;
GEP;22.02.1969 00:00;0;;
GEP;23.02.1969 00:00;2.4;;
GEP;24.02.1969 00:00;16;;
GEP;25.02.1969 00:00;3.6;;
GEP;26.02.1969 00:00;2.5;;
GEP;27.02.1969 00:00;0.2;;
GEP;28.02.1969 00:00;0;;
GEP;01.03.1969 00:00;0;;
GEP;02.03.1969 00:00;0;;
GEP;03.03.1969 00:00;0;;
GEP;04.03.1969 00:00;0;;
GEP;05.03.1969 00:00;0;;
GEP;06.03.1969 00:00;0;;
GEP;07.03.1969 00:00;0;;
GEP;08.03.1969 00:00;0;;
GEP;09.03.1969 00:00;0;;
GEP;10.03.1969 00:00;0;;
GEP;11.03.1969 00:00;0.4;;
GEP;12.03.1969 00:00;3.4;;
GEP;13.03.1969 00:00;31.8;;
GEP;14.03.1969 00:00;14;;
GEP;15.03.1969 00:00;0;;
GEP;16.03.1969 00:00;3;;
GEP;17.03.1969 00:00;7;;
GEP;18.03.1969 00:00;0.4;;
GEP;19.03.1969 00:00;0.1;;
GEP;20.03.1969 00:00;0;;
GEP;21.03.1969 00:00;0;;
GEP;22.03.1969 00:00;3.3;;
GEP;23.03.1969 00:00;7.4;;
GEP;24.03.1969 00:00;10.1;;
GEP;25.03.1969 00:00;5;;
GEP;26.03.1969 00:00;5.2;;
GEP;27.03.1969 00:00;3.2;;
GEP;28.03.1969 00:00;1.9;;
GEP;29.03.1969 00:00;0.2;;
GEP;30.03.1969 00:00;0.3;;
GEP;31.03.1969 00:00;0.9;;
GEP;01.04.1969 00:00;0.3;;
GEP;02.04.1969 00:00;0;;
GEP;03.04.1969 00:00;0;;
GEP;04.04.1969 00:00;0;;
GEP;05.04.1969 00:00;0;;
GEP;06.04.1969 00:00;0;;
GEP;07.04.1969 00:00;0;;
GEP;08.04.1969 00:00;0;;
GEP;09.04.1969 00:00;0;;
GEP;10.04.1969 00:00;0;;
GEP;11.04.1969 00:00;0;;
GEP;12.04.1969 00:00;4.5;;
GEP;13.04.1969 00:00;1.4;;
GEP;14.04.1969 00:00;3.6;;
GEP;15.04.1969 00:00;17;;
GEP;16.04.1969 00:00;4.8;;
GEP;17.04.1969 00:00;12;;
GEP;18.04.1969 00:00;3;;
