station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GHS;01.01.1901 00:00;0.4;;
GHS;02.01.1901 00:00;0.3;;
GHS;03.01.1901 00:00;0;;
GHS;04.01.1901 00:00;0;;
GHS;05.01.1901 00:00;0.1;;
GHS;06.01.1901 00:00;0;;
GHS;07.01.1901 00:00;0;;
GHS;08.01.1901 00:00;0;;
GHS;09.01.1901 00:00;0;;
GHS;10.01.1901 00:00;0;;
GHS;11.01.1901 00:00;0;;
GHS;12.01.1901 00:00;0;;
GHS;13.01.1901 00:00;0;;
GHS;14.01.1901 00:00;0;;
GHS;15.01.1901 00:00;0;;
GHS;16.01.1901 00:00;0;;
GHS;17.01.1901 00:00;0;;
GHS;18.01.1901 00:00;0;;
GHS;19.01.1901 00:00;0;;
GHS;20.01.1901 00:00;4.3;;
GHS;21.01.1901 00:00;4.7;;
GHS;22.01.1901 00:00;0;;
GHS;23.01.1901 00:00;0;;
GHS;24.01.1901 00:00;0;;
GHS;25.01.1901 00:00;0;;
GHS;26.01.1901 00:00;5.7;;
GHS;27.01.1901 00:00;2.7;;
GHS;28.01.1901 00:00;6.4;;
GHS;29.01.1901 00:00;4.6;;
GHS;30.01.1901 00:00;0;;
GHS;31.01.1901 00:00;0;;
GHS;01.02.1901 00:00;4.1;;
GHS;02.02.1901 00:00;4.5;;
GHS;03.02.1901 00:00;0;;
GHS;04.02.1901 00:00;0.3;;
GHS;05.02.1901 00:00;2;;
GHS;06.02.1901 00:00;0;;
GHS;07.02.1901 00:00;1.6;;
GHS;08.02.1901 00:00;0.1;;
GHS;09.02.1901 00:00;0;;
GHS;10.02.1901 00:00;0;;
GHS;11.02.1901 00:00;1.3;;
GHS;12.02.1901 00:00;0.3;;
GHS;13.02.1901 00:00;2;;
GHS;14.02.1901 00:00;0;;
GHS;15.02.1901 00:00;0;;
GHS;16.02.1901 00:00;4.3;;
GHS;17.02.1901 00:00;8.5;;
GHS;18.02.1901 00:00;0;;
GHS;19.02.1901 00:00;0;;
GHS;20.02.1901 00:00;0;;
GHS;21.02.1901 00:00;0;;
GHS;22.02.1901 00:00;0;;
GHS;23.02.1901 00:00;0;;
GHS;24.02.1901 00:00;0;;
GHS;25.02.1901 00:00;0;;
GHS;26.02.1901 00:00;0;;
GHS;27.02.1901 00:00;0;;
GHS;28.02.1901 00:00;0;;
GHS;01.03.1901 00:00;1.4;;
GHS;02.03.1901 00:00;10.5;;
GHS;03.03.1901 00:00;11.7;;
GHS;04.03.1901 00:00;6.6;;
GHS;05.03.1901 00:00;2.9;;
GHS;06.03.1901 00:00;3.7;;
GHS;07.03.1901 00:00;0.2;;
GHS;08.03.1901 00:00;0;;
GHS;09.03.1901 00:00;0;;
GHS;10.03.1901 00:00;2.2;;
GHS;11.03.1901 00:00;0.4;;
GHS;12.03.1901 00:00;3;;
GHS;13.03.1901 00:00;0;;
GHS;14.03.1901 00:00;0;;
GHS;15.03.1901 00:00;0;;
GHS;16.03.1901 00:00;0;;
GHS;17.03.1901 00:00;0;;
GHS;18.03.1901 00:00;0;;
GHS;19.03.1901 00:00;0;;
GHS;20.03.1901 00:00;33.8;;
GHS;21.03.1901 00:00;10;;
GHS;22.03.1901 00:00;0.2;;
GHS;23.03.1901 00:00;0.1;;
GHS;24.03.1901 00:00;0;;
GHS;25.03.1901 00:00;1.5;;
GHS;26.03.1901 00:00;5.8;;
GHS;27.03.1901 00:00;0.8;;
GHS;28.03.1901 00:00;5.2;;
GHS;29.03.1901 00:00;0.4;;
GHS;30.03.1901 00:00;0;;
GHS;31.03.1901 00:00;0;;
GHS;01.04.1901 00:00;12.2;;
GHS;02.04.1901 00:00;0;;
GHS;03.04.1901 00:00;0;;
GHS;04.04.1901 00:00;0;;
GHS;05.04.1901 00:00;38;;
GHS;06.04.1901 00:00;7.7;;
GHS;07.04.1901 00:00;31.5;;
GHS;08.04.1901 00:00;0;;
GHS;09.04.1901 00:00;17.2;;
GHS;10.04.1901 00:00;8.7;;
GHS;11.04.1901 00:00;2.4;;
GHS;12.04.1901 00:00;28.1;;
GHS;13.04.1901 00:00;2.8;;
GHS;14.04.1901 00:00;2;;
GHS;15.04.1901 00:00;1.1;;
GHS;16.04.1901 00:00;6.7;;
GHS;17.04.1901 00:00;10.8;;
GHS;18.04.1901 00:00;0;;
GHS;19.04.1901 00:00;0;;
GHS;20.04.1901 00:00;0;;
GHS;21.04.1901 00:00;0;;
GHS;22.04.1901 00:00;0;;
GHS;23.04.1901 00:00;0;;
GHS;24.04.1901 00:00;0;;
GHS;25.04.1901 00:00;2.8;;
GHS;26.04.1901 00:00;0;;
GHS;27.04.1901 00:00;0;;
GHS;28.04.1901 00:00;6.5;;
GHS;29.04.1901 00:00;10.4;;
GHS;30.04.1901 00:00;5.4;;
GHS;01.05.1901 00:00;0;;
GHS;02.05.1901 00:00;0;;
GHS;03.05.1901 00:00;3;;
GHS;04.05.1901 00:00;0;;
GHS;05.05.1901 00:00;0;;
GHS;06.05.1901 00:00;2.5;;
GHS;07.05.1901 00:00;2.5;;
GHS;08.05.1901 00:00;1.2;;
GHS;09.05.1901 00:00;10.4;;
GHS;10.05.1901 00:00;5;;
GHS;11.05.1901 00:00;0.6;;
GHS;12.05.1901 00:00;0;;
GHS;13.05.1901 00:00;0;;
GHS;14.05.1901 00:00;0;;
GHS;15.05.1901 00:00;0;;
GHS;16.05.1901 00:00;0;;
GHS;17.05.1901 00:00;0;;
GHS;18.05.1901 00:00;0.3;;
GHS;19.05.1901 00:00;0;;
GHS;20.05.1901 00:00;0;;
GHS;21.05.1901 00:00;0;;
GHS;22.05.1901 00:00;0.4;;
GHS;23.05.1901 00:00;0;;
GHS;24.05.1901 00:00;0;;
GHS;25.05.1901 00:00;32.6;;
GHS;26.05.1901 00:00;0;;
GHS;27.05.1901 00:00;0;;
GHS;28.05.1901 00:00;0;;
GHS;29.05.1901 00:00;0;;
GHS;30.05.1901 00:00;0.1;;
GHS;31.05.1901 00:00;0;;
GHS;01.06.1901 00:00;0;;
GHS;02.06.1901 00:00;5.83;;
GHS;03.06.1901 00:00;3.7;;
GHS;04.06.1901 00:00;4.7;;
GHS;05.06.1901 00:00;0;;
GHS;06.06.1901 00:00;0;;
GHS;07.06.1901 00:00;0;;
GHS;08.06.1901 00:00;7.2;;
GHS;09.06.1901 00:00;31.2;;
GHS;10.06.1901 00:00;5.4;;
GHS;11.06.1901 00:00;0;;
