station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GIN;01.01.1900 00:00;0;;
GIN;02.01.1900 00:00;0;;
GIN;03.01.1900 00:00;0;;
GIN;04.01.1900 00:00;18.6;;
GIN;05.01.1900 00:00;9.3;;
GIN;06.01.1900 00:00;0;;
GIN;07.01.1900 00:00;0;;
GIN;08.01.1900 00:00;6.4;;
GIN;09.01.1900 00:00;5;;
GIN;10.01.1900 00:00;3.7;;
GIN;11.01.1900 00:00;4.3;;
GIN;12.01.1900 00:00;0.4;;
GIN;13.01.1900 00:00;0;;
GIN;14.01.1900 00:00;0;;
GIN;15.01.1900 00:00;4.5;;
GIN;16.01.1900 00:00;17.2;;
GIN;17.01.1900 00:00;36.4;;
GIN;18.01.1900 00:00;3.7;;
GIN;19.01.1900 00:00;0;;
GIN;20.01.1900 00:00;0;;
GIN;21.01.1900 00:00;0;;
GIN;22.01.1900 00:00;25.5;;
GIN;23.01.1900 00:00;0;;
GIN;24.01.1900 00:00;10.4;;
GIN;25.01.1900 00:00;8.6;;
GIN;26.01.1900 00:00;0;;
GIN;27.01.1900 00:00;4.6;;
GIN;28.01.1900 00:00;5.9;;
GIN;29.01.1900 00:00;3;;
GIN;30.01.1900 00:00;0;;
GIN;31.01.1900 00:00;0;;
GIN;01.02.1900 00:00;0;;
GIN;02.02.1900 00:00;1.2;;
GIN;03.02.1900 00:00;0;;
GIN;04.02.1900 00:00;0;;
GIN;05.02.1900 00:00;0;;
GIN;06.02.1900 00:00;0.8;;
GIN;07.02.1900 00:00;0;;
GIN;08.02.1900 00:00;0;;
GIN;09.02.1900 00:00;2.7;;
GIN;10.02.1900 00:00;9.4;;
GIN;11.02.1900 00:00;3.2;;
GIN;12.02.1900 00:00;7.6;;
GIN;13.02.1900 00:00;0;;
GIN;14.02.1900 00:00;10.6;;
GIN;15.02.1900 00:00;0;;
GIN;16.02.1900 00:00;7.2;;
GIN;17.02.1900 00:00;0;;
GIN;18.02.1900 00:00;0;;
GIN;19.02.1900 00:00;0;;
GIN;20.02.1900 00:00;0;;
GIN;21.02.1900 00:00;13;;
GIN;22.02.1900 00:00;0;;
GIN;23.02.1900 00:00;1.2;;
GIN;24.02.1900 00:00;0;;
GIN;25.02.1900 00:00;0;;
GIN;26.02.1900 00:00;1.5;;
GIN;27.02.1900 00:00;4.2;;
GIN;28.02.1900 00:00;6.3;;
GIN;01.03.1900 00:00;5.7;;
GIN;02.03.1900 00:00;1.3;;
GIN;03.03.1900 00:00;4.6;;
GIN;04.03.1900 00:00;0.8;;
GIN;05.03.1900 00:00;0;;
GIN;06.03.1900 00:00;0;;
GIN;07.03.1900 00:00;0;;
GIN;08.03.1900 00:00;0;;
GIN;09.03.1900 00:00;0;;
GIN;10.03.1900 00:00;0;;
GIN;11.03.1900 00:00;0;;
GIN;12.03.1900 00:00;0;;
GIN;13.03.1900 00:00;3.7;;
GIN;14.03.1900 00:00;2.4;;
GIN;15.03.1900 00:00;0;;
GIN;16.03.1900 00:00;0;;
GIN;17.03.1900 00:00;16.2;;
GIN;18.03.1900 00:00;0.4;;
GIN;19.03.1900 00:00;0;;
GIN;20.03.1900 00:00;0;;
GIN;21.03.1900 00:00;0;;
GIN;22.03.1900 00:00;1.8;;
GIN;23.03.1900 00:00;15.4;;
GIN;24.03.1900 00:00;0;;
GIN;25.03.1900 00:00;3.4;;
GIN;26.03.1900 00:00;0;;
GIN;27.03.1900 00:00;8.3;;
GIN;28.03.1900 00:00;0.6;;
GIN;29.03.1900 00:00;1.2;;
GIN;30.03.1900 00:00;1;;
GIN;31.03.1900 00:00;0;;
GIN;01.04.1900 00:00;0;;
GIN;02.04.1900 00:00;5.5;;
GIN;03.04.1900 00:00;0.3;;
GIN;04.04.1900 00:00;0;;
GIN;05.04.1900 00:00;3.2;;
GIN;06.04.1900 00:00;2.4;;
GIN;07.04.1900 00:00;8.6;;
GIN;08.04.1900 00:00;7;;
GIN;09.04.1900 00:00;0;;
GIN;10.04.1900 00:00;0;;
GIN;11.04.1900 00:00;0;;
GIN;12.04.1900 00:00;3.5;;
GIN;13.04.1900 00:00;6.5;;
GIN;14.04.1900 00:00;0;;
GIN;15.04.1900 00:00;0;;
GIN;16.04.1900 00:00;7.8;;
GIN;17.04.1900 00:00;0.6;;
GIN;18.04.1900 00:00;1.6;;
GIN;19.04.1900 00:00;0;;
GIN;20.04.1900 00:00;0;;
GIN;21.04.1900 00:00;0;;
GIN;22.04.1900 00:00;0;;
GIN;23.04.1900 00:00;3.6;;
GIN;24.04.1900 00:00;4;;
GIN;25.04.1900 00:00;5.8;;
GIN;26.04.1900 00:00;1.2;;
GIN;27.04.1900 00:00;4;;
GIN;28.04.1900 00:00;0;;
GIN;29.04.1900 00:00;1.2;;
GIN;30.04.1900 00:00;12.7;;
GIN;01.05.1900 00:00;0.4;;
GIN;02.05.1900 00:00;0;;
GIN;03.05.1900 00:00;4;;
GIN;04.05.1900 00:00;0;;
GIN;05.05.1900 00:00;0;;
GIN;06.05.1900 00:00;0;;
GIN;07.05.1900 00:00;0;;
GIN;08.05.1900 00:00;8.7;;
GIN;09.05.1900 00:00;3.4;;
GIN;10.05.1900 00:00;4.2;;
GIN;11.05.1900 00:00;0.8;;
GIN;12.05.1900 00:00;0;;
GIN;13.05.1900 00:00;2.2;;
GIN;14.05.1900 00:00;7.2;;
GIN;15.05.1900 00:00;3.8;;
GIN;16.05.1900 00:00;0;;
GIN;17.05.1900 00:00;0;;
GIN;18.05.1900 00:00;7.2;;
GIN;19.05.1900 00:00;0.4;;
GIN;20.05.1900 00:00;0;;
GIN;21.05.1900 00:00;0;;
GIN;22.05.1900 00:00;0;;
GIN;23.05.1900 00:00;9.5;;
GIN;24.05.1900 00:00;32;;
GIN;25.05.1900 00:00;4.1;;
GIN;26.05.1900 00:00;0.3;;
GIN;27.05.1900 00:00;4.7;;
GIN;28.05.1900 00:00;4.9;;
GIN;29.05.1900 00:00;7.8;;
GIN;30.05.1900 00:00;0.6;;
GIN;31.05.1900 00:00;0;;
GIN;01.06.1900 00:00;0;;
GIN;02.06.1900 00:00;0;;
GIN;03.06.1900 00:00;0;;
GIN;04.06.1900 00:00;0;;
GIN;05.06.1900 00:00;0;;
GIN;06.06.1900 00:00;53.5;;
GIN;07.06.1900 00:00;0;;
GIN;08.06.1900 00:00;0;;
GIN;09.06.1900 00:00;0;;
GIN;10.06.1900 00:00;0;;
GIN;11.06.1900 00:00;0;;
GIN;12.06.1900 00:00;0.2;;
GIN;13.06.1900 00:00;5;;
GIN;14.06.1900 00:00;0;;
GIN;15.06.1900 00:00;4.2;;
GIN;16.06.1900 00:00;4.3;;
GIN;17.06.1900 00:00;3.8;;
GIN;18.06.1900 00:00;4.6;;
GIN;19.06.1900 00:00;0;;
GIN;20.06.1900 00:00;41.8;;
GIN;21.06.1900 00:00;0;;
GIN;22.06.1900 00:00;20.5;;
GIN;23.06.1900 00:00;0;;
GIN;24.06.1900 00:00;0;;
GIN;25.06.1900 00:00;0;;
GIN;26.06.1900 00:00;8.9;;
GIN;27.06.1900 00:00;0;;
GIN;28.06.1900 00:00;0;;
GIN;29.06.1900 00:00;0;;
GIN;30.06.1900 00:00;0;;
GIN;01.07.1900 00:00;0;;
GIN;02.07.1900 00:00;0;;
GIN;03.07.1900 00:00;36.2;;
GIN;04.07.1900 00:00;31.2;;
GIN;05.07.1900 00:00;0;;
GIN;06.07.1900 00:00;12.3;;
GIN;07.07.1900 00:00;16.2;;
GIN;08.07.1900 00:00;3.3;;
GIN;09.07.1900 00:00;0;;
GIN;10.07.1900 00:00;3.2;;
GIN;11.07.1900 00:00;0;;
GIN;12.07.1900 00:00;0.6;;
GIN;13.07.1900 00:00;26.3;;
GIN;14.07.1900 00:00;0;;
GIN;15.07.1900 00:00;0;;
GIN;16.07.1900 00:00;0;;
GIN;17.07.1900 00:00;0;;
GIN;18.07.1900 00:00;0;;
GIN;19.07.1900 00:00;0;;
GIN;20.07.1900 00:00;0;;
GIN;21.07.1900 00:00;0;;
GIN;22.07.1900 00:00;0;;
GIN;23.07.1900 00:00;0;;
GIN;24.07.1900 00:00;0;;
GIN;25.07.1900 00:00;0;;
GIN;26.07.1900 00:00;0;;
GIN;27.07.1900 00:00;0;;
GIN;28.07.1900 00:00;0;;
GIN;29.07.1900 00:00;27;;
GIN;30.07.1900 00:00;35.5;;
GIN;31.07.1900 00:00;0;;
GIN;01.08.1900 00:00;0;;
GIN;02.08.1900 00:00;0;;
GIN;03.08.1900 00:00;3.2;;
GIN;04.08.1900 00:00;0;;
GIN;05.08.1900 00:00;0;;
GIN;06.08.1900 00:00;0;;
GIN;07.08.1900 00:00;13.8;;
GIN;08.08.1900 00:00;20;;
GIN;09.08.1900 00:00;0;;
GIN;10.08.1900 00:00;0;;
GIN;11.08.1900 00:00;10.5;;
GIN;12.08.1900 00:00;0;;
GIN;13.08.1900 00:00;0;;
GIN;14.08.1900 00:00;0;;
GIN;15.08.1900 00:00;0;;
GIN;16.08.1900 00:00;0;;
GIN;17.08.1900 00:00;4.2;;
GIN;18.08.1900 00:00;0;;
GIN;19.08.1900 00:00;0;;
GIN;20.08.1900 00:00;11;;
GIN;21.08.1900 00:00;22.8;;
GIN;22.08.1900 00:00;0;;
GIN;23.08.1900 00:00;4.8;;
GIN;24.08.1900 00:00;22.5;;
GIN;25.08.1900 00:00;0;;
GIN;26.08.1900 00:00;5.2;;
GIN;27.08.1900 00:00;0;;
GIN;28.08.1900 00:00;36.7;;
GIN;29.08.1900 00:00;0;;
GIN;30.08.1900 00:00;0;;
GIN;31.08.1900 00:00;0;;
GIN;01.09.1900 00:00;0;;
GIN;02.09.1900 00:00;16.3;;
GIN;03.09.1900 00:00;3.8;;
GIN;04.09.1900 00:00;0;;
GIN;05.09.1900 00:00;0;;
GIN;06.09.1900 00:00;0;;
GIN;07.09.1900 00:00;0;;
GIN;08.09.1900 00:00;0;;
GIN;09.09.1900 00:00;0;;
GIN;10.09.1900 00:00;0;;
GIN;11.09.1900 00:00;0;;
GIN;12.09.1900 00:00;0;;
GIN;13.09.1900 00:00;0;;
GIN;14.09.1900 00:00;0;;
GIN;15.09.1900 00:00;0;;
GIN;16.09.1900 00:00;0;;
GIN;17.09.1900 00:00;27;;
GIN;18.09.1900 00:00;0;;
GIN;19.09.1900 00:00;0;;
GIN;20.09.1900 00:00;0;;
GIN;21.09.1900 00:00;0;;
GIN;22.09.1900 00:00;0;;
GIN;23.09.1900 00:00;0;;
GIN;24.09.1900 00:00;4.7;;
GIN;25.09.1900 00:00;3.4;;
GIN;26.09.1900 00:00;4.7;;
GIN;27.09.1900 00:00;0;;
GIN;28.09.1900 00:00;3.5;;
GIN;29.09.1900 00:00;0;;
GIN;30.09.1900 00:00;7;;
GIN;01.10.1900 00:00;0;;
GIN;02.10.1900 00:00;0;;
GIN;03.10.1900 00:00;2;;
GIN;04.10.1900 00:00;8.5;;
GIN;05.10.1900 00:00;1.3;;
GIN;06.10.1900 00:00;0;;
GIN;07.10.1900 00:00;0;;
GIN;08.10.1900 00:00;0;;
GIN;09.10.1900 00:00;0;;
GIN;10.10.1900 00:00;22.2;;
GIN;11.10.1900 00:00;0;;
GIN;12.10.1900 00:00;0;;
GIN;13.10.1900 00:00;8.7;;
GIN;14.10.1900 00:00;7.2;;
GIN;15.10.1900 00:00;0;;
GIN;16.10.1900 00:00;0;;
GIN;17.10.1900 00:00;11.2;;
GIN;18.10.1900 00:00;9.2;;
GIN;19.10.1900 00:00;0;;
GIN;20.10.1900 00:00;0;;
GIN;21.10.1900 00:00;9.5;;
GIN;22.10.1900 00:00;0;;
GIN;23.10.1900 00:00;0;;
GIN;24.10.1900 00:00;0;;
GIN;25.10.1900 00:00;0;;
