station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GLA;01.01.1891 00:00;;0;
GLA;02.01.1891 00:00;;0;
GLA;03.01.1891 00:00;;0;
GLA;04.01.1891 00:00;;9;
GLA;05.01.1891 00:00;;10;
GLA;06.01.1891 00:00;;0;
GLA;07.01.1891 00:00;;0;
GLA;08.01.1891 00:00;;1;
GLA;09.01.1891 00:00;;0;
GLA;10.01.1891 00:00;;0;
GLA;11.01.1891 00:00;;0;
GLA;12.01.1891 00:00;;12;
GLA;13.01.1891 00:00;;0;
GLA;14.01.1891 00:00;;12;
GLA;15.01.1891 00:00;;3;
GLA;16.01.1891 00:00;;0;
GLA;17.01.1891 00:00;;0;
GLA;18.01.1891 00:00;;0;
GLA;19.01.1891 00:00;;0;
GLA;20.01.1891 00:00;;0;
GLA;21.01.1891 00:00;;30;
GLA;22.01.1891 00:00;;11;
GLA;23.01.1891 00:00;;0;
GLA;24.01.1891 00:00;;0;
GLA;25.01.1891 00:00;;5;
GLA;26.01.1891 00:00;;0;
GLA;27.01.1891 00:00;;0;
GLA;28.01.1891 00:00;;0;
GLA;29.01.1891 00:00;;0;
GLA;30.01.1891 00:00;;0;
GLA;31.01.1891 00:00;;0;
GLA;01.02.1891 00:00;;0;
GLA;02.02.1891 00:00;;0;
GLA;03.02.1891 00:00;;1;
GLA;04.02.1891 00:00;;6;
GLA;05.02.1891 00:00;;0;
GLA;06.02.1891 00:00;;0;
GLA;07.02.1891 00:00;;0;
GLA;08.02.1891 00:00;;0;
GLA;09.02.1891 00:00;;0;
GLA;10.02.1891 00:00;;0;
GLA;11.02.1891 00:00;;0;
GLA;12.02.1891 00:00;;1;
GLA;13.02.1891 00:00;;4;
GLA;14.02.1891 00:00;;0;
GLA;15.02.1891 00:00;;0;
GLA;16.02.1891 00:00;;0;
GLA;17.02.1891 00:00;;0;
GLA;18.02.1891 00:00;;0;
GLA;19.02.1891 00:00;;0;
GLA;20.02.1891 00:00;;0;
GLA;21.02.1891 00:00;;0;
GLA;22.02.1891 00:00;;0;
GLA;23.02.1891 00:00;;0;
GLA;24.02.1891 00:00;;0;
GLA;25.02.1891 00:00;;0;
GLA;26.02.1891 00:00;;0;
GLA;27.02.1891 00:00;;0;
GLA;28.02.1891 00:00;;0;
GLA;01.03.1891 00:00;;0;
GLA;02.03.1891 00:00;;0;
GLA;03.03.1891 00:00;;1;
GLA;04.03.1891 00:00;;0;
GLA;05.03.1891 00:00;;0;
GLA;06.03.1891 00:00;;0;
GLA;07.03.1891 00:00;;0;
GLA;08.03.1891 00:00;;0;
GLA;09.03.1891 00:00;;0;
GLA;10.03.1891 00:00;;0;
GLA;11.03.1891 00:00;;2;
GLA;12.03.1891 00:00;;0;
GLA;13.03.1891 00:00;;0;
GLA;14.03.1891 00:00;;0;
GLA;15.03.1891 00:00;;0;
GLA;16.03.1891 00:00;;0;
GLA;17.03.1891 00:00;;0;
GLA;18.03.1891 00:00;;0;
GLA;19.03.1891 00:00;;1;
GLA;20.03.1891 00:00;;0;
GLA;21.03.1891 00:00;;0;
GLA;22.03.1891 00:00;;0;
GLA;23.03.1891 00:00;;0;
GLA;24.03.1891 00:00;;0;
GLA;25.03.1891 00:00;;0;
GLA;26.03.1891 00:00;;0;
GLA;27.03.1891 00:00;;8;
GLA;28.03.1891 00:00;;15;
GLA;29.03.1891 00:00;;0;
GLA;30.03.1891 00:00;;30;
GLA;31.03.1891 00:00;;18;
GLA;01.04.1891 00:00;;0;
GLA;02.04.1891 00:00;;0;
GLA;03.04.1891 00:00;;0;
GLA;04.04.1891 00:00;;0;
GLA;05.04.1891 00:00;;0;
GLA;06.04.1891 00:00;;0;
GLA;07.04.1891 00:00;;0;
GLA;08.04.1891 00:00;;0;
GLA;09.04.1891 00:00;;0;
GLA;10.04.1891 00:00;;0;
GLA;11.04.1891 00:00;;1;
GLA;12.04.1891 00:00;;0;
GLA;13.04.1891 00:00;;0;
GLA;14.04.1891 00:00;;0;
GLA;15.04.1891 00:00;;0;
GLA;16.04.1891 00:00;;0;
GLA;17.04.1891 00:00;;0;
GLA;18.04.1891 00:00;;0;
GLA;19.04.1891 00:00;;0;
GLA;20.04.1891 00:00;;0;
GLA;21.04.1891 00:00;;0;
GLA;22.04.1891 00:00;;0;
GLA;23.04.1891 00:00;;0;
GLA;24.04.1891 00:00;;0;
GLA;25.04.1891 00:00;;0;
GLA;26.04.1891 00:00;;0;
GLA;27.04.1891 00:00;;0;
GLA;28.04.1891 00:00;;0;
GLA;29.04.1891 00:00;;0;
GLA;30.04.1891 00:00;;0;
GLA;01.05.1891 00:00;;0;
GLA;02.05.1891 00:00;;0;
GLA;03.05.1891 00:00;;0;
GLA;04.05.1891 00:00;;0;
GLA;05.05.1891 00:00;;0;
GLA;06.05.1891 00:00;;0;
GLA;07.05.1891 00:00;;0;
GLA;08.05.1891 00:00;;0;
GLA;09.05.1891 00:00;;0;
GLA;10.05.1891 00:00;;0;
GLA;11.05.1891 00:00;;0;
GLA;12.05.1891 00:00;;0;
GLA;13.05.1891 00:00;;0;
GLA;14.05.1891 00:00;;0;
GLA;15.05.1891 00:00;;0;
GLA;16.05.1891 00:00;;0;
GLA;17.05.1891 00:00;;0;
GLA;18.05.1891 00:00;;0;
GLA;19.05.1891 00:00;;0;
GLA;20.05.1891 00:00;;0;
GLA;21.05.1891 00:00;;0;
GLA;22.05.1891 00:00;;0;
GLA;23.05.1891 00:00;;0;
GLA;24.05.1891 00:00;;0;
GLA;25.05.1891 00:00;;0;
GLA;26.05.1891 00:00;;0;
GLA;27.05.1891 00:00;;0;
GLA;28.05.1891 00:00;;0;
GLA;29.05.1891 00:00;;0;
GLA;30.05.1891 00:00;;0;
GLA;31.05.1891 00:00;;0;
GLA;01.06.1891 00:00;;0;
GLA;02.06.1891 00:00;;0;
GLA;03.06.1891 00:00;;0;
GLA;04.06.1891 00:00;;0;
