station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GOS;01.01.1895 00:00;5;;
GOS;02.01.1895 00:00;1.9;;
GOS;03.01.1895 00:00;0;;
GOS;04.01.1895 00:00;0;;
GOS;05.01.1895 00:00;3.5;;
GOS;06.01.1895 00:00;0;;
GOS;07.01.1895 00:00;0;;
GOS;08.01.1895 00:00;9.9;;
GOS;09.01.1895 00:00;0;;
GOS;10.01.1895 00:00;0;;
GOS;11.01.1895 00:00;0;;
GOS;12.01.1895 00:00;0;;
GOS;13.01.1895 00:00;6.4;;
GOS;14.01.1895 00:00;8.3;;
GOS;15.01.1895 00:00;0;;
GOS;16.01.1895 00:00;37;;
GOS;17.01.1895 00:00;3.4;;
GOS;18.01.1895 00:00;0;;
GOS;19.01.1895 00:00;0;;
GOS;20.01.1895 00:00;0;;
GOS;21.01.1895 00:00;0;;
GOS;22.01.1895 00:00;12.5;;
GOS;23.01.1895 00:00;9.7;;
GOS;24.01.1895 00:00;2.6;;
GOS;25.01.1895 00:00;8.7;;
GOS;26.01.1895 00:00;0;;
GOS;27.01.1895 00:00;0;;
GOS;28.01.1895 00:00;2.7;;
GOS;29.01.1895 00:00;0;;
GOS;30.01.1895 00:00;0;;
GOS;31.01.1895 00:00;0;;
GOS;01.02.1895 00:00;0;;
GOS;02.02.1895 00:00;0;;
GOS;03.02.1895 00:00;2.4;;
GOS;04.02.1895 00:00;1.9;;
GOS;05.02.1895 00:00;0;;
GOS;06.02.1895 00:00;0;;
GOS;07.02.1895 00:00;0;;
GOS;08.02.1895 00:00;0;;
GOS;09.02.1895 00:00;2.7;;
GOS;10.02.1895 00:00;0;;
GOS;11.02.1895 00:00;4.2;;
GOS;12.02.1895 00:00;13.5;;
GOS;13.02.1895 00:00;2.5;;
GOS;14.02.1895 00:00;0;;
GOS;15.02.1895 00:00;0;;
GOS;16.02.1895 00:00;0;;
GOS;17.02.1895 00:00;0;;
GOS;18.02.1895 00:00;0;;
GOS;19.02.1895 00:00;0;;
GOS;20.02.1895 00:00;0;;
GOS;21.02.1895 00:00;0;;
GOS;22.02.1895 00:00;0;;
GOS;23.02.1895 00:00;0;;
GOS;24.02.1895 00:00;0;;
GOS;25.02.1895 00:00;2;;
GOS;26.02.1895 00:00;4;;
GOS;27.02.1895 00:00;3.8;;
GOS;28.02.1895 00:00;2.3;;
GOS;01.03.1895 00:00;0;;
GOS;02.03.1895 00:00;5;;
GOS;03.03.1895 00:00;5;;
GOS;04.03.1895 00:00;3;;
GOS;05.03.1895 00:00;1.9;;
GOS;06.03.1895 00:00;0;;
GOS;07.03.1895 00:00;0;;
GOS;08.03.1895 00:00;0;;
GOS;09.03.1895 00:00;0;;
GOS;10.03.1895 00:00;0;;
GOS;11.03.1895 00:00;0;;
GOS;12.03.1895 00:00;0;;
GOS;13.03.1895 00:00;6;;
GOS;14.03.1895 00:00;2.3;;
GOS;15.03.1895 00:00;0;;
GOS;16.03.1895 00:00;0;;
GOS;17.03.1895 00:00;0;;
GOS;18.03.1895 00:00;0;;
GOS;19.03.1895 00:00;1.5;;
GOS;20.03.1895 00:00;64;;
GOS;21.03.1895 00:00;5.6;;
GOS;22.03.1895 00:00;0;;
GOS;23.03.1895 00:00;0;;
GOS;24.03.1895 00:00;3.6;;
GOS;25.03.1895 00:00;11;;
GOS;26.03.1895 00:00;9.1;;
GOS;27.03.1895 00:00;10;;
GOS;28.03.1895 00:00;7.3;;
GOS;29.03.1895 00:00;0;;
GOS;30.03.1895 00:00;0;;
GOS;31.03.1895 00:00;0;;
GOS;01.04.1895 00:00;0;;
GOS;02.04.1895 00:00;0;;
GOS;03.04.1895 00:00;0;;
GOS;04.04.1895 00:00;10.1;;
GOS;05.04.1895 00:00;0;;
GOS;06.04.1895 00:00;0;;
