station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GRA;01.01.1900 00:00;1.8;;
GRA;02.01.1900 00:00;0;;
GRA;03.01.1900 00:00;26.5;;
GRA;04.01.1900 00:00;11.5;;
GRA;05.01.1900 00:00;10.6;;
GRA;06.01.1900 00:00;0;;
GRA;07.01.1900 00:00;0;;
GRA;08.01.1900 00:00;3.2;;
GRA;09.01.1900 00:00;2.7;;
GRA;10.01.1900 00:00;4;;
GRA;11.01.1900 00:00;3.3;;
GRA;12.01.1900 00:00;0;;
GRA;13.01.1900 00:00;0;;
GRA;14.01.1900 00:00;0;;
GRA;15.01.1900 00:00;0;;
GRA;16.01.1900 00:00;11.2;;
GRA;17.01.1900 00:00;0;;
GRA;18.01.1900 00:00;19.3;;
GRA;19.01.1900 00:00;0;;
GRA;20.01.1900 00:00;0;;
GRA;21.01.1900 00:00;0;;
GRA;22.01.1900 00:00;10.2;;
GRA;23.01.1900 00:00;0;;
GRA;24.01.1900 00:00;6;;
GRA;25.01.1900 00:00;7;;
GRA;26.01.1900 00:00;0;;
GRA;27.01.1900 00:00;15.3;;
GRA;28.01.1900 00:00;1.2;;
GRA;29.01.1900 00:00;2;;
GRA;30.01.1900 00:00;0;;
GRA;31.01.1900 00:00;0;;
GRA;01.02.1900 00:00;0;;
GRA;02.02.1900 00:00;0;;
GRA;03.02.1900 00:00;3.2;;
GRA;04.02.1900 00:00;0;;
GRA;05.02.1900 00:00;0;;
GRA;06.02.1900 00:00;7;;
GRA;07.02.1900 00:00;0;;
GRA;08.02.1900 00:00;0;;
GRA;09.02.1900 00:00;0;;
GRA;10.02.1900 00:00;6.2;;
GRA;11.02.1900 00:00;8.4;;
GRA;12.02.1900 00:00;26;;
GRA;13.02.1900 00:00;4.4;;
GRA;14.02.1900 00:00;7;;
GRA;15.02.1900 00:00;0;;
GRA;16.02.1900 00:00;3.9;;
GRA;17.02.1900 00:00;0;;
GRA;18.02.1900 00:00;2.4;;
GRA;19.02.1900 00:00;17;;
GRA;20.02.1900 00:00;2.1;;
GRA;21.02.1900 00:00;3.5;;
GRA;22.02.1900 00:00;2;;
GRA;23.02.1900 00:00;0;;
GRA;24.02.1900 00:00;0;;
GRA;25.02.1900 00:00;0;;
GRA;26.02.1900 00:00;13.1;;
GRA;27.02.1900 00:00;0;;
GRA;28.02.1900 00:00;3.7;;
GRA;01.03.1900 00:00;2.7;;
GRA;02.03.1900 00:00;0;;
GRA;03.03.1900 00:00;0;;
GRA;04.03.1900 00:00;4.5;;
GRA;05.03.1900 00:00;0;;
GRA;06.03.1900 00:00;0;;
GRA;07.03.1900 00:00;0;;
GRA;08.03.1900 00:00;0;;
GRA;09.03.1900 00:00;0;;
GRA;10.03.1900 00:00;0;;
GRA;11.03.1900 00:00;0;;
GRA;12.03.1900 00:00;0;;
GRA;13.03.1900 00:00;0;;
GRA;14.03.1900 00:00;0;;
GRA;15.03.1900 00:00;0;;
GRA;16.03.1900 00:00;0;;
GRA;17.03.1900 00:00;6.5;;
GRA;18.03.1900 00:00;0;;
GRA;19.03.1900 00:00;0;;
GRA;20.03.1900 00:00;0;;
GRA;21.03.1900 00:00;0;;
GRA;22.03.1900 00:00;2;;
GRA;23.03.1900 00:00;0;;
GRA;24.03.1900 00:00;12.5;;
GRA;25.03.1900 00:00;2;;
GRA;26.03.1900 00:00;6.1;;
GRA;27.03.1900 00:00;10;;
GRA;28.03.1900 00:00;0;;
GRA;29.03.1900 00:00;1.6;;
GRA;30.03.1900 00:00;2.9;;
GRA;31.03.1900 00:00;0;;
GRA;01.04.1900 00:00;0;;
GRA;02.04.1900 00:00;1;;
GRA;03.04.1900 00:00;0;;
GRA;04.04.1900 00:00;2.2;;
GRA;05.04.1900 00:00;1.8;;
GRA;06.04.1900 00:00;3;;
GRA;07.04.1900 00:00;12.7;;
GRA;08.04.1900 00:00;2.6;;
GRA;09.04.1900 00:00;0;;
GRA;10.04.1900 00:00;0;;
GRA;11.04.1900 00:00;0;;
GRA;12.04.1900 00:00;4;;
GRA;13.04.1900 00:00;0.8;;
GRA;14.04.1900 00:00;0;;
GRA;15.04.1900 00:00;0;;
GRA;16.04.1900 00:00;7;;
GRA;17.04.1900 00:00;0;;
GRA;18.04.1900 00:00;0;;
GRA;19.04.1900 00:00;0;;
GRA;20.04.1900 00:00;0;;
GRA;21.04.1900 00:00;0;;
GRA;22.04.1900 00:00;0;;
GRA;23.04.1900 00:00;0.6;;
GRA;24.04.1900 00:00;0.7;;
GRA;25.04.1900 00:00;0;;
GRA;26.04.1900 00:00;0;;
GRA;27.04.1900 00:00;2.2;;
GRA;28.04.1900 00:00;4.2;;
GRA;29.04.1900 00:00;16.3;;
GRA;30.04.1900 00:00;13;;
GRA;01.06.1900 00:00;0;;
GRA;02.06.1900 00:00;0;;
GRA;03.06.1900 00:00;0;;
GRA;04.06.1900 00:00;0;;
GRA;05.06.1900 00:00;3.6;;
GRA;06.06.1900 00:00;0;;
GRA;07.06.1900 00:00;3.1;;
GRA;08.06.1900 00:00;0;;
GRA;09.06.1900 00:00;0;;
GRA;10.06.1900 00:00;0;;
GRA;11.06.1900 00:00;0;;
GRA;12.06.1900 00:00;25.2;;
GRA;13.06.1900 00:00;6.8;;
GRA;14.06.1900 00:00;0;;
GRA;15.06.1900 00:00;0;;
GRA;16.06.1900 00:00;0;;
GRA;17.06.1900 00:00;0;;
GRA;18.06.1900 00:00;1.9;;
GRA;19.06.1900 00:00;0;;
GRA;20.06.1900 00:00;4.2;;
GRA;21.06.1900 00:00;0;;
GRA;22.06.1900 00:00;15;;
