station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GRI;15.07.1906 00:00;0;;
GRI;16.07.1906 00:00;0;;
GRI;17.07.1906 00:00;0;;
GRI;18.07.1906 00:00;2.5;;
GRI;19.07.1906 00:00;0.1;;
GRI;20.07.1906 00:00;1.2;;
GRI;21.07.1906 00:00;0;;
GRI;22.07.1906 00:00;0;;
GRI;23.07.1906 00:00;18.8;;
GRI;24.07.1906 00:00;8.2;;
GRI;25.07.1906 00:00;6.1;;
GRI;26.07.1906 00:00;6;;
GRI;27.07.1906 00:00;2;;
GRI;28.07.1906 00:00;0;;
GRI;29.07.1906 00:00;0;;
GRI;30.07.1906 00:00;0;;
GRI;31.07.1906 00:00;0;;
GRI;01.08.1906 00:00;0;;
GRI;02.08.1906 00:00;0;;
GRI;03.08.1906 00:00;15;;
GRI;04.08.1906 00:00;4;;
GRI;05.08.1906 00:00;0;;
GRI;06.08.1906 00:00;0;;
GRI;07.08.1906 00:00;0;;
GRI;08.08.1906 00:00;0;;
GRI;09.08.1906 00:00;5.6;;
GRI;10.08.1906 00:00;0;;
GRI;11.08.1906 00:00;0;;
GRI;12.08.1906 00:00;0;;
GRI;13.08.1906 00:00;0;;
GRI;14.08.1906 00:00;0;;
GRI;15.08.1906 00:00;0;;
GRI;16.08.1906 00:00;1.2;;
GRI;17.08.1906 00:00;5.7;;
GRI;18.08.1906 00:00;2.7;;
GRI;19.08.1906 00:00;0;;
GRI;20.08.1906 00:00;0;;
GRI;21.08.1906 00:00;0;;
GRI;22.08.1906 00:00;0;;
GRI;23.08.1906 00:00;0;;
GRI;24.08.1906 00:00;0.6;;
GRI;25.08.1906 00:00;0;;
GRI;26.08.1906 00:00;0;;
GRI;27.08.1906 00:00;0;;
GRI;28.08.1906 00:00;0;;
GRI;29.08.1906 00:00;0;;
GRI;30.08.1906 00:00;0;;
GRI;31.08.1906 00:00;0;;
GRI;01.09.1906 00:00;0;;
GRI;02.09.1906 00:00;0;;
GRI;03.09.1906 00:00;0;;
GRI;04.09.1906 00:00;0;;
GRI;05.09.1906 00:00;0;;
GRI;06.09.1906 00:00;0;;
