station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GRY;01.05.1902 00:00;18.7;;
GRY;02.05.1902 00:00;0;;
GRY;03.05.1902 00:00;16.6;;
GRY;04.05.1902 00:00;15.2;;
GRY;05.05.1902 00:00;2;;
GRY;06.05.1902 00:00;6.2;;
GRY;07.05.1902 00:00;3;;
GRY;08.05.1902 00:00;4.8;;
GRY;09.05.1902 00:00;0.3;;
GRY;10.05.1902 00:00;0;;
GRY;11.05.1902 00:00;4.7;;
GRY;12.05.1902 00:00;0.7;;
GRY;13.05.1902 00:00;7.6;;
GRY;14.05.1902 00:00;6.3;;
GRY;15.05.1902 00:00;3;;
GRY;16.05.1902 00:00;13.5;;
GRY;17.05.1902 00:00;37.4;;
GRY;18.05.1902 00:00;6;;
GRY;19.05.1902 00:00;19.1;;
GRY;20.05.1902 00:00;0.9;;
GRY;21.05.1902 00:00;0;;
GRY;22.05.1902 00:00;1.8;;
GRY;23.05.1902 00:00;0;;
GRY;24.05.1902 00:00;0;;
GRY;25.05.1902 00:00;0;;
GRY;26.05.1902 00:00;0;;
GRY;27.05.1902 00:00;0;;
GRY;28.05.1902 00:00;0;;
GRY;29.05.1902 00:00;0;;
GRY;30.05.1902 00:00;0;;
GRY;31.05.1902 00:00;0;;
GRY;01.06.1902 00:00;0;;
GRY;02.06.1902 00:00;0;;
GRY;03.06.1902 00:00;12.8;;
GRY;04.06.1902 00:00;3.7;;
GRY;05.06.1902 00:00;5.7;;
GRY;06.06.1902 00:00;0;;
GRY;07.06.1902 00:00;12;;
GRY;08.06.1902 00:00;0.6;;
GRY;09.06.1902 00:00;0.8;;
GRY;10.06.1902 00:00;3.8;;
GRY;11.06.1902 00:00;6.2;;
GRY;12.06.1902 00:00;3.3;;
GRY;13.06.1902 00:00;2;;
GRY;14.06.1902 00:00;0;;
GRY;15.06.1902 00:00;7.6;;
GRY;16.06.1902 00:00;1.6;;
GRY;17.06.1902 00:00;4.1;;
GRY;18.06.1902 00:00;0;;
GRY;19.06.1902 00:00;0;;
GRY;20.06.1902 00:00;7;;
GRY;21.06.1902 00:00;5.3;;
GRY;22.06.1902 00:00;0;;
GRY;23.06.1902 00:00;0;;
GRY;24.06.1902 00:00;0;;
GRY;25.06.1902 00:00;2;;
GRY;26.06.1902 00:00;0;;
GRY;27.06.1902 00:00;0;;
GRY;28.06.1902 00:00;0;;
GRY;29.06.1902 00:00;0;;
GRY;30.06.1902 00:00;0;;
GRY;01.07.1902 00:00;4.8;;
GRY;02.07.1902 00:00;6.9;;
GRY;03.07.1902 00:00;0;;
GRY;04.07.1902 00:00;0;;
GRY;05.07.1902 00:00;0;;
GRY;06.07.1902 00:00;0;;
GRY;07.07.1902 00:00;0;;
GRY;08.07.1902 00:00;0;;
GRY;09.07.1902 00:00;6;;
GRY;10.07.1902 00:00;24.4;;
GRY;11.07.1902 00:00;0;;
GRY;12.07.1902 00:00;0;;
GRY;13.07.1902 00:00;0;;
GRY;14.07.1902 00:00;0;;
GRY;15.07.1902 00:00;13;;
GRY;16.07.1902 00:00;7.6;;
GRY;17.07.1902 00:00;6.9;;
GRY;18.07.1902 00:00;0;;
GRY;19.07.1902 00:00;7.2;;
GRY;20.07.1902 00:00;2.2;;
GRY;21.07.1902 00:00;12.6;;
GRY;22.07.1902 00:00;0;;
GRY;23.07.1902 00:00;0;;
GRY;24.07.1902 00:00;13.7;;
GRY;25.07.1902 00:00;0;;
GRY;26.07.1902 00:00;0;;
GRY;27.07.1902 00:00;8.8;;
GRY;28.07.1902 00:00;0;;
GRY;29.07.1902 00:00;0;;
GRY;30.07.1902 00:00;0;;
GRY;31.07.1902 00:00;6.5;;
GRY;01.08.1902 00:00;12.9;;
GRY;02.08.1902 00:00;19;;
GRY;03.08.1902 00:00;0.4;;
GRY;04.08.1902 00:00;0;;
GRY;05.08.1902 00:00;0;;
GRY;06.08.1902 00:00;0;;
GRY;07.08.1902 00:00;0;;
GRY;08.08.1902 00:00;12.2;;
GRY;09.08.1902 00:00;0;;
GRY;10.08.1902 00:00;0.2;;
GRY;11.08.1902 00:00;6;;
GRY;12.08.1902 00:00;12.4;;
GRY;13.08.1902 00:00;0;;
GRY;14.08.1902 00:00;0;;
GRY;15.08.1902 00:00;0;;
GRY;16.08.1902 00:00;8.2;;
GRY;17.08.1902 00:00;17.7;;
GRY;18.08.1902 00:00;0;;
GRY;19.08.1902 00:00;0.2;;
GRY;20.08.1902 00:00;21;;
GRY;21.08.1902 00:00;0;;
GRY;22.08.1902 00:00;0;;
GRY;23.08.1902 00:00;0;;
GRY;24.08.1902 00:00;0;;
GRY;25.08.1902 00:00;19.5;;
GRY;26.08.1902 00:00;0.7;;
GRY;27.08.1902 00:00;0;;
GRY;28.08.1902 00:00;6;;
GRY;29.08.1902 00:00;0;;
GRY;30.08.1902 00:00;1.9;;
GRY;31.08.1902 00:00;6.2;;
GRY;01.09.1902 00:00;0;;
GRY;02.09.1902 00:00;0;;
GRY;03.09.1902 00:00;0;;
GRY;04.09.1902 00:00;1.6;;
GRY;05.09.1902 00:00;15.3;;
GRY;06.09.1902 00:00;0;;
GRY;07.09.1902 00:00;0;;
GRY;08.09.1902 00:00;0;;
GRY;09.09.1902 00:00;0;;
GRY;10.09.1902 00:00;10;;
GRY;11.09.1902 00:00;2.5;;
GRY;12.09.1902 00:00;12.5;;
GRY;13.09.1902 00:00;0;;
GRY;14.09.1902 00:00;0;;
GRY;15.09.1902 00:00;0;;
GRY;16.09.1902 00:00;0;;
GRY;17.09.1902 00:00;0;;
GRY;18.09.1902 00:00;0.3;;
GRY;19.09.1902 00:00;0;;
GRY;20.09.1902 00:00;0;;
GRY;21.09.1902 00:00;0;;
GRY;22.09.1902 00:00;0;;
GRY;23.09.1902 00:00;0;;
GRY;24.09.1902 00:00;0;;
GRY;25.09.1902 00:00;0;;
GRY;26.09.1902 00:00;0;;
GRY;27.09.1902 00:00;0;;
GRY;28.09.1902 00:00;0;;
GRY;29.09.1902 00:00;0;;
GRY;30.09.1902 00:00;14.5;;
GRY;01.10.1902 00:00;0;;
GRY;02.10.1902 00:00;12;;
GRY;03.10.1902 00:00;0;;
GRY;04.10.1902 00:00;3;;
GRY;05.10.1902 00:00;0;;
GRY;06.10.1902 00:00;3;;
GRY;07.10.1902 00:00;0.6;;
GRY;08.10.1902 00:00;0;;
GRY;09.10.1902 00:00;0;;
GRY;10.10.1902 00:00;0;;
GRY;11.10.1902 00:00;25.1;;
GRY;12.10.1902 00:00;0;;
GRY;13.10.1902 00:00;0;;
GRY;14.10.1902 00:00;4.5;;
GRY;15.10.1902 00:00;0;;
GRY;16.10.1902 00:00;25.7;;
GRY;17.10.1902 00:00;2;;
GRY;18.10.1902 00:00;0;;
GRY;19.10.1902 00:00;0;;
GRY;20.10.1902 00:00;0;;
GRY;21.10.1902 00:00;5.9;;
GRY;22.10.1902 00:00;10;;
GRY;23.10.1902 00:00;4.5;;
GRY;24.10.1902 00:00;0;;
GRY;25.10.1902 00:00;0;;
GRY;26.10.1902 00:00;0;;
GRY;27.10.1902 00:00;0;;
GRY;28.10.1902 00:00;0;;
GRY;29.10.1902 00:00;0;;
GRY;30.10.1902 00:00;0;;
GRY;31.10.1902 00:00;0;;
GRY;01.11.1902 00:00;0;;
GRY;02.11.1902 00:00;0;;
GRY;03.11.1902 00:00;0;;
GRY;04.11.1902 00:00;0;;
GRY;05.11.1902 00:00;0;;
GRY;06.11.1902 00:00;0;;
GRY;07.11.1902 00:00;7;;
GRY;08.11.1902 00:00;0;;
