station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GSB;01.12.1864 00:00;0;;
GSB;02.12.1864 00:00;0;;
GSB;03.12.1864 00:00;0;;
GSB;04.12.1864 00:00;0;;
GSB;05.12.1864 00:00;0;;
GSB;06.12.1864 00:00;0;;
GSB;07.12.1864 00:00;0;;
GSB;08.12.1864 00:00;0;;
GSB;09.12.1864 00:00;0;;
GSB;10.12.1864 00:00;0;;
GSB;11.12.1864 00:00;0;;
GSB;12.12.1864 00:00;0;;
GSB;13.12.1864 00:00;0;;
GSB;14.12.1864 00:00;7;;
GSB;15.12.1864 00:00;3.2;;
GSB;16.12.1864 00:00;1;;
GSB;17.12.1864 00:00;0;;
GSB;18.12.1864 00:00;2.2;;
GSB;19.12.1864 00:00;5.3;;
GSB;20.12.1864 00:00;0;;
GSB;21.12.1864 00:00;0;;
GSB;22.12.1864 00:00;1.6;;
GSB;23.12.1864 00:00;0;;
GSB;24.12.1864 00:00;0;;
GSB;25.12.1864 00:00;0;;
GSB;26.12.1864 00:00;0;;
GSB;27.12.1864 00:00;0;;
GSB;28.12.1864 00:00;0;;
GSB;29.12.1864 00:00;0;;
GSB;30.12.1864 00:00;0;;
GSB;31.12.1864 00:00;0;;
GSB;01.01.1865 00:00;0;;
GSB;02.01.1865 00:00;0;;
GSB;03.01.1865 00:00;0;;
GSB;04.01.1865 00:00;0;;
GSB;05.01.1865 00:00;0;;
GSB;06.01.1865 00:00;20;;
GSB;07.01.1865 00:00;0;;
GSB;08.01.1865 00:00;0;;
GSB;09.01.1865 00:00;0;;
GSB;10.01.1865 00:00;0;;
GSB;11.01.1865 00:00;0;;
GSB;12.01.1865 00:00;5;;
GSB;13.01.1865 00:00;12.5;;
GSB;14.01.1865 00:00;23;;
GSB;15.01.1865 00:00;8.7;;
GSB;16.01.1865 00:00;2.7;;
GSB;17.01.1865 00:00;2.8;;
GSB;18.01.1865 00:00;0;;
GSB;19.01.1865 00:00;0;;
GSB;20.01.1865 00:00;7.2;;
GSB;21.01.1865 00:00;3.5;;
GSB;22.01.1865 00:00;6.6;;
GSB;23.01.1865 00:00;0;;
GSB;24.01.1865 00:00;0;;
GSB;25.01.1865 00:00;24.1;;
GSB;26.01.1865 00:00;0;0;
GSB;27.01.1865 00:00;7.9;8;
GSB;28.01.1865 00:00;4.8;5;
GSB;29.01.1865 00:00;0;0;
GSB;30.01.1865 00:00;0;0;
GSB;31.01.1865 00:00;0;0;
GSB;01.02.1865 00:00;9.7;15;
GSB;02.02.1865 00:00;5.8;6;
GSB;03.02.1865 00:00;15.8;19;
GSB;04.02.1865 00:00;12.5;18;
GSB;05.02.1865 00:00;0;0;
GSB;06.02.1865 00:00;0;0;
GSB;07.02.1865 00:00;0;0;
GSB;08.02.1865 00:00;0;0;
GSB;09.02.1865 00:00;0;0;
GSB;10.02.1865 00:00;0;0;
GSB;11.02.1865 00:00;0;0;
GSB;12.02.1865 00:00;0;0;
GSB;13.02.1865 00:00;0;0;
GSB;14.02.1865 00:00;0;0;
GSB;15.02.1865 00:00;0;0;
GSB;16.02.1865 00:00;0;0;
GSB;17.02.1865 00:00;4.5;4;
