station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GSG;01.01.1901 00:00;0;;
GSG;02.01.1901 00:00;0.7;;
GSG;03.01.1901 00:00;0;;
GSG;04.01.1901 00:00;0;;
GSG;05.01.1901 00:00;0;;
GSG;06.01.1901 00:00;0;;
GSG;07.01.1901 00:00;0;;
GSG;08.01.1901 00:00;0;;
GSG;09.01.1901 00:00;0;;
GSG;10.01.1901 00:00;0;;
GSG;11.01.1901 00:00;0;;
GSG;12.01.1901 00:00;0;;
GSG;13.01.1901 00:00;0;;
GSG;14.01.1901 00:00;0;;
GSG;15.01.1901 00:00;0;;
GSG;16.01.1901 00:00;0;;
GSG;17.01.1901 00:00;0;;
GSG;18.01.1901 00:00;0;;
GSG;19.01.1901 00:00;0;;
GSG;20.01.1901 00:00;3.4;;
GSG;21.01.1901 00:00;7.6;;
GSG;22.01.1901 00:00;0;;
GSG;23.01.1901 00:00;0;;
GSG;24.01.1901 00:00;0;;
GSG;25.01.1901 00:00;2.5;;
GSG;26.01.1901 00:00;21.4;;
GSG;27.01.1901 00:00;43.9;;
GSG;28.01.1901 00:00;20.7;;
GSG;29.01.1901 00:00;24;;
GSG;30.01.1901 00:00;0;;
GSG;31.01.1901 00:00;0;;
GSG;01.02.1901 00:00;4.7;;
GSG;02.02.1901 00:00;2;;
GSG;03.02.1901 00:00;0;;
GSG;04.02.1901 00:00;0;;
GSG;05.02.1901 00:00;2.6;;
GSG;06.02.1901 00:00;1.1;;
GSG;07.02.1901 00:00;0;;
GSG;08.02.1901 00:00;0;;
GSG;09.02.1901 00:00;0.5;;
GSG;10.02.1901 00:00;0;;
GSG;11.02.1901 00:00;5;;
GSG;12.02.1901 00:00;0;;
GSG;13.02.1901 00:00;2.6;;
GSG;14.02.1901 00:00;0;;
GSG;15.02.1901 00:00;0;;
GSG;16.02.1901 00:00;2.8;;
GSG;17.02.1901 00:00;9.1;;
GSG;18.02.1901 00:00;0.5;;
GSG;19.02.1901 00:00;0;;
GSG;20.02.1901 00:00;0;;
GSG;21.02.1901 00:00;0;;
GSG;22.02.1901 00:00;0;;
GSG;23.02.1901 00:00;0;;
GSG;24.02.1901 00:00;0;;
GSG;25.02.1901 00:00;0;;
GSG;26.02.1901 00:00;0;;
GSG;27.02.1901 00:00;0;;
GSG;28.02.1901 00:00;3.1;;
GSG;01.03.1901 00:00;0.7;;
GSG;02.03.1901 00:00;14.4;;
GSG;03.03.1901 00:00;27.1;;
GSG;04.03.1901 00:00;14.4;;
GSG;05.03.1901 00:00;6.7;;
GSG;06.03.1901 00:00;5.5;;
GSG;07.03.1901 00:00;0.2;;
GSG;08.03.1901 00:00;0;;
GSG;09.03.1901 00:00;0;;
GSG;10.03.1901 00:00;2.9;;
GSG;11.03.1901 00:00;0;;
GSG;12.03.1901 00:00;0.7;;
GSG;13.03.1901 00:00;0;;
GSG;14.03.1901 00:00;0;;
GSG;15.03.1901 00:00;0;;
GSG;16.03.1901 00:00;0;;
GSG;17.03.1901 00:00;0;;
GSG;18.03.1901 00:00;0;;
GSG;19.03.1901 00:00;0;;
GSG;20.03.1901 00:00;3.8;;
GSG;21.03.1901 00:00;4;;
GSG;22.03.1901 00:00;0.2;;
GSG;23.03.1901 00:00;0;;
GSG;24.03.1901 00:00;0;;
GSG;25.03.1901 00:00;1.9;;
GSG;26.03.1901 00:00;11.8;;
GSG;27.03.1901 00:00;0.4;;
GSG;28.03.1901 00:00;12.2;;
GSG;29.03.1901 00:00;0.2;;
GSG;30.03.1901 00:00;0;;
GSG;31.03.1901 00:00;0;;
GSG;01.04.1901 00:00;7.8;;
GSG;02.04.1901 00:00;0;;
GSG;03.04.1901 00:00;0;;
GSG;04.04.1901 00:00;0;;
GSG;05.04.1901 00:00;14.9;;
GSG;06.04.1901 00:00;11.5;;
GSG;07.04.1901 00:00;15.7;;
GSG;08.04.1901 00:00;0;;
GSG;09.04.1901 00:00;5.6;;
GSG;10.04.1901 00:00;8.3;;
GSG;11.04.1901 00:00;0;;
GSG;12.04.1901 00:00;26.9;;
GSG;13.04.1901 00:00;6.6;;
GSG;14.04.1901 00:00;26.5;;
GSG;15.04.1901 00:00;2.5;;
GSG;16.04.1901 00:00;19.3;;
GSG;17.04.1901 00:00;5.2;;
GSG;18.04.1901 00:00;0;;
GSG;19.04.1901 00:00;0;;
GSG;20.04.1901 00:00;0;;
GSG;21.04.1901 00:00;0;;
GSG;22.04.1901 00:00;0;;
GSG;23.04.1901 00:00;0;;
GSG;24.04.1901 00:00;0;;
GSG;25.04.1901 00:00;0.5;;
GSG;26.04.1901 00:00;1;;
GSG;27.04.1901 00:00;0.4;;
GSG;28.04.1901 00:00;4.7;;
GSG;29.04.1901 00:00;13.4;;
GSG;30.04.1901 00:00;4.7;;
GSG;01.05.1901 00:00;0;;
GSG;02.05.1901 00:00;0;;
GSG;03.05.1901 00:00;0;;
GSG;04.05.1901 00:00;0;;
GSG;05.05.1901 00:00;0;;
GSG;06.05.1901 00:00;2.4;;
GSG;07.05.1901 00:00;2.6;;
GSG;08.05.1901 00:00;5.9;;
GSG;09.05.1901 00:00;0;;
GSG;10.05.1901 00:00;8.4;;
GSG;11.05.1901 00:00;0;;
GSG;12.05.1901 00:00;0;;
GSG;13.05.1901 00:00;0;;
GSG;14.05.1901 00:00;3.2;;
GSG;15.05.1901 00:00;0.3;;
GSG;16.05.1901 00:00;0.5;;
GSG;17.05.1901 00:00;0.3;;
GSG;18.05.1901 00:00;0.5;;
GSG;19.05.1901 00:00;2.5;;
GSG;20.05.1901 00:00;5.7;;
GSG;21.05.1901 00:00;0.3;;
GSG;22.05.1901 00:00;4.1;;
GSG;23.05.1901 00:00;2;;
GSG;24.05.1901 00:00;0;;
GSG;25.05.1901 00:00;0;;
GSG;26.05.1901 00:00;6.2;;
GSG;27.05.1901 00:00;0;;
GSG;28.05.1901 00:00;0.4;;
GSG;29.05.1901 00:00;0;;
GSG;30.05.1901 00:00;0;;
GSG;31.05.1901 00:00;0;;
GSG;01.06.1901 00:00;0;;
GSG;02.06.1901 00:00;16.4;;
GSG;03.06.1901 00:00;4.5;;
GSG;04.06.1901 00:00;3.6;;
GSG;05.06.1901 00:00;0;;
GSG;06.06.1901 00:00;13.2;;
GSG;07.06.1901 00:00;3.8;;
GSG;08.06.1901 00:00;10.2;;
GSG;09.06.1901 00:00;13.7;;
GSG;10.06.1901 00:00;10.5;;
GSG;11.06.1901 00:00;1.6;;
GSG;12.06.1901 00:00;0;;
GSG;13.06.1901 00:00;0.5;;
GSG;14.06.1901 00:00;21.4;;
GSG;15.06.1901 00:00;29.4;;
GSG;16.06.1901 00:00;1.7;;
GSG;17.06.1901 00:00;6;;
GSG;18.06.1901 00:00;11;;
GSG;19.06.1901 00:00;1.5;;
GSG;20.06.1901 00:00;0;;
GSG;21.06.1901 00:00;0;;
GSG;22.06.1901 00:00;0;;
GSG;23.06.1901 00:00;0;;
GSG;24.06.1901 00:00;1.5;;
GSG;25.06.1901 00:00;0;;
GSG;26.06.1901 00:00;0;;
GSG;27.06.1901 00:00;0;;
GSG;28.06.1901 00:00;7;;
GSG;29.06.1901 00:00;0.9;;
GSG;30.06.1901 00:00;4.1;;
GSG;01.07.1901 00:00;5.1;;
GSG;02.07.1901 00:00;17.5;;
GSG;03.07.1901 00:00;4.7;;
GSG;04.07.1901 00:00;3.7;;
GSG;05.07.1901 00:00;0.8;;
GSG;06.07.1901 00:00;4.6;;
GSG;07.07.1901 00:00;0;;
GSG;08.07.1901 00:00;0;;
GSG;09.07.1901 00:00;0;;
GSG;10.07.1901 00:00;0;;
GSG;11.07.1901 00:00;0;;
GSG;12.07.1901 00:00;0;;
GSG;13.07.1901 00:00;0;;
GSG;14.07.1901 00:00;6;;
GSG;15.07.1901 00:00;0;;
GSG;16.07.1901 00:00;0;;
GSG;17.07.1901 00:00;0;;
GSG;18.07.1901 00:00;0;;
GSG;19.07.1901 00:00;0;;
GSG;20.07.1901 00:00;0;;
GSG;21.07.1901 00:00;1.6;;
GSG;22.07.1901 00:00;3;;
GSG;23.07.1901 00:00;12;;
GSG;24.07.1901 00:00;6.1;;
GSG;25.07.1901 00:00;2.6;;
GSG;26.07.1901 00:00;1.1;;
GSG;27.07.1901 00:00;13.1;;
GSG;28.07.1901 00:00;16.6;;
GSG;29.07.1901 00:00;22.2;;
GSG;30.07.1901 00:00;0;;
GSG;31.07.1901 00:00;0.7;;
GSG;01.08.1901 00:00;18.8;;
GSG;02.08.1901 00:00;9.1;;
GSG;03.08.1901 00:00;0;;
GSG;04.08.1901 00:00;0;;
GSG;05.08.1901 00:00;0;;
GSG;06.08.1901 00:00;9.9;;
GSG;07.08.1901 00:00;0;;
GSG;08.08.1901 00:00;0;;
GSG;09.08.1901 00:00;0;;
GSG;10.08.1901 00:00;45.9;;
GSG;11.08.1901 00:00;6.2;;
GSG;12.08.1901 00:00;11.3;;
GSG;13.08.1901 00:00;0;;
GSG;14.08.1901 00:00;0.3;;
GSG;15.08.1901 00:00;13.6;;
GSG;16.08.1901 00:00;1.5;;
GSG;17.08.1901 00:00;0;;
GSG;18.08.1901 00:00;0;;
GSG;19.08.1901 00:00;0;;
GSG;20.08.1901 00:00;0;;
GSG;21.08.1901 00:00;0;;
GSG;22.08.1901 00:00;0;;
GSG;23.08.1901 00:00;0;;
GSG;24.08.1901 00:00;0;;
GSG;25.08.1901 00:00;9.8;;
GSG;26.08.1901 00:00;25.2;;
GSG;27.08.1901 00:00;0.5;;
GSG;28.08.1901 00:00;22.8;;
GSG;29.08.1901 00:00;0;;
GSG;30.08.1901 00:00;0;;
GSG;31.08.1901 00:00;3.6;;
GSG;01.09.1901 00:00;12.6;;
GSG;02.09.1901 00:00;1.9;;
GSG;03.09.1901 00:00;2;;
GSG;04.09.1901 00:00;11.1;;
GSG;05.09.1901 00:00;0.6;;
GSG;06.09.1901 00:00;2;;
GSG;07.09.1901 00:00;0;;
GSG;08.09.1901 00:00;0;;
GSG;09.09.1901 00:00;0.7;;
GSG;10.09.1901 00:00;13.3;;
GSG;11.09.1901 00:00;24.1;;
GSG;12.09.1901 00:00;2.1;;
GSG;13.09.1901 00:00;5.7;;
GSG;14.09.1901 00:00;2;;
GSG;15.09.1901 00:00;1.5;;
GSG;16.09.1901 00:00;0;;
GSG;17.09.1901 00:00;15.5;;
GSG;18.09.1901 00:00;0;;
GSG;19.09.1901 00:00;0;;
GSG;20.09.1901 00:00;0;;
GSG;21.09.1901 00:00;0;;
GSG;22.09.1901 00:00;0;;
GSG;23.09.1901 00:00;0;;
GSG;24.09.1901 00:00;3.8;;
GSG;25.09.1901 00:00;12.4;;
GSG;26.09.1901 00:00;8.4;;
GSG;27.09.1901 00:00;0;;
GSG;28.09.1901 00:00;0;;
GSG;29.09.1901 00:00;0;;
GSG;30.09.1901 00:00;0;;
GSG;01.10.1901 00:00;1.2;;
GSG;02.10.1901 00:00;0;;
GSG;03.10.1901 00:00;9.7;;
GSG;04.10.1901 00:00;2.3;;
GSG;05.10.1901 00:00;0.1;;
GSG;06.10.1901 00:00;16.5;;
GSG;07.10.1901 00:00;10.9;;
GSG;08.10.1901 00:00;8.3;;
GSG;09.10.1901 00:00;49.8;;
GSG;10.10.1901 00:00;0;;
GSG;11.10.1901 00:00;0;;
GSG;12.10.1901 00:00;0;;
GSG;13.10.1901 00:00;0;;
GSG;14.10.1901 00:00;0;;
GSG;15.10.1901 00:00;0;;
GSG;16.10.1901 00:00;0;;
GSG;17.10.1901 00:00;0;;
