station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GSS;01.01.1973 00:00;0;;
GSS;02.01.1973 00:00;0;;
GSS;03.01.1973 00:00;0;;
GSS;04.01.1973 00:00;0;;
GSS;05.01.1973 00:00;0;;
GSS;06.01.1973 00:00;0;;
GSS;07.01.1973 00:00;0;;
GSS;08.01.1973 00:00;0;;
GSS;09.01.1973 00:00;0;;
GSS;10.01.1973 00:00;0;;
GSS;11.01.1973 00:00;0;;
GSS;12.01.1973 00:00;0;;
GSS;13.01.1973 00:00;0;;
GSS;14.01.1973 00:00;0;;
GSS;15.01.1973 00:00;10.8;;
GSS;16.01.1973 00:00;4.5;;
GSS;17.01.1973 00:00;0;;
GSS;18.01.1973 00:00;1.6;;
GSS;19.01.1973 00:00;0.8;;
GSS;20.01.1973 00:00;0;;
GSS;21.01.1973 00:00;0;;
GSS;22.01.1973 00:00;1.8;;
GSS;23.01.1973 00:00;0;;
GSS;24.01.1973 00:00;0;;
GSS;25.01.1973 00:00;0;;
GSS;26.01.1973 00:00;0;;
GSS;27.01.1973 00:00;24.5;;
GSS;28.01.1973 00:00;3;;
GSS;29.01.1973 00:00;1.8;;
GSS;30.01.1973 00:00;0.5;;
GSS;31.01.1973 00:00;8.3;;
GSS;01.02.1973 00:00;0.6;;
GSS;02.02.1973 00:00;1;;
GSS;03.02.1973 00:00;0;;
GSS;04.02.1973 00:00;0;;
GSS;05.02.1973 00:00;0;;
GSS;06.02.1973 00:00;0;;
GSS;07.02.1973 00:00;0;;
GSS;08.02.1973 00:00;0;;
GSS;09.02.1973 00:00;7.3;;
GSS;10.02.1973 00:00;14.7;;
GSS;11.02.1973 00:00;1.9;;
GSS;12.02.1973 00:00;10.5;;
GSS;13.02.1973 00:00;12.2;;
GSS;14.02.1973 00:00;0;;
GSS;15.02.1973 00:00;0;;
GSS;16.02.1973 00:00;0;;
GSS;17.02.1973 00:00;1.8;;
GSS;18.02.1973 00:00;2.5;;
GSS;19.02.1973 00:00;2.4;;
GSS;20.02.1973 00:00;0;;
GSS;21.02.1973 00:00;7;;
GSS;22.02.1973 00:00;3.7;;
GSS;23.02.1973 00:00;2.4;;
GSS;24.02.1973 00:00;5.5;;
GSS;25.02.1973 00:00;7;;
GSS;26.02.1973 00:00;5.9;;
GSS;27.02.1973 00:00;1.3;;
GSS;28.02.1973 00:00;0;;
GSS;01.03.1973 00:00;0;;
GSS;02.03.1973 00:00;4.8;;
GSS;03.03.1973 00:00;0;;
GSS;04.03.1973 00:00;0;;
GSS;05.03.1973 00:00;0;;
GSS;06.03.1973 00:00;8.7;;
GSS;07.03.1973 00:00;1.6;;
GSS;08.03.1973 00:00;0.8;;
GSS;09.03.1973 00:00;6.5;;
GSS;10.03.1973 00:00;0;;
GSS;11.03.1973 00:00;0;;
GSS;12.03.1973 00:00;1.8;;
GSS;13.03.1973 00:00;0.5;;
GSS;14.03.1973 00:00;0.2;;
GSS;15.03.1973 00:00;0;;
GSS;16.03.1973 00:00;0;;
GSS;17.03.1973 00:00;0;;
GSS;18.03.1973 00:00;8.1;;
GSS;19.03.1973 00:00;3.2;;
GSS;20.03.1973 00:00;0;;
GSS;21.03.1973 00:00;0;;
GSS;22.03.1973 00:00;0;;
GSS;23.03.1973 00:00;0;;
GSS;24.03.1973 00:00;0;;
GSS;25.03.1973 00:00;0;;
GSS;26.03.1973 00:00;0;;
GSS;27.03.1973 00:00;0;;
GSS;28.03.1973 00:00;0;;
GSS;29.03.1973 00:00;2;;
GSS;30.03.1973 00:00;2;;
GSS;31.03.1973 00:00;1.6;;
GSS;01.04.1973 00:00;0;;
GSS;02.04.1973 00:00;9.4;;
GSS;03.04.1973 00:00;2.8;;
GSS;04.04.1973 00:00;0;;
GSS;05.04.1973 00:00;0;;
GSS;06.04.1973 00:00;6.2;;
GSS;07.04.1973 00:00;3.4;;
GSS;08.04.1973 00:00;1.9;;
GSS;09.04.1973 00:00;12.3;;
GSS;10.04.1973 00:00;12.3;;
GSS;11.04.1973 00:00;9;;
GSS;12.04.1973 00:00;15.2;;
GSS;13.04.1973 00:00;1;;
GSS;14.04.1973 00:00;0;;
GSS;15.04.1973 00:00;2.1;;
GSS;16.04.1973 00:00;0;;
GSS;17.04.1973 00:00;13.2;;
GSS;18.04.1973 00:00;7.7;;
GSS;19.04.1973 00:00;18.9;;
GSS;20.04.1973 00:00;10.4;;
GSS;21.04.1973 00:00;0;;
GSS;22.04.1973 00:00;0;;
GSS;23.04.1973 00:00;0;;
GSS;24.04.1973 00:00;0.3;;
GSS;25.04.1973 00:00;0.8;;
GSS;26.04.1973 00:00;0;;
GSS;27.04.1973 00:00;0;;
GSS;28.04.1973 00:00;0;;
GSS;29.04.1973 00:00;0.5;;
GSS;30.04.1973 00:00;0;;
GSS;01.05.1973 00:00;0.3;;
GSS;02.05.1973 00:00;0.6;;
GSS;03.05.1973 00:00;0;;
GSS;04.05.1973 00:00;0;;
GSS;05.05.1973 00:00;2.6;;
GSS;06.05.1973 00:00;7.5;;
GSS;07.05.1973 00:00;17.7;;
GSS;08.05.1973 00:00;17;;
GSS;09.05.1973 00:00;1.4;;
GSS;10.05.1973 00:00;13;;
GSS;11.05.1973 00:00;2.5;;
GSS;12.05.1973 00:00;0;;
GSS;13.05.1973 00:00;0;;
GSS;14.05.1973 00:00;0;;
GSS;15.05.1973 00:00;0;;
GSS;16.05.1973 00:00;0;;
GSS;17.05.1973 00:00;1.1;;
GSS;18.05.1973 00:00;0;;
GSS;19.05.1973 00:00;0.3;;
GSS;20.05.1973 00:00;0;;
GSS;21.05.1973 00:00;0.8;;
GSS;22.05.1973 00:00;5.7;;
GSS;23.05.1973 00:00;14.1;;
GSS;24.05.1973 00:00;0.1;;
GSS;25.05.1973 00:00;0;;
GSS;26.05.1973 00:00;0;;
GSS;27.05.1973 00:00;0;;
GSS;28.05.1973 00:00;4.8;;
GSS;29.05.1973 00:00;2.4;;
GSS;30.05.1973 00:00;0;;
GSS;31.05.1973 00:00;0;;
GSS;01.06.1973 00:00;0.8;;
GSS;02.06.1973 00:00;2.4;;
GSS;03.06.1973 00:00;0;;
GSS;04.06.1973 00:00;1.9;;
GSS;05.06.1973 00:00;0.4;;
GSS;06.06.1973 00:00;0;;
GSS;07.06.1973 00:00;1.3;;
GSS;08.06.1973 00:00;10.4;;
GSS;09.06.1973 00:00;0.5;;
GSS;10.06.1973 00:00;0;;
GSS;11.06.1973 00:00;0;;
GSS;12.06.1973 00:00;1.4;;
GSS;13.06.1973 00:00;2;;
GSS;14.06.1973 00:00;9;;
GSS;15.06.1973 00:00;0;;
GSS;16.06.1973 00:00;0;;
GSS;17.06.1973 00:00;0.7;;
GSS;18.06.1973 00:00;0;;
GSS;19.06.1973 00:00;0;;
GSS;20.06.1973 00:00;24.1;;
GSS;21.06.1973 00:00;0;;
GSS;22.06.1973 00:00;19.7;;
GSS;23.06.1973 00:00;66;;
GSS;24.06.1973 00:00;2;;
GSS;25.06.1973 00:00;0;;
GSS;26.06.1973 00:00;0;;
GSS;27.06.1973 00:00;0;;
GSS;28.06.1973 00:00;40.6;;
GSS;29.06.1973 00:00;15.5;;
GSS;30.06.1973 00:00;0;;
GSS;01.07.1973 00:00;0;;
GSS;02.07.1973 00:00;0;;
