station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GTT;01.08.1876 00:00;2.6;;
GTT;02.08.1876 00:00;0;;
GTT;03.08.1876 00:00;0;;
GTT;04.08.1876 00:00;0;;
GTT;05.08.1876 00:00;0;;
GTT;06.08.1876 00:00;5.5;;
GTT;07.08.1876 00:00;0;;
GTT;08.08.1876 00:00;0;;
GTT;09.08.1876 00:00;0;;
GTT;10.08.1876 00:00;0;;
GTT;11.08.1876 00:00;0;;
GTT;12.08.1876 00:00;0;;
GTT;13.08.1876 00:00;0;;
GTT;14.08.1876 00:00;6;;
GTT;15.08.1876 00:00;1.6;;
GTT;16.08.1876 00:00;0;;
GTT;17.08.1876 00:00;0;;
GTT;18.08.1876 00:00;0;;
GTT;19.08.1876 00:00;0;;
GTT;20.08.1876 00:00;0;;
GTT;21.08.1876 00:00;0;;
GTT;22.08.1876 00:00;12.5;;
GTT;23.08.1876 00:00;13.4;;
GTT;24.08.1876 00:00;22.7;;
GTT;25.08.1876 00:00;24.7;;
GTT;26.08.1876 00:00;0;;
GTT;27.08.1876 00:00;9.4;;
GTT;28.08.1876 00:00;3.4;;
GTT;29.08.1876 00:00;3;;
GTT;30.08.1876 00:00;5;;
GTT;31.08.1876 00:00;10.3;;
GTT;01.09.1876 00:00;0;;
GTT;02.09.1876 00:00;0;;
GTT;03.09.1876 00:00;0;;
GTT;04.09.1876 00:00;0;;
GTT;05.09.1876 00:00;0;;
GTT;06.09.1876 00:00;0;;
GTT;07.09.1876 00:00;11.4;;
GTT;08.09.1876 00:00;5.4;;
GTT;09.09.1876 00:00;0;;
GTT;10.09.1876 00:00;0;;
GTT;11.09.1876 00:00;1.2;;
GTT;12.09.1876 00:00;4.5;;
GTT;13.09.1876 00:00;2.1;;
GTT;14.09.1876 00:00;24.2;;
GTT;15.09.1876 00:00;0.8;;
GTT;16.09.1876 00:00;1.7;;
GTT;17.09.1876 00:00;11.8;;
GTT;18.09.1876 00:00;5.8;;
GTT;19.09.1876 00:00;0;;
GTT;20.09.1876 00:00;0;;
GTT;21.09.1876 00:00;0;;
GTT;22.09.1876 00:00;0;;
GTT;23.09.1876 00:00;0;;
GTT;24.09.1876 00:00;12.3;;
GTT;25.09.1876 00:00;0;;
GTT;26.09.1876 00:00;6.7;;
GTT;27.09.1876 00:00;0;;
GTT;28.09.1876 00:00;27.8;;
GTT;29.09.1876 00:00;0;;
GTT;30.09.1876 00:00;16.2;;
GTT;01.10.1876 00:00;0.3;;
GTT;02.10.1876 00:00;0;;
GTT;03.10.1876 00:00;0;;
GTT;04.10.1876 00:00;0;;
GTT;05.10.1876 00:00;0;;
GTT;06.10.1876 00:00;0;;
GTT;07.10.1876 00:00;0;;
GTT;08.10.1876 00:00;0;;
GTT;09.10.1876 00:00;0;;
GTT;10.10.1876 00:00;1.4;;
GTT;11.10.1876 00:00;0;;
GTT;12.10.1876 00:00;0;;
GTT;13.10.1876 00:00;0;;
GTT;14.10.1876 00:00;0;;
GTT;15.10.1876 00:00;0;;
GTT;16.10.1876 00:00;0;;
GTT;17.10.1876 00:00;0;;
GTT;18.10.1876 00:00;0;;
GTT;19.10.1876 00:00;0;;
GTT;20.10.1876 00:00;13.8;;
GTT;21.10.1876 00:00;2.3;;
GTT;22.10.1876 00:00;0.9;;
GTT;23.10.1876 00:00;1.2;;
GTT;24.10.1876 00:00;0;;
GTT;25.10.1876 00:00;0;;
GTT;26.10.1876 00:00;0;;
GTT;27.10.1876 00:00;0;;
GTT;28.10.1876 00:00;0;;
GTT;29.10.1876 00:00;0;;
GTT;30.10.1876 00:00;1.3;;
GTT;31.10.1876 00:00;4;;
GTT;01.11.1876 00:00;5.2;9;
GTT;02.11.1876 00:00;0;0;
GTT;03.11.1876 00:00;3.8;0;
GTT;04.11.1876 00:00;35.6;26;
GTT;05.11.1876 00:00;0;0;
GTT;06.11.1876 00:00;34;30;
GTT;07.11.1876 00:00;13.1;15;
GTT;08.11.1876 00:00;0;0;
GTT;09.11.1876 00:00;5.2;8;
GTT;10.11.1876 00:00;5.1;7;
GTT;11.11.1876 00:00;1.6;0;
GTT;12.11.1876 00:00;6.5;0;
GTT;13.11.1876 00:00;0;0;
GTT;14.11.1876 00:00;0;0;
GTT;15.11.1876 00:00;0;0;
GTT;16.11.1876 00:00;0;0;
GTT;17.11.1876 00:00;5.7;0;
GTT;18.11.1876 00:00;4.1;0;
GTT;19.11.1876 00:00;12.5;0;
GTT;20.11.1876 00:00;18.6;0;
GTT;21.11.1876 00:00;6.5;11;
GTT;22.11.1876 00:00;0;0;
GTT;23.11.1876 00:00;0;0;
GTT;24.11.1876 00:00;0;0;
GTT;25.11.1876 00:00;0;0;
GTT;26.11.1876 00:00;0;0;
GTT;27.11.1876 00:00;0;0;
GTT;28.11.1876 00:00;0;0;
GTT;29.11.1876 00:00;0;0;
GTT;30.11.1876 00:00;0;0;
GTT;01.12.1876 00:00;0;0;
GTT;02.12.1876 00:00;0;0;
GTT;03.12.1876 00:00;0;0;
GTT;04.12.1876 00:00;3.7;0;
GTT;05.12.1876 00:00;0.8;0;
GTT;06.12.1876 00:00;7.7;0;
GTT;07.12.1876 00:00;6.7;0;
GTT;08.12.1876 00:00;0.1;0;
GTT;09.12.1876 00:00;6.6;0;
GTT;10.12.1876 00:00;0;0;
GTT;11.12.1876 00:00;0;0;
GTT;12.12.1876 00:00;0;0;
GTT;13.12.1876 00:00;0;0;
GTT;14.12.1876 00:00;0;0;
GTT;15.12.1876 00:00;0;0;
GTT;16.12.1876 00:00;0;0;
GTT;17.12.1876 00:00;0;0;
GTT;18.12.1876 00:00;0.4;0;
GTT;19.12.1876 00:00;0;0;
GTT;20.12.1876 00:00;7.6;11;
GTT;21.12.1876 00:00;4;4;
GTT;22.12.1876 00:00;0;0;
GTT;23.12.1876 00:00;0;0;
GTT;24.12.1876 00:00;11.4;15;
GTT;25.12.1876 00:00;0;0;
GTT;26.12.1876 00:00;0;0;
GTT;27.12.1876 00:00;0;0;
GTT;28.12.1876 00:00;0;0;
GTT;29.12.1876 00:00;0;0;
GTT;30.12.1876 00:00;0;0;
GTT;31.12.1876 00:00;0;0;
GTT;01.01.1877 00:00;3.9;2;
GTT;02.01.1877 00:00;0;0;
GTT;03.01.1877 00:00;0;0;
GTT;04.01.1877 00:00;0.3;0;
GTT;05.01.1877 00:00;0;0;
GTT;06.01.1877 00:00;0;0;
GTT;07.01.1877 00:00;0;0;
GTT;08.01.1877 00:00;0;0;
GTT;09.01.1877 00:00;0;0;
GTT;10.01.1877 00:00;0;0;
GTT;11.01.1877 00:00;0;0;
GTT;12.01.1877 00:00;0;0;
GTT;13.01.1877 00:00;0;0;
GTT;14.01.1877 00:00;0;0;
GTT;15.01.1877 00:00;16.7;21;
GTT;16.01.1877 00:00;0;0;
GTT;17.01.1877 00:00;0;0;
GTT;18.01.1877 00:00;0;0;
GTT;19.01.1877 00:00;0;0;
GTT;20.01.1877 00:00;2.4;3;
GTT;21.01.1877 00:00;5.8;6;
GTT;22.01.1877 00:00;0;0;
GTT;23.01.1877 00:00;0;0;
GTT;24.01.1877 00:00;0;0;
GTT;25.01.1877 00:00;23.1;33;
GTT;26.01.1877 00:00;18.5;30;
GTT;27.01.1877 00:00;0;0;
GTT;28.01.1877 00:00;17;11;
GTT;29.01.1877 00:00;23.4;37;
GTT;30.01.1877 00:00;16.2;2;
GTT;31.01.1877 00:00;1.7;2;
GTT;01.02.1877 00:00;8.2;5;
GTT;02.02.1877 00:00;2;0;
GTT;03.02.1877 00:00;0;0;
GTT;04.02.1877 00:00;15.3;23;
GTT;05.02.1877 00:00;0;0;
GTT;06.02.1877 00:00;7.5;5;
GTT;07.02.1877 00:00;0;0;
GTT;08.02.1877 00:00;5.7;0;
GTT;09.02.1877 00:00;1.8;0;
GTT;10.02.1877 00:00;0;0;
GTT;11.02.1877 00:00;1.3;0;
GTT;12.02.1877 00:00;18.1;0;
GTT;13.02.1877 00:00;79.5;0;
GTT;14.02.1877 00:00;12;0;
GTT;15.02.1877 00:00;0;0;
GTT;16.02.1877 00:00;7.7;9;
GTT;17.02.1877 00:00;7.7;3;
GTT;18.02.1877 00:00;1.7;0;
GTT;19.02.1877 00:00;0;0;
GTT;20.02.1877 00:00;3;5;
GTT;21.02.1877 00:00;18.1;28;
GTT;22.02.1877 00:00;1.2;2;
GTT;23.02.1877 00:00;0;0;
GTT;24.02.1877 00:00;3.1;5;
GTT;25.02.1877 00:00;3.8;0;
GTT;26.02.1877 00:00;16;20;
GTT;27.02.1877 00:00;22;40;
GTT;28.02.1877 00:00;9.2;12;
GTT;01.03.1877 00:00;10.3;14;
GTT;02.03.1877 00:00;0;0;
GTT;03.03.1877 00:00;3;1;
GTT;04.03.1877 00:00;10.1;6;
GTT;05.03.1877 00:00;18.1;16;
GTT;06.03.1877 00:00;8.1;9;
GTT;07.03.1877 00:00;5.7;3;
GTT;08.03.1877 00:00;0.8;0;
GTT;09.03.1877 00:00;0.7;0;
GTT;10.03.1877 00:00;0.3;0;
GTT;11.03.1877 00:00;0;0;
GTT;12.03.1877 00:00;2.4;4;
GTT;13.03.1877 00:00;33.8;34;
GTT;14.03.1877 00:00;46.5;40;
GTT;15.03.1877 00:00;0;0;
GTT;16.03.1877 00:00;0;0;
GTT;17.03.1877 00:00;0;0;
GTT;18.03.1877 00:00;3;0;
GTT;19.03.1877 00:00;0;0;
GTT;20.03.1877 00:00;17.1;0;
GTT;21.03.1877 00:00;0;0;
GTT;22.03.1877 00:00;14;13;
GTT;23.03.1877 00:00;0.5;0;
GTT;24.03.1877 00:00;1;0;
GTT;25.03.1877 00:00;10.9;6;
GTT;26.03.1877 00:00;0;0;
GTT;27.03.1877 00:00;0;0;
GTT;28.03.1877 00:00;0;0;
GTT;29.03.1877 00:00;0;0;
GTT;30.03.1877 00:00;26.9;0;
GTT;31.03.1877 00:00;0;0;
GTT;01.04.1877 00:00;5.5;0;
GTT;02.04.1877 00:00;0;0;
GTT;03.04.1877 00:00;0;0;
GTT;04.04.1877 00:00;18;8;
GTT;05.04.1877 00:00;0;0;
GTT;06.04.1877 00:00;5.8;1;
GTT;07.04.1877 00:00;0;0;
GTT;08.04.1877 00:00;0;0;
GTT;09.04.1877 00:00;0;0;
GTT;10.04.1877 00:00;13.6;7;
GTT;11.04.1877 00:00;0;0;
GTT;12.04.1877 00:00;0;0;
GTT;13.04.1877 00:00;0;0;
GTT;14.04.1877 00:00;7.2;0;
GTT;15.04.1877 00:00;0;0;
GTT;16.04.1877 00:00;2.9;0;
GTT;17.04.1877 00:00;0.9;0;
GTT;18.04.1877 00:00;2.3;0;
GTT;19.04.1877 00:00;6.3;1;
GTT;20.04.1877 00:00;0;0;
GTT;21.04.1877 00:00;0;0;
GTT;22.04.1877 00:00;23.2;1;
GTT;23.04.1877 00:00;29.5;17;
GTT;24.04.1877 00:00;8.3;2;
GTT;25.04.1877 00:00;0;0;
GTT;26.04.1877 00:00;0;0;
GTT;27.04.1877 00:00;0;0;
GTT;28.04.1877 00:00;9.5;0;
GTT;29.04.1877 00:00;2.5;0;
GTT;30.04.1877 00:00;18.6;1;
GTT;01.05.1877 00:00;16.5;7;
GTT;02.05.1877 00:00;0;0;
GTT;03.05.1877 00:00;0;0;
GTT;04.05.1877 00:00;0;0;
GTT;05.05.1877 00:00;2;0;
GTT;06.05.1877 00:00;0;0;
GTT;07.05.1877 00:00;4.4;0;
GTT;08.05.1877 00:00;6.4;0;
GTT;09.05.1877 00:00;17.7;0;
GTT;10.05.1877 00:00;0.4;0;
GTT;11.05.1877 00:00;4.5;0;
GTT;12.05.1877 00:00;28.3;0;
GTT;13.05.1877 00:00;0;0;
GTT;14.05.1877 00:00;4.2;0;
GTT;15.05.1877 00:00;11.7;0;
GTT;16.05.1877 00:00;0;0;
GTT;17.05.1877 00:00;7.3;0;
GTT;18.05.1877 00:00;13.5;0;
GTT;19.05.1877 00:00;12.5;0;
GTT;20.05.1877 00:00;4.7;0;
GTT;21.05.1877 00:00;1.9;0;
GTT;22.05.1877 00:00;0.1;0;
GTT;23.05.1877 00:00;1;0;
GTT;24.05.1877 00:00;16.1;0;
GTT;25.05.1877 00:00;0.4;0;
GTT;26.05.1877 00:00;0.7;0;
GTT;27.05.1877 00:00;0;0;
GTT;28.05.1877 00:00;0;0;
GTT;29.05.1877 00:00;1.1;0;
GTT;30.05.1877 00:00;5.2;0;
GTT;31.05.1877 00:00;0;0;
GTT;01.06.1877 00:00;8.3;0;
GTT;02.06.1877 00:00;0;0;
GTT;03.06.1877 00:00;0;0;
GTT;04.06.1877 00:00;0;0;
GTT;05.06.1877 00:00;5.7;0;
GTT;06.06.1877 00:00;3;0;
GTT;07.06.1877 00:00;0;0;
GTT;08.06.1877 00:00;0;0;
GTT;09.06.1877 00:00;2.4;0;
GTT;10.06.1877 00:00;0;0;
GTT;11.06.1877 00:00;0;0;
GTT;12.06.1877 00:00;0;0;
GTT;13.06.1877 00:00;2.3;0;
GTT;14.06.1877 00:00;5.8;0;
GTT;15.06.1877 00:00;6.2;0;
GTT;16.06.1877 00:00;0;0;
GTT;17.06.1877 00:00;0;0;
GTT;18.06.1877 00:00;0;0;
GTT;19.06.1877 00:00;0;0;
GTT;20.06.1877 00:00;0;0;
GTT;21.06.1877 00:00;8.2;0;
GTT;22.06.1877 00:00;16.3;0;
GTT;23.06.1877 00:00;15.8;0;
GTT;24.06.1877 00:00;11;0;
GTT;25.06.1877 00:00;1.2;0;
GTT;26.06.1877 00:00;0;0;
GTT;27.06.1877 00:00;24.3;0;
GTT;28.06.1877 00:00;0;0;
GTT;29.06.1877 00:00;0;0;
GTT;30.06.1877 00:00;0;0;
GTT;01.07.1877 00:00;2.6;0;
GTT;02.07.1877 00:00;25.3;0;
GTT;03.07.1877 00:00;25.2;0;
GTT;04.07.1877 00:00;0;0;
GTT;05.07.1877 00:00;2.2;0;
GTT;06.07.1877 00:00;6.7;0;
GTT;07.07.1877 00:00;6;0;
GTT;08.07.1877 00:00;9.3;0;
GTT;09.07.1877 00:00;0;0;
GTT;10.07.1877 00:00;0;0;
GTT;11.07.1877 00:00;0;0;
GTT;12.07.1877 00:00;4;0;
GTT;13.07.1877 00:00;4.2;0;
GTT;14.07.1877 00:00;7;0;
GTT;15.07.1877 00:00;20;0;
GTT;16.07.1877 00:00;4.8;0;
GTT;17.07.1877 00:00;18.6;0;
GTT;18.07.1877 00:00;3.4;0;
GTT;19.07.1877 00:00;36.4;0;
GTT;20.07.1877 00:00;3.6;0;
GTT;21.07.1877 00:00;0;0;
GTT;22.07.1877 00:00;0;0;
GTT;23.07.1877 00:00;0;0;
GTT;24.07.1877 00:00;27.4;0;
GTT;25.07.1877 00:00;14.1;0;
GTT;26.07.1877 00:00;4.9;0;
GTT;27.07.1877 00:00;0.2;0;
GTT;28.07.1877 00:00;0;0;
GTT;29.07.1877 00:00;1.5;0;
GTT;30.07.1877 00:00;0;0;
GTT;31.07.1877 00:00;0;0;
GTT;01.08.1877 00:00;6.3;0;
GTT;02.08.1877 00:00;20.7;0;
GTT;03.08.1877 00:00;0;0;
GTT;04.08.1877 00:00;0;0;
GTT;05.08.1877 00:00;0;0;
GTT;06.08.1877 00:00;0;0;
GTT;07.08.1877 00:00;0;0;
GTT;08.08.1877 00:00;18;0;
GTT;09.08.1877 00:00;0;0;
GTT;10.08.1877 00:00;0;0;
GTT;11.08.1877 00:00;17.3;0;
GTT;12.08.1877 00:00;0;0;
GTT;13.08.1877 00:00;0;0;
GTT;14.08.1877 00:00;5.7;0;
GTT;15.08.1877 00:00;0;0;
GTT;16.08.1877 00:00;1;0;
GTT;17.08.1877 00:00;1;0;
GTT;18.08.1877 00:00;0;0;
GTT;19.08.1877 00:00;4.2;0;
GTT;20.08.1877 00:00;0;0;
GTT;21.08.1877 00:00;14.8;0;
GTT;22.08.1877 00:00;10.2;0;
GTT;23.08.1877 00:00;21.9;0;
GTT;24.08.1877 00:00;0;0;
GTT;25.08.1877 00:00;0.9;0;
GTT;26.08.1877 00:00;0;0;
GTT;27.08.1877 00:00;0;0;
GTT;28.08.1877 00:00;0;0;
GTT;29.08.1877 00:00;0;0;
GTT;30.08.1877 00:00;0;0;
GTT;31.08.1877 00:00;20.5;0;
GTT;01.09.1877 00:00;0.5;0;
GTT;02.09.1877 00:00;1.1;0;
GTT;03.09.1877 00:00;0;0;
GTT;04.09.1877 00:00;3.3;0;
GTT;05.09.1877 00:00;0;0;
GTT;06.09.1877 00:00;2.1;0;
GTT;07.09.1877 00:00;0.2;0;
GTT;08.09.1877 00:00;16.8;0;
GTT;09.09.1877 00:00;9.6;0;
GTT;10.09.1877 00:00;0;0;
GTT;11.09.1877 00:00;0;0;
GTT;12.09.1877 00:00;7.8;0;
GTT;13.09.1877 00:00;0.9;0;
GTT;14.09.1877 00:00;0;0;
GTT;15.09.1877 00:00;0;0;
GTT;16.09.1877 00:00;0;0;
GTT;17.09.1877 00:00;0;0;
GTT;18.09.1877 00:00;0;0;
GTT;19.09.1877 00:00;0;0;
GTT;20.09.1877 00:00;0.5;0;
GTT;21.09.1877 00:00;3.1;0;
GTT;22.09.1877 00:00;7.9;0;
GTT;23.09.1877 00:00;0;0;
GTT;24.09.1877 00:00;0.8;0;
GTT;25.09.1877 00:00;0;0;
GTT;26.09.1877 00:00;0;0;
GTT;27.09.1877 00:00;0;0;
GTT;28.09.1877 00:00;0;0;
GTT;29.09.1877 00:00;0;0;
GTT;30.09.1877 00:00;0;0;
GTT;01.10.1877 00:00;0;0;
GTT;02.10.1877 00:00;2.7;0;
GTT;03.10.1877 00:00;5.8;0;
GTT;04.10.1877 00:00;0;0;
GTT;05.10.1877 00:00;2.1;0;
GTT;06.10.1877 00:00;0;0;
GTT;07.10.1877 00:00;0;0;
GTT;08.10.1877 00:00;14.6;12;
GTT;09.10.1877 00:00;6.5;0;
GTT;10.10.1877 00:00;0;0;
GTT;11.10.1877 00:00;0;0;
GTT;12.10.1877 00:00;0;0;
GTT;13.10.1877 00:00;0;0;
GTT;14.10.1877 00:00;0;0;
GTT;15.10.1877 00:00;2.1;0;
GTT;16.10.1877 00:00;5.5;0;
GTT;17.10.1877 00:00;2.5;0;
GTT;18.10.1877 00:00;0;0;
GTT;19.10.1877 00:00;0;0;
GTT;20.10.1877 00:00;0;0;
GTT;21.10.1877 00:00;0;0;
GTT;22.10.1877 00:00;0;0;
GTT;23.10.1877 00:00;0;0;
GTT;24.10.1877 00:00;4.9;0;
GTT;25.10.1877 00:00;0;0;
GTT;26.10.1877 00:00;8.8;0;
GTT;27.10.1877 00:00;0;0;
GTT;28.10.1877 00:00;6.4;0;
GTT;29.10.1877 00:00;5.1;0;
GTT;30.10.1877 00:00;17.2;0;
GTT;31.10.1877 00:00;0;0;
GTT;01.11.1877 00:00;0;0;
GTT;02.11.1877 00:00;0;0;
GTT;03.11.1877 00:00;0;0;
GTT;04.11.1877 00:00;0;0;
GTT;05.11.1877 00:00;0;0;
GTT;06.11.1877 00:00;0;0;
GTT;07.11.1877 00:00;0;0;
GTT;08.11.1877 00:00;0;0;
GTT;09.11.1877 00:00;0;0;
GTT;10.11.1877 00:00;0;0;
GTT;11.11.1877 00:00;3.8;0;
GTT;12.11.1877 00:00;9.1;5;
GTT;13.11.1877 00:00;23.5;3;
GTT;14.11.1877 00:00;14.4;0;
GTT;15.11.1877 00:00;0;0;
GTT;16.11.1877 00:00;0;0;
GTT;17.11.1877 00:00;0;0;
GTT;18.11.1877 00:00;0;0;
GTT;19.11.1877 00:00;0;0;
GTT;20.11.1877 00:00;12.7;17;
GTT;21.11.1877 00:00;0;0;
GTT;22.11.1877 00:00;22.6;0;
GTT;23.11.1877 00:00;1.4;0;
GTT;24.11.1877 00:00;2.1;3;
GTT;25.11.1877 00:00;20.2;35;
GTT;26.11.1877 00:00;0;0;
GTT;27.11.1877 00:00;11.3;0;
GTT;28.11.1877 00:00;8.1;0;
GTT;29.11.1877 00:00;10.7;19;
GTT;30.11.1877 00:00;12.8;0;
GTT;01.12.1877 00:00;0;0;
GTT;02.12.1877 00:00;4.6;0;
GTT;03.12.1877 00:00;0;0;
GTT;04.12.1877 00:00;0;0;
GTT;05.12.1877 00:00;0;0;
GTT;06.12.1877 00:00;0;0;
GTT;07.12.1877 00:00;6.1;0;
GTT;08.12.1877 00:00;4.7;3;
GTT;09.12.1877 00:00;0;0;
GTT;10.12.1877 00:00;0;0;
GTT;11.12.1877 00:00;0;0;
GTT;12.12.1877 00:00;5.6;0;
GTT;13.12.1877 00:00;5.7;6;
GTT;14.12.1877 00:00;4.9;5;
GTT;15.12.1877 00:00;0;0;
GTT;16.12.1877 00:00;25.2;26;
GTT;17.12.1877 00:00;0;0;
GTT;18.12.1877 00:00;19.8;21;
GTT;19.12.1877 00:00;4;8;
GTT;20.12.1877 00:00;0;0;
GTT;21.12.1877 00:00;0;0;
GTT;22.12.1877 00:00;0;0;
GTT;23.12.1877 00:00;0;0;
GTT;24.12.1877 00:00;0;0;
GTT;25.12.1877 00:00;13.4;0;
GTT;26.12.1877 00:00;5.8;6;
GTT;27.12.1877 00:00;11.4;0;
GTT;28.12.1877 00:00;10.9;0;
GTT;29.12.1877 00:00;20.2;7;
GTT;30.12.1877 00:00;0;0;
GTT;31.12.1877 00:00;13.1;0;
GTT;01.01.1878 00:00;0;9;
GTT;02.01.1878 00:00;0;0;
GTT;03.01.1878 00:00;0;0;
GTT;04.01.1878 00:00;0;0;
GTT;05.01.1878 00:00;0;0;
GTT;06.01.1878 00:00;0;0;
GTT;07.01.1878 00:00;0;0;
GTT;08.01.1878 00:00;13.6;16;
GTT;09.01.1878 00:00;9.1;13;
GTT;10.01.1878 00:00;0;0;
GTT;11.01.1878 00:00;0;0;
GTT;12.01.1878 00:00;0;0;
GTT;13.01.1878 00:00;0;0;
GTT;14.01.1878 00:00;2.4;2;
GTT;15.01.1878 00:00;24.8;26;
GTT;16.01.1878 00:00;19.1;10;
GTT;17.01.1878 00:00;4.6;6;
GTT;18.01.1878 00:00;0;0;
GTT;19.01.1878 00:00;0;0;
GTT;20.01.1878 00:00;0;0;
GTT;21.01.1878 00:00;1.6;0;
GTT;22.01.1878 00:00;0;0;
GTT;23.01.1878 00:00;16.9;4;
