station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GUG;01.01.1901 00:00;3.2;;
GUG;02.01.1901 00:00;0;;
GUG;03.01.1901 00:00;0;;
GUG;04.01.1901 00:00;0;;
GUG;05.01.1901 00:00;0;;
GUG;06.01.1901 00:00;0;;
GUG;07.01.1901 00:00;0;;
GUG;08.01.1901 00:00;0;;
GUG;09.01.1901 00:00;0;;
GUG;10.01.1901 00:00;0;;
GUG;11.01.1901 00:00;0;;
GUG;12.01.1901 00:00;0;;
GUG;13.01.1901 00:00;0;;
GUG;14.01.1901 00:00;0;;
GUG;15.01.1901 00:00;0;;
GUG;16.01.1901 00:00;0;;
GUG;17.01.1901 00:00;0;;
GUG;18.01.1901 00:00;0;;
GUG;19.01.1901 00:00;0;;
GUG;20.01.1901 00:00;7.4;;
GUG;21.01.1901 00:00;3.2;;
GUG;22.01.1901 00:00;0;;
GUG;23.01.1901 00:00;0;;
GUG;24.01.1901 00:00;0;;
GUG;25.01.1901 00:00;0;;
GUG;26.01.1901 00:00;5;;
GUG;27.01.1901 00:00;12.4;;
GUG;28.01.1901 00:00;6;;
GUG;29.01.1901 00:00;3.4;;
GUG;30.01.1901 00:00;0;;
GUG;31.01.1901 00:00;0;;
GUG;01.02.1901 00:00;5;;
GUG;02.02.1901 00:00;2;;
GUG;03.02.1901 00:00;0;;
GUG;04.02.1901 00:00;2.3;;
GUG;05.02.1901 00:00;5.6;;
GUG;06.02.1901 00:00;0;;
GUG;07.02.1901 00:00;0;;
GUG;08.02.1901 00:00;0;;
GUG;09.02.1901 00:00;0;;
GUG;10.02.1901 00:00;0;;
GUG;11.02.1901 00:00;0;;
GUG;12.02.1901 00:00;0;;
GUG;13.02.1901 00:00;3.4;;
GUG;14.02.1901 00:00;0;;
GUG;15.02.1901 00:00;0;;
GUG;16.02.1901 00:00;2.7;;
GUG;17.02.1901 00:00;5.3;;
GUG;18.02.1901 00:00;0;;
GUG;19.02.1901 00:00;0;;
GUG;20.02.1901 00:00;0;;
GUG;21.02.1901 00:00;0;;
GUG;22.02.1901 00:00;0;;
GUG;23.02.1901 00:00;0;;
GUG;24.02.1901 00:00;0;;
GUG;25.02.1901 00:00;0;;
GUG;26.02.1901 00:00;0;;
GUG;27.02.1901 00:00;0;;
GUG;28.02.1901 00:00;1.2;;
GUG;01.03.1901 00:00;0.3;;
GUG;02.03.1901 00:00;12.4;;
GUG;03.03.1901 00:00;10.9;;
GUG;04.03.1901 00:00;5;;
GUG;05.03.1901 00:00;3;;
GUG;06.03.1901 00:00;8.4;;
GUG;07.03.1901 00:00;0;;
GUG;08.03.1901 00:00;0;;
GUG;09.03.1901 00:00;0;;
GUG;10.03.1901 00:00;4.2;;
GUG;11.03.1901 00:00;1;;
GUG;12.03.1901 00:00;6;;
GUG;13.03.1901 00:00;0;;
GUG;14.03.1901 00:00;0;;
GUG;15.03.1901 00:00;0;;
GUG;16.03.1901 00:00;1.5;;
GUG;17.03.1901 00:00;0;;
GUG;18.03.1901 00:00;0;;
GUG;19.03.1901 00:00;0;;
GUG;20.03.1901 00:00;19.9;;
GUG;21.03.1901 00:00;8.4;;
GUG;22.03.1901 00:00;0;;
GUG;23.03.1901 00:00;0;;
GUG;24.03.1901 00:00;0;;
GUG;25.03.1901 00:00;0;;
GUG;26.03.1901 00:00;10.2;;
GUG;27.03.1901 00:00;0;;
GUG;28.03.1901 00:00;8.7;;
GUG;29.03.1901 00:00;0;;
GUG;30.03.1901 00:00;0;;
GUG;31.03.1901 00:00;0;;
GUG;01.04.1901 00:00;11.6;;
GUG;02.04.1901 00:00;0;;
GUG;03.04.1901 00:00;0;;
GUG;04.04.1901 00:00;2.4;;
GUG;05.04.1901 00:00;16;;
