station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GVE;01.01.1950 00:00;0;;
GVE;02.01.1950 00:00;0;;
GVE;03.01.1950 00:00;37;;
GVE;04.01.1950 00:00;6;;
GVE;05.01.1950 00:00;0;;
GVE;06.01.1950 00:00;0;;
GVE;07.01.1950 00:00;0;;
GVE;08.01.1950 00:00;0;;
GVE;09.01.1950 00:00;0;;
GVE;10.01.1950 00:00;0;;
GVE;11.01.1950 00:00;0;;
GVE;12.01.1950 00:00;0;;
GVE;13.01.1950 00:00;0;;
GVE;14.01.1950 00:00;0;;
GVE;15.01.1950 00:00;0;;
GVE;16.01.1950 00:00;18;;
GVE;17.01.1950 00:00;0;;
GVE;18.01.1950 00:00;0;;
GVE;19.01.1950 00:00;0;;
GVE;20.01.1950 00:00;0;;
GVE;21.01.1950 00:00;0;;
GVE;22.01.1950 00:00;0;;
GVE;23.01.1950 00:00;5;;
GVE;24.01.1950 00:00;4;;
GVE;25.01.1950 00:00;7;;
GVE;26.01.1950 00:00;1;;
GVE;27.01.1950 00:00;0;;
GVE;28.01.1950 00:00;7;;
GVE;29.01.1950 00:00;0;;
GVE;30.01.1950 00:00;0;;
GVE;31.01.1950 00:00;3;;
GVE;01.02.1950 00:00;0;;
GVE;02.02.1950 00:00;0;;
GVE;03.02.1950 00:00;0;;
GVE;04.02.1950 00:00;1;;
GVE;05.02.1950 00:00;7;;
GVE;06.02.1950 00:00;0.5;;
GVE;07.02.1950 00:00;0;;
GVE;08.02.1950 00:00;6;;
GVE;09.02.1950 00:00;21;;
GVE;10.02.1950 00:00;11;;
GVE;11.02.1950 00:00;1;;
GVE;12.02.1950 00:00;0;;
GVE;13.02.1950 00:00;4;;
GVE;14.02.1950 00:00;0;;
GVE;15.02.1950 00:00;0;;
GVE;16.02.1950 00:00;0;;
GVE;17.02.1950 00:00;0;;
GVE;18.02.1950 00:00;0;;
GVE;19.02.1950 00:00;0;;
GVE;20.02.1950 00:00;3;;
GVE;21.02.1950 00:00;0.6;;
GVE;22.02.1950 00:00;0;;
GVE;23.02.1950 00:00;0;;
GVE;24.02.1950 00:00;0;;
GVE;25.02.1950 00:00;5.9;;
GVE;26.02.1950 00:00;2;;
GVE;27.02.1950 00:00;0;;
GVE;28.02.1950 00:00;0;;
GVE;01.03.1950 00:00;0;;
GVE;02.03.1950 00:00;0;;
GVE;03.03.1950 00:00;0;;
GVE;04.03.1950 00:00;0;;
GVE;05.03.1950 00:00;0;;
GVE;06.03.1950 00:00;0;;
GVE;07.03.1950 00:00;0;;
GVE;08.03.1950 00:00;0;;
GVE;09.03.1950 00:00;0;;
GVE;10.03.1950 00:00;0;;
GVE;11.03.1950 00:00;0;;
GVE;12.03.1950 00:00;0;;
GVE;13.03.1950 00:00;0;;
GVE;14.03.1950 00:00;0;;
GVE;15.03.1950 00:00;0;;
GVE;16.03.1950 00:00;1;;
GVE;17.03.1950 00:00;2;;
GVE;18.03.1950 00:00;0;;
GVE;19.03.1950 00:00;0.6;;
GVE;20.03.1950 00:00;0;;
GVE;21.03.1950 00:00;2;;
GVE;22.03.1950 00:00;0;;
GVE;23.03.1950 00:00;0;;
GVE;24.03.1950 00:00;0.4;;
GVE;25.03.1950 00:00;0;;
GVE;26.03.1950 00:00;0;;
GVE;27.03.1950 00:00;0;;
