station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GWA;01.01.1961 00:00;5;;
GWA;02.01.1961 00:00;0;;
GWA;03.01.1961 00:00;2.8;;
GWA;04.01.1961 00:00;1.4;;
GWA;05.01.1961 00:00;0;;
GWA;06.01.1961 00:00;1.9;;
GWA;07.01.1961 00:00;0;;
GWA;08.01.1961 00:00;3.4;;
GWA;09.01.1961 00:00;0;;
GWA;10.01.1961 00:00;0;;
GWA;11.01.1961 00:00;0.3;;
GWA;12.01.1961 00:00;0;;
GWA;13.01.1961 00:00;0;;
GWA;14.01.1961 00:00;0;;
GWA;15.01.1961 00:00;0;;
GWA;16.01.1961 00:00;0;;
GWA;17.01.1961 00:00;0;;
GWA;18.01.1961 00:00;0;;
GWA;19.01.1961 00:00;0;;
GWA;20.01.1961 00:00;0;;
GWA;21.01.1961 00:00;0;;
GWA;22.01.1961 00:00;0;;
GWA;23.01.1961 00:00;6.7;;
GWA;24.01.1961 00:00;6.8;;
GWA;25.01.1961 00:00;3.8;;
GWA;26.01.1961 00:00;0;;
GWA;27.01.1961 00:00;0;;
GWA;28.01.1961 00:00;2.3;;
GWA;29.01.1961 00:00;0;;
GWA;30.01.1961 00:00;1.1;;
GWA;31.01.1961 00:00;10.2;;
GWA;01.02.1961 00:00;4.8;;
GWA;02.02.1961 00:00;20.9;;
GWA;03.02.1961 00:00;17.1;;
GWA;04.02.1961 00:00;10.7;;
GWA;05.02.1961 00:00;15.4;;
GWA;06.02.1961 00:00;0.6;;
GWA;07.02.1961 00:00;6.4;;
GWA;08.02.1961 00:00;0;;
GWA;09.02.1961 00:00;14.8;;
GWA;10.02.1961 00:00;0;;
GWA;11.02.1961 00:00;4.6;;
GWA;12.02.1961 00:00;17.6;;
GWA;13.02.1961 00:00;0;;
GWA;14.02.1961 00:00;0;;
GWA;15.02.1961 00:00;0;;
GWA;16.02.1961 00:00;0;;
GWA;17.02.1961 00:00;0;;
GWA;18.02.1961 00:00;0;;
GWA;19.02.1961 00:00;0;;
GWA;20.02.1961 00:00;0;;
GWA;21.02.1961 00:00;0;;
GWA;22.02.1961 00:00;0;;
GWA;23.02.1961 00:00;0;;
GWA;24.02.1961 00:00;0;;
GWA;25.02.1961 00:00;0;;
GWA;26.02.1961 00:00;0;;
GWA;27.02.1961 00:00;0;;
GWA;28.02.1961 00:00;8.9;;
GWA;01.03.1961 00:00;5.1;;
GWA;02.03.1961 00:00;0.4;;
GWA;03.03.1961 00:00;4.8;;
GWA;04.03.1961 00:00;0;;
GWA;05.03.1961 00:00;0;;
GWA;06.03.1961 00:00;0;;
GWA;07.03.1961 00:00;0;;
GWA;08.03.1961 00:00;0;;
GWA;09.03.1961 00:00;0;;
GWA;10.03.1961 00:00;0;;
GWA;11.03.1961 00:00;0;;
GWA;12.03.1961 00:00;0;;
GWA;13.03.1961 00:00;0;;
GWA;14.03.1961 00:00;0;;
GWA;15.03.1961 00:00;0;;
GWA;16.03.1961 00:00;0;;
GWA;17.03.1961 00:00;0;;
GWA;18.03.1961 00:00;14.9;;
GWA;19.03.1961 00:00;5.3;;
GWA;20.03.1961 00:00;0;;
GWA;21.03.1961 00:00;5.2;;
GWA;22.03.1961 00:00;0;;
GWA;23.03.1961 00:00;0;;
GWA;24.03.1961 00:00;0;;
GWA;25.03.1961 00:00;0;;
GWA;26.03.1961 00:00;0;;
GWA;27.03.1961 00:00;0;;
GWA;28.03.1961 00:00;0;;
GWA;29.03.1961 00:00;0;;
GWA;30.03.1961 00:00;7.6;;
GWA;31.03.1961 00:00;0.4;;
GWA;01.04.1961 00:00;3.6;;
GWA;02.04.1961 00:00;1;;
GWA;03.04.1961 00:00;0;;
GWA;04.04.1961 00:00;0;;
GWA;05.04.1961 00:00;0;;
GWA;06.04.1961 00:00;0;;
GWA;07.04.1961 00:00;0;;
GWA;08.04.1961 00:00;5.6;;
GWA;09.04.1961 00:00;0;;
GWA;10.04.1961 00:00;3.9;;
GWA;11.04.1961 00:00;3.1;;
GWA;12.04.1961 00:00;0;;
GWA;13.04.1961 00:00;0;;
