station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HAU;01.04.1975 00:00;0;0;
HAU;02.04.1975 00:00;0;0;
HAU;03.04.1975 00:00;4.3;;
HAU;04.04.1975 00:00;7.8;5;
HAU;05.04.1975 00:00;1.3;1;
HAU;06.04.1975 00:00;24.1;16;
HAU;07.04.1975 00:00;0;0;
HAU;08.04.1975 00:00;8.6;5;
HAU;09.04.1975 00:00;12.6;13;
HAU;10.04.1975 00:00;7.6;10;
HAU;11.04.1975 00:00;2.3;;21
HAU;12.04.1975 00:00;1.8;;
HAU;13.04.1975 00:00;0;0;
HAU;14.04.1975 00:00;0;0;
HAU;15.04.1975 00:00;7.4;;
HAU;16.04.1975 00:00;2.6;;
HAU;17.04.1975 00:00;0;0;
HAU;18.04.1975 00:00;0;0;
HAU;19.04.1975 00:00;0;0;
HAU;20.04.1975 00:00;4.2;;
HAU;21.04.1975 00:00;0;0;
HAU;22.04.1975 00:00;0;0;
HAU;23.04.1975 00:00;0;0;
HAU;24.04.1975 00:00;0;0;
HAU;25.04.1975 00:00;0;0;
HAU;26.04.1975 00:00;0;0;
HAU;27.04.1975 00:00;0;0;
HAU;28.04.1975 00:00;0;0;
HAU;29.04.1975 00:00;0;0;
HAU;30.04.1975 00:00;7.1;;
HAU;01.05.1975 00:00;0;0;
HAU;02.05.1975 00:00;0;0;
HAU;03.05.1975 00:00;27.1;;
HAU;04.05.1975 00:00;3.2;;
HAU;05.05.1975 00:00;0;0;
HAU;06.05.1975 00:00;0;0;
HAU;07.05.1975 00:00;0;0;
HAU;08.05.1975 00:00;4.6;;
HAU;09.05.1975 00:00;3.5;;
HAU;10.05.1975 00:00;3.1;;
HAU;11.05.1975 00:00;1.2;;
HAU;12.05.1975 00:00;0.5;;
HAU;13.05.1975 00:00;0;0;
HAU;14.05.1975 00:00;0;0;
HAU;15.05.1975 00:00;0;0;
HAU;16.05.1975 00:00;0;0;
HAU;17.05.1975 00:00;0;0;
HAU;18.05.1975 00:00;0;0;
HAU;19.05.1975 00:00;0;0;
HAU;20.05.1975 00:00;0;0;
HAU;21.05.1975 00:00;0;0;
HAU;22.05.1975 00:00;0;0;
HAU;23.05.1975 00:00;0;0;
HAU;24.05.1975 00:00;0;0;
HAU;25.05.1975 00:00;0;0;
HAU;26.05.1975 00:00;49.7;;
HAU;27.05.1975 00:00;0;;
