station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HEK;01.01.1977 00:00;6.3;0;
HEK;02.01.1977 00:00;0;0;13
HEK;03.01.1977 00:00;0.3;0;8
HEK;04.01.1977 00:00;0;0;6
HEK;05.01.1977 00:00;0;0;6
HEK;06.01.1977 00:00;0;0;6
HEK;07.01.1977 00:00;0;0;6
HEK;08.01.1977 00:00;0;0;6
HEK;09.01.1977 00:00;2.2;3;5
HEK;10.01.1977 00:00;2;3;8
HEK;11.01.1977 00:00;21.3;21;11
HEK;12.01.1977 00:00;0.5;0;31
HEK;13.01.1977 00:00;0;0;30
HEK;14.01.1977 00:00;7.2;8;28
HEK;15.01.1977 00:00;15.8;15;34
HEK;16.01.1977 00:00;6.9;5;49
HEK;17.01.1977 00:00;0;0;53
HEK;18.01.1977 00:00;0;0;52
HEK;19.01.1977 00:00;2.5;3;46
HEK;20.01.1977 00:00;0;0;42
HEK;21.01.1977 00:00;0.9;0;37
HEK;22.01.1977 00:00;6.8;0;34
HEK;23.01.1977 00:00;0.4;0;30
HEK;24.01.1977 00:00;0;0;28
HEK;25.01.1977 00:00;12.5;0;27
HEK;26.01.1977 00:00;7.3;0;17
HEK;27.01.1977 00:00;3.6;0;8
HEK;28.01.1977 00:00;4.1;0;6
HEK;29.01.1977 00:00;5.5;0;5
HEK;30.01.1977 00:00;1.6;2;5
HEK;31.01.1977 00:00;1.5;0;6
HEK;01.02.1977 00:00;0;0;6
HEK;02.02.1977 00:00;0;0;6
HEK;03.02.1977 00:00;4.4;0;4
HEK;04.02.1977 00:00;19.8;0;4
HEK;05.02.1977 00:00;7.2;0;2
HEK;06.02.1977 00:00;16.8;0;0
HEK;07.02.1977 00:00;1.2;0;0
HEK;08.02.1977 00:00;13.1;0;0
HEK;09.02.1977 00:00;22;0;0
HEK;10.02.1977 00:00;25;0;0
HEK;11.02.1977 00:00;0.3;0;0
HEK;12.02.1977 00:00;1.5;0;0
HEK;13.02.1977 00:00;0;0;0
HEK;14.02.1977 00:00;0;0;0
HEK;15.02.1977 00:00;5.9;5;0
HEK;16.02.1977 00:00;6;2;5
HEK;17.02.1977 00:00;8.5;0;4
HEK;18.02.1977 00:00;0;0;0
HEK;19.02.1977 00:00;0;0;0
HEK;20.02.1977 00:00;28.2;0;0
HEK;21.02.1977 00:00;2.1;0;0
HEK;22.02.1977 00:00;5.7;0;0
HEK;23.02.1977 00:00;0;0;0
HEK;24.02.1977 00:00;11.5;0;0
HEK;25.02.1977 00:00;8.5;0;0
HEK;26.02.1977 00:00;1.7;0;0
HEK;27.02.1977 00:00;0;0;0
HEK;28.02.1977 00:00;0;0;0
HEK;01.03.1977 00:00;0.4;;0
HEK;02.03.1977 00:00;3.6;;
HEK;03.03.1977 00:00;0;0;
HEK;04.03.1977 00:00;0;0;
HEK;05.03.1977 00:00;0;0;
HEK;06.03.1977 00:00;0;0;
HEK;07.03.1977 00:00;3.5;;
HEK;08.03.1977 00:00;0;0;
HEK;09.03.1977 00:00;0;0;
HEK;10.03.1977 00:00;0;0;
HEK;11.03.1977 00:00;14.1;;
HEK;12.03.1977 00:00;4.1;;
HEK;13.03.1977 00:00;5.1;;
HEK;14.03.1977 00:00;0.9;;
HEK;15.03.1977 00:00;0;0;
HEK;16.03.1977 00:00;0;0;
HEK;17.03.1977 00:00;0;0;
HEK;18.03.1977 00:00;7.1;;
HEK;19.03.1977 00:00;2;;
HEK;20.03.1977 00:00;7.7;;
HEK;21.03.1977 00:00;0;0;
HEK;22.03.1977 00:00;0;0;
HEK;23.03.1977 00:00;0;0;
HEK;24.03.1977 00:00;0;0;
HEK;25.03.1977 00:00;0;0;
HEK;26.03.1977 00:00;5.6;;
HEK;27.03.1977 00:00;6.5;;
HEK;28.03.1977 00:00;12;;
HEK;29.03.1977 00:00;1.5;;
HEK;30.03.1977 00:00;0;0;
HEK;31.03.1977 00:00;0;0;
HEK;01.04.1977 00:00;3.9;1;
HEK;02.04.1977 00:00;7;0;1
HEK;03.04.1977 00:00;0;0;0
HEK;04.04.1977 00:00;3.5;0;0
HEK;05.04.1977 00:00;0;0;0
HEK;06.04.1977 00:00;0;0;0
HEK;07.04.1977 00:00;12.5;0;0
HEK;08.04.1977 00:00;1.4;0;0
HEK;09.04.1977 00:00;1.1;0;0
HEK;10.04.1977 00:00;0.9;0;0
HEK;11.04.1977 00:00;2.6;1;0
HEK;12.04.1977 00:00;10;3;1
HEK;13.04.1977 00:00;12.8;0;3
HEK;14.04.1977 00:00;3.2;1;0
HEK;15.04.1977 00:00;0.5;0;1
HEK;16.04.1977 00:00;0;0;0
HEK;17.04.1977 00:00;0;0;0
HEK;18.04.1977 00:00;2.2;0;0
HEK;19.04.1977 00:00;5.6;0;0
HEK;20.04.1977 00:00;0;0;0
HEK;21.04.1977 00:00;0.4;0;0
HEK;22.04.1977 00:00;0;0;0
HEK;23.04.1977 00:00;4;0;0
HEK;24.04.1977 00:00;7.9;0;0
HEK;25.04.1977 00:00;0.5;0;0
HEK;26.04.1977 00:00;0;0;0
HEK;27.04.1977 00:00;3;0;0
HEK;28.04.1977 00:00;44.4;0;0
HEK;29.04.1977 00:00;32.4;0;0
HEK;30.04.1977 00:00;8.1;0;0
HEK;01.05.1977 00:00;6.5;;0
HEK;02.05.1977 00:00;0;0;
HEK;03.05.1977 00:00;0;0;
