station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HLL;01.07.1886 00:00;0;;
HLL;02.07.1886 00:00;0;;
HLL;03.07.1886 00:00;0;;
HLL;04.07.1886 00:00;0;;
HLL;05.07.1886 00:00;0;;
HLL;06.07.1886 00:00;0;;
HLL;07.07.1886 00:00;2.7;;
HLL;08.07.1886 00:00;1.5;;
HLL;09.07.1886 00:00;9.1;;
HLL;10.07.1886 00:00;4.3;;
HLL;11.07.1886 00:00;0.3;;
HLL;12.07.1886 00:00;0;;
HLL;13.07.1886 00:00;0.5;;
HLL;14.07.1886 00:00;14;;
HLL;15.07.1886 00:00;0;;
HLL;16.07.1886 00:00;0.3;;
HLL;17.07.1886 00:00;0;;
HLL;18.07.1886 00:00;0.1;;
HLL;19.07.1886 00:00;0;;
HLL;20.07.1886 00:00;0;;
HLL;21.07.1886 00:00;0;;
HLL;22.07.1886 00:00;0.3;;
HLL;23.07.1886 00:00;0;;
HLL;24.07.1886 00:00;0;;
HLL;25.07.1886 00:00;0;;
HLL;26.07.1886 00:00;29.6;;
HLL;27.07.1886 00:00;7.9;;
HLL;28.07.1886 00:00;0.2;;
HLL;29.07.1886 00:00;0.2;;
HLL;30.07.1886 00:00;0;;
HLL;31.07.1886 00:00;8.3;;
HLL;01.08.1886 00:00;0.2;;
HLL;02.08.1886 00:00;0.9;;
HLL;03.08.1886 00:00;6.8;;
HLL;04.08.1886 00:00;12.4;;
HLL;05.08.1886 00:00;5;;
HLL;06.08.1886 00:00;0;;
HLL;07.08.1886 00:00;0.1;;
HLL;08.08.1886 00:00;0;;
HLL;09.08.1886 00:00;6.3;;
HLL;10.08.1886 00:00;13;;
HLL;11.08.1886 00:00;14.5;;
HLL;12.08.1886 00:00;3.5;;
HLL;13.08.1886 00:00;0;;
HLL;14.08.1886 00:00;7.4;;
HLL;15.08.1886 00:00;0;;
HLL;16.08.1886 00:00;0;;
HLL;17.08.1886 00:00;9.5;;
HLL;18.08.1886 00:00;2;;
HLL;19.08.1886 00:00;6.7;;
HLL;20.08.1886 00:00;0;;
HLL;21.08.1886 00:00;0.1;;
HLL;22.08.1886 00:00;0.2;;
