station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HON;01.01.1961 00:00;6.8;;
HON;02.01.1961 00:00;0.7;;
HON;03.01.1961 00:00;21.4;;
HON;04.01.1961 00:00;1.7;;
HON;05.01.1961 00:00;0.2;;
HON;06.01.1961 00:00;1.5;;
HON;07.01.1961 00:00;1.6;;
HON;08.01.1961 00:00;2.3;;
HON;09.01.1961 00:00;22.3;;
HON;10.01.1961 00:00;0;;
HON;11.01.1961 00:00;0;;
HON;12.01.1961 00:00;0;;
HON;13.01.1961 00:00;0;;
HON;14.01.1961 00:00;0;;
HON;15.01.1961 00:00;0;;
HON;16.01.1961 00:00;0;;
HON;17.01.1961 00:00;0;;
HON;18.01.1961 00:00;0;;
HON;19.01.1961 00:00;0;;
HON;20.01.1961 00:00;0;;
HON;21.01.1961 00:00;0;;
HON;22.01.1961 00:00;0.3;;
HON;23.01.1961 00:00;8.9;;
HON;24.01.1961 00:00;7.3;;
HON;25.01.1961 00:00;1.6;;
HON;26.01.1961 00:00;1;;
HON;27.01.1961 00:00;0;;
HON;28.01.1961 00:00;3.8;;
HON;29.01.1961 00:00;0;;
HON;30.01.1961 00:00;6.7;;
HON;31.01.1961 00:00;13.8;;
HON;01.02.1961 00:00;3.1;;
HON;02.02.1961 00:00;21.9;;
HON;03.02.1961 00:00;16.3;;
HON;04.02.1961 00:00;4.4;;
HON;05.02.1961 00:00;3.1;;
HON;06.02.1961 00:00;4.3;;
HON;07.02.1961 00:00;0.9;;
HON;08.02.1961 00:00;0;;
HON;09.02.1961 00:00;0.6;;
HON;10.02.1961 00:00;5.4;;
HON;11.02.1961 00:00;8.5;;
HON;12.02.1961 00:00;9.3;;
HON;13.02.1961 00:00;0;;
HON;14.02.1961 00:00;0;;
HON;15.02.1961 00:00;0;;
HON;16.02.1961 00:00;0;;
HON;17.02.1961 00:00;0;;
HON;18.02.1961 00:00;0;;
HON;19.02.1961 00:00;0;;
HON;20.02.1961 00:00;0;;
HON;21.02.1961 00:00;0;;
HON;22.02.1961 00:00;0;;
HON;23.02.1961 00:00;0;;
HON;24.02.1961 00:00;0;;
HON;25.02.1961 00:00;0;;
HON;26.02.1961 00:00;0.3;;
HON;27.02.1961 00:00;0;;
HON;28.02.1961 00:00;5.1;;
HON;01.03.1961 00:00;3.7;;
HON;02.03.1961 00:00;0;;
HON;03.03.1961 00:00;1.7;;
