station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HOY;01.10.1972 00:00;;0;
HOY;02.10.1972 00:00;;0;
HOY;03.10.1972 00:00;;0;
HOY;04.10.1972 00:00;;0;
HOY;05.10.1972 00:00;;0;
HOY;06.10.1972 00:00;;0;
HOY;07.10.1972 00:00;;0;
HOY;08.10.1972 00:00;;0;
HOY;09.10.1972 00:00;;0;
HOY;10.10.1972 00:00;;0;
HOY;11.10.1972 00:00;;0;
HOY;12.10.1972 00:00;;0;
HOY;13.10.1972 00:00;;0;
HOY;14.10.1972 00:00;;0;
HOY;15.10.1972 00:00;;0;
HOY;16.10.1972 00:00;;0;
HOY;17.10.1972 00:00;;0;
HOY;18.10.1972 00:00;;0;
HOY;19.10.1972 00:00;;0;
HOY;20.10.1972 00:00;;50;
HOY;21.10.1972 00:00;;54;
HOY;22.10.1972 00:00;;15;90
HOY;23.10.1972 00:00;;4;100
HOY;24.10.1972 00:00;;;99
HOY;25.10.1972 00:00;;;95
HOY;26.10.1972 00:00;;;92
HOY;27.10.1972 00:00;;;85
HOY;28.10.1972 00:00;;;82
HOY;29.10.1972 00:00;;;49
HOY;30.10.1972 00:00;;;30
HOY;31.10.1972 00:00;;;25
HOY;01.11.1972 00:00;;0;23
HOY;02.11.1972 00:00;;0;20
HOY;03.11.1972 00:00;;0;19
HOY;04.11.1972 00:00;;0;18
HOY;05.11.1972 00:00;;0;17
HOY;06.11.1972 00:00;;0;16
HOY;07.11.1972 00:00;;0;15
HOY;08.11.1972 00:00;;0;13
HOY;09.11.1972 00:00;;0;12
HOY;10.11.1972 00:00;;;11
HOY;11.11.1972 00:00;;;10
HOY;12.11.1972 00:00;;50;5
HOY;13.11.1972 00:00;;35;50
HOY;14.11.1972 00:00;;;25
HOY;15.11.1972 00:00;;16;20
HOY;16.11.1972 00:00;;;27
HOY;17.11.1972 00:00;;;33
HOY;18.11.1972 00:00;;13;24
HOY;19.11.1972 00:00;;12;23
HOY;20.11.1972 00:00;;;26
HOY;21.11.1972 00:00;;6;24
HOY;22.11.1972 00:00;;11;25
HOY;23.11.1972 00:00;;17;35
HOY;24.11.1972 00:00;;15;50
HOY;25.11.1972 00:00;;25;65
HOY;26.11.1972 00:00;;8;80
HOY;27.11.1972 00:00;;0;85
HOY;28.11.1972 00:00;;0;80
HOY;29.11.1972 00:00;;0;75
HOY;30.11.1972 00:00;;0;70
HOY;01.12.1972 00:00;;4;70
HOY;02.12.1972 00:00;;0;70
HOY;03.12.1972 00:00;;0;70
HOY;04.12.1972 00:00;;7;70
HOY;05.12.1972 00:00;;;65
HOY;06.12.1972 00:00;;0;70
HOY;07.12.1972 00:00;;0;70
HOY;08.12.1972 00:00;;;70
HOY;09.12.1972 00:00;;;67
HOY;10.12.1972 00:00;;0;70
HOY;11.12.1972 00:00;;0;75
HOY;12.12.1972 00:00;;0;75
HOY;13.12.1972 00:00;;0;75
HOY;14.12.1972 00:00;;0;70
HOY;15.12.1972 00:00;;0;70
HOY;16.12.1972 00:00;;0;65
HOY;17.12.1972 00:00;;0;65
HOY;18.12.1972 00:00;;0;60
HOY;19.12.1972 00:00;;0;60
HOY;20.12.1972 00:00;;0;60
HOY;21.12.1972 00:00;;0;60
HOY;22.12.1972 00:00;;0;60
HOY;23.12.1972 00:00;;0;60
HOY;24.12.1972 00:00;;0;60
HOY;25.12.1972 00:00;;0;60
HOY;26.12.1972 00:00;;0;60
HOY;27.12.1972 00:00;;0;55
HOY;28.12.1972 00:00;;0;55
HOY;29.12.1972 00:00;;0;55
HOY;30.12.1972 00:00;;0;55
HOY;31.12.1972 00:00;;0;55
HOY;01.01.1973 00:00;0;0;55
HOY;02.01.1973 00:00;0;0;50
HOY;03.01.1973 00:00;0.9;3;50
HOY;04.01.1973 00:00;0;0;53
HOY;05.01.1973 00:00;0;0;53
HOY;06.01.1973 00:00;0;0;50
HOY;07.01.1973 00:00;0;0;50
HOY;08.01.1973 00:00;0;0;50
HOY;09.01.1973 00:00;0;0;50
HOY;10.01.1973 00:00;0;0;50
HOY;11.01.1973 00:00;0;0;50
HOY;12.01.1973 00:00;0;0;50
HOY;13.01.1973 00:00;0;0;50
HOY;14.01.1973 00:00;0;0;50
HOY;15.01.1973 00:00;18.3;;50
HOY;16.01.1973 00:00;5.8;19;50
HOY;17.01.1973 00:00;0;8;70
HOY;18.01.1973 00:00;1.4;;75
HOY;19.01.1973 00:00;0.9;2;75
HOY;20.01.1973 00:00;0;2;77
HOY;21.01.1973 00:00;5.2;;77
HOY;22.01.1973 00:00;2.8;7;77
HOY;23.01.1973 00:00;0;0;80
HOY;24.01.1973 00:00;0;0;80
HOY;25.01.1973 00:00;0;0;80
HOY;26.01.1973 00:00;2.5;3;80
HOY;27.01.1973 00:00;39;9;80
HOY;28.01.1973 00:00;27;50;87
HOY;29.01.1973 00:00;4.3;30;130
HOY;30.01.1973 00:00;3;4;137
HOY;31.01.1973 00:00;19;12;130
HOY;01.02.1973 00:00;2.2;2;137
HOY;02.02.1973 00:00;0;0;137
HOY;03.02.1973 00:00;0;0;130
HOY;04.02.1973 00:00;0;0;130
HOY;05.02.1973 00:00;0;0;130
HOY;06.02.1973 00:00;0;0;130
HOY;07.02.1973 00:00;0;0;130
HOY;08.02.1973 00:00;0;0;130
HOY;09.02.1973 00:00;9.5;12;125
HOY;10.02.1973 00:00;31.4;47;130
HOY;11.02.1973 00:00;24.8;37;170
HOY;12.02.1973 00:00;14;14;175
HOY;13.02.1973 00:00;19.6;30;184
HOY;14.02.1973 00:00;0;0;180
HOY;15.02.1973 00:00;0;0;175
HOY;16.02.1973 00:00;0;0;175
HOY;17.02.1973 00:00;1.5;7;170
HOY;18.02.1973 00:00;6.2;14;175
HOY;19.02.1973 00:00;2.2;3;180
HOY;20.02.1973 00:00;0;0;180
HOY;21.02.1973 00:00;12;15;175
HOY;22.02.1973 00:00;36.1;37;180
