station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HTW;01.01.1900 00:00;0;;
HTW;02.01.1900 00:00;3;;
HTW;03.01.1900 00:00;10.4;;
HTW;04.01.1900 00:00;6.5;;
HTW;05.01.1900 00:00;1.8;;
HTW;06.01.1900 00:00;0;;
HTW;07.01.1900 00:00;0;;
HTW;08.01.1900 00:00;0;;
HTW;09.01.1900 00:00;13.4;;
HTW;10.01.1900 00:00;1.2;;
HTW;11.01.1900 00:00;11;;
HTW;12.01.1900 00:00;0;;
HTW;13.01.1900 00:00;0;;
HTW;14.01.1900 00:00;0;;
HTW;15.01.1900 00:00;0;;
HTW;16.01.1900 00:00;28;;
HTW;17.01.1900 00:00;19.6;;
HTW;18.01.1900 00:00;9.4;;
HTW;19.01.1900 00:00;0.6;;
HTW;20.01.1900 00:00;0;;
HTW;21.01.1900 00:00;7.2;;
HTW;22.01.1900 00:00;7;;
HTW;23.01.1900 00:00;0;;
HTW;24.01.1900 00:00;7;;
HTW;25.01.1900 00:00;2.7;;
HTW;26.01.1900 00:00;0;;
HTW;27.01.1900 00:00;8;;
HTW;28.01.1900 00:00;4.1;;
HTW;29.01.1900 00:00;1.2;;
HTW;30.01.1900 00:00;0;;
HTW;31.01.1900 00:00;0;;
HTW;01.02.1900 00:00;0;;
HTW;02.02.1900 00:00;0;;
HTW;03.02.1900 00:00;0;;
HTW;04.02.1900 00:00;0;;
HTW;05.02.1900 00:00;0;;
HTW;06.02.1900 00:00;7.2;;
HTW;07.02.1900 00:00;0;;
HTW;08.02.1900 00:00;0;;
HTW;09.02.1900 00:00;1.4;;
HTW;10.02.1900 00:00;0.6;;
HTW;11.02.1900 00:00;1;;
HTW;12.02.1900 00:00;10.5;;
HTW;13.02.1900 00:00;1.2;;
HTW;14.02.1900 00:00;4.6;;
HTW;15.02.1900 00:00;2.4;;
HTW;16.02.1900 00:00;3.4;;
HTW;17.02.1900 00:00;4.4;;
HTW;18.02.1900 00:00;2.1;;
HTW;19.02.1900 00:00;9.5;;
HTW;20.02.1900 00:00;3.1;;
HTW;21.02.1900 00:00;2.4;;
HTW;22.02.1900 00:00;3.6;;
HTW;23.02.1900 00:00;1;;
HTW;24.02.1900 00:00;0;;
HTW;25.02.1900 00:00;0;;
HTW;26.02.1900 00:00;12.6;;
HTW;27.02.1900 00:00;0;;
HTW;28.02.1900 00:00;2.2;;
HTW;01.03.1900 00:00;0.3;;
HTW;02.03.1900 00:00;0;;
HTW;03.03.1900 00:00;4;;
HTW;04.03.1900 00:00;7.4;;
HTW;05.03.1900 00:00;0;;
HTW;06.03.1900 00:00;0;;
HTW;07.03.1900 00:00;0;;
