station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
IST;01.01.1901 00:00;10.3;;
IST;02.01.1901 00:00;1.2;;
IST;03.01.1901 00:00;0;;
IST;04.01.1901 00:00;0;;
IST;05.01.1901 00:00;0;;
IST;06.01.1901 00:00;0;;
IST;07.01.1901 00:00;0;;
IST;08.01.1901 00:00;0;;
IST;09.01.1901 00:00;0;;
IST;10.01.1901 00:00;0;;
IST;11.01.1901 00:00;0.8;;
IST;12.01.1901 00:00;0;;
IST;13.01.1901 00:00;0;;
IST;14.01.1901 00:00;0;;
IST;15.01.1901 00:00;0;;
IST;16.01.1901 00:00;0;;
IST;17.01.1901 00:00;0;;
IST;18.01.1901 00:00;0;;
IST;19.01.1901 00:00;0;;
IST;20.01.1901 00:00;4.4;;
IST;21.01.1901 00:00;12.7;;
IST;22.01.1901 00:00;4.2;;
IST;23.01.1901 00:00;0;;
IST;24.01.1901 00:00;0;;
IST;25.01.1901 00:00;1.3;;
IST;26.01.1901 00:00;7.6;;
IST;27.01.1901 00:00;10.1;;
IST;28.01.1901 00:00;13.9;;
IST;29.01.1901 00:00;13.6;;
IST;30.01.1901 00:00;0;;
IST;31.01.1901 00:00;0;;
IST;01.02.1901 00:00;0;;
IST;02.02.1901 00:00;3.9;;
IST;03.02.1901 00:00;0;;
IST;04.02.1901 00:00;0;;
IST;05.02.1901 00:00;1.8;;
IST;06.02.1901 00:00;0.8;;
IST;07.02.1901 00:00;2.1;;
IST;08.02.1901 00:00;2;;
IST;09.02.1901 00:00;0;;
IST;10.02.1901 00:00;0;;
IST;11.02.1901 00:00;5.7;;
IST;12.02.1901 00:00;0;;
IST;13.02.1901 00:00;10;;
IST;14.02.1901 00:00;0.6;;
IST;15.02.1901 00:00;0;;
IST;16.02.1901 00:00;3.6;;
IST;17.02.1901 00:00;17.1;;
IST;18.02.1901 00:00;2;;
IST;19.02.1901 00:00;0;;
IST;20.02.1901 00:00;0;;
IST;21.02.1901 00:00;0;;
IST;22.02.1901 00:00;0;;
IST;23.02.1901 00:00;0;;
IST;24.02.1901 00:00;0;;
IST;25.02.1901 00:00;0;;
IST;26.02.1901 00:00;0;;
IST;27.02.1901 00:00;0;;
IST;28.02.1901 00:00;0;;
IST;01.03.1901 00:00;0;;
IST;02.03.1901 00:00;9.1;;
IST;03.03.1901 00:00;9.7;;
IST;04.03.1901 00:00;8.9;;
IST;05.03.1901 00:00;7.8;;
IST;06.03.1901 00:00;1;;
IST;07.03.1901 00:00;0;;
IST;08.03.1901 00:00;0;;
IST;09.03.1901 00:00;0;;
IST;10.03.1901 00:00;7.5;;
IST;11.03.1901 00:00;2.4;;
IST;12.03.1901 00:00;1.9;;
IST;13.03.1901 00:00;0;;
IST;14.03.1901 00:00;0;;
IST;15.03.1901 00:00;0;;
IST;16.03.1901 00:00;0;;
IST;17.03.1901 00:00;0;;
IST;18.03.1901 00:00;0;;
IST;19.03.1901 00:00;0;;
IST;20.03.1901 00:00;14.8;;
IST;21.03.1901 00:00;9.3;;
IST;22.03.1901 00:00;0;;
IST;23.03.1901 00:00;0;;
IST;24.03.1901 00:00;0;;
IST;25.03.1901 00:00;2.6;;
IST;26.03.1901 00:00;5.7;;
IST;27.03.1901 00:00;0;;
IST;28.03.1901 00:00;4.6;;
IST;29.03.1901 00:00;0;;
IST;30.03.1901 00:00;0;;
IST;31.03.1901 00:00;0;;
IST;01.04.1901 00:00;1.2;;
IST;02.04.1901 00:00;0;;
IST;03.04.1901 00:00;0;;
IST;04.04.1901 00:00;3;;
IST;05.04.1901 00:00;89.1;;
IST;06.04.1901 00:00;8.1;;
IST;07.04.1901 00:00;46.2;;
IST;08.04.1901 00:00;4.2;;
IST;09.04.1901 00:00;0.2;;
IST;10.04.1901 00:00;14.8;;
IST;11.04.1901 00:00;0;;
IST;12.04.1901 00:00;38.5;;
IST;13.04.1901 00:00;20;;
IST;14.04.1901 00:00;4.9;;
IST;15.04.1901 00:00;2.2;;
IST;16.04.1901 00:00;17.1;;
IST;17.04.1901 00:00;18;;
IST;18.04.1901 00:00;1.9;;
IST;19.04.1901 00:00;0;;
IST;20.04.1901 00:00;0;;
IST;21.04.1901 00:00;0;;
IST;22.04.1901 00:00;0;;
IST;23.04.1901 00:00;0;;
IST;24.04.1901 00:00;0;;
IST;25.04.1901 00:00;0;;
IST;26.04.1901 00:00;0;;
IST;27.04.1901 00:00;0;;
IST;28.04.1901 00:00;6.1;;
IST;29.04.1901 00:00;4.8;;
IST;30.04.1901 00:00;3.8;;
IST;01.05.1901 00:00;0;;
IST;02.05.1901 00:00;0;;
IST;03.05.1901 00:00;3.4;;
IST;04.05.1901 00:00;0;;
IST;05.05.1901 00:00;0;;
IST;06.05.1901 00:00;0;;
IST;07.05.1901 00:00;1.7;;
IST;08.05.1901 00:00;11.6;;
IST;09.05.1901 00:00;0.3;;
IST;10.05.1901 00:00;12.2;;
IST;11.05.1901 00:00;2.1;;
IST;12.05.1901 00:00;0;;
IST;13.05.1901 00:00;0;;
IST;14.05.1901 00:00;0;;
IST;15.05.1901 00:00;1.6;;
IST;16.05.1901 00:00;10;;
IST;17.05.1901 00:00;0;;
IST;18.05.1901 00:00;2.2;;
IST;19.05.1901 00:00;0;;
IST;20.05.1901 00:00;0;;
IST;21.05.1901 00:00;0;;
IST;22.05.1901 00:00;0.5;;
IST;23.05.1901 00:00;0.6;;
IST;24.05.1901 00:00;0;;
IST;25.05.1901 00:00;0;;
IST;26.05.1901 00:00;0;;
IST;27.05.1901 00:00;1.5;;
IST;28.05.1901 00:00;28.1;;
IST;29.05.1901 00:00;0;;
IST;30.05.1901 00:00;3.5;;
IST;31.05.1901 00:00;0;;
IST;01.06.1901 00:00;0;;
IST;02.06.1901 00:00;0.3;;
IST;03.06.1901 00:00;2.2;;
IST;04.06.1901 00:00;15.9;;
IST;05.06.1901 00:00;0;;
IST;06.06.1901 00:00;0;;
IST;07.06.1901 00:00;0;;
IST;08.06.1901 00:00;2.9;;
IST;09.06.1901 00:00;16.1;;
IST;10.06.1901 00:00;5.5;;
IST;11.06.1901 00:00;6.9;;
IST;12.06.1901 00:00;0;;
IST;13.06.1901 00:00;3.1;;
IST;14.06.1901 00:00;15;;
IST;15.06.1901 00:00;38.4;;
IST;16.06.1901 00:00;7.8;;
IST;17.06.1901 00:00;5.3;;
IST;18.06.1901 00:00;4.9;;
IST;19.06.1901 00:00;5.9;;
IST;20.06.1901 00:00;2;;
IST;21.06.1901 00:00;0;;
IST;22.06.1901 00:00;0;;
IST;23.06.1901 00:00;13;;
IST;24.06.1901 00:00;4;;
IST;25.06.1901 00:00;0.1;;
IST;26.06.1901 00:00;0;;
IST;27.06.1901 00:00;0;;
IST;28.06.1901 00:00;9.5;;
IST;29.06.1901 00:00;8.2;;
IST;30.06.1901 00:00;4;;
IST;01.07.1901 00:00;13.6;;
IST;02.07.1901 00:00;13;;
IST;03.07.1901 00:00;0;;
IST;04.07.1901 00:00;6.2;;
IST;05.07.1901 00:00;5.3;;
IST;06.07.1901 00:00;0;;
IST;07.07.1901 00:00;0;;
IST;08.07.1901 00:00;0;;
IST;09.07.1901 00:00;0;;
IST;10.07.1901 00:00;0;;
IST;11.07.1901 00:00;0;;
IST;12.07.1901 00:00;0;;
IST;13.07.1901 00:00;0;;
IST;14.07.1901 00:00;3.9;;
IST;15.07.1901 00:00;17;;
IST;16.07.1901 00:00;0;;
IST;17.07.1901 00:00;0;;
IST;18.07.1901 00:00;0;;
IST;19.07.1901 00:00;0;;
IST;20.07.1901 00:00;0;;
