station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
JAU;01.01.1901 00:00;0;;
JAU;02.01.1901 00:00;0.9;;
JAU;03.01.1901 00:00;0;;
JAU;04.01.1901 00:00;0;;
JAU;05.01.1901 00:00;0;;
JAU;06.01.1901 00:00;0;;
JAU;07.01.1901 00:00;0;;
JAU;08.01.1901 00:00;0;;
JAU;09.01.1901 00:00;0;;
JAU;10.01.1901 00:00;0;;
JAU;11.01.1901 00:00;0;;
JAU;12.01.1901 00:00;0;;
JAU;13.01.1901 00:00;0;;
JAU;14.01.1901 00:00;0;;
JAU;15.01.1901 00:00;0;;
JAU;16.01.1901 00:00;0;;
JAU;17.01.1901 00:00;0;;
JAU;18.01.1901 00:00;0;;
JAU;19.01.1901 00:00;0;;
JAU;20.01.1901 00:00;2.9;;
JAU;21.01.1901 00:00;17;;
JAU;22.01.1901 00:00;0;;
JAU;23.01.1901 00:00;0;;
JAU;24.01.1901 00:00;0;;
JAU;25.01.1901 00:00;2.3;;
JAU;26.01.1901 00:00;14;;
JAU;27.01.1901 00:00;15.7;;
JAU;28.01.1901 00:00;13.2;;
JAU;29.01.1901 00:00;16.5;;
JAU;30.01.1901 00:00;0;;
JAU;31.01.1901 00:00;0;;
JAU;01.02.1901 00:00;7.6;;
JAU;02.02.1901 00:00;3.7;;
JAU;03.02.1901 00:00;0;;
JAU;04.02.1901 00:00;0.7;;
JAU;05.02.1901 00:00;6.6;;
JAU;06.02.1901 00:00;0.8;;
JAU;07.02.1901 00:00;4.2;;
JAU;08.02.1901 00:00;0.6;;
JAU;09.02.1901 00:00;0.9;;
JAU;10.02.1901 00:00;0;;
JAU;11.02.1901 00:00;0;;
JAU;12.02.1901 00:00;0;;
JAU;13.02.1901 00:00;6.8;;
JAU;14.02.1901 00:00;0;;
JAU;15.02.1901 00:00;0;;
JAU;16.02.1901 00:00;7.6;;
JAU;17.02.1901 00:00;16.9;;
JAU;18.02.1901 00:00;0.3;;
JAU;19.02.1901 00:00;0;;
JAU;20.02.1901 00:00;0;;
JAU;21.02.1901 00:00;0;;
JAU;22.02.1901 00:00;0;;
JAU;23.02.1901 00:00;0;;
JAU;24.02.1901 00:00;0;;
JAU;25.02.1901 00:00;0;;
JAU;26.02.1901 00:00;0;;
JAU;27.02.1901 00:00;0;;
JAU;28.02.1901 00:00;6.3;;
JAU;01.03.1901 00:00;2;;
JAU;02.03.1901 00:00;12.9;;
JAU;03.03.1901 00:00;30.7;;
JAU;04.03.1901 00:00;12.4;;
JAU;05.03.1901 00:00;2.2;;
JAU;06.03.1901 00:00;16.9;;
JAU;07.03.1901 00:00;1.3;;
JAU;08.03.1901 00:00;0;;
JAU;09.03.1901 00:00;0;;
JAU;10.03.1901 00:00;1;;
JAU;11.03.1901 00:00;0.2;;
JAU;12.03.1901 00:00;2.6;;
JAU;13.03.1901 00:00;0;;
JAU;14.03.1901 00:00;0;;
JAU;15.03.1901 00:00;0;;
JAU;16.03.1901 00:00;0;;
JAU;17.03.1901 00:00;0;;
JAU;18.03.1901 00:00;0;;
JAU;19.03.1901 00:00;0;;
JAU;20.03.1901 00:00;14;;
JAU;21.03.1901 00:00;9.8;;
JAU;22.03.1901 00:00;1.4;;
JAU;23.03.1901 00:00;1.2;;
JAU;24.03.1901 00:00;0;;
JAU;25.03.1901 00:00;1.7;;
JAU;26.03.1901 00:00;8.9;;
JAU;27.03.1901 00:00;0;;
JAU;28.03.1901 00:00;9.1;;
JAU;29.03.1901 00:00;0.3;;
JAU;30.03.1901 00:00;0;;
JAU;31.03.1901 00:00;0;;
JAU;01.04.1901 00:00;11.4;;
JAU;02.04.1901 00:00;0;;
JAU;03.04.1901 00:00;0;;
JAU;04.04.1901 00:00;4.2;;
JAU;05.04.1901 00:00;61.8;;
JAU;06.04.1901 00:00;17.4;;
JAU;07.04.1901 00:00;11.2;;
JAU;08.04.1901 00:00;0;;
JAU;09.04.1901 00:00;8;;
JAU;10.04.1901 00:00;10.4;;
JAU;11.04.1901 00:00;1.3;;
JAU;12.04.1901 00:00;37.7;;
JAU;13.04.1901 00:00;12.5;;
JAU;14.04.1901 00:00;9.3;;
JAU;15.04.1901 00:00;7.8;;
JAU;16.04.1901 00:00;15.8;;
JAU;17.04.1901 00:00;12.8;;
JAU;18.04.1901 00:00;0;;
JAU;19.04.1901 00:00;0;;
JAU;20.04.1901 00:00;0;;
JAU;21.04.1901 00:00;0;;
JAU;22.04.1901 00:00;0;;
JAU;23.04.1901 00:00;0;;
JAU;24.04.1901 00:00;0;;
JAU;25.04.1901 00:00;0.1;;
JAU;26.04.1901 00:00;0.2;;
JAU;27.04.1901 00:00;0.3;;
JAU;28.04.1901 00:00;10.1;;
JAU;29.04.1901 00:00;7.9;;
JAU;30.04.1901 00:00;5;;
JAU;01.05.1901 00:00;0;;
JAU;02.05.1901 00:00;0;;
JAU;03.05.1901 00:00;2.1;;
JAU;04.05.1901 00:00;0;;
JAU;05.05.1901 00:00;0;;
JAU;06.05.1901 00:00;2.6;;
JAU;07.05.1901 00:00;5.6;;
JAU;08.05.1901 00:00;5.3;;
JAU;09.05.1901 00:00;0;;
JAU;10.05.1901 00:00;6.3;;
JAU;11.05.1901 00:00;1.4;;
JAU;12.05.1901 00:00;0;;
JAU;13.05.1901 00:00;0.4;;
JAU;14.05.1901 00:00;0;;
JAU;15.05.1901 00:00;0;;
JAU;16.05.1901 00:00;0.7;;
JAU;17.05.1901 00:00;1.1;;
JAU;18.05.1901 00:00;0;;
JAU;19.05.1901 00:00;4.4;;
JAU;20.05.1901 00:00;0;;
JAU;21.05.1901 00:00;0;;
JAU;22.05.1901 00:00;1.8;;
JAU;23.05.1901 00:00;6.2;;
JAU;24.05.1901 00:00;0.2;;
JAU;25.05.1901 00:00;0.7;;
JAU;26.05.1901 00:00;2.4;;
JAU;27.05.1901 00:00;2.3;;
JAU;28.05.1901 00:00;0.9;;
JAU;29.05.1901 00:00;3;;
JAU;30.05.1901 00:00;0.2;;
JAU;31.05.1901 00:00;0;;
JAU;01.06.1901 00:00;0;;
JAU;02.06.1901 00:00;5.5;;
JAU;03.06.1901 00:00;1;;
JAU;04.06.1901 00:00;5.2;;
JAU;05.06.1901 00:00;0;;
JAU;06.06.1901 00:00;0;;
JAU;07.06.1901 00:00;0;;
JAU;08.06.1901 00:00;3.5;;
JAU;09.06.1901 00:00;0;;
JAU;10.06.1901 00:00;27.1;;
JAU;11.06.1901 00:00;11.2;;
JAU;12.06.1901 00:00;0.8;;
JAU;13.06.1901 00:00;0.7;;
JAU;14.06.1901 00:00;18.2;;
JAU;15.06.1901 00:00;27.8;;
JAU;16.06.1901 00:00;11.7;;
JAU;17.06.1901 00:00;21.5;;
JAU;18.06.1901 00:00;20.8;;
JAU;19.06.1901 00:00;0.9;;
JAU;20.06.1901 00:00;0;;
JAU;21.06.1901 00:00;0;;
JAU;22.06.1901 00:00;0;;
JAU;23.06.1901 00:00;26.3;;
JAU;24.06.1901 00:00;2.1;;
JAU;25.06.1901 00:00;0;;
JAU;26.06.1901 00:00;0;;
JAU;27.06.1901 00:00;0;;
JAU;28.06.1901 00:00;6.1;;
JAU;29.06.1901 00:00;0;;
JAU;30.06.1901 00:00;16.5;;
JAU;01.07.1901 00:00;5.9;;
JAU;02.07.1901 00:00;18.6;;
JAU;03.07.1901 00:00;4.2;;
JAU;04.07.1901 00:00;14.8;;
JAU;05.07.1901 00:00;1.1;;
JAU;06.07.1901 00:00;0;;
JAU;07.07.1901 00:00;0;;
JAU;08.07.1901 00:00;0;;
JAU;09.07.1901 00:00;0;;
JAU;10.07.1901 00:00;0;;
JAU;11.07.1901 00:00;0;;
JAU;12.07.1901 00:00;0;;
JAU;13.07.1901 00:00;0;;
JAU;14.07.1901 00:00;1.9;;
JAU;15.07.1901 00:00;6.1;;
JAU;16.07.1901 00:00;0;;
JAU;17.07.1901 00:00;0;;
JAU;18.07.1901 00:00;0;;
JAU;19.07.1901 00:00;0;;
JAU;20.07.1901 00:00;0;;
JAU;21.07.1901 00:00;9.2;;
JAU;22.07.1901 00:00;7.6;;
JAU;23.07.1901 00:00;5.7;;
JAU;24.07.1901 00:00;5.2;;
JAU;25.07.1901 00:00;1;;
JAU;26.07.1901 00:00;0.3;;
JAU;27.07.1901 00:00;15.3;;
JAU;28.07.1901 00:00;18;;
JAU;29.07.1901 00:00;15;;
JAU;30.07.1901 00:00;0.3;;
JAU;31.07.1901 00:00;0.3;;
JAU;01.08.1901 00:00;57;;
JAU;02.08.1901 00:00;33.7;;
JAU;03.08.1901 00:00;0;;
JAU;04.08.1901 00:00;0;;
JAU;05.08.1901 00:00;0;;
JAU;06.08.1901 00:00;4.5;;
JAU;07.08.1901 00:00;0;;
JAU;08.08.1901 00:00;0;;
JAU;09.08.1901 00:00;0;;
JAU;10.08.1901 00:00;1.9;;
JAU;11.08.1901 00:00;37.7;;
JAU;12.08.1901 00:00;12.4;;
JAU;13.08.1901 00:00;0;;
JAU;14.08.1901 00:00;0;;
JAU;15.08.1901 00:00;18.7;;
JAU;16.08.1901 00:00;2.3;;
JAU;17.08.1901 00:00;0;;
JAU;18.08.1901 00:00;0;;
JAU;19.08.1901 00:00;0;;
