station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
JUS;01.10.1900 00:00;0;;
JUS;02.10.1900 00:00;9;;
JUS;03.10.1900 00:00;3;;
JUS;04.10.1900 00:00;0;;
JUS;05.10.1900 00:00;18;;
JUS;06.10.1900 00:00;0;;
JUS;07.10.1900 00:00;0;;
JUS;08.10.1900 00:00;0;;
JUS;09.10.1900 00:00;0;;
JUS;10.10.1900 00:00;0;;
JUS;11.10.1900 00:00;0;;
JUS;12.10.1900 00:00;0;;
JUS;13.10.1900 00:00;2;;
JUS;14.10.1900 00:00;0;;
JUS;15.10.1900 00:00;0;;
JUS;16.10.1900 00:00;0;;
JUS;17.10.1900 00:00;4;;
JUS;18.10.1900 00:00;0;;
JUS;19.10.1900 00:00;0;;
JUS;20.10.1900 00:00;0;;
JUS;21.10.1900 00:00;0;;
JUS;22.10.1900 00:00;0;;
JUS;23.10.1900 00:00;0;;
JUS;24.10.1900 00:00;0;;
JUS;25.10.1900 00:00;0;;
JUS;26.10.1900 00:00;1;;
JUS;27.10.1900 00:00;0;;
JUS;28.10.1900 00:00;0;;
JUS;29.10.1900 00:00;5;;
JUS;30.10.1900 00:00;0;;
JUS;31.10.1900 00:00;0;;
JUS;01.11.1900 00:00;2;;
JUS;02.11.1900 00:00;0;;
JUS;03.11.1900 00:00;0;;
JUS;04.11.1900 00:00;0;;
JUS;05.11.1900 00:00;0;;
JUS;06.11.1900 00:00;9;;
JUS;07.11.1900 00:00;15;;
JUS;08.11.1900 00:00;0;;
JUS;09.11.1900 00:00;0;;
JUS;10.11.1900 00:00;6;;
JUS;11.11.1900 00:00;0;;
JUS;12.11.1900 00:00;0;;
JUS;13.11.1900 00:00;0;;
JUS;14.11.1900 00:00;0;;
JUS;15.11.1900 00:00;0;;
JUS;16.11.1900 00:00;9;;
JUS;17.11.1900 00:00;15;;
JUS;18.11.1900 00:00;2;;
JUS;19.11.1900 00:00;0;;
JUS;20.11.1900 00:00;0;;
JUS;21.11.1900 00:00;0;;
JUS;22.11.1900 00:00;0;;
JUS;23.11.1900 00:00;4;;
JUS;24.11.1900 00:00;0;;
JUS;25.11.1900 00:00;1;;
JUS;26.11.1900 00:00;0;;
