station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KAR;01.01.1961 00:00;5.7;;
KAR;02.01.1961 00:00;0.8;;
KAR;03.01.1961 00:00;7.1;;
KAR;04.01.1961 00:00;2.9;;
KAR;05.01.1961 00:00;0;;
KAR;06.01.1961 00:00;3.4;;
KAR;07.01.1961 00:00;0;;
KAR;08.01.1961 00:00;1.3;;
KAR;09.01.1961 00:00;0.7;;
KAR;10.01.1961 00:00;0;;
KAR;11.01.1961 00:00;0;;
KAR;12.01.1961 00:00;0;;
KAR;13.01.1961 00:00;0;;
KAR;14.01.1961 00:00;0;;
KAR;15.01.1961 00:00;0;;
KAR;16.01.1961 00:00;0;;
KAR;17.01.1961 00:00;0;;
KAR;18.01.1961 00:00;0;;
KAR;19.01.1961 00:00;0;;
KAR;20.01.1961 00:00;0;;
KAR;21.01.1961 00:00;1.3;;
KAR;22.01.1961 00:00;0;;
KAR;23.01.1961 00:00;14.3;;
KAR;24.01.1961 00:00;10.8;;
KAR;25.01.1961 00:00;1.9;;
KAR;26.01.1961 00:00;1.8;;
KAR;27.01.1961 00:00;0;;
KAR;28.01.1961 00:00;2.2;;
KAR;29.01.1961 00:00;0;;
KAR;30.01.1961 00:00;1.3;;
KAR;31.01.1961 00:00;2.1;;
KAR;01.02.1961 00:00;7.2;;
KAR;02.02.1961 00:00;11.3;;
KAR;03.02.1961 00:00;11.8;;
KAR;04.02.1961 00:00;3.4;;
KAR;05.02.1961 00:00;8.1;;
KAR;06.02.1961 00:00;0.7;;
KAR;07.02.1961 00:00;0;;
KAR;08.02.1961 00:00;0.3;;
KAR;09.02.1961 00:00;8.6;;
KAR;10.02.1961 00:00;0;;
KAR;11.02.1961 00:00;2.7;;
KAR;12.02.1961 00:00;4.5;;
KAR;13.02.1961 00:00;0;;
KAR;14.02.1961 00:00;0;;
KAR;15.02.1961 00:00;0;;
KAR;16.02.1961 00:00;0;;
KAR;17.02.1961 00:00;0;;
KAR;18.02.1961 00:00;0;;
KAR;19.02.1961 00:00;0;;
KAR;20.02.1961 00:00;0;;
KAR;21.02.1961 00:00;0;;
KAR;22.02.1961 00:00;0;;
KAR;23.02.1961 00:00;0;;
KAR;24.02.1961 00:00;0;;
KAR;25.02.1961 00:00;0;;
KAR;26.02.1961 00:00;0;;
KAR;27.02.1961 00:00;0;;
KAR;28.02.1961 00:00;0.9;;
KAR;01.03.1961 00:00;2.5;;
KAR;02.03.1961 00:00;0;;
KAR;03.03.1961 00:00;4.6;;
KAR;04.03.1961 00:00;0;;
KAR;05.03.1961 00:00;0;;
KAR;06.03.1961 00:00;0;;
KAR;07.03.1961 00:00;0;;
KAR;08.03.1961 00:00;0;;
KAR;09.03.1961 00:00;0;;
KAR;10.03.1961 00:00;0;;
KAR;11.03.1961 00:00;0;;
KAR;12.03.1961 00:00;0;;
KAR;13.03.1961 00:00;0;;
KAR;14.03.1961 00:00;0;;
KAR;15.03.1961 00:00;0;;
KAR;16.03.1961 00:00;0;;
KAR;17.03.1961 00:00;0;;
KAR;18.03.1961 00:00;16.5;;
KAR;19.03.1961 00:00;5.7;;
KAR;20.03.1961 00:00;0;;
KAR;21.03.1961 00:00;12.4;;
KAR;22.03.1961 00:00;0.7;;
KAR;23.03.1961 00:00;0;;
KAR;24.03.1961 00:00;0;;
KAR;25.03.1961 00:00;0;;
KAR;26.03.1961 00:00;0;;
KAR;27.03.1961 00:00;0;;
KAR;28.03.1961 00:00;0;;
KAR;29.03.1961 00:00;0;;
KAR;30.03.1961 00:00;2.2;;
KAR;31.03.1961 00:00;2.6;;
KAR;01.04.1961 00:00;2.2;;
KAR;02.04.1961 00:00;10.8;;
KAR;03.04.1961 00:00;0;;
KAR;04.04.1961 00:00;0;;
KAR;05.04.1961 00:00;0;;
KAR;06.04.1961 00:00;0;;
KAR;07.04.1961 00:00;0.1;;
KAR;08.04.1961 00:00;4.4;;
KAR;09.04.1961 00:00;1.6;;
KAR;10.04.1961 00:00;15;;
KAR;11.04.1961 00:00;0;;
KAR;12.04.1961 00:00;0;;
KAR;13.04.1961 00:00;0;;
KAR;14.04.1961 00:00;3.9;;
KAR;15.04.1961 00:00;2.2;;
KAR;16.04.1961 00:00;2.1;;
KAR;17.04.1961 00:00;2.1;;
KAR;18.04.1961 00:00;6.8;;
KAR;19.04.1961 00:00;0;;
KAR;20.04.1961 00:00;0;;
KAR;21.04.1961 00:00;0;;
KAR;22.04.1961 00:00;2;;
KAR;23.04.1961 00:00;18.1;;
KAR;24.04.1961 00:00;7.5;;
KAR;25.04.1961 00:00;4.4;;
KAR;26.04.1961 00:00;7.4;;
KAR;27.04.1961 00:00;0;;
KAR;28.04.1961 00:00;3.2;;
KAR;29.04.1961 00:00;2.9;;
KAR;30.04.1961 00:00;11.6;;
KAR;01.05.1961 00:00;0;;
KAR;02.05.1961 00:00;1.9;;
KAR;03.05.1961 00:00;4.1;;
KAR;04.05.1961 00:00;0;;
KAR;05.05.1961 00:00;9.6;;
KAR;06.05.1961 00:00;8.8;;
KAR;07.05.1961 00:00;1.8;;
KAR;08.05.1961 00:00;0;;
KAR;09.05.1961 00:00;10;;
KAR;10.05.1961 00:00;8.6;;
KAR;11.05.1961 00:00;5.4;;
KAR;12.05.1961 00:00;1.9;;
KAR;13.05.1961 00:00;0;;
KAR;14.05.1961 00:00;4.4;;
KAR;15.05.1961 00:00;3.6;;
KAR;16.05.1961 00:00;0;;
KAR;17.05.1961 00:00;0;;
KAR;18.05.1961 00:00;4.2;;
KAR;19.05.1961 00:00;1.2;;
KAR;20.05.1961 00:00;21.6;;
KAR;21.05.1961 00:00;15.6;;
KAR;22.05.1961 00:00;0;;
KAR;23.05.1961 00:00;13.3;;
KAR;24.05.1961 00:00;0;;
KAR;25.05.1961 00:00;0;;
KAR;26.05.1961 00:00;9.2;;
KAR;27.05.1961 00:00;13.2;;
KAR;28.05.1961 00:00;27.6;;
KAR;29.05.1961 00:00;10.9;;
KAR;30.05.1961 00:00;0;;
KAR;31.05.1961 00:00;0;;
KAR;01.06.1961 00:00;0.5;;
KAR;02.06.1961 00:00;10;;
KAR;03.06.1961 00:00;1.5;;
KAR;04.06.1961 00:00;0;;
KAR;05.06.1961 00:00;0;;
KAR;06.06.1961 00:00;31.6;;
KAR;07.06.1961 00:00;11.7;;
KAR;08.06.1961 00:00;0;;
KAR;09.06.1961 00:00;39.7;;
KAR;10.06.1961 00:00;0;;
KAR;11.06.1961 00:00;6.7;;
KAR;12.06.1961 00:00;0.9;;
KAR;13.06.1961 00:00;6.7;;
KAR;14.06.1961 00:00;0;;
KAR;15.06.1961 00:00;0;;
KAR;16.06.1961 00:00;0;;
KAR;17.06.1961 00:00;0;;
KAR;18.06.1961 00:00;0;;
KAR;19.06.1961 00:00;0;;
KAR;20.06.1961 00:00;0;;
KAR;21.06.1961 00:00;0;;
KAR;22.06.1961 00:00;20.4;;
KAR;23.06.1961 00:00;0;;
KAR;24.06.1961 00:00;0;;
KAR;25.06.1961 00:00;2;;
KAR;26.06.1961 00:00;4.9;;
KAR;27.06.1961 00:00;16.4;;
KAR;28.06.1961 00:00;0;;
KAR;29.06.1961 00:00;0;;
KAR;30.06.1961 00:00;0;;
KAR;01.07.1961 00:00;0;;
KAR;02.07.1961 00:00;0;;
KAR;03.07.1961 00:00;7.6;;
KAR;04.07.1961 00:00;6.3;;
KAR;05.07.1961 00:00;0;;
KAR;06.07.1961 00:00;0;;
KAR;07.07.1961 00:00;0;;
KAR;08.07.1961 00:00;7.5;;
KAR;09.07.1961 00:00;6.9;;
KAR;10.07.1961 00:00;0;;
KAR;11.07.1961 00:00;0.7;;
KAR;12.07.1961 00:00;30.4;;
KAR;13.07.1961 00:00;0.6;;
KAR;14.07.1961 00:00;8.2;;
KAR;15.07.1961 00:00;2.1;;
KAR;16.07.1961 00:00;4.5;;
KAR;17.07.1961 00:00;15.9;;
KAR;18.07.1961 00:00;3;;
KAR;19.07.1961 00:00;21.4;;
KAR;20.07.1961 00:00;0;;
KAR;21.07.1961 00:00;0;;
KAR;22.07.1961 00:00;9.3;;
