station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KAS;01.08.1899 00:00;0;;
KAS;02.08.1899 00:00;5.6;;
KAS;03.08.1899 00:00;0;;
KAS;04.08.1899 00:00;7.1;;
KAS;05.08.1899 00:00;4.7;;
KAS;06.08.1899 00:00;6.7;;
KAS;07.08.1899 00:00;9.1;;
KAS;08.08.1899 00:00;19.1;;
KAS;09.08.1899 00:00;4.4;;
KAS;10.08.1899 00:00;0;;
KAS;11.08.1899 00:00;0;;
KAS;12.08.1899 00:00;0;;
KAS;13.08.1899 00:00;0;;
KAS;14.08.1899 00:00;0;;
KAS;15.08.1899 00:00;10.5;;
KAS;16.08.1899 00:00;6.6;;
KAS;17.08.1899 00:00;8.8;;
KAS;18.08.1899 00:00;0;;
KAS;19.08.1899 00:00;0;;
KAS;20.08.1899 00:00;0;;
KAS;21.08.1899 00:00;0;;
KAS;22.08.1899 00:00;0;;
KAS;23.08.1899 00:00;0;;
KAS;24.08.1899 00:00;0;;
KAS;25.08.1899 00:00;0;;
KAS;26.08.1899 00:00;0;;
KAS;27.08.1899 00:00;0;;
KAS;28.08.1899 00:00;0.5;;
KAS;29.08.1899 00:00;0.1;;
KAS;30.08.1899 00:00;4.2;;
KAS;31.08.1899 00:00;0.3;;
KAS;01.09.1899 00:00;0;;
KAS;02.09.1899 00:00;5.3;;
KAS;03.09.1899 00:00;0;;
KAS;04.09.1899 00:00;0;;
KAS;05.09.1899 00:00;0.4;;
KAS;06.09.1899 00:00;0;;
KAS;07.09.1899 00:00;44.8;;
KAS;08.09.1899 00:00;2.6;;
KAS;09.09.1899 00:00;11.9;;
KAS;10.09.1899 00:00;5.3;;
KAS;11.09.1899 00:00;13.8;;
KAS;12.09.1899 00:00;7.6;;
KAS;13.09.1899 00:00;1;;
KAS;14.09.1899 00:00;0;;
KAS;15.09.1899 00:00;0;;
KAS;16.09.1899 00:00;8;;
KAS;17.09.1899 00:00;0.3;;
KAS;18.09.1899 00:00;0;;
KAS;19.09.1899 00:00;0;;
KAS;20.09.1899 00:00;7.2;;
KAS;21.09.1899 00:00;0;;
KAS;22.09.1899 00:00;4.9;;
KAS;23.09.1899 00:00;3;;
KAS;24.09.1899 00:00;0;;
KAS;25.09.1899 00:00;0;;
KAS;26.09.1899 00:00;5;;
KAS;27.09.1899 00:00;0;;
KAS;28.09.1899 00:00;4.6;;
KAS;29.09.1899 00:00;0;;
KAS;30.09.1899 00:00;0;;
KAS;01.10.1899 00:00;0;;
KAS;02.10.1899 00:00;10.5;;
KAS;03.10.1899 00:00;0.1;;
KAS;04.10.1899 00:00;0;;
KAS;05.10.1899 00:00;12.9;;
KAS;06.10.1899 00:00;8.8;;
KAS;07.10.1899 00:00;12.7;;
KAS;08.10.1899 00:00;0;;
KAS;09.10.1899 00:00;0;;
KAS;10.10.1899 00:00;0;;
KAS;11.10.1899 00:00;1.1;;
KAS;12.10.1899 00:00;1;;
KAS;13.10.1899 00:00;7;;
KAS;14.10.1899 00:00;0;;
KAS;15.10.1899 00:00;1.6;;
KAS;16.10.1899 00:00;0;;
KAS;17.10.1899 00:00;0.5;;
KAS;18.10.1899 00:00;0.2;;
KAS;19.10.1899 00:00;0;;
KAS;20.10.1899 00:00;0;;
KAS;21.10.1899 00:00;0;;
KAS;22.10.1899 00:00;0;;
KAS;23.10.1899 00:00;0;;
KAS;24.10.1899 00:00;0;;
KAS;25.10.1899 00:00;0;;
KAS;26.10.1899 00:00;0;;
KAS;27.10.1899 00:00;0;;
KAS;28.10.1899 00:00;0.4;;
KAS;29.10.1899 00:00;0.1;;
KAS;30.10.1899 00:00;0;;
KAS;31.10.1899 00:00;8.4;;
KAS;01.11.1899 00:00;0.1;;
KAS;02.11.1899 00:00;0;;
KAS;03.11.1899 00:00;0;;
KAS;04.11.1899 00:00;0;;
KAS;05.11.1899 00:00;0;;
KAS;06.11.1899 00:00;0;;
KAS;07.11.1899 00:00;0;;
KAS;08.11.1899 00:00;7.1;;
KAS;09.11.1899 00:00;0;;
KAS;10.11.1899 00:00;8;;
KAS;11.11.1899 00:00;0;;
KAS;12.11.1899 00:00;0;;
KAS;13.11.1899 00:00;0;;
KAS;14.11.1899 00:00;0;;
KAS;15.11.1899 00:00;0;;
KAS;16.11.1899 00:00;0;;
KAS;17.11.1899 00:00;0;;
KAS;18.11.1899 00:00;0;;
KAS;19.11.1899 00:00;0;;
KAS;20.11.1899 00:00;0;;
KAS;21.11.1899 00:00;0;;
KAS;22.11.1899 00:00;0;;
KAS;23.11.1899 00:00;0;;
KAS;24.11.1899 00:00;0;;
KAS;25.11.1899 00:00;0;;
KAS;26.11.1899 00:00;0;;
KAS;27.11.1899 00:00;0;;
KAS;28.11.1899 00:00;0;;
KAS;29.11.1899 00:00;0;;
KAS;30.11.1899 00:00;0;;
KAS;01.12.1899 00:00;0;;
KAS;02.12.1899 00:00;0;;
KAS;03.12.1899 00:00;0;;
KAS;04.12.1899 00:00;0.4;;
KAS;05.12.1899 00:00;13.3;;
KAS;06.12.1899 00:00;12.5;;
KAS;07.12.1899 00:00;10.2;;
KAS;08.12.1899 00:00;3.3;;
KAS;09.12.1899 00:00;0.8;;
KAS;10.12.1899 00:00;0;;
KAS;11.12.1899 00:00;0;;
KAS;12.12.1899 00:00;0;;
KAS;13.12.1899 00:00;0;;
KAS;14.12.1899 00:00;1.2;;
KAS;15.12.1899 00:00;3;;
KAS;16.12.1899 00:00;0.1;;
KAS;17.12.1899 00:00;0;;
KAS;18.12.1899 00:00;0;;
KAS;19.12.1899 00:00;0;;
KAS;20.12.1899 00:00;4.9;;
KAS;21.12.1899 00:00;0;;
KAS;22.12.1899 00:00;0.7;;
