station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KIB;01.04.1974 00:00;;0;
KIB;02.04.1974 00:00;;0;
KIB;03.04.1974 00:00;;0;
KIB;04.04.1974 00:00;;0;
KIB;05.04.1974 00:00;;0;
KIB;06.04.1974 00:00;;0;
KIB;07.04.1974 00:00;;0;
KIB;08.04.1974 00:00;;0;
KIB;09.04.1974 00:00;;0;
KIB;10.04.1974 00:00;;0;
KIB;11.04.1974 00:00;;0;
KIB;12.04.1974 00:00;;0;
KIB;13.04.1974 00:00;;0;
KIB;14.04.1974 00:00;;0;
KIB;15.04.1974 00:00;;8;
KIB;16.04.1974 00:00;;5;8
KIB;17.04.1974 00:00;;;13
KIB;18.04.1974 00:00;;0;3
KIB;19.04.1974 00:00;;0;
KIB;20.04.1974 00:00;;0;
KIB;21.04.1974 00:00;;0;
KIB;22.04.1974 00:00;;0;
KIB;27.04.1974 00:00;;0;
KIB;01.05.1974 00:00;7.8;;
KIB;02.05.1974 00:00;0;0;
KIB;03.05.1974 00:00;0;0;
KIB;04.05.1974 00:00;1.1;;
KIB;05.05.1974 00:00;17.1;;
KIB;06.05.1974 00:00;0.5;;
KIB;07.05.1974 00:00;0;0;
KIB;08.05.1974 00:00;0;0;
KIB;09.05.1974 00:00;0;0;
KIB;10.05.1974 00:00;3.5;;
KIB;11.05.1974 00:00;8.7;;
KIB;12.05.1974 00:00;0;0;
KIB;13.05.1974 00:00;8.4;;
KIB;14.05.1974 00:00;0;0;
KIB;15.05.1974 00:00;0;0;
KIB;16.05.1974 00:00;0;0;
KIB;17.05.1974 00:00;0;0;
KIB;18.05.1974 00:00;0;0;
KIB;19.05.1974 00:00;0;0;
KIB;20.05.1974 00:00;0;0;
KIB;21.05.1974 00:00;0;0;
KIB;22.05.1974 00:00;8.5;;
KIB;23.05.1974 00:00;15.2;;
KIB;24.05.1974 00:00;0.9;;
KIB;25.05.1974 00:00;0;0;
KIB;26.05.1974 00:00;0;0;
KIB;27.05.1974 00:00;18.8;;
KIB;28.05.1974 00:00;7.6;;
KIB;29.05.1974 00:00;0;0;
KIB;30.05.1974 00:00;0;0;
KIB;31.05.1974 00:00;14.5;;
KIB;01.06.1974 00:00;0;;
KIB;02.06.1974 00:00;0;;
KIB;03.06.1974 00:00;0;;
KIB;04.06.1974 00:00;0;;
KIB;05.06.1974 00:00;14.4;;
KIB;06.06.1974 00:00;3.3;;
KIB;07.06.1974 00:00;0;;
KIB;08.06.1974 00:00;0;;
KIB;09.06.1974 00:00;3;;
KIB;10.06.1974 00:00;15.1;;
KIB;11.06.1974 00:00;7.3;;
KIB;12.06.1974 00:00;4;;
KIB;13.06.1974 00:00;1.4;;
KIB;14.06.1974 00:00;0;;
KIB;15.06.1974 00:00;0;;
KIB;16.06.1974 00:00;0;;
KIB;17.06.1974 00:00;16.1;;
KIB;18.06.1974 00:00;15.1;;
KIB;19.06.1974 00:00;0;;
KIB;20.06.1974 00:00;0;;
KIB;21.06.1974 00:00;0;;
