station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KLT;01.01.1901 00:00;7.7;;
KLT;02.01.1901 00:00;0.6;;
KLT;03.01.1901 00:00;0.3;;
KLT;04.01.1901 00:00;0;;
KLT;05.01.1901 00:00;0;;
KLT;06.01.1901 00:00;0;;
KLT;07.01.1901 00:00;0;;
KLT;08.01.1901 00:00;0;;
KLT;09.01.1901 00:00;0;;
KLT;10.01.1901 00:00;0;;
KLT;11.01.1901 00:00;2.4;;
KLT;12.01.1901 00:00;0;;
KLT;13.01.1901 00:00;0;;
KLT;14.01.1901 00:00;0;;
KLT;15.01.1901 00:00;0;;
KLT;16.01.1901 00:00;0;;
KLT;17.01.1901 00:00;0;;
KLT;18.01.1901 00:00;0;;
KLT;19.01.1901 00:00;0;;
KLT;20.01.1901 00:00;10.7;;
KLT;21.01.1901 00:00;24;;
KLT;22.01.1901 00:00;0;;
KLT;23.01.1901 00:00;0;;
KLT;24.01.1901 00:00;0;;
KLT;25.01.1901 00:00;0;;
KLT;26.01.1901 00:00;13.4;;
KLT;27.01.1901 00:00;28.2;;
KLT;28.01.1901 00:00;22.4;;
KLT;29.01.1901 00:00;10.8;;
KLT;30.01.1901 00:00;0;;
KLT;31.01.1901 00:00;0;;
KLT;01.02.1901 00:00;0;;
KLT;02.02.1901 00:00;1.3;;
KLT;03.02.1901 00:00;0;;
KLT;04.02.1901 00:00;0;;
KLT;05.02.1901 00:00;2;;
KLT;06.02.1901 00:00;3.3;;
KLT;07.02.1901 00:00;3.7;;
KLT;08.02.1901 00:00;0;;
KLT;09.02.1901 00:00;0;;
KLT;10.02.1901 00:00;0;;
KLT;11.02.1901 00:00;6.4;;
KLT;12.02.1901 00:00;0;;
KLT;13.02.1901 00:00;6.7;;
KLT;14.02.1901 00:00;0;;
KLT;15.02.1901 00:00;0;;
KLT;16.02.1901 00:00;4.5;;
KLT;17.02.1901 00:00;10;;
KLT;18.02.1901 00:00;2.1;;
KLT;19.02.1901 00:00;0;;
KLT;20.02.1901 00:00;0;;
KLT;21.02.1901 00:00;0;;
KLT;22.02.1901 00:00;0;;
KLT;23.02.1901 00:00;0;;
KLT;24.02.1901 00:00;0;;
KLT;25.02.1901 00:00;0;;
KLT;26.02.1901 00:00;0;;
KLT;27.02.1901 00:00;0;;
KLT;28.02.1901 00:00;0;;
KLT;01.03.1901 00:00;0.5;;
KLT;02.03.1901 00:00;3.5;;
KLT;03.03.1901 00:00;27;;
KLT;04.03.1901 00:00;19.2;;
KLT;05.03.1901 00:00;16.8;;
KLT;06.03.1901 00:00;4;;
KLT;07.03.1901 00:00;0.6;;
KLT;08.03.1901 00:00;0;;
KLT;09.03.1901 00:00;0;;
KLT;10.03.1901 00:00;0;;
KLT;11.03.1901 00:00;0;;
